Press Release Date,Press Release Title,Link to PDF File
10/19/09,ExxonMobil Found Liable for $105 Million for Contaminating New York City's Groundwater ,http://www.nyc.gov/html/law/downloads/pdf/Exxon%20MTBE%20Win.pdf
10/14/09,Federal Appeals Court Declines to Stop Injunction Against Illegal Cigarettes  ,http://www.nyc.gov/html/law/downloads/pdf/2456347_1.pdf
6/8/09,U.S. Supreme Court Rules 9-0 in New York City's Favor in Tax Matter; Win is First Unanimous Ruling for the City at the Nation's Highest Court in More Than 20 Years  ,http://www.nyc.gov/html/law/downloads/pdf/2549652_1.pdf
6/5/09,New York City Awarded an Additional $1.5 Million in Celotex Asbestos Bankruptcy  ,http://www.nyc.gov/html/law/downloads/pdf/Celotex.pdf
6/4/09,Appeals Court Determines the State Must Pay $28.6 Million in Medicaid Reimbursement to the City of New York  ,http://www.nyc.gov/html/law/downloads/pdf/Novello_Medicaid_Win.pdf
5/21/09,City Receives Record $1.1 Million Settlement Payment Over Owners' Failure to Maintain the Landmarked Windermere Apartment Complex on Manhattan's Upper West Side  ,http://www.nyc.gov/html/law/downloads/pdf/2326471_1.pdf
4/30/09,State's Highest Court Clarifies the Rights of Non-Custodial Parents Regarding Educational Decision-Making  ,http://www.nyc.gov/html/law/downloads/pdf/2306633_1%20(2).pdf
4/28/09,Federal Appeals Court Unanimously Backs Lower Court in Term Limits Case ,http://www.nyc.gov/html/law/downloads/pdf/2304275_1%20(2).pdf
4/22/09,State Supreme Court Affirms City's Choice of Downtown Heliport Manager  ,http://www.nyc.gov/html/law/downloads/pdf/2299308_1.pdf
4/3/09,Michael A. Cardozo Sets Record as Longest-Serving Corporation Counsel in New York City's History  ,http://www.nyc.gov/html/law/downloads/pdf/2282927_1%20(2).pdf
3/31/09,City Regulation of Outdoor Advertising Deemed Constitutional ,http://www.nyc.gov/html/law/downloads/pdf/2279274_1.pdf
3/31/09,Statement of New York City Corporation Counsel Michael A. Cardozo with Respect to His Congressional Testimony Today Urging a Reopening of the Victim Compensation Fund .,http://www.nyc.gov/html/law/downloads/pdf/MAC%20PR%20March%202009.pdf
3/31/09,"Testimony of Michael A. Cardozo, Corporation Counsel of the City of New York, Before The House Committee on the Judiciary, Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law And Subcommittee on the Constitution, Civil Rights, and Civil Liberties, On H.R. 847, The James Zadroga 9/11 Health and Compensation Act of 2009 ",http://www.nyc.gov/html/law/downloads/pdf/Michael%20Cardozo%20testimony%203-31-09.pdf
3/30/09,Judge Rules That New York City Can Proceed with Renovation and Rehabilitation of Union Square Park  ,http://www.nyc.gov/html/law/downloads/pdf/2276328_1%20(2).pdf
3/17/09,"U.S. Department of Justice (DOJ) Approves Term Limits Law, DOJ Agrees That Local Law 51 Will Not Diminish Minority Voting Opportunities ",http://www.nyc.gov/html/law/downloads/pdf/Preclearance%20Approval%20(3%2017%2009).pdf
3/17/09,"Letter from U.S. Department of Justice ""Preclearing"" Term Limits Law (Local Law 51), Issued ",http://www.nyc.gov/html/law/downloads/pdf/DOJLetter.pdf
3/11/09,"Statement by Michael A. Cardozo, Corporation Counsel, New York City Law Department - Responding to Press Inquiries on Stuyvesant Town Legal Matters   ",http://www.nyc.gov/html/law/downloads/pdf/pr031109.pdf
2/17/09,Federal Appeals Court Upholds New York City's Landmark Health Code Provision Requiring Certain Chain Restaurants to Post Calorie Information on Menus and Menu Boards   ,http://www.nyc.gov/html/law/downloads/pdf/Calorie_Case%20_%20Appeals_Win.pdf
1/29/09,Mayor Bloomberg Announces the The Philippines Agrees to Pay $9 Million in Back Property Taxes and Interest to the City (released in conjunction with the Office of the Mayor)  (in PDF),http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009a%2Fpr049-09.html&cc=unused1978&rc=1194&ndi=1
1/27/09,Corporation Counsel Michael A. Cardozo Testifies Before State Senate Judiciary Committee; Makes Procedural Recommendations to Strengthen New York's Judicial Selection Process ,http://www.nyc.gov/html/law/downloads/pdf/JudicialSelectionTestimony.pdf
2009,"City Attorneys File ""Preclearance Submission"" with the U.S. Department of Justice for Term Limits Law",http://www.nyc.gov/html/law/downloads/pdf/2195869_1.pdf
2009,Term Limits Preclearance Items (Submitted to U.S. Department of Justice),http://www.nyc.gov/html/law/downloads/pdf/CitysSection5PreclearanceSubmission_LL_51_Jan152009_Legal2195986.PDF
1/15/09,Law Department's Workers' Comp. Chief is Elected Chairman of New York Self Insurers Association ,http://www.nyc.gov/html/law/downloads/pdf/2192197_1.pdf
1/13/09,"City Prevails In Term Limits Case, With Federal Court Judge Issuing A Swift Ruling That Allows Voters To Decide Who Should Be The Next Mayor ",http://www.nyc.gov/html/law/downloads/pdf/TermLimitsWin.pdf
