QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-02082-7501,229-R1,62-54 97 PLACE,REGO PARK,R4-ELEVATOR,206,1988,190498,2381225,12.5,8219999,43.2,4-01918-0072,98-32 57 AVENUE,CORONA,D1-ELEVATOR,232,1965,239000,2666240,11.16,8280000,34.6,0.2,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,0.2
4-02090-7501,322-R1,97-12 63 DRIVE,REGO PARK,R4-ELEVATOR,73,1992,51254,871318,17,3450003,67,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,0.1,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,3.1
4-02099-7501,457-R1,63-26 99 STREET,REGO PARK,R4-ELEVATOR,32,1999,30520,640920,21,2780000,91,4-05137-0012,42-49 COLDEN STREET,FLUSHING-NORTH,D3-ELEVATOR,284,1962,270499,3838380,14.19,14000000,52,2.3,4-02090-0047,97-25 64 AVENUE,REGO PARK,D7-ELEVATOR,113,1950,98000,1240205,12.66,4280000,43.7,0.15
4-02112-7501,61-R1,63-60 102 STREET,REGO PARK,R4-ELEVATOR,139,1949,132000,1716000,13,6260000,47.4,4-05137-0012,42-49 COLDEN STREET,FLUSHING-NORTH,D3-ELEVATOR,284,1962,270499,3838380,14.19,14000000,52,2.2,4-02090-0047,97-25 64 AVENUE,REGO PARK,D7-ELEVATOR,113,1950,98000,1240205,12.66,4280000,43.7,0.25
4-02118-7501,334-R1,99-32 66 ROAD,REGO PARK,R9-CONDOPS,489,1952,418980,5237250,12.5,18600000,44.4,4-02090-0026,63-60 98 STREET,REGO PARK,D1-ELEVATOR,129,1951,125610,1448805,11.53,5000000,39.8,0.4,4-02122-0028,102-50 62 ROAD,FOREST HILLS,D1-ELEVATOR,102,1956,99350,1258396,12.67,4340000,43.7,0.5
4-02119-7501,183-R1,100-25 QUEENS BOULEVARD,REGO PARK,R4-ELEVATOR,157,1959,148800,2083200,14,7599999,51,4-03156-0133,98-05 67 AVENUE,REGO PARK,D3-ELEVATOR,181,1960,177710,2565076,14.43,9360000,53,0.25,4-03078-0085,93-10 QUEENS BOULEVARD,REGO PARK,D7-ELEVATOR,114,1950,104708,1547151,14.78,5650000,54,0.75
4-02186-7501,172-R1,110-14 65 AVENUE,FOREST HILLS,R2-WALK-UP,20,1951,26054,416864,16,1650003,63,4-02185-0011,110-12 64 ROAD,FOREST HILLS,C9-WALK-UP,28,1950,26306,399430,15.18,1580000,60,0.1,4-02185-0040,110-15 65 AVENUE,FOREST HILLS,C9-WALK-UP,28,1950,26306,440761,16.76,1740000,66,0.1
4-02220-7501,590-R1,69-45 108 STREET,FOREST HILLS,R4-ELEVATOR,103,1955,119194,1549522,13,5660000,47.5,4-02132-0045,66-25 103 STREET,FOREST HILLS,D1-ELEVATOR,148,1964,169348,2290769,13.53,8360000,49.4,0.5,4-02135-0013,102-40 67 ROAD,FOREST HILLS,D1-ELEVATOR,135,1960,137700,1733190,12.59,5980000,43.4,0.4
4-02224-7501,75-R1,109-33 71 ROAD,FOREST HILLS,R4-ELEVATOR,73,1960,57269,778858,13.6,2839994,49.6,4-02090-0047,97-25 64 AVENUE,REGO PARK,D7-ELEVATOR,113,1950,98000,1240205,12.66,4280000,43.7,1.1,4-02224-0028,108-50 71 AVENUE,FOREST HILLS,D7-ELEVATOR,62,1950,63074,905042,14.35,3300000,52,0
4-02239-7501,177-R1,111-01 QUEENS BOULEVARD,FOREST HILLS,R9-CONDOPS,120,1966,144310,2020340,14,7570000,52,4-02132-0045,66-25 103 STREET,FOREST HILLS,D1-ELEVATOR,148,1964,169348,2290769,13.53,8360000,49.4,0.95,4-02134-0013,102-30 67 AVENUE,FOREST HILLS,D1-ELEVATOR,123,1963,135400,1736514,12.83,5990000,44.2,0.85
4-02264-7501,339-R1,112-01 QUEENS BOULEVARD,FOREST HILLS,R4-ELEVATOR,226,1991,282298,5928258,21,25699996,91,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,1.5,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1281157,22.24,5560000,97,1.2
4-02267-7501,342-R1,76-01 113 STREET,FLUSHING MEADOW PARK,R4-ELEVATOR,28,1990,32000,512000,16,2030000,63,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,1.65,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,3.5
4-02313-7501,392-R1,58-12 QUEENS BOULEVARD,WOODSIDE,R9-CONDOPS,122,1998,132550,2717275,20.5,11500100,87,4-02324-0035,44-20 63 STREET,WOODSIDE,D9-ELEVATOR,78,1982,58000,1297398,22.37,3040000,52,0.25,4-04977-0021,137-02 NORTHERN BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1307992,19.43,5680000,84,4.35
4-02383-7501,154-R1,65-31 52 AVENUE,MASPETH,R2-WALK-UP,17,1987,17400,234900,13.5,857000,49.3,4-03068-0058,66-52 79 STREET,MIDDLE VILLAGE,C1-WALK-UP,19,1973,18480,295000,15.96,1170000,63,1.9,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251142,14.86,917000,54,1.45
4-02467-7502,519-R1,79-39 CALAMUS AVENUE,ELMHURST,R4-ELEVATOR,14,1990,14013,280260,20,1339998,96,4-03166-0067,68-12 AUSTIN STREET,REGO PARK,D7-ELEVATOR,17,1998,16949,389827,23,1690000,100,1.85,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,511862,19.75,2220000,86,3.1
4-02474-7501,480-R1,81-18 QUEENS BOULEVARD,ELMHURST,R4-ELEVATOR,30,2004,24285,728550,30,3489995,144,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,1.7,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,3.3
4-02476-7501,145-R1,51-33 GOLDSMITH STREET,ELMHURST,R4-ELEVATOR,62,1962,51341,744444,14.5,2720010,53,4-02474-0022,51-15 VAN KLEECK STREET,ELMHURST,D1-ELEVATOR,88,1960,74600,986786,13.23,3600000,48.3,0.1,4-01519-0028,75-06 WOODSIDE AVENUE,ELMHURST,D1-ELEVATOR,74,1962,52553,845361,16.09,3350000,64,0.65
4-02500-7501,203-R1,55-36 69 PLACE,ELMHURST,R4-ELEVATOR,12,1988,11782,153166,13,559008,47.4,4-03068-0058,66-52 79 STREET,MIDDLE VILLAGE,C1-WALK-UP,19,1973,18480,295000,15.96,1170000,63,1.4,4-01855-0013,90-32 53 AVENUE,ELMHURST,C1-WALK-UP,32,1975,16900,251142,14.86,917000,54,1.4
4-02756-7501,153-R1,62-36 59 DRIVE,MASPETH,R4-ELEVATOR,11,1987,9765,166005,17,657003,67,4-02016-0046,111-88 43 AVENUE,CORONA,D7-ELEVATOR,24,1988,15000,223752,14.92,817000,54,3.35,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,3.85
4-02784-7501,175-R1,61-12 69 STREET,MASPETH,R2-WALK-UP,37,1987,35316,600372,17,2379998,67,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,494807,17.73,1960000,70,1.7,4-00945-0030,19-62 77 STREET,JACKSON HEIGHTS,C1-WALK-UP,17,1989,12896,210651,16.33,834000,65,3.65
4-02796-7501,266-R1,57-15 69 LANE,ELMHURST,R2-WALK-UP,13,1989,10170,162720,16,643998,63,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,264422,13.74,965000,50,1.45,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,352957,17.46,1400000,69,3.1
4-02851-7501,113-R1,87-12 GRAND AVENUE,ELMHURST,R4-ELEVATOR,20,1986,20679,330864,16,1310000,63,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,264422,13.74,965000,50,0.75,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,352957,17.46,1400000,69,2.55
4-02858-7501,133-R1,87-14 57 ROAD,ELMHURST,R4-ELEVATOR,25,1987,20333,335494,16.5,1330002,65,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,264422,13.74,965000,50,1,4-02265-0086,75-10 GRND CNTRL PARKWAY,FOREST HILLS,D3-ELEVATOR,39,1964,20220,352957,17.46,1400000,69,2.25
4-02875-7501,395-R1,85-26 GRAND AVENUE,ELMHURST,R2-WALK-UP,16,1990,12700,222250,17.5,880001,69,4-01349-0016,70-06 WOODSIDE AVENUE,ELMHURST,C1-WALK-UP,23,1961,13772,238224,17.3,943000,68,0.85,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,494807,17.73,1960000,70,1.1
4-02882-7502,425-R1,85-24 57 AVENUE,ELMHURST,R2-WALK-UP,15,2002,12234,244680,20,1060002,87,4-00598-0018,26-39 30 STREET,ASTORIA,C1-WALK-UP,14,1999,10000,197425,19.74,857000,86,3.4,4-03166-0067,68-12 AUSTIN STREET,REGO PARK,D7-ELEVATOR,17,1998,16949,389827,23,1690000,100,1.35
4-02885-7501,569-R1,60-70 WOODHAVEN BOULEVARD,MIDDLE VILLAGE,R4-ELEVATOR,46,2007,38062,1141860,30,5469999,144,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1281157,22.24,5560000,97,0.95,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,1.1
4-02891-7502,527-R1,84-32 GRAND AVENUE,ELMHURST,R4-ELEVATOR,21,2006,18328,549840,30,2629997,143,4-02236-0010,110-06 72 AVENUE,FOREST HILLS,D8-ELEVATOR,18,1996,12442,435739,35,2090000,168,2.3,,,,,,,,,,,,
