MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-01522-0030,"181 93 STREET
New York, NY
(40.619391819962885, -74.03605958722136)",UPPER EAST SIDE (79-96),D4-ELEVATOR,41,1928,38094,1333290,35,6210000,163,1-01391-0002,"952 5 AVENUE
New York, NY
(40.77532943026469, -73.96490422843222)",UPPER EAST SIDE (59-79),D3-ELEVATOR,38,1923,39030,1719463,44.1,8440000,216,0.9,,,,,,,,,,,,
1-01522-0041,"170 94 STREET
New York, NY
(40.61863642445155, -74.03629280885383)",UPPER EAST SIDE (79-96),D4-ELEVATOR,42,1928,31620,1106700,35,5160000,163,1-01412-0012,"117 77 STREET
New York, NY
(40.63119988792541, -74.03323861821623)",UPPER EAST SIDE (59-79),D3-ELEVATOR,40,1929,29500,1405566,47.6,6900000,234,0.8,1-01509-0064,"108 81 STREET
New York, NY
(40.628474254294446, -74.03545348854057)",UPPER EAST SIDE (79-96),D3-ELEVATOR,20,1922,32383,1125344,34.8,5240000,162,0.65
1-01522-0044,"152 94 STREET
New York, NY
(40.61867189470992, -74.03645636615633)",UPPER EAST SIDE (79-96),D4-ELEVATOR,105,1938,131549,3814921,29,17800000,135,1-01559-0033,"420 80 STREET
New York, NY
(40.626892037351936, -74.02601348075125)",UPPER EAST SIDE (79-96),D6-ELEVATOR,157,1961,137238,4638843,33.8,21600000,157,0.8,1-01438-0049,"1218 2 AVENUE
New York, NY
(40.76359913278134, -73.962156714515)",UPPER EAST SIDE (59-79),D9-ELEVATOR,105,1996,142209,9297636,65,45600000,321,1.55
1-01522-0050,"1435 LEXINGTON AVENUE
New York, NY
(40.78429253267552, -73.95206632134625)",UPPER EAST SIDE (79-96),D4-ELEVATOR,73,1925,116270,3604370,31,16800000,144,1-01496-0021,"1125 MADISON AVENUE
New York, NY
(40.779768942868145, -73.95960263995181)",UPPER EAST SIDE (79-96),D6-ELEVATOR,41,1922,113052,5752383,51,28200000,249,0.5,1-01508-0001,"903 PARK AVENUE
New York, NY
(40.775731914748114, -73.96024547797771)",UPPER EAST SIDE (79-96),D3-ELEVATOR,70,1913,113281,3205420,28.3,13300000,117,0.7
1-01522-0059,"130 94 STREET
New York, NY
(40.618715247247515, -74.03665626952416)",UPPER EAST SIDE (79-96),D4-ELEVATOR,45,1923,50643,1772505,35,8260000,163,1-01448-0045,"310 74 STREET
New York, NY
(40.63205979970874, -74.02723300411468)",UPPER EAST SIDE (59-79),D1-ELEVATOR,60,1938,46932,1292313,27.5,5350000,114,1.05,1-01509-0006,"107 80 STREET
New York, NY
(40.6293330121447, -74.03551162958813)",UPPER EAST SIDE (79-96),D3-ELEVATOR,33,1925,52272,2328852,44.6,11400000,218,0.65
1-01523-0001,"1197 PARK AVENUE
New York, NY
(40.785380712331005, -73.95326241964523)",UPPER EAST SIDE (79-96),D4-ELEVATOR,149,1961,210988,6751616,32,31400000,149,1-01561-0001,"1562 1 AVENUE
New York, NY
(40.77385140391539, -73.95158068745047)",UPPER EAST SIDE (79-96),D6-ELEVATOR,205,1964,210428,5417988,25.7,22400000,106,0.8,1-01557-0025,"345 94 STREET
New York, NY
(40.61730657790747, -74.03197492911015)",UPPER EAST SIDE (79-96),D7-ELEVATOR,212,1998,207037,7281014,35.2,33900000,164,0.35
1-01523-0014,"1450 LEXINGTON AVENUE
New York, NY
(40.78473320046987, -73.95175155863603)",UPPER EAST SIDE (79-96),D4-ELEVATOR,47,1928,67882,2165435,31.9,10100000,149,1-01387-0056,"900 MADISON AVENUE
New York, NY
(40.772241617482905, -73.96508850433054)",UPPER EAST SIDE (59-79),D6-ELEVATOR,65,1939,66731,2882037,43.2,14100000,211,1.15,1-01530-0019,"245 84 STREET
New York, NY
(40.786972274390614, -73.97730793878692)",UPPER EAST SIDE (79-96),D7-ELEVATOR,83,1986,69000,2309430,33.5,10800000,157,0.55
1-01523-0059,"1466 LEXINGTON AVENUE
New York, NY
(40.78504796318015, -73.95153572134899)",UPPER EAST SIDE (79-96),D4-ELEVATOR,32,1920,21408,815858,38.1,4010000,187,1-01512-0056,"130 84 STREET
New York, NY
(40.78551387886958, -73.97403426698973)",UPPER EAST SIDE (79-96),D7-ELEVATOR,27,1925,19550,1437324,74,7060000,361,0.55,1-01426-0021,"1349 2 AVENUE
New York, NY
(40.76828460055401, -73.95872130436311)",UPPER EAST SIDE (59-79),D9-ELEVATOR,41,1950,21330,689253,32.3,3210000,150,1.2
1-01524-0044,"166 96 STREET
New York, NY
(40.6164961463789, -74.03608195018086)",UPPER EAST SIDE (79-96),D4-ELEVATOR,65,1928,62789,2197615,35,10200000,162,1-01393-0040,"74 79 STREET
New York, NY
(40.6303893419358, -74.03609222053628)",UPPER EAST SIDE (59-79),D3-ELEVATOR,42,1899,62472,3219139,52,15800000,253,0.9,1-01517-0043,"16O 89 STREET
New York, NY
(40.623161516490065, -74.03962316739162)",UPPER EAST SIDE (79-96),D3-ELEVATOR,51,1938,64272,1688719,26.3,6990000,109,0.35
1-01525-0001,"1391 3 AVENUE
New York, NY
(40.77467878018234, -73.95698561284655)",UPPER EAST SIDE (79-96),D4-ELEVATOR,177,1963,293303,8593777,29.3,40000000,136,1-01560-0001,"1540 1 AVENUE
New York, NY
(40.77336577001955, -73.95193142304186)",UPPER EAST SIDE (79-96),D6-ELEVATOR,314,1980,302049,13041460,43.2,64000000,212,0.3,1-01570-0021,"1731 YORK AVENUE
New York, NY
(40.77868975643298, -73.94511456205976)",UPPER EAST SIDE (79-96),D7-ELEVATOR,267,1986,279945,11802904,42.2,57900000,207,0.65
