NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,7,$485000.00,$705714.00,$730000.00,$825000.00
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,157,$150000.00,$587887.00,$585000.00,$999000.00
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,165,$150000.00,$698259.00,$720000.00,$1350000.00
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,63,$175000.00,$816215.00,$810000.00,$1650000.00
JAMAICA                  ,01 ONE FAMILY HOMES                        ,68,$155000.00,$513633.00,$481500.00,$990000.00
JAMAICA                  ,02 TWO FAMILY HOMES                        ,93,$156000.00,$640787.00,$650000.00,$1100000.00
JAMAICA                  ,03 THREE FAMILY HOMES                      ,13,$530000.00,$833174.00,$875000.00,$945000.00
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,5,$340000.00,$458000.00,$480000.00,$500000.00
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,5,$509000.00,$588800.00,$550000.00,$700000.00
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,59,$250000.00,$962043.00,$880000.00,$2225000.00
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,6,$580000.00,$805500.00,$865000.00,$893000.00
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,2,$700000.00,$848943.00,$848943.00,$997885.00
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,43,$165592.00,$587184.00,$583000.00,$800000.00
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,32,$550000.00,$703819.00,$695000.00,$900000.00
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,8,$485000.00,$776250.00,$815000.00,$910000.00
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,31,$340000.00,$764603.00,$738000.00,$1650000.00
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,21,$302000.00,$665771.00,$690000.00,$962500.00
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,8,$400000.00,$830250.00,$933500.00,$999999.00
LAURELTON                ,01 ONE FAMILY HOMES                        ,249,$156000.00,$430175.00,$440000.00,$690000.00
LAURELTON                ,02 TWO FAMILY HOMES                        ,92,$225000.00,$528396.00,$532500.00,$800000.00
LAURELTON                ,03 THREE FAMILY HOMES                      ,5,$365000.00,$495328.00,$503000.00,$618000.00
LITTLE NECK              ,01 ONE FAMILY HOMES                        ,111,$217500.00,$794049.00,$715000.00,$2575000.00
LITTLE NECK              ,02 TWO FAMILY HOMES                        ,22,$280000.00,$841476.00,$824250.00,$1476462.00
LITTLE NECK              ,03 THREE FAMILY HOMES                      ,2,$795500.00,$952750.00,$952750.00,$1110000.00
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,10,$300000.00,$576630.00,$530000.00,$1050000.00
