DBN,DISTRICT,SCHOOL,PRINCIPAL,2008-09 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2007-08 PROGRESS REPORT GRADE,MOST RECENT QUALITY REVIEW SCORE,2008-09 STATE ACCOUNTABILITY STATUS
02M198,2,P.S. 198 ISADOR E. IDA STRAUS,Sharon Jeffrey Roebuck,ICI,ESMS,Elementary,45.61,B,62.5,6.4,D,15.8,B,38,B,2.3,B,Well Developed (2007-08),In Good Standing
02M212,2,P.S. 212 MIDTOWN WEST,Dean Ketchum,ICI,ESMS,Elementary,25.37,A,96.3,12.8,A,19.7,A,60,A,3.8,A,Well Developed (2007-08),In Good Standing
02M217,2,P.S./I.S. 217 ROOSEVELT ISLAND,Mandana Beckman,ESO,ESMS,K-8,35.5,B,66,8.3,B,15.4,B,40.8,A,1.5,C,Proficient (2008-09),In Good Standing
02M225,2,ELLA BAKER SCHOOL,Laura Garcia,ESO,ESMS,K-8,42.92,A,68.7,11.3,A,12.2,C,40.7,B,4.5,C,Well Developed (2008-09),In Good Standing
02M234,2,P.S. 234 INDEPENDENCE SCHOOL,Lisa Ripperger,ICI,ESMS,Elementary,10.27,A,93.6,10.9,A,21.9,A,60,A,0.8,A,Proficient (2007-08),In Good Standing
02M255,2,M.S. 255 SALK SCHOOL OF SCIENCE,Rhonda Perry,ESO,ESMS,Middle,3.86,B,66.5,11.7,A,22.4,A,29.4,C,3,B,Well Developed (2007-08),In Good Standing
02M260,2,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,Jeanne Marie Fraino,ESO,ESMS,Middle,3.54,A,90.7,10.7,A,24,A,51.5,A,4.5,A,Proficient (2007-08),In Good Standing
02M288,2,FOOD AND FINANCE HIGH SCHOOL,Roger Turgeon,ESO,HS,High School,2.31,A,85.7,7.7,C,25,A,45,A,8,A,Proficient (2007-08),In Good Standing
02M289,2,I.S. 289,Ellen Foote,ESO,ESMS,Middle,3.69,B,65.9,11,A,19.7,A,35.2,B,0,A,Well Developed (2007-08),In Good Standing
02M290,2,P.S. 290 MANHATTAN NEW SCHOOL,Sharon Hill,ICI,ESMS,Elementary,12.96,A,71.6,13.3,A,18.6,A,38.9,B,0.8,A,Well Developed (2007-08),In Good Standing
02M294,2,ESSEX STREET ACADEMY,Alex Shub,ESO,HS,High School,2.3,A,95.1,12,A,25,A,49.1,A,9,A,Well Developed (2007-08),In Good Standing
02M296,2,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,Matthew Corallo,ESO,HS,High School,2.39,A,105.3,6.5,D,24.8,A,60,A,14,A,Underdeveloped with Proficient Features (2008-09),In Good Standing
02M298,2,PACE HIGH SCHOOL,Yvette Sy,ESO,HS,High School,2.82,A,73.3,10.7,A,16.9,B,39.7,B,6,A,Well Developed (2007-08),In Good Standing
02M300,2,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",Mathew Willoughby,ESO,HS,High School,2.51,A,71.6,7.6,C,19.4,A,38.6,B,6,B,Proficient (2008-09),In Good Standing
02M303,2,"FACING HISTORY SCHOOL, THE",Gillian Smith,ESO,HS,High School,2,A,73.4,10.8,A,12.4,C,40.2,B,10,,Proficient (2008-09),In Good Standing
02M305,2,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",Joaquin Tamayo,ESO,HS,High School,2.46,B,57.4,5.5,D,13.9,B,35,B,3,,Proficient (2008-09),In Good Standing
02M308,2,LOWER MANHATTAN ARTS ACADEMY,John Wenk,ESO,HS,High School,2.09,A,94.7,11.4,A,20.2,A,52.1,A,11,,Well Developed (2008-09),In Good Standing
02M312,2,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,Megan Adams,ESO,ESMS,Middle,3.99,A,85,11.3,A,22.8,A,50.9,A,0,A,Underdeveloped with Proficient Features (2008-09),In Good Standing
02M313,2,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",Elijah Hawkes,ESO,HS,Transfer School,2.34,B,64.1,9.3,B,23.9,A,28.4,C,2.5,,Well Developed (2008-09),In Good Standing
02M316,2,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",Patricia Minaya,ESO,HS,High School,2.28,A,74.4,10.1,B,19.1,A,39.2,B,6,,Proficient (2008-09),In Good Standing
02M347,2,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,Rebecca Marshall,ESO,ESMS,Elementary,63.68,A,82.5,6.9,C,12.6,C,60,A,3,D,Proficient (2008-09),In Good Standing
02M374,2,GRAMERCY ARTS HIGH SCHOOL,Denise DiCarlo,ESO,HS,High School,2.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,,,In Good Standing
02M376,2,NYCISCHOOL,Mary Moss/ Alisa Berger,ESO,HS,High School,3.19,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,Pending
02M400,2,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,Shirley H. Matthews,ICI,HS,High School,2.68,B,62.1,9,B,14.4,B,37.7,B,1,B,Well Developed (2007-08),In Good Standing
02M407,2,INSTITUTE FOR COLLABORATIVE EDUCATION,John Pettinato,ESO,ESMS,Middle,3.61,B,67.3,13.2,A,16.7,B,35.9,B,1.5,C,Well Developed (2008-09),In Good Standing
02M407,2,INSTITUTE FOR COLLABORATIVE EDUCATION,JOHN PETTINATO,ESO,HS,High School,2.73,A,81.1,14.7,A,11.2,C,51.2,A,4,A,Well Developed (2008-09),In Good Standing
02M408,2,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Keith Ryan,CLSO,ESMS,Middle,3.82,B,64.4,8.8,B,18.8,A,36.8,B,0,A,Proficient (2007-08),In Good Standing
02M408,2,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Keith Ryan,CLSO,HS,High School,3.13,A,78.2,10.7,A,19.9,A,47.6,A,0,A,Proficient (2007-08),In Good Standing
02M411,2,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Alicia Perez-Katz,ESO,HS,High School,3.47,A,83.6,12.1,A,22.5,A,49,A,0,A,Well Developed (2007-08),In Good Standing
02M412,2,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,Brooke Jackson,ESO,HS,High School,3.31,A,79.8,9.6,B,23.7,A,44.5,A,2,A,Proficient (2007-08),In Good Standing
02M413,2,SCHOOL OF THE FUTURE HIGH SCHOOL,Stacy Paige Goldstein,CLSO,ESMS,Middle,3.54,A,78.6,9.7,B,22.5,A,44.9,A,1.5,B,Well Developed (2007-08),In Good Standing
02M413,2,SCHOOL OF THE FUTURE HIGH SCHOOL,STACY PAIGE GOLDSTEIN,CLSO,HS,High School,2.75,A,81.5,10.2,B,24.5,A,44.8,A,2,A,Well Developed (2007-08),In Good Standing
02M414,2,N.Y.C. MUSEUM SCHOOL,Darlene Miller,ICI,HS,High School,2.79,A,79.3,5.4,D,20,A,47.9,A,6,A,Proficient (2007-08),In Good Standing
02M416,2,ELEANOR ROOSEVELT HIGH SCHOOL,Dimitri Saliani,ESO,HS,High School,3.51,A,85.6,11.8,A,22.3,A,51.5,A,0,A,Well Developed (2008-09),In Good Standing
02M418,2,MILLENNIUM HIGH SCHOOL,Robert Rhodes,New Visions,HS,High School,3.19,A,80,13.1,A,21.2,A,43.7,A,2,A,Well Developed (2007-08),In Good Standing
02M419,2,LANDMARK HIGH SCHOOL,Trevor Naidoo,ESO,HS,High School,2.08,C,46.8,8.5,B,10.2,D,27.1,C,1,B,Well Developed (2007-08),In Good Standing
02M420,2,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,Marta Jimenez,CLSO,HS,High School,2.86,C,45.3,6.7,C,10.7,D,26.9,C,1,B,Well Developed (2007-08),In Good Standing
02M425,2,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Lawrence Pendergast,ESO,HS,High School,2.33,C,51.7,9.6,B,10,D,30.1,C,2,C,Underdeveloped with Proficient Features (2008-09),In Good Standing
02M429,2,LEGACY SCHOOL FOR INTEGRATED STUDIES,Gregory Rodrigues,ICI,HS,High School,1.96,D,43.1,7.6,C,9.8,D,25.7,D,0,C,Proficient (2008-09),In Good Standing
02M439,2,MANHATTAN VILLAGE ACADEMY,Hector Geager,CLSO,HS,High School,2.85,A,93.7,13,A,19,A,57.7,A,4,A,Well Developed (2007-08),In Good Standing
02M440,2,BAYARD RUSTIN EDUCATIONAL COMPLEX,Nancy Amling,ESO,HS,High School,,,,,,,,,,,,,
