NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        ,23,1,$1290000.00,$1290000.00,$1290000.00,$1290000.00
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        ,31,3,$1800000.00,$4916367.00,$1970000.00,$10979100.00
DOWNTOWN-METROTECH       ,02 TWO FAMILY HOMES                        ,4,1,$550000.00,$550000.00,$550000.00,$550000.00
DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        ,1972,50,$253333.00,$623627.00,$619500.00,$1140000.00
DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        ,2272,46,$361440.00,$727288.00,$731500.00,$1065000.00
DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      ,720,23,$150000.00,$760696.00,$810000.00,$1175000.00
EAST NEW YORK            ,01 ONE FAMILY HOMES                        ,3179,30,$155000.00,$300004.00,$295000.00,$525000.00
EAST NEW YORK            ,02 TWO FAMILY HOMES                        ,5961,150,$160000.00,$402949.00,$418750.00,$1200000.00
EAST NEW YORK            ,03 THREE FAMILY HOMES                      ,1987,79,$153421.00,$363551.00,$350000.00,$630000.00
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        ,2040,36,$162500.00,$654700.00,$600000.00,$1600000.00
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        ,2045,42,$300000.00,$569478.00,$538286.00,$1083500.00
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      ,558,10,$275000.00,$592590.00,$611250.00,$743000.00
FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        ,6672,116,$150000.00,$369598.00,$377500.00,$712500.00
FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        ,5299,84,$150000.00,$417007.00,$406288.00,$1800000.00
FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      ,1020,20,$170000.00,$500321.00,$526347.00,$725000.00
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        ,818,21,$205000.00,$760319.00,$850000.00,$1290000.00
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        ,829,9,$151500.00,$517539.00,$535000.00,$998000.00
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      ,171,5,$550000.00,$667123.00,$694500.00,$715000.00
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES                        ,970,12,$211000.00,$327500.00,$320000.00,$490000.00
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES                        ,2009,39,$154100.00,$414696.00,$410000.00,$750000.00
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES                      ,674,10,$200000.00,$449755.00,$468050.00,$626400.00
FLATLANDS                ,01 ONE FAMILY HOMES                        ,1771,25,$187000.00,$365605.00,$375000.00,$520000.00
FLATLANDS                ,02 TWO FAMILY HOMES                        ,1906,34,$264181.00,$460627.00,$473500.00,$600000.00
FLATLANDS                ,03 THREE FAMILY HOMES                      ,162,2,$510000.00,$520350.00,$520350.00,$530700.00
FORT GREENE              ,01 ONE FAMILY HOMES                        ,82,5,$820000.00,$1404000.00,$1100000.00,$2700000.00
FORT GREENE              ,02 TWO FAMILY HOMES                        ,476,13,$375000.00,$1234404.00,$1050000.00,$2395000.00
FORT GREENE              ,03 THREE FAMILY HOMES                      ,447,3,$324480.00,$429827.00,$340000.00,$625000.00
GERRITSEN BEACH          ,01 ONE FAMILY HOMES                        ,1627,31,$180000.00,$363148.00,$385000.00,$530000.00
GERRITSEN BEACH          ,02 TWO FAMILY HOMES                        ,248,8,$280000.00,$370875.00,$361500.00,$480000.00
GOWANUS                  ,02 TWO FAMILY HOMES                        ,555,11,$300000.00,$1052511.00,$1086312.00,$1700000.00
GOWANUS                  ,03 THREE FAMILY HOMES                      ,281,7,$375300.00,$1037900.00,$1050000.00,$1810000.00
GRAVESEND                ,01 ONE FAMILY HOMES                        ,1681,58,$150000.00,$483383.00,$487500.00,$820000.00
GRAVESEND                ,02 TWO FAMILY HOMES                        ,4158,120,$240000.00,$597386.00,$594000.00,$1300000.00
GRAVESEND                ,03 THREE FAMILY HOMES                      ,1636,33,$180000.00,$747085.00,$750000.00,$1188000.00
GREENPOINT               ,01 ONE FAMILY HOMES                        ,207,4,$550000.00,$734750.00,$782000.00,$825000.00
GREENPOINT               ,02 TWO FAMILY HOMES                        ,1217,18,$440000.00,$799386.00,$715000.00,$1600000.00
GREENPOINT               ,03 THREE FAMILY HOMES                      ,992,25,$185000.00,$688920.00,$760000.00,$1030000.00
KENSINGTON               ,01 ONE FAMILY HOMES                        ,283,6,$375000.00,$563950.00,$589850.00,$729000.00
KENSINGTON               ,02 TWO FAMILY HOMES                        ,643,9,$300000.00,$656125.00,$620000.00,$950000.00
KENSINGTON               ,03 THREE FAMILY HOMES                      ,252,4,$570000.00,$697500.00,$700000.00,$820000.00
MADISON                  ,01 ONE FAMILY HOMES                        ,2899,66,$250000.00,$559106.00,$552500.00,$1250000.00
MADISON                  ,02 TWO FAMILY HOMES                        ,1695,38,$350000.00,$596029.00,$536000.00,$1125000.00
MADISON                  ,03 THREE FAMILY HOMES                      ,218,5,$300000.00,$669600.00,$700000.00,$950000.00
MANHATTAN BEACH          ,01 ONE FAMILY HOMES                        ,739,18,$320000.00,$1090583.00,$1017500.00,$3250000.00
MANHATTAN BEACH          ,02 TWO FAMILY HOMES                        ,384,7,$710000.00,$1274714.00,$1300000.00,$2150000.00
MARINE PARK              ,01 ONE FAMILY HOMES                        ,4264,127,$170000.00,$439692.00,$445000.00,$703500.00
MARINE PARK              ,02 TWO FAMILY HOMES                        ,1589,32,$306000.00,$509806.00,$509000.00,$710800.00
MARINE PARK              ,03 THREE FAMILY HOMES                      ,117,1,$462500.00,$462500.00,$462500.00,$462500.00
MIDWOOD                  ,01 ONE FAMILY HOMES                        ,3489,58,$307000.00,$638043.00,$617500.00,$1500000.00
MIDWOOD                  ,02 TWO FAMILY HOMES                        ,1669,26,$246890.00,$660184.00,$643750.00,$1250000.00
MIDWOOD                  ,03 THREE FAMILY HOMES                      ,320,3,$420000.00,$678333.00,$735000.00,$880000.00
MILL BASIN               ,01 ONE FAMILY HOMES                        ,1268,32,$448627.00,$910266.00,$800000.00,$2050000.00
MILL BASIN               ,02 TWO FAMILY HOMES                        ,673,18,$499000.00,$662806.00,$662500.00,$860000.00
NAVY YARD                ,02 TWO FAMILY HOMES                        ,46,4,$175000.00,$271250.00,$267500.00,$375000.00
NAVY YARD                ,03 THREE FAMILY HOMES                      ,30,2,$375000.00,$517500.00,$517500.00,$660000.00
OCEAN HILL               ,01 ONE FAMILY HOMES                        ,194,7,$170314.00,$297545.00,$279000.00,$585000.00
OCEAN HILL               ,02 TWO FAMILY HOMES                        ,2269,66,$160000.00,$375302.00,$383599.00,$777314.00
OCEAN HILL               ,03 THREE FAMILY HOMES                      ,1364,93,$162000.00,$503947.00,$568729.00,$741687.00
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES                        ,2535,46,$157000.00,$790445.00,$617500.00,$3475000.00
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES                        ,2555,48,$150000.00,$719565.00,$652500.00,$2282000.00
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES                      ,626,8,$615000.00,$724563.00,$711500.00,$880000.00
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES                        ,1271,30,$250000.00,$1749866.00,$710000.00,$10260000.00
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES                        ,2288,41,$250000.00,$722682.00,$558000.00,$5005473.00
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES                      ,575,15,$585493.00,$703395.00,$653000.00,$863000.00
OLD MILL BASIN           ,01 ONE FAMILY HOMES                        ,2329,48,$235000.00,$358203.00,$360995.00,$485000.00
OLD MILL BASIN           ,02 TWO FAMILY HOMES                        ,1270,38,$200000.00,$445197.00,$449525.00,$635000.00
OLD MILL BASIN           ,03 THREE FAMILY HOMES                      ,167,5,$250000.00,$440117.00,$510000.00,$638087.00
PARK SLOPE               ,01 ONE FAMILY HOMES                        ,388,9,$1300000.00,$2137778.00,$2275000.00,$3525000.00
PARK SLOPE               ,02 TWO FAMILY HOMES                        ,1838,25,$538931.00,$1705124.00,$1650000.00,$3150000.00
PARK SLOPE               ,03 THREE FAMILY HOMES                      ,1192,13,$456615.00,$1498065.00,$1620824.00,$2200000.00
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES                        ,246,8,$475000.00,$806750.00,$754500.00,$1485000.00
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES                        ,1052,15,$250000.00,$979786.00,$990000.00,$1595000.00
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES                      ,342,7,$675000.00,$979143.00,$995000.00,$1185000.00
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES                        ,72,3,$631383.00,$1337128.00,$1180000.00,$2200000.00
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES                        ,450,9,$300000.00,$885222.00,$970000.00,$1549000.00
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES                      ,239,3,$670000.00,$970000.00,$989999.00,$1250000.00
RED HOOK                 ,01 ONE FAMILY HOMES                        ,65,1,$955000.00,$955000.00,$955000.00,$955000.00
RED HOOK                 ,02 TWO FAMILY HOMES                        ,180,5,$372487.00,$671397.00,$715000.00,$980000.00
SEAGATE                  ,01 ONE FAMILY HOMES                        ,300,9,$310000.00,$539263.00,$525000.00,$855000.00
SEAGATE                  ,02 TWO FAMILY HOMES                        ,420,8,$340000.00,$442013.00,$422500.00,$655000.00
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES                        ,2353,52,$150000.00,$495536.00,$470750.00,$1200000.00
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES                        ,3564,75,$191953.00,$540170.00,$525000.00,$955000.00
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES                      ,737,7,$150669.00,$536068.00,$550000.00,$890000.00
SPRING CREEK             ,01 ONE FAMILY HOMES                        ,123,49,$204300.00,$210669.00,$205118.00,$238595.00
SPRING CREEK             ,02 TWO FAMILY HOMES                        ,90,29,$357000.00,$369161.00,$357000.00,$406620.00
SPRING CREEK             ,03 THREE FAMILY HOMES                      ,19,11,$489952.00,$500905.00,$489952.00,$550192.00
SUNSET PARK              ,01 ONE FAMILY HOMES                        ,349,14,$190000.00,$737725.00,$562500.00,$2810150.00
SUNSET PARK              ,02 TWO FAMILY HOMES                        ,4349,114,$180000.00,$697955.00,$707500.00,$1650000.00
SUNSET PARK              ,03 THREE FAMILY HOMES                      ,1501,36,$171996.00,$678028.00,$772500.00,$990000.00
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES                        ,32,2,$386120.00,$619060.00,$619060.00,$852000.00
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES                        ,302,2,$850000.00,$861250.00,$861250.00,$872500.00
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES                      ,534,9,$300000.00,$679278.00,$685000.00,$999500.00
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES                        ,241,4,$499999.00,$705000.00,$665000.00,$990000.00
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES                        ,988,10,$300000.00,$770775.00,$716500.00,$1683000.00
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES                      ,550,4,$750000.00,$885000.00,$920000.00,$950000.00
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES                        ,201,5,$500000.00,$778320.00,$880000.00,$1100000.00
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES                        ,254,4,$550000.00,$794750.00,$772000.00,$1085000.00
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES                      ,143,1,$1325000.00,$1325000.00,$1325000.00,$1325000.00
WINDSOR TERRACE          ,01 ONE FAMILY HOMES                        ,506,15,$302000.00,$840633.00,$900000.00,$1450000.00
WINDSOR TERRACE          ,02 TWO FAMILY HOMES                        ,1014,13,$200000.00,$732853.00,$859000.00,$1150000.00
WINDSOR TERRACE          ,03 THREE FAMILY HOMES                      ,254,1,$1500000.00,$1500000.00,$1500000.00,$1500000.00
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES                        ,117,3,$280000.00,$393667.00,$441000.00,$460000.00
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES                        ,467,5,$254500.00,$422740.00,$445200.00,$520000.00
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES                      ,326,6,$392000.00,$518667.00,$507500.00,$645000.00
