DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
27Q090,27,PS 090 HORACE MANN,KNLSO5,ESMS,Elementary School, 55.79 ,C,47.63,0.534,0.739,0.304,0.75,Well-Developed
27Q096,27,PS 096,KNLSO5,ESMS,Elementary School, 59.12 ,B,58.42,0.416,0.613,0.587,1.5,Proficient
27Q097,27,PS 097 FOREST PARK,KNLSO5,ESMS,Elementary School, 66.83 ,B,54.1,0.493,0.82,0.402,0,Proficient
27Q100,27,PS 100 GLEN MORRIS,ESO21,ESMS,Elementary School, 52.66 ,A,65.16,0.435,0.634,0.584,7.5,Proficient
27Q104,27,PS 104 THE BAYS WATER,KNLSO1,ESMS,Elementary School, 71.13 ,C,43.13,0.497,0.404,0.387,2.25,Proficient
27Q105,27,PS 105 THE BAY SCHOOL,KNLSO4,ESMS,K-8 School, 72.12 ,D,33.47,0.619,0.437,0.202,0,Well-Developed
27Q106,27,PS 106,KNLSO7,ESMS,Elementary School, 70.47 ,C,42.99,0.205,0.787,0.283,0.75,Proficient
27Q108,27,PS 108 CAPT. VINCENT G. FOWLER,ESO21,ESMS,Elementary School, 40.59 ,A,66.26,0.573,0.639,0.591,6,Well-Developed
27Q114,27,PS/MS 114 BELLE HARBOR,KNLSO4,ESMS,K-8 School, 11.64 ,B,57.7,0.448,0.759,0.486,1.5,Proficient
27Q123,27,PS 123,ICI18,ESMS,Elementary School, 69.04 ,D,37.49,0.356,0.355,0.336,3,Undeveloped
27Q124,27,PS 124 OSMOND A CHURCH,ESO21,ESMS,K-8 School, 52.49 ,C,48.89,0.701,0.83,0.204,2.25,Well-Developed
27Q137,27,MS 137 AMERICA'S SCHL OF HEROES,KNLSO2,ESMS,Middle School, 3.33 ,B,60.97,0.478,0.65,0.501,6.75,Well-Developed
27Q146,27,PS 146 HOWARD BEACH,KNLSO1,ESMS,Elementary School, 29.86 ,B,50.38,0.451,0.414,0.553,0.75,Well-Developed
27Q155,27,PS 155,ICI18,ESMS,Elementary School, 56.24 ,F,29.42,0.422,0.525,0.133,0,Proficient
27Q183,27,PS 183 DR. RICHARD R. GREEN,KNLSO4,ESMS,K-8 School, 69.56 ,C,39.47,0.388,0.42,0.342,2.25,Well-Developed
27Q197,27,PS 197 THE OCEAN SCHOOL,KNLSO4,ESMS,Elementary School, 77.33 ,B,56.15,0.446,0.385,0.553,7.5,Proficient
27Q202,27,JHS 202 ROBERT H GODDARD,KNLSO2,ESMS,Middle School, 3.29 ,B,52.7,0.468,0.699,0.408,2.25,Proficient
27Q207,27,PS 207 ROCKWOOD PARK,KNLSO1,ESMS,K-8 School, 21.64 ,B,57.06,0.506,0.664,0.482,3,Proficient
27Q210,27,JHS 210 ELIZABETH BLACKWELL,KNLSO2,ESMS,Middle School, 3.29 ,C,48.1,0.281,0.617,0.434,1.5,Proficient
27Q215,27,PS 215 LUCRETIA MOTT,KNLSO4,ESMS,Elementary School, 74.05 ,B,53.3,0.452,0.488,0.484,5.25,Proficient
27Q223,27,PS 223 LYNDON B JOHNSON,ESO21,ESMS,Elementary School, 66.70 ,C,48.21,0.529,0.519,0.422,1.5,Proficient
27Q225,27,PS 225 SEASIDE,KNLSO4,ESMS,K-8 School, 60.34 ,D,38.04,0.084,0.345,0.481,0,Proficient
