MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00078-7506,1329-R1,102 FULTON STREET,FINANCIAL,R4-ELEVATOR,14,1910,22613,824000,36.4,4130002,183,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,508656,31,2440000,149,0.3,,,,,,,,,,,,
1-00078-7507,1627-R1,111 WILLIAM STREET,FINANCIAL,R4-ELEVATOR,73,1909,89994,3275000,36.4,16400003,182,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0.1,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1607641,27,7700000,129,0
1-00079-7502,1543-R1,130 FULTON STREET,FINANCIAL,R4-ELEVATOR,21,1900,66930,2435000,36.4,12200002,182,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,1900,58354,1955948,33.5,9370000,161,0.05,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1607641,27,7700000,129,0.1
1-00079-7503,1551-R1,71 NASSAU STREET,FINANCIAL,R4-ELEVATOR,67,1906,66575,2425000,36.4,12200010,183,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1607641,27,7700000,129,0.1,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0
1-00090-7501,1121-R1,15 PARK ROW,SOUTHBRIDGE,R4-ELEVATOR,210,1896,196837,6298784,32,28799999,146,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0.1,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.2
1-00091-7501,1605-R1,119 FULTON STREET,SOUTHBRIDGE,R4-ELEVATOR,19,1919,26528,848896,32,4069999,153,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0.1,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,508656,31,2440000,149,0.3
1-00095-7501,118-R1,117 BEEKMAN STREET,SOUTHBRIDGE,R4-ELEVATOR,22,1983,37170,1300000,35,6230001,168,1-00079-0004,79 NASSAU STREET,FINANCIAL,D6-ELEVATOR,43,1987,30400,1346703,44.3,6750000,222,0.3,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0.3
1-00097-7502,1218-R1,130 BEEKMAN STREET,SOUTHBRIDGE,R4-ELEVATOR,18,1900,23044,795000,34.5,3810002,165,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,2004,40000,1601000,40,8030000,201,0.04,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,1900,15400,654000,42.5,3280000,213,0.04
1-00097-7503,1412-R1,220 FRONT STREET,SOUTHBRIDGE,R4-ELEVATOR,15,1910,25825,960000,37.2,4560000,177,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,628762,25.5,2730000,111,0.3,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,19,1900,14053,517108,36.8,2590000,184,0.04
1-00097-7504,1413-R1,214 FRONT STREET,SOUTHBRIDGE,R4-ELEVATOR,15,1999,20091,742808,37,3530000,176,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1607641,27,7700000,129,0.25,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,2004,40000,1601000,40,8030000,201,0.04
1-00100-7501,1286-R1,150 NASSAU STREET,SOUTHBRIDGE,R4-ELEVATOR,125,1900,168889,5404448,32,25900002,153,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,1920,107243,3956253,36.9,19800000,185,0.2,,,,,,,,,,,,
1-00106-7502,1164-R1,324 PEARL STREET,SOUTHBRIDGE,R4-ELEVATOR,49,1900,37646,1167000,31,5589997,148,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,1900,15400,654000,42.5,3280000,213,0.1,1-00097-0030,36 PECK SLIP,SOUTHBRIDGE,C7-WALK-UP,12,1900,17475,732000,41.9,3670000,210,0.1
1-00132-7501,401-R1,295 GREENWICH STREET,TRIBECA,R4-ELEVATOR,128,1987,115909,4056815,35,19399996,167,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.45,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.04
1-00132-7501,401-R2,275 GREENWICH STREET,TRIBECA,R4-ELEVATOR,133,1987,138016,4830560,35,23100002,167,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.4,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.1
1-00132-7503,1042-R1,71 MURRAY STREET,TRIBECA,R4-ELEVATOR,11,2001,54500,1907500,35,9140000,168,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.1,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,159,1999,139697,6496079,46.5,32600000,233,0.35
1-00134-7503,1148-R1,9 MURRAY STREET,CIVIC CENTER,R4-ELEVATOR,27,1900,59853,1855443,31,8890001,149,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4064024,29.3,19500000,141,0.1,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.25
1-00134-7505,1796-R1,25 MURRAY STREET,CIVIC CENTER,R4-ELEVATOR,75,1930,118046,3895518,33,18700005,158,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4064024,29.3,19500000,141,0.1,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,159,1999,139697,6496079,46.5,32600000,233,0.25
1-00135-7501,25-R1,260 BROADWAY,CIVIC CENTER,R9-CONDOPS,65,1915,112500,3487500,31,13395000,119,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4064024,29.3,19500000,141,0.15,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,159,1999,139697,6496079,46.5,32600000,233,0.25
1-00135-7504,1131-R1,270 BROADWAY,CIVIC CENTER,R4-ELEVATOR,87,1910,217318,7606130,35,36400003,167,1-00126-0027,38 MURRAY STREET,CIVIC CENTER,D5-ELEVATOR,392,1964,620552,20844000,33.6,99800000,161,0.15,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,159,1999,139697,6496079,46.5,32600000,233,0.25
1-00136-7502,1007-R1,38 WARREN STREET,CIVIC CENTER,R4-ELEVATOR,26,1900,50165,1555115,31,7450000,149,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.25,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.25
1-00137-7503,1593-R1,92 WARREN STREET,TRIBECA,R4-ELEVATOR,12,1920,30062,931922,31,4459998,148,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.3,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.3
1-00140-7501,499-R1,165 CHAMBERS STREET,TRIBECA,R4-ELEVATOR,83,1987,89377,3128195,35,14999999,168,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.45,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0
1-00140-7502,594-R1,311 GREENWICH STREET,TRIBECA,R4-ELEVATOR,80,1988,66551,2329285,35,11199991,168,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.45,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0
1-00141-7504,996-R1,166 DUANE STREET,TRIBECA,R4-ELEVATOR,30,1910,90000,3150000,35,15100000,168,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.5,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.04
1-00142-7501,1507-R2,99 WARREN STREET,TRIBECA,R4-ELEVATOR,220,2006,535060,19262160,36,96599995,181,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.5,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.15
1-00142-7502,1629-R1,200 CHAMBERS STREET,TRIBECA,R4-ELEVATOR,311,2005,314373,11317428,36,56800017,181,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0.5,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,1997,130568,4762369,36.5,23900000,183,0.15
1-00143-7501,328-R1,8 JAY STREET,TRIBECA,R9-CONDOPS,13,1915,19882,616342,31,2820000,142,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.25,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.25
1-00144-7502,1597-R1,36 HUDSON STREET,TRIBECA,R4-ELEVATOR,12,1910,27928,865768,31,4150004,149,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.2,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.2
1-00145-7504,668-R1,97 READE STREET,CIVIC CENTER,R4-ELEVATOR,20,1920,24992,774752,31,3709996,148,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.2,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.2
1-00146-7501,715-R1,96 READE STREET,CIVIC CENTER,R4-ELEVATOR,21,1895,26050,807550,31,3870001,149,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.15,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.15
1-00147-7508,1702-R1,52 THOMAS STREET,CIVIC CENTER,R4-ELEVATOR,20,1915,35900,1112900,31,5329998,148,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.15,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.15
1-00147-7509,1816-R1,137 DUANE STREET,CIVIC CENTER,R4-ELEVATOR,19,1915,45510,1410810,31,6760000,149,1-00173-0019,78 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,20200,708000,35,3390000,168,0.15,1-00173-0020,80 LEONARD STREET,CIVIC CENTER,D7-ELEVATOR,11,1910,26815,708000,26.4,3070000,114,0.15
