Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
L23A,Academy for Environmental Leadership,32K403,Academy for Environmental Leadership,Environmental Science,Limited Unscreened,L,127,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K403
L64A,Academy for Health Careers,17K751,Academy for Health Careers,Health Professions,Limited Unscreened,L,128,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K751
L22A,Academy for Young Writers,14K404,Academy for Young Writers,Humanities & Interdisciplinary,Limited Unscreened,L,129,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K404
L42A,Academy of Business and Community Development (ABCD) for Young Men,13K336,Academy of Business and Community Development,Business,Limited Unscreened,L,130,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K336
L24A,Academy of Hospitality and Tourism,17K408,Academy of Hospitality and Tourism,"Hospitality, Travel and Tourism",Limited Unscreened,L,131,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K408
L51A,Academy of Innovative Technology,19K618,Academy of Innovative Technology,Computer Science & Technology,Limited Unscreened,L,132,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K618
K52A,Urban Planning and Design,32K552,Academy of Urban Planning,Humanities & Interdisciplinary,Limited Unscreened,L,133,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K552
K85A,Law and Communication,13K499,ACORN Community High School,Law & Government,Ed. Opt.,E,134,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K499
K85C,Career and Computer Technology Academy,13K499,ACORN Community High School,Computer Science & Technology,Ed. Opt.,E,134,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K499
K85D,Science Academy,13K499,ACORN Community High School,Science & Math,Ed. Opt.,E,134,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K499
K55A,All City Leadership Secondary School,32K554,All City Leadership Secondary School,Humanities & Interdisciplinary,Limited Unscreened,L,136,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K554
L31A,Arts & Media Preparatory,18K589,Arts & Media Preparatory Academy,Humanities & Interdisciplinary,Limited Unscreened,L,137,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K589
K60J,Automotive Service Center Specialist,14K610,Automotive High School,Engineering,Ed. Opt.,E,138,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K610
K60L,"Automotive Business Technology, Computer Repair & Electronics",14K610,Automotive High School,Engineering,Ed. Opt.,E,138,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K610
K60P,Auto Body Repair Technician,14K610,Automotive High School,Engineering,Ed. Opt.,E,138,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K610
K60R,Pre-Engineering,14K610,Automotive High School,Engineering,Limited Unscreened,L,138,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K610
K95A,Technology,13K595,Bedford Academy High School,Computer Science & Technology,Screened,S,140,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K595
K95B,Health Professions,13K595,Bedford Academy High School,Health Professions,Screened,S,140,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K595
K71B,Humanities,13K670,Benjamin Banneker Academy,Humanities & Interdisciplinary,Screened,S,141,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K670
K71E,Media Communication,13K670,Benjamin Banneker Academy,Communications,Screened,S,141,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K670
K71J,Pre-Engineering,13K670,Benjamin Banneker Academy,Engineering,Screened,S,141,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K670
K71K,Pre-Medicine,13K670,Benjamin Banneker Academy,Health Professions,Screened,S,141,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K670
K10S,Institute for Computer and Technology,16K455,Boys and Girls High School,Computer Science & Technology,Screened,S,143,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K455
K10Z,Zoned,16K455,Boys and Girls High School,Zoned,Zoned,Z,143,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K455
L57A,Brooklyn Academy of Global Finance,16K688,Brooklyn Academy of Global Finance,Business,Limited Unscreened,L,145,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K688
K41A,Science Exploration Program,17K547,Brooklyn Academy of Science and the Environment,Science & Math,Limited Unscreened,L,146,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K547
K84X,Brooklyn College Academy,22K555,Brooklyn College Academy,Humanities & Interdisciplinary,Screened,S,147,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K555
K93X,Brooklyn Collegiate: A College Board School,23K493,Brooklyn Collegiate: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,149,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K493
L25A,"Brooklyn Community High School of Communications, Arts and Media",13K412,"Brooklyn Community High School of Communication, Arts and Media",Performing Arts/Visual Art & Design,Limited Unscreened,L,150,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K412
L69A,Brooklyn Frontiers High School,15K423,Brooklyn Frontiers High School,Humanities & Interdisciplinary,Limited Unscreened,L,151,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K423
L32A,Brooklyn Generation School,18K566,Brooklyn Generation School,Humanities & Interdisciplinary,Limited Unscreened,L,152,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K566
K49B,Academy for Social Justice,16K498,Brooklyn High School for Law and Technology (formerly ACORN High School for Social Justice),Law & Government,Screened,S,153,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K498
K49D,Computer Technology,16K498,Brooklyn High School for Law and Technology (formerly ACORN High School for Social Justice),Computer Science & Technology,Ed. Opt.,E,153,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K498
K47J,Art,15K656,Brooklyn High School of the Arts,Visual Art & Design,Audition,A,154,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K656
K47K,Instrumental Music,15K656,Brooklyn High School of the Arts,Performing Arts,Audition,A,154,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K656
K47L,Dance,15K656,Brooklyn High School of the Arts,Performing Arts,Audition,A,154,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K656
K47M,Vocal Music,15K656,Brooklyn High School of the Arts,Performing Arts,Audition,A,154,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K656
K47R,Drama,15K656,Brooklyn High School of the Arts,Performing Arts,Audition,A,154,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K656
K53A,Brooklyn International High School,13K439,Brooklyn International High School,Humanities & Interdisciplinary,Screened: Language,SL,156,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K439
L46A,Brooklyn Lab School,19K639,Brooklyn Lab School,Humanities & Interdisciplinary,Limited Unscreened,L,157,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K639
NO CODE,Brooklyn Latin,14K449,The Brooklyn Latin School,Humanities & Interdisciplinary,Test,T,158,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K449
K07X,Brooklyn Preparatory High School,14K488,Brooklyn Preparatory High School,Humanities & Interdisciplinary,Limited Unscreened,L,159,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K488
K79A,Brooklyn School for Global Studies,15K429,Brooklyn School for Global Studies,Humanities & Interdisciplinary,Screened,S,160,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K429
L68A,Mathematics & Humanities,32K168,Brooklyn School for Math and Research,Science & Math,Limited Unscreened,L,162,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K168
K48A,Performing and Visual Arts,17K548,Brooklyn School for Music & Theatre,Performing Arts,Audition,A,163,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K548
K03R,Brooklyn Secondary School for Collaborative Studies,15K448,Brooklyn Secondary School for Collaborative Studies,Humanities & Interdisciplinary,Limited Unscreened,L,164,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K448
K90J,Multimedia Technology for New Students,21K690,Brooklyn Studio Secondary School,Humanities & Interdisciplinary,Ed. Opt.,E,165,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K690
K90K,Multimedia Technology for Current Students,21K690,Brooklyn Studio Secondary School,Humanities & Interdisciplinary,For Continuing 8th Graders,8,165,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K690
NO CODE,Science Engineering,13K430,Brooklyn Technical High School,Science & Math,Test,T,166,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K430
L33A,Brooklyn Theatre Arts High School,18K567,Brooklyn Theatre Arts High School,Performing Arts,Limited Unscreened,L,168,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K567
K36A,Bushwick Leaders’ High School for Academic Excellence,32K556,Bushwick Leaders High School for Academic Excellence,Humanities & Interdisciplinary,Limited Unscreened,L,169,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K556
K54A,Humanities and Interdisciplinary,32K549,Bushwick School for Social Justice,Humanities & Interdisciplinary,Limited Unscreened,L,170,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K549
L59A,"City Polytechnic High School of Engineering, Architecture and Technology",13K674,"City Polytechnic High School of Engineering, Architecture and Technology",Engineering,Limited Unscreened,L,171,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K674
K50A,Health Career Professions,17K600,Clara Barton High School,Health Professions,Ed. Opt.,E,172,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K600
K50B,Bilingual Haitian Creole Program,17K600,Clara Barton High School,Health Professions,Screened: Language,SL,172,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K600
K50J,Gateway Honors Health Professions,17K600,Clara Barton High School,Science & Math,Screened,S,172,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K600
K91A,American Studies,15K519,Cobble Hill School of American Studies,Humanities & Interdisciplinary,Ed. Opt.,E,174,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K519
K91B,Pre-Law Institute,15K519,Cobble Hill School of American Studies,Law & Government,Ed. Opt.,E,174,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K519
L45A,Cultural Academy for the Arts,18K629,Cultural Academy for the Arts and Sciences,Humanities & Interdisciplinary,Limited Unscreened,L,175,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K629
L56A,Cypress Hills Collegiate Preparatory School,19K659,Cypress Hills Collegiate Preparatory School,Humanities & Interdisciplinary,Limited Unscreened,L,176,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K659
L65A,Eagle Academy for Young Men II,23K644,Eagle Academy for Young Men II,Humanities & Interdisciplinary,Limited Unscreened,L,177,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K644
K45A,East New York Family Academy,19K409,East New York Family Academy,Humanities & Interdisciplinary,Screened,S,178,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K409
K73A,Public Service,32K545,EBC High School for Public Service – Bushwick,Humanities & Interdisciplinary,Ed. Opt.,E,180,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K545
K57A,Communication Arts,21K525,Edward R. Murrow High School,Communications,Ed. Opt.,E,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57B,Bilingual Chinese Communication Arts,21K525,Edward R. Murrow High School,Communications,Screened: Language,SL,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57C,Bilingual Spanish Communication Arts,21K525,Edward R. Murrow High School,Communications,Screened: Language,SL,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57J,Vocal Music,21K525,Edward R. Murrow High School,Performing Arts,Audition,A,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57K,Fine and Visual Arts,21K525,Edward R. Murrow High School,Visual Art & Design,Audition,A,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57L,Instrumental Music,21K525,Edward R. Murrow High School,Performing Arts,Audition,A,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K57P,Studio Theatre,21K525,Edward R. Murrow High School,Performing Arts,Audition,A,181,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K525
K75A,El Puente Academy for Peace and Justice,14K685,El Puente Academy for Peace and Justice,Humanities & Interdisciplinary,Ed. Opt.,E,184,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K685
L34A,Expeditionary Learning School for Community Learners,21K572,Expeditionary Learning School for Community Leaders,Humanities & Interdisciplinary,Limited Unscreened,L,185,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K572
K62X,FDNY High School for Fire and Life Safety,19K502,FDNY High School for Fire and Life Safety,Humanities & Interdisciplinary,Limited Unscreened,L,186,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K502
K17H,Honors Academy,20K490,Fort Hamilton High School,Humanities & Interdisciplinary,Screened,S,187,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K490
K17R,Instrumental Music,20K490,Fort Hamilton High School,Performing Arts,Audition,A,187,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K490
K17S,Vocal Music,20K490,Fort Hamilton High School,Performing Arts,Audition,A,187,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K490
K17Z,Zoned,20K490,Fort Hamilton High School,Zoned,Zoned,Z,187,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K490
K18R,Foundations Academy,14K322,Foundations Academy,Humanities & Interdisciplinary,Limited Unscreened,L,189,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K322
L47A,Frances Perkins Academy,14K632,Frances Perkins Academy,Humanities & Interdisciplinary,Limited Unscreened,L,190,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K632
K16A,Business Careers/Computer Technology,20K505,Franklin Delano Roosevelt High School,Business,Ed. Opt.,E,191,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K505
K16C,Math/Science Academy,20K505,Franklin Delano Roosevelt High School,Science & Math,Ed. Opt.,E,191,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K505
K16D,Performing Arts,20K505,Franklin Delano Roosevelt High School,Performing Arts,Limited Unscreened,L,191,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K505
K16Z,Zoned,20K505,Franklin Delano Roosevelt High School,Zoned,Zoned,Z,191,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K505
K33R,Frederick Douglass Academy IV Secondary School,16K393,Frederick Douglass Academy IV Secondary School,Humanities & Interdisciplinary,Limited Unscreened,L,193,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K393
K80X,Frederick Douglass Academy VII High School,23K514,Frederick Douglass Academy VII High School,Humanities & Interdisciplinary,Limited Unscreened,L,194,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K514
K46A,Freedom Academy,13K509,Freedom Academy High School,Humanities & Interdisciplinary,Ed. Opt.,E,195,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K509
K70B,Information Technology,13K605,George Westinghouse Career and Technical Education High School,Computer Science & Technology,Screened,S,196,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K605
K70C,Design Systems,13K605,George Westinghouse Career and Technical Education High School,Visual Art & Design,Screened,S,196,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K605
K70D,Culinary Arts,13K605,George Westinghouse Career and Technical Education High School,Culinary Arts,Ed. Opt.,E,196,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K605
L35A,Gotham Professional Arts Academy,16K594,Gotham Professional Arts Academy,Visual Art & Design,Limited Unscreened,L,198,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K594
L27A,Green School: An Academy for Environmental Careers,14K454,Green School: An Academy for Environmental Careers,Humanities & Interdisciplinary,Limited Unscreened,L,199,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K454
K63X,High School for Civil Rights,19K504,High School for Civil Rights,Law & Government,Limited Unscreened,L,200,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K504
K88A,Computer Science/Networking,14K478,"The High School for Enterprise, Business and Technology",Computer Science & Technology,Ed. Opt.,E,201,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K478
K88B,Business & Finance,14K478,"The High School for Enterprise, Business and Technology",Business,Ed. Opt.,E,201,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K478
K88C,Gateway: Mathematics and Science Institute for Pre-College Education,14K478,"The High School for Enterprise, Business and Technology",Science & Math,Screened,S,201,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K478
K32A,High School for Global Citizenship,17K528,The High School for Global Citizenship,Humanities & Interdisciplinary,Limited Unscreened,L,203,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K528
L48A,High School for Innovation in Advertising and Media,18K617,High School for Innovation in Advertising and Media,Visual Art & Design,Limited Unscreened,L,204,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K617
L49A,High School for Medical Professions,18K633,High School for Medical Professions,Health Professions,Limited Unscreened,L,205,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K633
K64A,Law Academy – HSPS,17K546,High School for Public Service: Heroes of Tomorrow,Law & Government,Screened,S,206,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K546
K64B,Medical Academy – HSPS,17K546,High School for Public Service: Heroes of Tomorrow,Health Professions,Screened,S,206,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K546
K64C,Public Service Academy: Social Action & Leadership,17K546,High School for Public Service: Heroes of Tomorrow,Humanities & Interdisciplinary,Ed. Opt.,E,206,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K546
K30X,High School for Service & Learning,17K539,High School for Service & Learning at Erasmus,Humanities & Interdisciplinary,Limited Unscreened,L,208,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K539
K06B,Arts,17K537,High School for Youth and Community Development at Erasmus,Performing Arts/Visual Art & Design,Limited Unscreened,L,209,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K537
K06C,Media,17K537,High School for Youth and Community Development at Erasmus,Film/Video,Limited Unscreened,L,209,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K537
K97R,High School of Sports Management,21K348,High School of Sports Management,Humanities & Interdisciplinary,Limited Unscreened,L,210,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K348
K59A,Telecommunication Arts and Technology,20K485,High School of Telecommunication Arts and Technology,Humanities & Interdisciplinary,Ed. Opt.,E,211,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K485
K44A,Business,17K544,International Arts Business School,Business,Limited Unscreened,L,212,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K544
K44B,Performing Arts,17K544,International Arts Business School,Performing Arts,Limited Unscreened,L,212,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K544
K44C,Visual Art and Design,17K544,International Arts Business School,Visual Art & Design,Limited Unscreened,L,212,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K544
K38R,International High School,21K337,International High School at Lafayette,Humanities & Interdisciplinary,Screened: Language,SL,214,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K337
K98X,International High School at Prospect Heights,17K524,International High School at Prospect Heights,Humanities & Interdisciplinary,Screened: Language,SL,215,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K524
L36A,It Takes A Village Academy,18K563,It Takes a Village Academy,Science & Math,Limited Unscreened,L,216,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K563
K25B,Information Technology,22K425,James Madison High School,Computer Science & Technology,Screened,S,217,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K425
K25D,Law Institute,22K425,James Madison High School,Law & Government,Screened,S,217,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K425
K25Z,Zoned,22K425,James Madison High School,Zoned,Zoned,Z,217,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K425
K56A,Experimental School,21K540,John Dewey High School,Humanities & Interdisciplinary,Ed. Opt.,E,219,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K540
K56B,Bilingual Chinese Experimental School,21K540,John Dewey High School,Humanities & Interdisciplinary,Screened: Language,SL,219,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K540
K56D,Health Careers Exploration Program,21K540,John Dewey High School,Health Professions,Ed. Opt.,E,219,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K540
K56J,Computer Science Institute,21K540,John Dewey High School,Computer Science & Technology,Screened,S,219,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K540
K11A,Visual Art and Design,14K071,Juan Morel Campos Secondary School,Visual Art & Design,Audition,A,221,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K071
K11B,Instrumental Music,14K071,Juan Morel Campos Secondary School,Performing Arts,Audition,A,221,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K071
K11X,Juan Morel Campos Secondary School,14K071,Juan Morel Campos Secondary School,Humanities & Interdisciplinary,Limited Unscreened,L,221,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K071
L61A,Khalil Gibran International Academy,13K592,Khalil Gibran International Academy,Humanities & Interdisciplinary,Limited Unscreened,L,223,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K592
L55A,Kingsborough Early College,21K468,Kingsborough Early College School,Humanities & Interdisciplinary,Screened,S,224,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K468
L37A,Kurt Hahn Expeditionary Learning School,18K569,Kurt Hahn Expeditionary Learning School,Humanities & Interdisciplinary,Limited Unscreened,L,225,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K569
K76A,Leon M. Goldstein High School for the Sciences,22K535,Leon M. Goldstein High School for the Sciences,Science & Math,Screened,S,226,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K535
L38A,Life Academy High School for Film and Music,21K559,Life Academy High School for Film and Music,Visual Art & Design,Limited Unscreened,L,227,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K559
L39A,Lyons Community School,14K586,Lyons Community School,Humanities & Interdisciplinary,Limited Unscreened,L,228,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K586
K77A,Math and Technology,17K590,Medgar Evers College Preparatory School,Computer Science & Technology,Screened,S,229,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K590
K77B,Science and Research,17K590,Medgar Evers College Preparatory School,Science & Math,Screened,S,229,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K590
K26H,Liberal Arts and Science Institute (formerly Collegiate program),22K405,Midwood High School,Humanities & Interdisciplinary,Unscreened,U,231,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K405
K26J,Humanities,22K405,Midwood High School,Humanities & Interdisciplinary,Screened,S,231,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K405
K26K,Medical Science Institute,22K405,Midwood High School,Science & Math,Screened,S,231,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K405
K26L,Bilingual Haitian Creole Medical Science Institute,22K405,Midwood High School,Science & Math,Screened: Language & Academics,SL,231,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K405
L63A,Millenium Brooklyn,15K684,Millenium Brooklyn,Humanities & Interdisciplinary,Screened,S,233,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K684
L40A,Multicultural High School,19K583,Multicultural High School,Humanities & Interdisciplinary,Screened: Language,SL,234,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K583
K28A,Medical & Health Careers,20K445,New Utrecht High School,Health Professions,Ed. Opt.,E,235,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K445
K28B,Legal Studies Academy,20K445,New Utrecht High School,Law & Government,Limited Unscreened,L,235,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K445
K28C,Academy of Hospitality & Tourism,20K445,New Utrecht High School,"Hospitality, Travel and Tourism",Limited Unscreened,L,235,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K445
K28Z,Zoned,20K445,New Utrecht High School,Zoned,Zoned,Z,235,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K445
K27A,College Preparatory,15K464,Park Slope Collegiate (formerly Secondary School for Research),Humanities & Interdisciplinary,Screened,S,237,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K464
L67A,Pathways in Technology Early College High School,17K122,Pathways in Technology Early College High School (P-TECH),Computer Science & Technology,Limited Unscreened,L,238,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K122
K61X,Performing Arts and Technology High School,19K507,Performing Arts and Technology High School,Performing Arts,Limited Unscreened,L,239,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K507
K87A,Medical Professions,14K474,PROGRESS High School for Professional Careers,Health Professions,Ed. Opt.,E,240,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K474
K87B,Teaching Professions Institute,14K474,PROGRESS High School for Professional Careers,Teaching,Ed. Opt.,E,240,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K474
K87C,Business and Entrepreneurial Studies,14K474,PROGRESS High School for Professional Careers,Business,Ed. Opt.,E,240,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K474
K87D,Bilingual Spanish Business and Entrepreneurial Studies,14K474,PROGRESS High School for Professional Careers,Business,Screened: Language,SL,240,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K474
