Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
Q30J,Middle College High School at LaGuardia Community College,24Q520,Middle College High School at LaGuardia Community College,Humanities & Interdisciplinary,Screened,S,456,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q520
Q98A,Newcomers High School,30Q555,Newcomers High School,Humanities & Interdisciplinary,Screened: Language,SL,457,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q555
Q34A,Business Institute,24Q455,Newtown High School,Business,Ed. Opt.,E,458,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q455
Q34J,Pre-Engineering & Computer Technology,24Q455,Newtown High School,Engineering,Screened,S,458,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q455
Q34K,Major Art,24Q455,Newtown High School,Visual Art & Design,Audition,A,458,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q455
Q34Z,Zoned,24Q455,Newtown High School,Zoned,Zoned,Z,458,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q455
Q03A,Pan American International High School,24Q296,Pan American International High School,Humanities & Interdisciplinary,Screened: Language,SL,460,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q296
Q09R,"Pathways College Preparatory School, A College Board School",29Q259,Pathways College Preparatory School: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,461,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q259
Q84A,Preparatory Academy for Writers,29Q283,Preparatory Academy for Writers: A College Board School,Communications,Limited Unscreened,L,462,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q283
Q05A,Queens Collegiate: A College Board School,28Q310,Queens Collegiate: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,463,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q310
Q57A,Queens Gateway to Health Sciences,28Q680,Queens Gateway to Health Sciences Secondary School,Health Professions,Screened,S,465,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q680
Q06A,"Queens High School for Information, Research and Technology",27Q302,"Queens High School for Information, Research, and Technology",Science & Math,Limited Unscreened,L,466,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q302
NO CODE,Queens High School for the Sciences at York College,28Q687,Queens High School for the Sciences at York College,Science & Math,Test,T,467,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q687
Q32A,Teaching Institute,26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Teaching,Ed. Opt.,E,468,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q566
Q32B,Future Educators Academy,26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Teaching,Limited Unscreened,L,468,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q566
Q39Z,Zoned,28Q686,Queens Metropolitan High School,Zoned,Zoned,Z,469,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q686
Q04R,Queens Preparatory Academy,29Q248,Queens Preparatory Academy,Science & Math,Limited Unscreened,L,470,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q248
Q77A,Queens School of Inquiry,25Q252,The Queens School of Inquiry,Humanities & Interdisciplinary,Screened,S,471,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q252
Q68A,Careers in Business,24Q600,Queens Vocational and Technical High School,Business,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68B,Graphic Arts,24Q600,Queens Vocational and Technical High School,Visual Art & Design,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68C,School of Skilled Building Trades,24Q600,Queens Vocational and Technical High School,Engineering,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68L,Pre-Engineering Electronic Technology,24Q600,Queens Vocational and Technical High School,Engineering,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68M,Exploratory: Introduction to Occupations,24Q600,Queens Vocational and Technical High School,Engineering,Ed. Opt.,E,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68N,Computer Technology and Information Systems,24Q600,Queens Vocational and Technical High School,Computer Science & Technology,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q68O,Cosmetology Careers/Salon Management,24Q600,Queens Vocational and Technical High School,Cosmetology,Screened,S,472,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q600
Q35B,Choices Academy,27Q475,Richmond Hill High School,Humanities & Interdisciplinary,Ed. Opt.,E,474,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q475
Q35Z,Zoned,27Q475,Richmond Hill High School,Zoned,Zoned,Z,474,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q475
Q70A,Community Service and Learning,25Q670,Robert F. Kennedy Community High School,Humanities & Interdisciplinary,Ed. Opt.,E,475,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q670
Q31J,Arts and Technology for New Students,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Humanities & Interdisciplinary,Ed. Opt.,E,476,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q560
Q31K,Arts and Technology for Current Students,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Humanities & Interdisciplinary,For Continuing 8th Graders,8,476,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q560
Q02A,Robert H. Goddard High School of Communication,27Q308,Robert H. Goddard High School of Communication Arts and Technology,Communications,Limited Unscreened,L,477,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q308
Q48A,Rockaway Collegiate High School,27Q351,Rockaway Collegiate High School,Humanities & Interdisciplinary,Limited Unscreened,L,478,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q351
Q36A,Rockaway Park High School for Environmental Sustainability,27Q324,Rockaway Park High School for Environmental Sustainability,Humanities & Interdisciplinary,Limited Unscreened,L,479,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q324
Q72A,Scholars' Academy,27Q323,Scholars' Academy,Humanities & Interdisciplinary,Screened,S,480,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q323
Q67I,Commercial Art/Graphic Communications/Web Design,28Q620,Thomas A. Edison Career and Technical Education High School,Visual Art & Design,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67K,Information Technologies,28Q620,Thomas A. Edison Career and Technical Education High School,Computer Science & Technology,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67M,CAD/Mechanical Technology,28Q620,Thomas A. Edison Career and Technical Education High School,Engineering,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67N,Electrical Installation Technologies,28Q620,Thomas A. Edison Career and Technical Education High School,Engineering,Ed. Opt.,E,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67P,Automotive Technologies,28Q620,Thomas A. Edison Career and Technical Education High School,Engineering,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67S,Technical Electronics Engineering/Robotics,28Q620,Thomas A. Edison Career and Technical Education High School,Engineering,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q67V,Med-Pharmaceutical/Bio-Technology,28Q620,Thomas A. Edison Career and Technical Education High School,Health Professions,Screened,S,481,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q620
Q37J,Intensive Academic Humanities,25Q525,Townsend Harris High School,Humanities & Interdisciplinary,Screened,S,483,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q525
Q15A,Mentor Law and Forensic Science Institute,30Q445,William Cullen Bryant High School,Law & Government,Screened,S,485,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q445
