Energy Type,-,_,FY 2009Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,FY 2010Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,FY 2011Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,FY 2012Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,Location 1
Total Usage (mmBTUs),1878.93,2005.32,1809.56,1542.93,1389.47,3186.03,3807.25,3127.51,2635.31,2009.26,1608.53,1711.6,2057.87,2069.45,1791.09,1696.34,1708.59,3094.69,3304.16,3420.93,2156.08,1568.6,1587.16,1898.36,2131.56,1931.7,1882.66,1711.38,1837.08,3491.19,3421.34,4089.36,2888.57,2257.8,1379.27,1789.25,1714.21,1565.04,1589.88,1390.65,2205.57,2616.97,3302.17,3128.61,1794.83,1565.38,1333.44,1595.99,,,
Electricity Demand (KW),472,456,464,416,296,312,312,320,304,392,400,448,456,504,480,464,312,312,304,312,296,312,472,512,552,528,496,464,488,320,320,320,320,280,432,520,520,536,480,464,304,304,320,296,312,432,472,496,,,
Electricity Usage (KWH),156800,153600,138400,117600,124800,142400,160000,142400,129600,121600,116000,129600,150400,157600,140800,128000,122400,160000,150400,168000,132000,119200,128000,161600,180000,160800,161600,132000,122400,168800,144000,154400,125600,105600,108000,150400,160800,158400,158400,117600,124800,122400,137600,131200,114400,116000,121600,152000,,,
Steam (mlbs),0,0,0,43,366,550,756,545,390,105,20,17,6,5,5,84,140,519,521,491,246,17,11,7,2,3,3,27,223,463,541,377,330,141,21,12,8,9,8,19,93,223,371,233,148,84,19,18,,,
Total Usage (mmBTUs),535.15,524.23,472.36,449.4,834.83,1100.46,1390.66,1094.87,878.02,532.32,418.25,461.31,520.01,543.47,486.13,530.7,574.15,1125.89,1095.36,1121.91,725.34,425.82,449.15,559.36,616.57,552.16,554.89,480.68,666.88,1093.36,1095.86,948.14,797.34,517.93,392.06,526.72,557.74,550.67,549.55,422.59,529.84,666.88,884.1,708.08,555.79,489.75,436.24,538.88,,,
Electricity Demand (KW),706,676,640,556,358,580,360,360,360,392,460,528,588,652,578,416,392,352,332,344,356,458,456,652,691,652,617.6,465.6,392,332,308.8,316,356,356.8,421.6,564.8,590.4,553.6,457.6,492.8,318.4,300.8,295.2,285.6,350.4,352,390.4,558.4,,,
Electricity Usage (KWH),237600,247200,206400,200400,151200,162000,162000,147600,153600,144000,170400,178800,224400,232800,188400,169200,154800,162000,144000,158400,146400,148800,159600,216000,262400,229600,223200,155200,134400,152000,133600,143200,135200,131200,137600,195200,204000,181600,177600,139200,138400,127200,123200,127200,121600,116800,130400,166400,,,
Steam (mlbs),24,16,21,283,1100,2210,2650,1742,1637,435,25,23,19,14,14,673,1274,2183,2129,2251,1730,387,231,11,36,31,28,288,1478,2362,2629,1964,1666,919,14,13,26,42,39,201,897,1483,2074,1729,1082,604,95,40,,,
Total Usage (mmBTUs),837.73,861.56,727.9,1000.12,1744.94,3021.87,3513.43,2449.88,2353.06,977.44,609.5,635.93,787.1,810.18,658.64,1329.34,1951.62,2991.71,2869.94,3055.39,2432.38,940.2,802.78,749.49,935.78,818.25,793.06,851.44,2109.9,3157.55,3393.04,2682.88,2322.66,1474.47,485.27,680.74,725.29,666.72,649.71,699.64,1474.47,2090.91,2737.51,2365.73,1623.81,1073.41,551.18,612.61,,,
Electricity Demand (KW),914,918,906,864,712,724,684,744,694,766,798,850,924,956,894,798,764,704,680,664,632,776,886,912,924,901.92,869.76,853.92,829.92,725.28,712.8,712.8,712.8,750.24,791.04,920.16,959.04,891.84,845.76,878.4,636,601.44,604.8,613.44,751.2,814.56,768.96,894.24,,,
Electricity Usage (KWH),386400,375200,352800,315200,310400,368800,321600,316800,312800,282400,308000,313600,376000,376800,360800,337600,308000,358400,335200,336800,283200,288800,292800,313600,410400,364800,376800,328800,292000,358400,313600,336000,338400,284000,286400,364000,370400,352000,367200,296000,291200,268800,279200,292800,259200,260000,272800,336000,,,
Steam (mlbs),0,0,0,184,603,1033,1373,1071,1091,685,47,1,0,0,1,250,585,880,936,1386,761,373,288,21,0,0,0,0,585,880,1462,944,746,483,0,0,0,0,0,7,282,465,758,592,307,232,42,1,,,
Total Usage (mmBTUs),1318.77,1280.55,1204.1,1281.33,1733.05,2412.75,2631.5,2277.73,2286.42,1729.09,1103.7,1071.42,1283.28,1286.01,1232.52,1431.51,1704.75,2206.33,2189.71,2697.9,1816.73,1402.37,1321.07,1093.77,1400.68,1245.05,1286.01,1122.18,1650.14,2206.33,2703.62,2201.38,1988.37,1508.88,977.47,1242.32,1264.16,1201.37,1253.24,1018.06,1308.9,1436.9,1799.72,1660.69,1227.62,1146.56,977.98,1147.88,,,
Electricity Demand (KW),827,759,730,506,392,389,369,375,389,637,670,621,740,839,723,511,451,433,407,401,398,607,631,600,880.32,808.8,815.52,670.08,621.12,522.72,464.16,519.84,492.48,559.68,516.48,744.96,785.76,729.12,621.6,588.48,473.76,461.76,429.6,439.68,482.4,532.32,549.12,753.6,,,
Electricity Usage (KWH),322800,290400,248400,183600,166800,174000,168000,163200,168000,164400,195600,207600,292800,320400,246000,199200,177600,193200,172800,182400,169200,187200,208800,290800,360000,320000,258400,231200,214400,223200,172800,226400,193600,180800,193600,275200,307200,275200,229600,205600,187200,180000,170400,191200,178400,168000,176800,249600,,,
,FY 2009,,,,,,FY 2009,,,,,,FY 2010,,,,,,,,FY 2010,,,,FY 2011,,,,,,,,,,FY 2011,,FY 2012,,,,,,,,,,,,,,
,Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,,,
Steam (mlbs),47,40,48,330,1473,2531,3001,2340,2194,1001,116,68,111,56,0,647,1044,2608,2672,1414,712,132,192,39,28,42,27,105,1329,2571,3082,2492,1527,814,126,49,39,43,46,311,799,1856,2516,1721,890,614,114,45,,,
Total Usage (mmBTUs),1154.21,1035.81,901.41,995.29,2214.89,3421.44,3926.04,3171.2,3024.47,1679.39,797.17,784.5,1123.32,1156.08,839.59,1402.68,1772.48,3572.99,3574.87,2202.22,1372.91,786.38,927.13,1036.06,1259.95,1139.07,912.08,906.38,2216.47,3634.04,4032.91,3556.71,2366.68,1526.45,801.52,993.99,1092.03,987.29,835.01,1049.15,1531.53,2687.82,3392.39,2575.23,1603.16,1259.33,730.77,902.15,,,
Electricity Demand (KW),3322,3104,2738,2746,2224,2200,2178,2136,2132,2632,2802,2800,3318,3298,2776,2710,2298,2160,2338.56,2121.12,2107.2,3044.24,3168.24,2911.52,2571.92,3427.28,3206.08,2718.48,2717.44,2074,2089.04,2077.36,2052.4,2532.88,2572.96,2965.12,3231.12,3063.76,2649.52,2585.92,2334.96,2030.88,2048.32,2009.28,2040.24,2323.52,2441.68,2850.32,,,
Electricity Usage (KWH),1611200,1572800,1411200,1268800,1260800,1328000,1343200,1217600,1236000,1200800,1312000,1352000,1637600,1596800,1416800,1324800,1178400,1355200,1202400,1284000,1173600,1196800,1224000,1473600,1609600,1726400,1658400,1236800,1204000,1396800,1200800,1254400,1147200,1131200,1191200,1537600,1617600,1403200,1474400,1198400,1261600,1137600,1174400,1220800,1128800,1109600,1126400,1392800,,,
Gas (Therms),1072,1218,1029,4856,18884,29106,34016,25209,17896,4474,1199,914,947,948,944,7360,6971,34559,39074,37926,22830,2848,1272,839,896,666,788,997,17129,4914,40375,44726,34086,13015,1019,1133,791,718,789,864,21561,32124,48761,43980,21764,9112,977,971,,,
