JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL
Manhattan CD 001,16,8,0.5,8,0.5,0,0,16,100,0,0,2,0.13,0,0,8,0.5,0,0,6,0.38,0,0,0,0,16,100,2,0.13,14,0.88,0,0,0,0,16,100,2,0.13,14,0.88,0,0,16
Manhattan CD 002,6,1,0.17,5,0.83,0,0,6,100,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,6,100,0,0,6,1,0,0,0,0,6,100,1,0.17,5,0.83,0,0,6
Manhattan CD 003,43,24,0.56,19,0.44,0,0,43,100,0,0,1,0.02,0,0,36,0.84,6,0.14,0,0,0,0,0,0,43,100,2,0.05,41,0.95,0,0,0,0,43,100,4,0.09,39,0.91,0,0,43
Manhattan CD 004,14,8,0.57,6,0.43,0,0,14,100,0,0,6,0.43,0,0,0,0,1,0.07,6,0.43,1,0.07,0,0,14,100,0,0,14,1,0,0,0,0,14,100,6,0.43,8,0.57,0,0,14
Manhattan CD 005,55,32,0.58,23,0.42,0,0,55,100,0,0,20,0.36,0,0,7,0.13,0,0,25,0.45,3,0.05,0,0,55,99,3,0.05,52,0.95,0,0,0,0,55,100,25,0.45,30,0.55,0,0,55
Manhattan CD 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan CD 007,38,26,0.68,12,0.32,0,0,38,100,0,0,18,0.47,0,0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0,0,0,38,100,14,0.37,24,0.63,0,0,38
Manhattan CD 008,1,1,1,0,0,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1
Manhattan CD 009,7,4,0.57,3,0.43,0,0,7,100,0,0,1,0.14,0,0,1,0.14,0,0,4,0.57,1,0.14,0,0,7,99,1,0.14,6,0.86,0,0,0,0,7,100,1,0.14,6,0.86,0,0,7
Manhattan CD 010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan CD 011,20,13,0.65,7,0.35,0,0,20,100,0,0,4,0.2,0,0,0,0,0,0,15,0.75,1,0.05,0,0,20,100,0,0,20,1,0,0,0,0,20,100,8,0.4,12,0.6,0,0,20
Manhattan CD 012,18,8,0.44,10,0.56,0,0,18,100,0,0,12,0.67,0,0,2,0.11,0,0,3,0.17,1,0.06,0,0,18,100,1,0.06,17,0.94,0,0,0,0,18,100,7,0.39,11,0.61,0,0,18
Queens CD 001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens CD 002,1,0,0,1,1,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1
Queens CD 003,6,4,0.67,2,0.33,0,0,6,100,0,0,5,0.83,0,0,0,0,1,0.17,0,0,0,0,0,0,6,100,1,0.17,5,0.83,0,0,0,0,6,100,1,0.17,5,0.83,0,0,6
Queens CD 004,1,1,1,0,0,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1
Queens CD 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens CD 006,10,5,0.5,5,0.5,0,0,10,100,0,0,2,0.2,0,0,0,0,4,0.4,4,0.4,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,2,0.2,8,0.8,0,0,10
Queens CD 007,2,1,0.5,1,0.5,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2
Queens CD 008,2,2,1,0,0,0,0,2,100,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2
Queens CD 009,15,8,0.53,7,0.47,0,0,15,100,0,0,1,0.07,0,0,0,0,10,0.67,2,0.13,1,0.07,1,0.07,15,100,1,0.07,14,0.93,0,0,0,0,15,100,5,0.33,10,0.67,0,0,15
Queens CD 010,2,1,0.5,1,0.5,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,0,0,2,1,0,0,0,0,2,100,2,1,0,0,0,0,2
Queens CD 011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens CD 012,4,1,0.25,3,0.75,0,0,4,100,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4
Queens CD 013,2,0,0,2,1,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,2
Queens CD 014,37,12,0.32,25,0.68,0,0,37,100,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,37,100,0,0,37,1,0,0,0,0,37,100,3,0.08,34,0.92,0,0,37
Richmond CD 001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond CD 002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond CD 003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
