Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
1,2111,58,1062652,Rena Day Care Center,ACS,N/A,149.1,146.1,N/A,145.1,142.3,639 Edgecombe Ave,New York,NY,10032,34135,1973
5,174,6,5004830,Richmond Early Learning Day Care Center,ACS,N/A,208.8,167.9,N/A,169.2,134.2,159 Broadway,Staten Island,NY,10310,24700,1972
3,2276,37,3335515,Robert F. Kennedy Child Care Center,ACS,N/A,142.2,66.8,N/A,132.1,61.7,741 Flushing Ave,Brooklyn,NY,11206,16256,1914
3,7065,1,3189617,Roberta Bright Early Learning Center,ACS,N/A,337.7,213.9,N/A,383.8,244,3001-34 West 37th St,Brooklyn,NY,11224,20102,1969
4,12039,44,4261337,Rockaway Boulevard Day Care/ Senior Center,ACS,N/A,227.7,235.6,N/A,240.3,245.1,123-10 143rd St,Queens,NY,11436,36228,1972
3,3331,25,3076253,Roundtable Day Care Center,ACS,N/A,364.9,314.3,N/A,355.2,306,1175 Gates Ave,Brooklyn,NY,11221,30205,1972
3,3531,23,3081165,Salvation Army,ACS,N/A,130.9,56,N/A,129.8,57.5,20 Sutter Ave,Brooklyn,NY,11212,13843,1970
3,580,25,3008669,Salvation Army - Fiesta Day Care Center,ACS,N/A,136.9,105.8,N/A,57.4,44.2,80 Lorraine St,Brooklyn,NY,11231,27252,1972
2,3523,34,2021465,Seven Corners Day Care Center,ACS,N/A,166.3,104.8,N/A,171,107.8,575 Soundview Ave,Bronx,NY,10473,22419,1971
3,1498,6,3040195,Shirley Chisholm,ACS,N/A,109.7,102.8,N/A,121.4,112.3,69 Saratoga Ave,Brooklyn,NY,11233,28110,1931
3,1431,54,3038522,Shirley Chisolon Day Care Center,ACS,N/A,121.7,114.4,N/A,131.8,123.7,2023 Pacific St,Brooklyn,NY,11233,32764,1955
3,1036,18,3023510,Shirley Chisolum #2,ACS,N/A,108.7,74.2,N/A,104,71,333 14th St,Brooklyn,NY,11215,24280,1976
3,2770,1,3069039,Small World Day Care Center,ACS,N/A,188.9,151.3,N/A,196.3,157.4,211 Ainslie St,Brooklyn,NY,11211,22567,1974
2,3748,15,2024083,Soun Dale Day Care Center,ACS,N/A,109.5,94.9,N/A,111.4,96.6,1211 Croes Ave,Bronx,NY,10472,29680,1970
3,1149,72,3028319,St. Marks Day Care Center,ACS,N/A,137.5,151.2,N/A,82,97.3,505 Saint Marks Ave,Brooklyn,NY,11238,29630,1921
3,3023,32,3070819,Stagg Street Day Care Center,ACS,N/A,147.2,88.7,N/A,136.3,82.2,77 Stagg St,Brooklyn,NY,11206,21440,1971
1,148,10,1001621,Storage in the Basement,ACS,N/A,1310.3,439,N/A,1260.2,422.2,151 West Broadway,New York,NY,10013,11919,1920
3,1783,23,3049719,Tabernacle Church of God,ACS,N/A,141.3,184.1,N/A,139.2,179,34 Kosciusko St,Brooklyn,NY,11205,41294,1899
1,2108,23,1062503,UFBCO Child Development Center,ACS,N/A,183.9,150.4,N/A,180.5,147.7,474-6 West 159th St,New York,NY,10032,28654,1901
2,2696,30,2005346,United Bronx Parents Day Care Center,ACS,N/A,113.7,83.3,N/A,123.9,90.7,888 Westchester Ave,Bronx,NY,10459,26058,1931
