Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
3,688,26,3394175,K564,DOE,15,229.2,1377.9,8,242.3,1534.1,153 35th Street,Brooklyn,NY,11232,208608,2009
3,131,1,3348041,K580,DOE,49,182.8,2324.3,58,166.1,2200.6,105 Tech Place,Brooklyn,NY,11201,292975,1928
3,1289,25,3348092,K590,DOE,13,220.5,1005.8,13,209.3,995.8,1186 Carroll Street,Brooklyn,NY,11225,134525,1908
3,1188,1,3029686,K600,DOE,94,72.9,513.1,68,110.4,1169.7,901 Classon Avenue,Brooklyn,NY,11225,217300,2000
3,2670,1,3066698,K610,DOE,31,163.7,913.4,35,154.9,836,50 Bedford Avenue,Brooklyn,NY,11222,144000,1938
3,4155,75,3327249,K615,DOE,69,136.6,1277.7,36,180.5,1619.4,1 Wells Street,Brooklyn,NY,11208,218984,1940
3,7261,47,3196378,K620,DOE,76,99.4,1224.6,68,108,1365.7,25 Brighton 4th Road,Brooklyn,NY,11235,240175,1957
3,1216,46,3030553,K625,DOE,44,144.2,900.5,42,141,883,150 Albany Avenue,Brooklyn,NY,11213,172975,1920
3,2330,11,3062135,K650,DOE,78,112.7,1099.7,79,110,1066.6,257 North 6th Street,Brooklyn,NY,11211,224525,1903
3,192,13,3001190,K655,DOE,89,102.5,625.4,90,96.7,563.5,345 Dean Street,Brooklyn,NY,11217,158525,1929
3,192,1,3001189,K656,DOE,60,111.7,541.1,54,117,584.3,500 Pacific Street,Brooklyn,NY,11217,110525,1924
3,3704,1,3083660,K660,DOE,14,217.7,1607.5,19,203.8,1409.6,145 Pennsylvania Avenue,Brooklyn,NY,11207,180175,1911
3,7860,17,3345177,K729,DOE,68,104.4,140.6,73,98.4,135.2,3874 Flatlands Avenue,Brooklyn,NY,11234,31900,2000
3,5121,32,3117584,K735,DOE,N/A,No Energy Use,No Energy Use,96,71,175.1,249 East 17 Street,Brooklyn,NY,11226,61710,2006
3,1844,1,3053020,K743,DOE,43,123.6,490.4,83,83.3,321.4,475 Nostrand Avenue,Brooklyn,NY,11216,86575,1931
3,998,1,3012840,K763,DOE,97,36.4,48.4,26,94.7,244.4,211 8th Street,Brooklyn,NY,11215,47300,2009
3,2207,2,3060407,K778,DOE,55,99.6,87.1,74,82,71.7,250 Hooper Street,Brooklyn,NY,11211,31110,1925
3,5587,38,3328583,K781,DOE,91,65.9,132.7,100,25.3,51,1053 41st Street,Brooklyn,NY,11219,27660,1956
3,4102,19,3397004,K798,DOE,1,669.8,2009.1,1,922.8,2813.6,696 Jamaica Ave,Brooklyn,NY,11208,105825,2009
3,3157,37,3071962,K799,DOE,100,41.1,28,81,78.9,103.8,271 Melrose Street,Brooklyn,NY,11206,24210,1956
3,266,20,3002557,K801,DOE,55,275.6,2814.8,43,310.8,3007,65 Court Street,Brooklyn,NY,11201,288200,1965
3,154,1,3000420,K802,DOE,96,153.8,711.2,96,154.1,701.4,131 Livingston Street,Brooklyn,NY,11201,147725,1907
3,397,11,3006356,K804,DOE,98,69.6,266.7,95,74.3,306.8,347 Baltic Street,Brooklyn,NY,11201,115466,1906
3,120,20,3000216,K805,DOE,85,118.5,864.9,86,113.3,834.1,49 Flatbush Avenue,Brooklyn,NY,11217,207775,1920
3,174,1,3331754,K806,DOE,2,269.3,420.7,4,244.6,379.6,362 Schermerhorn Street,Brooklyn,NY,11217,39660,1926
3,6399,26,3392297,K807,DOE,99,63.4,227.5,18,196.5,699.7,109 Bay 14 Street,Brooklyn,NY,11214,106700,2010
3,1454,54,3039123,K808,DOE,40,102.8,66,91,60.1,32.3,1665 St. Marks Avenue,Brooklyn,NY,11233,17310,1925
3,1160,1,3028862,K813,DOE,10,156.6,128.7,25,129.1,110.9,355 Park Place,Brooklyn,NY,11238,17340,1938
3,3952,47,3397079,K814,DOE,N/A,No Energy Use,No Energy Use,37,194.8,396.2,265 Warwick Street,Brooklyn,NY,11207,61075,2010
3,8182,52,3229624,K818,DOE,38,123.2,48.3,21,144.5,58.4,1106 East 95th Street,Brooklyn,NY,11236,12710,1950
3,4328,15,3097444,K819 and K947,DOE,57,148.1,259.8,42,164.1,293.5,2057 Linden Boulevard,Brooklyn,NY,11207,57010,1953
3,1267,1,3032886,K824,DOE,1,316.1,532.5,1,352.3,592.9,402 Eastern Parkway,Brooklyn,NY,11225,57580,1912
3,2268,1,3335470,K837,DOE,5,129.8,170.8,4,136.4,184.5,11 Bartlett Street,Brooklyn,NY,11206,38010,1936
3,3826,21,3085153,K838,DOE,88,99.9,150.4,89,97.7,151.1,720 Livonia Avenue,Brooklyn,NY,11207,46060,1970
3,3434,28,3079714,K842,DOE,92,176.7,48.6,96,151.7,41.7,1160 DECATUR STREET,Brooklyn,NY,11207,9779,2000
3,4369,1,3324010,K843,DOE,N/A,No Energy Use,No Energy Use,89,119.9,29.7,530 Stanley Aveue,Brooklyn,NY,11207,8800,2011
3,880,1,3331274,K845,DOE,49,76.2,292.3,43,80.2,311.2,330 18th Street,Brooklyn,NY,11215,102125,1905
3,3772,6,3084298,K848,DOE,1,585.9,225.8,1,412.6,145.4,373 Pennsylvania Avenue,Brooklyn,NY,11207,9779,2000
3,5416,48,3127692,K849 and K839,DOE,38,127.5,264.9,39,125.6,267.2,4001 18th Avenue,Brooklyn,NY,11218,57180,1933
3,4216,1,3094735,K851,DOE,19,134.9,63.6,11,149.2,73.6,2789 Pitkin Avenue,Brooklyn,NY,11208,12804,1972
3,7775,1,3215550,K852,DOE,75,81.7,81.3,22,135.4,198.6,1087 Ocean Avenue,Brooklyn,NY,11230,31000,1925
3,1868,28,3323075,K853,DOE,100,27.3,73.5,100,36.3,97.5,234 Herkimer Street,New York,NY,11216,95612,2000
3,1467,27,3039391,K854,DOE,2,190.7,64.6,3,189.7,64.3,1784 Park Place,Brooklyn,NY,11233,12060,1969
3,7916,1,3221964,K855,DOE,52,91.7,170.8,90,58.1,87.9,58-11 Ditmas Avenue,Brooklyn,NY,11203,52980,1996
3,4327,24,3097429,K857,DOE,72,138.5,210.3,77,129.5,196.2,2045 Linden Boulevard,Brooklyn,NY,11207,48360,1973
3,4650,15,3101218,K860,DOE,5,213.7,197.8,5,206.6,205.6,9517 Kings Highway,Brooklyn,NY,11212,26510,1961
3,4965,1,3112334,K864 and K869,DOE,59,87.1,223.7,60,85,207.4,3109 Newkirk Avenue,Brooklyn,NY,11226,78080,1897
3,3242,1,3073761,K865,DOE,7,98.4,414.7,9,93.8,387.6,797 Bushwick Avenue,Brooklyn,NY,11221,106925,1890
3,1235,37,3031296,K867,DOE,94,212.5,59.1,98,181.8,50.6,960 PROSPECT PLACE,Brooklyn,NY,11213,9900,1973
3,269,14,3002643,K871,DOE,18,157.4,109.8,16,150.1,105.6,67-69 Schermerhorn Street,Brooklyn,NY,11201,20760,1893
3,1164,57,3029060,K874,DOE,1,572.7,687.4,80,168.8,160.5,227 Sterling Place,Brooklyn,NY,11238,25715,1937
3,5103,93,3338996,K877,DOE,78,100.9,84.8,80,98.4,85.9,35 Snyder Avenue,Brooklyn,NY,11226,21660,1875
3,1382,12,3036947,K883,DOE,86,118.9,40.3,89,114,38.1,281 Albany Avenue,Brooklyn,NY,11213,9260,1925
3,4324,1,3380772,K893,DOE,24,135.7,630.7,13,155.3,720.7,1965 Linden Boulevard,New York,NY,11207,99204,1953
3,941,50,3259250,K902,DOE,43,147.4,470.6,39,151.5,516.1,62 Park Place,Brooklyn,NY,11217,92480,1900
3,8393,1,3236665,K905,DOE,1,386.8,122.2,1,409.9,130.1,7151 Avenue T,Brooklyn,NY,11234,9260,1966
3,3508,12,3080779,K907,DOE,43,141.4,419.6,49,126.2,380,1150 East New York Avenue,Brooklyn,NY,11212,95530,1926
3,5334,64,3343470,K908,DOE,47,151.8,227.8,63,130,195,425 McDonald Avenue,Brooklyn,NY,11218,46060,1995
3,1141,5,3027982,K909,DOE,80,127.5,382.3,72,133.4,400.7,561 Grand Avenue,Brooklyn,NY,11238,86330,1931
3,3230,27,3073462,K913,DOE,83,122.8,301.3,80,114.4,279.6,1155 Dekalb Avenue,Brooklyn,NY,11221,74830,1931
3,1888,34,3054323,K914,DOE,12,229,849.9,11,223.4,848.9,77 Clinton Avenue,Brooklyn,NY,11205,111675,1968
3,4013,34,3089171,K932,DOE,92,88.6,59.9,91,88.5,59.9,631 Belmont Avenue,Brooklyn,NY,11207,24060,1906
3,5873,84,3145771,K940,DOE,93,73.7,52.5,94,71.5,51,415 Ovington Avenue,Brooklyn,NY,11209,25360,1935
3,1482,1,3039676,K987,DOE,22,283,455.4,16,255.1,418,1396 Broadway,Brooklyn,NY,11221,48400,1911
3,6065,43,3154215,K989,DOE,42,247.5,552.8,54,221.7,492.4,415 89th Street,Brooklyn,NY,11209,62180,1973
3,1812,1,3329679,K994,DOE,2,305.8,255.2,2,311.5,267.1,1119 Bedford Avenue,Brooklyn,NY,11216,25400,1920
3,7782,34,3215797,K995,DOE,3,183.8,145.3,4,179.5,142.1,5613 Flatlands Avenue,Brooklyn,NY,11234,27660,1925
3,6739,77,3180747,K997,DOE,1,281.3,216.1,1,269.1,205.3,1780 Ocean Avenue,Brooklyn,NY,11230,26510,2001
1,279,40,1003375,M001,DOE,28,116.7,387.9,29,115,383.1,8 Henry Street,Manhattan,NY,10038,87680,1900
1,273,1,1003248,M002,DOE,82,107.4,495.3,92,88.1,398.6,122 Henry Street,Manhattan,NY,10002,109300,1957
1,585,41,1009872,M003,DOE,51,67.5,344.9,24,86.3,449.1,490 Hudson Street,Manhattan,NY,10014,121280,1906
1,2118,22,1062792,M004,DOE,45,181.6,508.4,54,165.8,486.5,500 West 160th Street,Manhattan,NY,10032,84100,1995
1,2150,30,1084201,M005 and M921,DOE,39,163.4,619.6,45,152.9,585.1,3703 10th Avenue,Manhattan,NY,10034,114980,1992
1,1493,21,1046668,M006,DOE,38,141.6,597.5,50,110.3,443.5,45 East 81st Street,Manhattan,NY,10028,91300,1952
1,1768,21,1083501,M007,DOE,32,158.2,889.5,41,146.1,801.7,160 East 120th Street,Manhattan,NY,10035,102200,1960
1,2112,1,1081842,M008,DOE,70,133.3,346.6,44,168,591.7,465 West 167th Street,Manhattan,NY,10032,90100,1995
1,1214,29,1032119,M009,DOE,84,104.6,574,91,90.9,510.8,100 West 84th Street,Manhattan,NY,10024,105725,1965
1,2016,100,1060198,M010 and M200,DOE,76,87.3,1504,82,79.8,1363.3,2581 7th Avenue,Manhattan,NY,10039,372450,1965
1,744,24,1013260,M011,DOE,80,108,640.9,82,105.6,623.5,320 West 21st Street,Manhattan,NY,10011,115300,1925
1,1612,50,1051515,M013,DOE,49,97.9,863.5,52,95.5,827.2,1573 Madison Avenue,Manhattan,NY,10029,180175,1958
1,374,20,1004415,M015,DOE,8,171.2,776,12,155.7,707.9,333 East 4th Street,Manhattan,NY,10009,72080,1910
1,1038,14,1025092,M017,DOE,39,95,442.6,53,84.8,393.1,328 West 28th Street,Manhattan,NY,10001,121300,1925
1,453,34,1006478,M019,DOE,69,91.7,318,53,105.5,411,185 1st Avenue,Manhattan,NY,10003,84125,1955
1,355,1,1004325,M020,DOE,97,76,347.9,95,81,399.3,166 Essex Street,Manhattan,NY,10002,110525,1961
1,335,1,1004070,M022,DOE,32,136.2,1048.6,70,95.6,646.4,111 Columbia Street,Manhattan,NY,10002,173825,1958
1,354,80,1004323,M025,DOE,67,105.2,566,73,98.4,529.5,145 Stanton Street,Manhattan,NY,10002,190975,1975
1,2107,26,1076739,M028,DOE,40,124.9,709.8,41,123.8,754.6,475 West 155th Street,Manhattan,NY,10032,122525,1959
1,1776,20,1054502,M030,DOE,8,127.7,753.9,5,136.4,801.4,144-176 East 128th Street,Manhattan,NY,10035,163375,1969
1,724,23,1012829,M033,DOE,19,153.9,480.2,5,192.5,642.1,281 9th Avenue,Manhattan,NY,10001,83100,1951
1,381,38,1004564,M034,DOE,14,145.5,453,14,145.8,457,730 East 12th Street,Manhattan,NY,10009,66080,1954
1,1850,2,1055890,M036,DOE,44,158.2,701.7,74,118.7,360,123 Morningside Drive,Manhattan,NY,10027,85280,1966
1,925,12,1020513,M040,DOE,49,107.6,555,52,103.6,537.4,319 East 19th Street,Manhattan,NY,10003,114125,1898
1,606,49,1010543,M041,DOE,93,72.3,207.1,62,112.4,490.4,116 West 11th Street,Manhattan,NY,10011,97300,1957
1,309,1,1003998,M042,DOE,50,123.5,398.6,59,113.6,353.6,71 Hester Street,Manhattan,NY,10002,88880,1900
1,1984,33,1059723,M043,DOE,44,123.5,752.6,87,112.6,690.4,509 West 129th Street,Manhattan,NY,10027,151280,1936
1,1148,14,1030178,M044,DOE,74,79.6,625.7,88,77.4,631.9,100 West 77th Street,Manhattan,NY,10024,171725,1956
1,1797,100,1054786,M045,DOE,62,115.6,1061.8,84,141.6,1153.9,2351 1st Avenue,Manhattan,NY,10035,210175,1956
1,2106,50,1082090,M046 and M846,DOE,99,53.3,197.6,100,51.6,194.2,2987 Frederick Douglass Boulevard,Manhattan,NY,10039,120244,1966
1,904,24,1019775,M047,DOE,7,164.8,986.5,12,147.7,855.6,225 East 23rd Street,Manhattan,NY,10010,141660,1925
1,2167,29,1076752,M048 and M902,DOE,23,134.5,442.9,8,168,564.1,4360 Broadway,Manhattan,NY,10033,114821,1992
1,1694,1,1083933,M050,DOE,12,143,791.9,16,134.6,776,433 East 100th Street,Manhattan,NY,10029,141850,1973
1,1073,1,1083785,M051,DOE,74,124.1,182.8,81,113.1,162.6,520 West 45th Street,Manhattan,NY,10036,37280,1940
1,2233,20,1076776,M052,DOE,52,117.4,980.1,41,128.1,1099,650 Academy Street,Manhattan,NY,10034,164575,1932
1,1862,11,1055990,M054,DOE,67,103.3,698.7,73,97.4,667.7,103 West 107th Street,Manhattan,NY,10025,137000,1925
1,269,41,1003223,M056,DOE,85,83.4,620.9,97,60.9,370.2,220 Henry Street,Manhattan,NY,10002,183775,1966
1,1640,139,1083184,M057,DOE,23,161,733.4,76,128.3,434.5,176 East 115th Street,Manhattan,NY,10029,109300,1964
1,1043,22,1025241,M058,DOE,93,122.6,323,94,120.1,311.1,317 West 52nd Street,Manhattan,NY,10019,64480,1930
1,439,17,1005974,M060,DOE,3,137.5,1081,2,144.2,1096,420 East 12th Street,Manhattan,NY,10009,144175,1923
1,394,12,1079053,M061,DOE,33,136.4,506.4,33,135.9,509.6,610 East 12th Street,Manhattan,NY,10009,90080,1940
1,431,14,1005760,M063,DOE,90,53.1,167.2,63,76.7,290.2,121 East 3rd Street,Manhattan,NY,10009,102080,1920
1,387,1,1004627,M064,DOE,51,121.6,783.5,50,121.2,756.9,600 East 6th Street,Manhattan,NY,10009,160975,1953
1,1568,8,1050618,M066,DOE,95,84.7,169.3,93,84.6,182.5,421 East 88th Street,Manhattan,NY,10128,69680,1920
1,741,10,1079152,M070,DOE,95,73.3,372.8,96,70.4,358.3,333 West 17th Street,Manhattan,NY,10011,180175,1966
1,1632,11,1081340,M072,DOE,98,59.9,159.2,94,71.8,214.9,131 East 104th Street,Manhattan,NY,10029,88900,1924
1,1253,65,1034190,M075,DOE,10,131.9,764.6,8,136.6,817,735 West End Avenue,Manhattan,NY,10025,110575,1950
1,1926,17,1058470,M076,DOE,26,136.3,677.7,55,105,436.8,220 West 121st Street,Manhattan,NY,10027,105680,1963
1,1747,1,1053968,M079,DOE,85,102.3,501.7,81,108.1,557.7,55 East 120th Street,Manhattan,NY,10035,105700,1962
1,1925,19,1058447,M081,DOE,30,108.5,649.9,30,108.7,663.8,212 West 120th Street,Manhattan,NY,10027,110480,1905
1,1659,12,1052436,M083,DOE,41,126.1,614.7,48,118.2,558.1,219 East 109th Street,Manhattan,NY,10029,94900,1965
1,1205,6,1081042,M084,DOE,45,105.4,540,57,95.4,478.1,32 West 92nd Street,Manhattan,NY,10025,104525,1972
1,1149,7,1030196,M087,DOE,45,79.8,439.2,35,86.8,482.1,160 West 78th Street,Manhattan,NY,10024,106900,1954
1,1830,19,1055204,M088,DOE,21,164.4,1422.4,17,169.9,1448,215 West 114th Street,Manhattan,NY,10026,208925,1930
1,16,220,1085459,M089,DOE,35,163.2,619.4,45,166.4,655.2,201 Warren Street,Manhattan,NY,10282,114125,1997
1,2112,58,1076741,M090,DOE,24,154.7,857.4,10,185.4,1040.8,21 Jumel Place,Manhattan,NY,10032,193375,1993
1,1939,11,1058808,M092,DOE,31,95.4,635.9,20,106.5,732.5,222 West 134th Street,Manhattan,NY,10030,133325,1964
1,2084,29,1087824,M093,DOE,1,235.7,567.3,1,256.8,616.8,501-503 West 152nd Street,Manhattan,NY,10031,80600,2007
1,1784,12,1074333,M096,DOE,67,109.2,448,64,112.3,506.7,216 East 120th Street,Manhattan,NY,10035,94900,1964
1,325,25,1004062,M097,DOE,50,100.5,329.5,84,85.4,267.5,525 East Houston Street,Manhattan,NY,10002,85300,1915
1,2229,12,1064871,M098 and M845,DOE,46,123.5,1154.2,53,116.7,1108.6,512 West 212st Street,Manhattan,NY,10034,115375,1923
1,1693,1,1052998,M099,DOE,36,126.5,682.4,38,125.2,675.5,410 East 100th Street,Manhattan,NY,10029,138125,1925
1,1639,3,1081346,M101,DOE,45,112.7,863.7,27,116.1,919.2,141 East 111th Street,Manhattan,NY,10029,142925,1926
1,1684,101,1081366,M102,DOE,28,120.8,541.9,28,120.1,549.7,315 East 113th Street,Manhattan,NY,10029,82880,1912
1,926,1,1081671,M104,DOE,87,81.5,492.1,92,73.8,440.9,330 East 21st Street,Manhattan,NY,10010,146575,1954
1,1614,21,1051584,M108,DOE,68,77.2,384.2,79,93.9,518.6,1615 Madison Avenue,Manhattan,NY,10029,105725,1951
1,331,140,1004066,M110,DOE,90,94.6,215.9,92,88.4,201.4,285 Delancy Street,Manhattan,NY,10002,62480,2007
1,1062,3,1026740,M111,DOE,65,114,641.9,68,109.6,600.1,440 West 53rd Street,Manhattan,NY,10019,108080,1959
1,1816,1,1084005,M112 and M206,DOE,60,78.5,846.1,70,70.8,711.4,535 East 119th Street,Manhattan,NY,10035,237675,1968
1,1828,15,1055111,M113,DOE,3,144.6,819.3,61,71.5,212.4,240 West 113th Street,Manhattan,NY,10026,105100,1938
1,1554,23,1087665,M114,DOE,39,195.9,450.7,28,214.7,535.2,331 East 91 Street,New York,NY,10128,79020,2009
1,2133,40,1063228,M115,DOE,21,133.9,712.3,54,98.4,480.9,586 West 177th Street,Manhattan,NY,10033,124900,1914
1,913,7,1020080,M116,DOE,81,112.3,397,82,110.3,410.7,210 East 33rd Street,Manhattan,NY,10016,74480,1925
1,1656,100,1052433,M117,DOE,31,135.7,1365.2,41,123.9,1253.9,240 East 109th Street,Manhattan,NY,10029,192175,1958
1,1223,5,1032522,M118,DOE,65,126.1,1191.9,66,124.2,1165,154 West 93rd Street,Manhattan,NY,10025,168175,1940
1,1652,16,1052384,M121,DOE,26,116.7,381.4,13,135.8,444.6,232 East 103rd Street,Manhattan,NY,10029,85280,1923
1,2042,35,1060726,M123,DOE,11,93.2,612.5,4,108.6,769.3,301 West 140th Street,Manhattan,NY,10030,141725,1958
1,289,1,1075787,M124,DOE,35,136,633.9,37,132.2,645.7,40 Division Street,Manhattan,NY,10002,111725,1978
1,1964,12,1059526,M125,DOE,50,144,1193.6,56,136.6,1110.4,425 West 123rd Street,Manhattan,NY,10027,160925,1921
1,111,160,1083357,M126,DOE,71,116,503.3,74,111.3,469.8,80 Catherine Street,Manhattan,NY,10038,105725,1965
1,2125,1,1062994,M128,DOE,54,126.8,819.6,64,131.1,942.5,560 West 169th Street,Manhattan,NY,10032,128480,1961
1,1957,10,1059407,M129,DOE,75,102.6,531.3,79,98.1,523.3,425 West 130th Street,Manhattan,NY,10027,102125,1957
1,236,38,1003086,M130,DOE,85,111.2,307.9,83,113.9,334.2,143 Baxter Street,Manhattan,NY,10013,95145,1921
1,301,3,1082489,M131,DOE,29,122.8,1039.2,30,120.9,1023.5,100 Hester Street,Manhattan,NY,10002,207109,1983
1,2165,26,1063947,M132,DOE,46,92,349.9,36,99.9,400.7,185 Wadsworth Avenue,Manhattan,NY,10033,97300,1905
1,1755,1,1054276,M133,DOE,29,123.8,549.9,15,143.4,667.6,2121 5th Avenue,Manhattan,NY,10037,81680,1949
1,288,15,1003736,M134,DOE,63,119.3,501.9,79,115.8,490.3,293 East Broadway,Manhattan,NY,10002,104460,1900
1,1960,1,1059460,M136,DOE,62,100.1,536.5,64,98.6,520.5,6 Edgecomb Avenue,Manhattan,NY,10030,135725,1925
1,245,7,1003143,M137,DOE,75,90.4,334,71,94.4,359,327 Cherry Street,Manhattan,NY,10002,99700,1966
1,344,1,1004091,M140,DOE,64,87.3,406.6,58,91.7,438.2,123 Ridge Street,Manhattan,NY,10002,99481,1957
1,343,1,1004080,M142,DOE,79,83.9,420,79,83.3,421.8,100 Attorney Street,Manhattan,NY,10002,119519,1975
1,2155,35,1063703,M143,DOE,97,49.8,602.8,100,55.6,632.7,511 West 182nd Street,Manhattan,NY,10033,190260,1928
1,1906,11,1057683,M144,DOE,42,124.5,538.5,38,129.1,592.7,134 West 122nd Street,Manhattan,NY,10027,94425,1958
1,1859,1,1076625,M145,DOE,45,129,594.5,58,114.3,483.3,150 West 105th Street,Manhattan,NY,10025,93680,1960
1,1700,1,1052999,M146,DOE,28,108.5,578.1,31,105.6,547,421 East 106th Street,Manhattan,NY,10029,109300,1964
1,1601,1,1051434,M149 and M207,DOE,3,158.7,1203.3,43,89.4,383.2,34 West 118th Street,Manhattan,NY,10026,151325,1968
1,2173,1,1064149,M152 and M847,DOE,45,120.2,693.8,47,118.3,686.5,93 Nagle Street,Manhattan,NY,10040,122684,1928
1,2078,19,1081834,M153,DOE,47,119.5,711.6,63,102.8,581.2,1750 Amsterdam Avenue,Manhattan,NY,10031,162125,1969
1,1932,10,1058671,M154,DOE,62,109.8,530.2,61,110.6,542.1,250 West 127th Street,Manhattan,NY,10027,108100,1963
1,1689,5,1052986,M155,DOE,68,108.8,615.1,69,107.6,586.4,319 East 117th Street,Manhattan,NY,10035,104500,1961
1,1489,1,1046411,M158,DOE,77,116.4,546.2,83,106.5,486.5,1458 York Avenue,Manhattan,NY,10075,127325,1898
1,1971,1,1059645,M161,DOE,81,103.5,496.2,70,118.5,612.4,499 West 133rd Street,Manhattan,NY,10027,114125,1962
1,1852,99,1055908,M163 and M919,DOE,95,110.1,453.2,93,116.4,478.6,163 West 97th Street,Manhattan,NY,10025,85750,1957
1,2111,24,1062636,M164,DOE,29,151.7,597.9,43,133.7,505.8,401 West 164th Street,Manhattan,NY,10032,96100,1930
1,1880,13,1056676,M165,DOE,19,100.6,545.1,91,103.8,562,234 West 109th Street,Manhattan,NY,10025,144125,1925
1,1219,47,1032308,M166,DOE,47,132.1,1032.4,39,142.4,1086.2,132 West 89th Street,Manhattan,NY,10024,87680,1900
1,1430,5,1044058,M167,DOE,90,79.5,753.5,96,79.8,753.2,220 East 76th Street,Manhattan,NY,10021,188575,1955
1,1516,7502,1048043,M169,DOE,5,269.9,565.1,6,260.6,545.6,110 East 88th Street,Manhattan,NY,10128,74480,1973
1,1609,7,1051497,M171,DOE,36,117,528.8,52,102.3,463.8,19 East 103rd Street,Manhattan,NY,10029,114100,1960
1,2142,154,1063503,M173,DOE,21,130.3,732.2,27,122.3,711.4,306 Fort Washington Avenue,Manhattan,NY,10033,135965,1946
1,1919,6,1058248,M175,DOE,67,120.1,587.8,46,144.2,763.7,175 West 134th Street,Manhattan,NY,10030,102175,1957
1,2234,7,1064900,M176,DOE,66,129.7,377,58,138.3,427.7,4862 Broadway,Manhattan,NY,10034,91300,1994
1,2171,36,1064128,M178,DOE,60,114.9,252,57,117.3,285.3,12 Ellwood Street,Manhattan,NY,10040,66266,2000
1,1946,1,1059111,M180,DOE,53,124.8,440.6,49,128.5,470.6,370 West 120th Street,Manhattan,NY,10027,99680,1959
1,1461,7,1045569,M183,DOE,25,112.3,317.4,24,113.5,330,419 East 66th Street,Manhattan,NY,10065,65287,1915
1,1595,15,1051410,M185 and M208,DOE,93,56.5,672.3,92,58.1,736.8,20 West 112th Street,Manhattan,NY,10026,264275,1967
1,2179,365,1064371,M187,DOE,31,116.8,394.3,69,106.3,350,349 Cabrini Boulevard,Manhattan,NY,10040,80480,1930
1,356,100,1004349,M188,DOE,63,90.8,546.1,57,95.5,544.5,442 East Houston Street,Manhattan,NY,10002,155375,1904
1,2159,51,1076750,M189,DOE,61,121.7,658.6,61,120.8,697.5,2580 Amsterdam Avenue,Manhattan,NY,10040,134387,1922
1,1545,5,1049876,M190,DOE,90,109.3,207.1,81,126.9,253.4,311 East 82nd Street,Manhattan,NY,10028,50700,1902
1,1152,29,1030320,M191,DOE,48,103.4,432.2,45,105.8,482.6,210 West 61st Street,Manhattan,NY,10023,90080,1957
1,1988,166,1084132,M192 and M848,DOE,77,103.7,648.3,82,96.2,588.6,500 West 138th Street,Manhattan,NY,10031,130560,1987
1,2029,11,1060432,M194,DOE,11,144.8,628,5,167,779.2,242 West 144th Street,Manhattan,NY,10030,90080,1940
1,2001,5,1059942,M195,DOE,11,131.5,1068.2,9,137.9,1190.6,625 West 133rd Street,Manhattan,NY,10027,186175,1975
1,1733,17,1076433,M197,DOE,46,94.5,342,43,96,345.1,2230 5th Avenue,Manhattan,NY,10037,100925,1956
1,1524,23,1048492,M198,DOE,60,120.4,688.1,67,112.5,682.1,1700 3rd Avenue,Manhattan,NY,10128,109325,1960
1,1158,40,1030351,M199,DOE,48,100.5,483.5,30,116.7,607.7,279 West 70th Street,Manhattan,NY,10023,105700,1963
1,2172,16,1076756,M218,DOE,46,112.7,1060.4,41,118,1097.9,4600 Broadway,Manhattan,NY,10040,210175,1989
1,1970,16,1084067,M223,DOE,100,141.9,164.9,100,146.4,174.7,71-111 Convent Avenue,Manhattan,NY,10027,25360,1938
1,2165,69,1063959,M233,DOE,24,162.5,1101.1,53,123.2,865.7,601 West 183rd Street,Manhattan,NY,10033,45020,1928
1,142,1,1001533,M234,DOE,56,141.3,452.9,62,133,420.3,292 Greenwich Street,Manhattan,NY,10007,84903,1988
1,2226,41,1081910,M263,DOE,89,108.7,308,9,271.1,668.4,202 Sherman Avenue,New York,NY,10034,87609,2006
1,1418,7,1087680,M267,DOE,1,300.2,563.6,1,273.8,491.9,213 East 63rd Street,Manhattan,NY,10065,50060,2008
1,1373,1,1084848,M271,DOE,1,266.4,N/A,1,228.8,N/A,645 Main Street,Manhattan,NY,10044,115085,1992
1,16,40,1087945,M276,DOE,N/A,No Energy Use,No Energy Use,1,226.1,924.6,55 Battery Place,Manhattan,NY,10001,127380,2008
1,1461,37,1087154,M390,DOE,25,112.3,317.4,24,113.5,330,408 East 67th Street,Manhattan,NY,10065,65287,1915
1,1713,1,1053152,M435,DOE,96,61.5,678,81,87.1,963.9,260 Pleasant Avenue,Manhattan,NY,10029,275000,1941
1,742,7,1013096,M440,DOE,76,117.2,1535.4,79,112.4,1426.1,351 West 18th Street,Manhattan,NY,10011,318200,1931
1,408,30,1005283,M445 and M447,DOE,89,111.5,1699.6,95,99.1,1389.2,350 Grand Street,Manhattan,NY,10002,313980,1910
1,259,44,1003214,M446,DOE,99,54.4,143.8,97,61.9,184.3,200 Monroe Street,Manhattan,NY,10002,80720,1904
1,767,68,1013858,M451,DOE,3,187.6,289.9,3,175.8,269.7,250 West 18th Street,Manhattan,NY,10011,48953,1903
1,872,57,1017828,M460,DOE,92,102.9,2350,94,95.5,2144.4,40 Irving Plaza,Manhattan,NY,10003,450200,1913
