NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
HILLCREST                ,01 ONE FAMILY HOMES                        ,781,32,$150000.00,$471843.00,$480000.00,$890000.00
HILLCREST                ,02 TWO FAMILY HOMES                        ,163,5,$400000.00,$477000.00,$420000.00,$610000.00
HOLLIS                   ,01 ONE FAMILY HOMES                        ,5337,122,$165050.00,$346599.00,$360000.00,$645609.00
HOLLIS                   ,02 TWO FAMILY HOMES                        ,2103,69,$155000.00,$376140.00,$362000.00,$635000.00
HOLLIS                   ,03 THREE FAMILY HOMES                      ,164,4,$745000.00,$771902.00,$772700.00,$797208.00
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,957,28,$470000.00,$684101.00,$673750.00,$990000.00
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,1090,26,$280900.00,$672105.00,$656750.00,$1080000.00
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,97,1,$303500.00,$303500.00,$303500.00,$303500.00
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,3513,62,$150000.00,$540330.00,$550000.00,$900000.00
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,1306,23,$150000.00,$559863.00,$600000.00,$700000.00
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,154,5,$276000.00,$542650.00,$575000.00,$777251.00
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,2703,78,$150000.00,$453767.00,$450000.00,$925000.00
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,3212,85,$185000.00,$540138.00,$532692.00,$815000.00
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,1668,22,$385000.00,$664312.00,$685000.00,$999000.00
JAMAICA                  ,01 ONE FAMILY HOMES                        ,946,19,$158900.00,$343356.00,$320000.00,$548642.00
JAMAICA                  ,02 TWO FAMILY HOMES                        ,1482,43,$185400.00,$455949.00,$450000.00,$770000.00
JAMAICA                  ,03 THREE FAMILY HOMES                      ,369,18,$200000.00,$576935.00,$630000.00,$811952.00
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,158,2,$185000.00,$194260.00,$194260.00,$203520.00
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,85,8,$210000.00,$494914.00,$522475.00,$712775.00
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,1714,44,$320500.00,$670275.00,$673750.00,$1200000.00
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,111,6,$318000.00,$512297.00,$503492.00,$745000.00
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,49,1,$710000.00,$710000.00,$710000.00,$710000.00
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,842,26,$300000.00,$484505.00,$467000.00,$839357.00
