Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"10285
(40.711871000346434, -74.01440299999842)",Commercial,41397,4368,ConEd
"10451
(40.82069640711353, -73.92384136798472)",Commercial,8071587,851598,ConEd
"10452
(40.83772426336412, -73.9233322114124)",Commercial,8504273,897248,ConEd
"10453
(40.852786838341956, -73.91342678431863)",Commercial,7851638,828392,ConEd
"10454
(40.805846930091775, -73.91628504651766)",Commercial,9709459,1024402,ConEd
"10455
(40.813535754971156, -73.9053552520432)",Commercial,4937392,520923,ConEd
"10456
(40.8304366800088, -73.9077651995043)",Commercial,14583516,1538643,ConEd
"10457
(40.84579837129786, -73.89832418681175)",Commercial,5354415,564921,ConEd
"10458
(40.86260132868841, -73.88479001504714)",Commercial,4109461,433571,ConEd
"10459
(40.82552621616202, -73.89313106784448)",Commercial,5960440,628860,ConEd
"10460
(40.84309034804119, -73.87860282506028)",Commercial,6492444,684989,ConEd
"10461
(40.846960590359004, -73.840632836736)",Commercial,3657783,385917,ConEd
"10462
(40.84225833665295, -73.85799663293824)",Commercial,3712204,391658,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Commercial,7214349,761154,ConEd
"10464
(40.875709096797436, -73.81229725041771)",Commercial,602169,63532,ConEd
"10465
(40.827628067581315, -73.82241314135337)",Commercial,3489361,368147,ConEd
"10466
(40.89080973018497, -73.84600906306775)",Commercial,6931173,731278,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Commercial,10790922,1138503,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Commercial,3511905,370526,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Commercial,8063164,850709,ConEd
"10470
(40.90012797192844, -73.8712277502604)",Commercial,878692,92707,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Commercial,2240882,236426,ConEd
"10472
(40.829730432513486, -73.87013213139272)",Commercial,5479605,578129,ConEd
"10473
(40.81773147093071, -73.86053700008245)",Commercial,8638721,911433,ConEd
"10474
(40.810882923108466, -73.88235636235618)",Commercial,3122702,329463,ConEd
"10475
(40.874142343794176, -73.82706856556183)",Commercial,11525984,1216056,ConEd
"11001
(40.72139000494485, -73.70739692842545)",Commercial,375299,39596,ConEd
"11004
(40.74323783435864, -73.71201500019208)",Commercial,2555500,269620,ConEd
"11040
(40.74529996182383, -73.6796319322678)",Commercial,1051227,110910,ConEd
"11101
(40.74570244980828, -73.93866902925225)",Commercial,9475891,999760,ConEd
"11102
(40.77152402451418, -73.92643545073543)",Commercial,3509357,370257,ConEd
"11103
(40.76286893025696, -73.91327185810974)",Commercial,1904692,200956,ConEd
"11104
(40.74489336663561, -73.92054134530679)",Commercial,1377109,145293,ConEd
"11105
(40.780092072491186, -73.90960650023976)",Commercial,3603071,380144,ConEd
"11106
(40.761699790013324, -73.9316632529567)",Commercial,4841650,510821,ConEd
"11109
(40.744414792408804, -73.95770234668589)",Commercial,752231,79365,ConEd
"11354
(40.76862022064671, -73.82719028070687)",Commercial,7429045,783806,ConEd
"11355
(40.7512997969481, -73.82147854789662)",Commercial,5137322,542016,ConEd
"11356
(40.7849280967543, -73.84181070040347)",Commercial,2433066,256702,ConEd
"11357
(40.78628404147537, -73.81123206101074)",Commercial,2399589,253170,ConEd
"11358
(40.760350968822195, -73.79632645819947)",Commercial,2357195,248697,ConEd
"11360
(40.78070133439911, -73.78226733686807)",Commercial,2307963,243503,ConEd
"11361
(40.76418884813688, -73.77232552860022)",Commercial,2049571,216241,ConEd
"11362
(40.759074216601846, -73.73430017711144)",Commercial,2594439,273728,ConEd
"11363
(40.772398418252465, -73.74679788741253)",Commercial,538595,56825,ConEd
"11364
(40.745924680379744, -73.75790275560763)",Commercial,3008945,317461,ConEd
"11365
(40.73987184371066, -73.79462153515567)",Commercial,5329748,562318,ConEd
"11366
(40.72816440726166, -73.79226817393703)",Commercial,1151855,121527,ConEd
"11367
(40.730323085042414, -73.82610630716033)",Commercial,6820750,719627,ConEd
"11370
(40.75935377085989, -73.89184400040028)",Commercial,29295,3091,ConEd
"11377
(40.74519376448069, -73.9048471440804)",Commercial,358163,37788,ConEd
"11415
(40.708286075142325, -73.82855612156771)",Commercial,887,94,ConEd
"11423
(40.71722229567246, -73.7671414999802)",Commercial,71779,7573,ConEd
"11426
(40.73704138495202, -73.72415699894628)",Commercial,1716958,181149,ConEd
"11427
(40.72931057432362, -73.75067602128132)",Commercial,1165892,123008,ConEd
"11428
(40.721396964798146, -73.74193729726841)",Commercial,65563,6917,ConEd
"11429
(40.70991312049415, -73.73864031609764)",Commercial,755,80,ConEd
"11432
(40.71311535449007, -73.79282099978928)",Commercial,1277032,134734,ConEd
"11435
(40.70119264912154, -73.80979665579099)",Commercial,79476,8385,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Large Residential,3616905,381604,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Large Residential,115301,12165,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Large Residential,495206,52247,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Large Residential,5877,620,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Large Residential,12021,1268,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Large Residential,44314,4675,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Large Residential,212584,22429,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Large Residential,400282,42232,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Large Residential,7190053,758591,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Large Residential,1137066,119967,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Large Residential,182728,19279,ConEd
"10016
(40.745242969987146, -73.97823298586354)",Large Residential,87331,9214,ConEd
"10017
(40.75245652744684, -73.97297648087982)",Large Residential,258733,27298,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Large Residential,526802,55581,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Large Residential,1239760,130802,ConEd
"10020
(40.7594985131459, -73.98007439721562)",Large Residential,271824,28679,ConEd
"10021
(40.76920532766377, -73.959183941086)",Large Residential,180776,19073,ConEd
"10022
(40.758630224005685, -73.96809182217982)",Large Residential,98604,10403,ConEd
"10023
(40.774536138232236, -73.97994335610099)",Large Residential,394079,41578,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Large Residential,215638,22751,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Large Residential,3058952,322737,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Large Residential,10352199,1092215,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Large Residential,420403,44355,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Large Residential,10842289,1143922,ConEd
"10031
(40.82495420507257, -73.9501244360938)",Large Residential,1034833,109181,ConEd
"10032
(40.83693034905639, -73.94917852197119)",Large Residential,10872811,1147142,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Large Residential,90934,9594,ConEd
"10034
(40.8706171092922, -73.9242232587963)",Large Residential,281557,29706,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Large Residential,1531490,161581,ConEd
"10036
(40.75934682719435, -73.989860554421)",Large Residential,395037,41679,ConEd
"10037
(40.81329776108288, -73.93728252556804)",Large Residential,4228025,446080,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Large Residential,217207,22917,ConEd
"10040
(40.85809553188335, -73.92925548994884)",Large Residential,186062,19631,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Large Residential,10486338,1106367,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Large Residential,73358,7740,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Large Residential,220365,23250,ConEd
"10451
(40.82069640711353, -73.92384136798472)",Large Residential,3433811,362286,ConEd
"10452
(40.83772426336412, -73.9233322114124)",Large Residential,93786,9895,ConEd
"10453
(40.852786838341956, -73.91342678431863)",Large Residential,1136648,119923,ConEd
"10454
(40.805846930091775, -73.91628504651766)",Large Residential, -   , -   ,ConEd
"10455
(40.813535754971156, -73.9053552520432)",Large Residential,51911,5477,ConEd
"10456
(40.8304366800088, -73.9077651995043)",Large Residential,161363,17025,ConEd
"10457
(40.84579837129786, -73.89832418681175)",Large Residential,182574,19263,ConEd
"10458
(40.86260132868841, -73.88479001504714)",Large Residential,2881283,303991,ConEd
"10459
(40.82552621616202, -73.89313106784448)",Large Residential,62003,6542,ConEd
"10460
(40.84309034804119, -73.87860282506028)",Large Residential,121201,12787,ConEd
"10461
(40.846960590359004, -73.840632836736)",Large Residential,9651221,1018258,ConEd
"10462
(40.84225833665295, -73.85799663293824)",Large Residential,8264125,871912,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Large Residential,219710,23181,ConEd
"10466
(40.89080973018497, -73.84600906306775)",Large Residential,1382332,145844,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Large Residential,4811979,507691,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Large Residential,2590340,273295,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Large Residential,18293,1930,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Large Residential,56954,6009,ConEd
"10472
(40.829730432513486, -73.87013213139272)",Large Residential,17374,1833,ConEd
"10473
(40.81773147093071, -73.86053700008245)",Large Residential,13657,1441,ConEd
"10474
(40.810882923108466, -73.88235636235618)",Large Residential,3339390,352324,ConEd
"10475
(40.874142343794176, -73.82706856556183)",Large Residential,16694182,1761330,ConEd
"11004
(40.74323783435864, -73.71201500019208)",Large Residential,3975637,419452,ConEd
"11040
(40.74529996182383, -73.6796319322678)",Large Residential,3364311,354954,ConEd
"11101
(40.74570244980828, -73.93866902925225)",Large Residential,11435850,1206546,ConEd
"11102
(40.77152402451418, -73.92643545073543)",Large Residential,79519,8390,ConEd
"11103
(40.76286893025696, -73.91327185810974)",Large Residential,80092,8450,ConEd
"11104
(40.74489336663561, -73.92054134530679)",Large Residential,226694,23917,ConEd
"11105
(40.780092072491186, -73.90960650023976)",Large Residential,23820,2513,ConEd
"11106
(40.761699790013324, -73.9316632529567)",Large Residential,66963,7065,ConEd
"11354
(40.76862022064671, -73.82719028070687)",Large Residential,2040792,215315,ConEd
"11355
(40.7512997969481, -73.82147854789662)",Large Residential,2632163,277708,ConEd
"11356
(40.7849280967543, -73.84181070040347)",Large Residential,11747,1239,ConEd
"11361
(40.76418884813688, -73.77232552860022)",Large Residential,446965,47157,ConEd
"11362
(40.759074216601846, -73.73430017711144)",Large Residential,36526,3854,ConEd
"11363
(40.772398418252465, -73.74679788741253)",Large Residential,40443,4267,ConEd
"11364
(40.745924680379744, -73.75790275560763)",Large Residential,1201058,126718,ConEd
"11365
(40.73987184371066, -73.79462153515567)",Large Residential,57283,6044,ConEd
"11367
(40.730323085042414, -73.82610630716033)",Large Residential,1724999,181997,ConEd
"11377
(40.74519376448069, -73.9048471440804)",Large Residential,91130,9615,ConEd
"11427
(40.72931057432362, -73.75067602128132)",Large Residential,1587862,167528,ConEd
"11432
(40.71311535449007, -73.79282099978928)",Large Residential,2212791,233462,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,1970,208,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Commercial,6584,695,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Commercial,17212,1816,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Commercial, -   , -   ,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Commercial,2660,281,ConEd
"10021
(40.76920532766377, -73.959183941086)",Commercial,6581,694,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Commercial,926,98,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Commercial,21864,2307,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Commercial,25473,2688,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Commercial,2078,219,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Commercial, -   , -   ,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Commercial,3904,412,ConEd
"10039
(40.82668192862815, -73.93777090780111)",Commercial, -   , -   ,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Commercial, -   , -   ,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Commercial,32026,3379,ConEd
"10461
(40.846960590359004, -73.840632836736)",Commercial,313,33,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Commercial,3561,376,ConEd
"10464
(40.875709096797436, -73.81229725041771)",Commercial,75,8,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Commercial,14662,1547,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Commercial,7690,811,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Commercial,1,0,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Commercial,6866,724,ConEd
"11358
(40.760350968822195, -73.79632645819947)",Commercial,2055,217,ConEd
"11360
(40.78070133439911, -73.78226733686807)",Commercial,17858,1884,ConEd
"11366
(40.72816440726166, -73.79226817393703)",Commercial,4025,425,ConEd
"10300
",Commercial,470,50,National Grid
"10301
(40.62678550844453, -74.09611291088208)",Commercial,2358335,248818,National Grid
"10301
(40.62678550844453, -74.09611291088208)",Industrial,42909,4527,National Grid
"10301
(40.62678550844453, -74.09611291088208)",Institutional,1244001,131249,National Grid
"10301
(40.62678550844453, -74.09611291088208)",Large residential,3780433,398857,National Grid
"10301
(40.62678550844453, -74.09611291088208)",Small residential,7412235,782032,National Grid
"10302
(40.63083331110846, -74.13773429869889)",Commercial,1185147,125040,National Grid
"10302
(40.63083331110846, -74.13773429869889)",Industrial,6464,682,National Grid
"10302
(40.63083331110846, -74.13773429869889)",Institutional,644313,67979,National Grid
"10302
(40.63083331110846, -74.13773429869889)",Large residential,321677,33939,National Grid
"10302
(40.63083331110846, -74.13773429869889)",Small residential,3521474,371535,National Grid
"10303
(40.633032309993155, -74.16834884981955)",Commercial,1062619,112112,National Grid
"10303
(40.633032309993155, -74.16834884981955)",Industrial,27422,2893,National Grid
"10303
(40.633032309993155, -74.16834884981955)",Institutional,163704,17272,National Grid
"10303
(40.633032309993155, -74.16834884981955)",Large residential,1519719,160339,National Grid
"10303
(40.633032309993155, -74.16834884981955)",Small residential,4136073,436379,National Grid
"10304
(40.59122944258473, -74.1113280000871)",Commercial,1445743,152534,National Grid
"10304
(40.59122944258473, -74.1113280000871)",Industrial,272952,28798,National Grid
"10304
(40.59122944258473, -74.1113280000871)",Institutional,606346,63973,National Grid
"10304
(40.59122944258473, -74.1113280000871)",Large residential,3415047,360307,National Grid
"10304
(40.59122944258473, -74.1113280000871)",Small residential,8802763,928741,National Grid
"10305
(40.596184688172855, -74.07507238488262)",Commercial,1902540,200729,National Grid
"10305
(40.596184688172855, -74.07507238488262)",Industrial,1040978,109829,National Grid
"10305
(40.596184688172855, -74.07507238488262)",Institutional,8441661,890643,National Grid
"10305
(40.596184688172855, -74.07507238488262)",Large residential,1136630,119921,National Grid
"10305
(40.596184688172855, -74.07507238488262)",Small residential,8586364,905909,National Grid
"10306
(40.56602048965391, -74.11994566905736)",Commercial,1794789,189360,National Grid
"10306
(40.56602048965391, -74.11994566905736)",Industrial,3660,386,National Grid
"10306
(40.56602048965391, -74.11994566905736)",Institutional,434767,45870,National Grid
"10306
(40.56602048965391, -74.11994566905736)",Large residential,1744540,184059,National Grid
"10306
(40.56602048965391, -74.11994566905736)",Small residential,13376088,1411252,National Grid
"10307
(40.508004527487, -74.24211428194849)",Commercial,359769,37958,National Grid
"10307
(40.508004527487, -74.24211428194849)",Industrial,1870,197,National Grid
"10307
(40.508004527487, -74.24211428194849)",Institutional,163208,17219,National Grid
"10307
(40.508004527487, -74.24211428194849)",Large residential,21125,2229,National Grid
"10307
(40.508004527487, -74.24211428194849)",Small residential,3667832,386977,National Grid
"10308
(40.552935295427574, -74.15130275981448)",Commercial,565006,59611,National Grid
"10308
(40.552935295427574, -74.15130275981448)",Industrial,4178,441,National Grid
"10308
(40.552935295427574, -74.15130275981448)",Institutional,98774,10421,National Grid
"10308
(40.552935295427574, -74.15130275981448)",Large residential,77333,8159,National Grid
"10308
(40.552935295427574, -74.15130275981448)",Small residential,6910394,729085,National Grid
"10309
(40.530393118347774, -74.21893861432557)",Commercial,1195656,126148,National Grid
"10309
(40.530393118347774, -74.21893861432557)",Industrial,1230604,129836,National Grid
"10309
(40.530393118347774, -74.21893861432557)",Institutional,579303,61120,National Grid
"10309
(40.530393118347774, -74.21893861432557)",Large residential,13184,1391,National Grid
"10309
(40.530393118347774, -74.21893861432557)",Small residential,8086128,853132,National Grid
"10310
(40.632789000212256, -74.11645860538027)",Commercial,1837495,193866,National Grid
"10310
(40.632789000212256, -74.11645860538027)",Industrial,20001,2110,National Grid
"10310
(40.632789000212256, -74.11645860538027)",Institutional,256154,27026,National Grid
"10310
(40.632789000212256, -74.11645860538027)",Large residential,1270998,134097,National Grid
"10310
(40.632789000212256, -74.11645860538027)",Small residential,5137096,541992,National Grid
"10311
(40.60754099961747, -74.17105899997284)",Commercial,55290,5833,National Grid
"10311
(40.60754099961747, -74.17105899997284)",Institutional,18255,1926,National Grid
"10312
(40.54295597733653, -74.18037681723627)",Commercial,1174629,123930,National Grid
"10312
(40.54295597733653, -74.18037681723627)",Industrial,13482,1422,National Grid
"10312
(40.54295597733653, -74.18037681723627)",Institutional,273950,28903,National Grid
"10312
(40.54295597733653, -74.18037681723627)",Large residential,3034,320,National Grid
"10312
(40.54295597733653, -74.18037681723627)",Small residential,16356892,1725744,National Grid
"10314
(40.59649030298516, -74.16599111879503)",Commercial,42747652,4510117,National Grid
"10314
(40.59649030298516, -74.16599111879503)",Industrial,441639,46595,National Grid
"10314
(40.59649030298516, -74.16599111879503)",Institutional,2294516,242084,National Grid
"10314
(40.59649030298516, -74.16599111879503)",Large residential,2046659,215934,National Grid
"10314
(40.59649030298516, -74.16599111879503)",Small residential,19041165,2008950,National Grid
"10335
",Commercial,647,68,National Grid
"10360
",Large residential,33762,3562,National Grid
"11200
",Commercial,32125,3389,National Grid
"11200
",Institutional,3605,380,National Grid
"11200
",Small residential,3960,418,National Grid
"11201
(40.69467825879468, -73.98992086835335)",Commercial,13571483,1431867,National Grid
"11201
(40.69467825879468, -73.98992086835335)",Industrial,3887016,410102,National Grid
"11201
(40.69467825879468, -73.98992086835335)",Institutional,4499131,474684,National Grid
"11201
(40.69467825879468, -73.98992086835335)",Large residential,18973029,2001761,National Grid
"11201
(40.69467825879468, -73.98992086835335)",Small residential,3575205,377204,National Grid
"11203
(40.649721601170995, -73.93427608567276)",Commercial,2692298,284053,National Grid
"11203
(40.649721601170995, -73.93427608567276)",Industrial,268262,28303,National Grid
"11203
(40.649721601170995, -73.93427608567276)",Institutional,7869164,830241,National Grid
"11203
(40.649721601170995, -73.93427608567276)",Large residential,5413010,571103,National Grid
"11203
(40.649721601170995, -73.93427608567276)",Small residential,13346866,1408169,National Grid
"11204
(40.619055848049015, -73.98479859887618)",Commercial,1607460,169596,National Grid
"11204
(40.619055848049015, -73.98479859887618)",Industrial,162329,17127,National Grid
"11204
(40.619055848049015, -73.98479859887618)",Institutional,892032,94114,National Grid
"11204
(40.619055848049015, -73.98479859887618)",Large residential,4614998,486908,National Grid
"11204
(40.619055848049015, -73.98479859887618)",Small residential,14470621,1526732,National Grid
"11205
(40.693882095282504, -73.96433450773128)",Commercial,4023498,424502,National Grid
"11205
(40.693882095282504, -73.96433450773128)",Industrial,949014,100126,National Grid
"11205
(40.693882095282504, -73.96433450773128)",Institutional,566498,59769,National Grid
"11205
(40.693882095282504, -73.96433450773128)",Large residential,11356025,1198124,National Grid
"11205
(40.693882095282504, -73.96433450773128)",Small residential,3834731,404586,National Grid
"11206
(40.70191201682616, -73.94237919854112)",Commercial,3420403,360872,National Grid
"11206
(40.70191201682616, -73.94237919854112)",Industrial,593089,62574,National Grid
"11206
(40.70191201682616, -73.94237919854112)",Institutional,2486776,262369,National Grid
"11206
(40.70191201682616, -73.94237919854112)",Large residential,22360022,2359108,National Grid
"11206
(40.70191201682616, -73.94237919854112)",Small residential,5252607,554179,National Grid
"11207
(40.670802431187326, -73.89384115004901)",Commercial,3104972,327592,National Grid
"11207
(40.670802431187326, -73.89384115004901)",Industrial,1355364,142998,National Grid
"11207
(40.670802431187326, -73.89384115004901)",Institutional,3278246,345873,National Grid
"11207
(40.670802431187326, -73.89384115004901)",Large residential,18203649,1920587,National Grid
"11207
(40.670802431187326, -73.89384115004901)",Small residential,12107357,1277394,National Grid
"11208
(40.67401318266229, -73.87206493005243)",Commercial,2729613,287989,National Grid
"11208
(40.67401318266229, -73.87206493005243)",Industrial,1481393,156295,National Grid
"11208
(40.67401318266229, -73.87206493005243)",Institutional,2265878,239063,National Grid
"11208
(40.67401318266229, -73.87206493005243)",Large residential,17908171,1889412,National Grid
"11208
(40.67401318266229, -73.87206493005243)",Small residential,12293703,1297055,National Grid
"11209
(40.62338709723679, -74.03065295347096)",Commercial,2452630,258766,National Grid
"11209
(40.62338709723679, -74.03065295347096)",Industrial,29677,3131,National Grid
"11209
(40.62338709723679, -74.03065295347096)",Institutional,2102591,221835,National Grid
"11209
(40.62338709723679, -74.03065295347096)",Large residential,10004300,1055510,National Grid
"11209
(40.62338709723679, -74.03065295347096)",Small residential,9963344,1051189,National Grid
"11210
(40.62772226387142, -73.946537919989)",Commercial,1224750,129218,National Grid
"11210
(40.62772226387142, -73.946537919989)",Industrial,63151,6663,National Grid
"11210
(40.62772226387142, -73.946537919989)",Institutional,1837588,193876,National Grid
"11210
(40.62772226387142, -73.946537919989)",Large residential,6310191,665760,National Grid
"11210
(40.62772226387142, -73.946537919989)",Small residential,11755834,1240306,National Grid
"11211
(40.711589765255496, -73.95817675075642)",Commercial,4822516,508802,National Grid
"11211
(40.711589765255496, -73.95817675075642)",Industrial,1046750,110438,National Grid
"11211
(40.711589765255496, -73.95817675075642)",Institutional,1200176,126625,National Grid
"11211
(40.711589765255496, -73.95817675075642)",Large residential,12471511,1315814,National Grid
"11211
(40.711589765255496, -73.95817675075642)",Small residential,9211590,971874,National Grid
"11212
(40.66279716995348, -73.91298489433734)",Commercial,1796469,189538,National Grid
"11212
(40.66279716995348, -73.91298489433734)",Industrial,3623309,382279,National Grid
"11212
(40.66279716995348, -73.91298489433734)",Institutional,1441719,152109,National Grid
"11212
(40.66279716995348, -73.91298489433734)",Large residential,25048890,2642798,National Grid
"11212
(40.66279716995348, -73.91298489433734)",Small residential,7377894,778409,National Grid
"11213
(40.67122516920625, -73.93644336636822)",Commercial,1724052,181897,National Grid
"11213
(40.67122516920625, -73.93644336636822)",Industrial,24515,2586,National Grid
"11213
(40.67122516920625, -73.93644336636822)",Institutional,889348,93831,National Grid
"11213
(40.67122516920625, -73.93644336636822)",Large residential,10763716,1135632,National Grid
"11213
(40.67122516920625, -73.93644336636822)",Small residential,5855036,617739,National Grid
"11214
(40.604011809897145, -74.0009690001192)",Commercial,3050502,321845,National Grid
"11214
(40.604011809897145, -74.0009690001192)",Industrial,285392,30110,National Grid
"11214
(40.604011809897145, -74.0009690001192)",Institutional,855968,90309,National Grid
"11214
(40.604011809897145, -74.0009690001192)",Large residential,7906290,834158,National Grid
"11214
(40.604011809897145, -74.0009690001192)",Small residential,12807919,1351307,National Grid
"11215
(40.665557251366124, -73.97968153557434)",Commercial,5232962,552107,National Grid
"11215
(40.665557251366124, -73.97968153557434)",Industrial,1488168,157010,National Grid
"11215
(40.665557251366124, -73.97968153557434)",Institutional,675011,71217,National Grid
"11215
(40.665557251366124, -73.97968153557434)",Large residential,6712652,708222,National Grid
"11215
(40.665557251366124, -73.97968153557434)",Small residential,9903140,1044837,National Grid
"11216
(40.680758670876, -73.94926775090596)",Commercial,1795793,189466,National Grid
"11216
(40.680758670876, -73.94926775090596)",Industrial,50669,5346,National Grid
"11216
(40.680758670876, -73.94926775090596)",Institutional,1015256,107115,National Grid
"11216
(40.680758670876, -73.94926775090596)",Large residential,6405467,675813,National Grid
"11216
(40.680758670876, -73.94926775090596)",Small residential,6780596,715391,National Grid
"11217
(40.68231210132245, -73.97956718857483)",Commercial,2720173,286993,National Grid
"11217
(40.68231210132245, -73.97956718857483)",Industrial,115795,12217,National Grid
"11217
(40.68231210132245, -73.97956718857483)",Institutional,769153,81150,National Grid
"11217
(40.68231210132245, -73.97956718857483)",Large residential,7818509,824896,National Grid
"11217
(40.68231210132245, -73.97956718857483)",Small residential,4615326,486943,National Grid
"11218
(40.64322700851966, -73.9764486221062)",Commercial,2009772,212042,National Grid
"11218
(40.64322700851966, -73.9764486221062)",Industrial,441018,46530,National Grid
"11218
(40.64322700851966, -73.9764486221062)",Institutional,342884,36176,National Grid
"11218
(40.64322700851966, -73.9764486221062)",Large residential,8839578,932625,National Grid
"11218
(40.64322700851966, -73.9764486221062)",Small residential,9322895,983618,National Grid
"11219
(40.63277295540763, -73.99667681118586)",Commercial,2866327,302414,National Grid
"11219
(40.63277295540763, -73.99667681118586)",Industrial,3101780,327255,National Grid
"11219
(40.63277295540763, -73.99667681118586)",Institutional,1076397,113566,National Grid
"11219
(40.63277295540763, -73.99667681118586)",Large residential,4862069,512976,National Grid
"11219
(40.63277295540763, -73.99667681118586)",Small residential,13366615,1410253,National Grid
"11220
(40.641184928741495, -74.01676472671073)",Commercial,5007824,528353,National Grid
"11220
(40.641184928741495, -74.01676472671073)",Industrial,2234971,235802,National Grid
"11220
(40.641184928741495, -74.01676472671073)",Institutional,625816,66027,National Grid
"11220
(40.641184928741495, -74.01676472671073)",Large residential,6756193,712816,National Grid
"11220
(40.641184928741495, -74.01676472671073)",Small residential,10755271,1134741,National Grid
"11221
(40.69128803951145, -73.92761792792498)",Commercial,1761754,185875,National Grid
"11221
(40.69128803951145, -73.92761792792498)",Industrial,50866,5367,National Grid
"11221
(40.69128803951145, -73.92761792792498)",Institutional,1174968,123966,National Grid
"11221
(40.69128803951145, -73.92761792792498)",Large residential,8523704,899299,National Grid
"11221
(40.69128803951145, -73.92761792792498)",Small residential,10226769,1078981,National Grid
"11222
(40.72825312178418, -73.94715978319738)",Commercial,3484625,367647,National Grid
"11222
(40.72825312178418, -73.94715978319738)",Industrial,1309400,138149,National Grid
"11222
(40.72825312178418, -73.94715978319738)",Institutional,2368948,249937,National Grid
"11222
(40.72825312178418, -73.94715978319738)",Large residential,3928747,414505,National Grid
"11222
(40.72825312178418, -73.94715978319738)",Small residential,4373864,461467,National Grid
"11223
(40.596939623165156, -73.97331147204676)",Commercial,2376036,250685,National Grid
"11223
(40.596939623165156, -73.97331147204676)",Industrial,159925,16873,National Grid
"11223
(40.596939623165156, -73.97331147204676)",Institutional,1093448,115365,National Grid
"11223
(40.596939623165156, -73.97331147204676)",Large residential,7349231,775385,National Grid
"11223
(40.596939623165156, -73.97331147204676)",Small residential,14240984,1502504,National Grid
"11224
(40.576304656334855, -73.99953200040147)",Commercial,2484705,262150,National Grid
"11224
(40.576304656334855, -73.99953200040147)",Industrial,101615,10721,National Grid
"11224
(40.576304656334855, -73.99953200040147)",Institutional,455120,48018,National Grid
"11224
(40.576304656334855, -73.99953200040147)",Large residential,36143134,3813303,National Grid
"11224
(40.576304656334855, -73.99953200040147)",Small residential,2671212,281828,National Grid
"11225
(40.66317005855143, -73.95370110911887)",Commercial,1296975,136838,National Grid
"11225
(40.66317005855143, -73.95370110911887)",Industrial,567743,59900,National Grid
"11225
(40.66317005855143, -73.95370110911887)",Institutional,1222964,129030,National Grid
"11225
(40.66317005855143, -73.95370110911887)",Large residential,12401180,1308394,National Grid
"11225
(40.66317005855143, -73.95370110911887)",Small residential,4686218,494422,National Grid
"11226
(40.64650500230408, -73.9571900991437)",Commercial,2807970,296257,National Grid
"11226
(40.64650500230408, -73.9571900991437)",Industrial,65835,6946,National Grid
"11226
(40.64650500230408, -73.9571900991437)",Institutional,994926,104970,National Grid
