Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"10075
(40.77293949176419, -73.95609016263086)",Residential,110074,11613,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Residential,263835,27836,ConEd
"10451
(40.82069640711353, -73.92384136798472)",Residential,259959,27427,ConEd
"10452
(40.83772426336412, -73.9233322114124)",Residential,786394,82969,ConEd
"10453
(40.852786838341956, -73.91342678431863)",Residential,785354,82859,ConEd
"10454
(40.805846930091775, -73.91628504651766)",Residential,151124,15944,ConEd
"10455
(40.813535754971156, -73.9053552520432)",Residential,226661,23914,ConEd
"10456
(40.8304366800088, -73.9077651995043)",Residential,600008,63304,ConEd
"10457
(40.84579837129786, -73.89832418681175)",Residential,779330,82224,ConEd
"10458
(40.86260132868841, -73.88479001504714)",Residential,1068746,112759,ConEd
"10459
(40.82552621616202, -73.89313106784448)",Residential,317074,33453,ConEd
"10460
(40.84309034804119, -73.87860282506028)",Residential,469613,49547,ConEd
"10461
(40.846960590359004, -73.840632836736)",Residential,587242,61957,ConEd
"10462
(40.84225833665295, -73.85799663293824)",Residential,700617,73919,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Residential,507053,53497,ConEd
"10464
(40.875709096797436, -73.81229725041771)",Residential,46873,4945,ConEd
"10465
(40.827628067581315, -73.82241314135337)",Residential,315919,33331,ConEd
"10466
(40.89080973018497, -73.84600906306775)",Residential,891414,94049,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Residential,1242679,131110,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Residential,998166,105312,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Residential,623043,65734,ConEd
"10470
(40.90012797192844, -73.8712277502604)",Residential,236066,24906,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Residential,128800,13589,ConEd
"10472
(40.829730432513486, -73.87013213139272)",Residential,827862,87344,ConEd
"10473
(40.81773147093071, -73.86053700008245)",Residential,233862,24674,ConEd
"10474
(40.810882923108466, -73.88235636235618)",Residential,114041,12032,ConEd
"10475
(40.874142343794176, -73.82706856556183)",Residential,9204,971,ConEd
"11001
(40.72139000494485, -73.70739692842545)",Residential,53094,5602,ConEd
"11004
(40.74323783435864, -73.71201500019208)",Residential,132722,14003,ConEd
"11040
(40.74529996182383, -73.6796319322678)",Residential,17466,1843,ConEd
"11101
(40.74570244980828, -73.93866902925225)",Residential,182865,19293,ConEd
"11102
(40.77152402451418, -73.92643545073543)",Residential,311766,32893,ConEd
"11103
(40.76286893025696, -73.91327185810974)",Residential,454090,47909,ConEd
"11104
(40.74489336663561, -73.92054134530679)",Residential,329490,34763,ConEd
"11105
(40.780092072491186, -73.90960650023976)",Residential,403403,42561,ConEd
"11106
(40.761699790013324, -73.9316632529567)",Residential,350151,36943,ConEd
"11211
(40.711589765255496, -73.95817675075642)",Residential, -   , -   ,ConEd
"11354
(40.76862022064671, -73.82719028070687)",Residential,299334,31581,ConEd
"11355
(40.7512997969481, -73.82147854789662)",Residential,503099,53080,ConEd
"11356
(40.7849280967543, -73.84181070040347)",Residential,268003,28276,ConEd
"11357
(40.78628404147537, -73.81123206101074)",Residential,324086,34193,ConEd
"11358
(40.760350968822195, -73.79632645819947)",Residential,405678,42801,ConEd
"11360
(40.78070133439911, -73.78226733686807)",Residential,45219,4771,ConEd
"11361
(40.76418884813688, -73.77232552860022)",Residential,290730,30674,ConEd
"11362
(40.759074216601846, -73.73430017711144)",Residential,85444,9015,ConEd
"11363
(40.772398418252465, -73.74679788741253)",Residential,54273,5726,ConEd
"11364
(40.745924680379744, -73.75790275560763)",Residential,269069,28388,ConEd
"11365
(40.73987184371066, -73.79462153515567)",Residential,222234,23447,ConEd
"11366
(40.72816440726166, -73.79226817393703)",Residential,154642,16316,ConEd
"11367
(40.730323085042414, -73.82610630716033)",Residential,321417,33911,ConEd
"11370
(40.75935377085989, -73.89184400040028)",Residential,1414,149,ConEd
"11377
(40.74519376448069, -73.9048471440804)",Residential,74199,7828,ConEd
"11423
(40.71722229567246, -73.7671414999802)",Residential,21201,2237,ConEd
"11426
(40.73704138495202, -73.72415699894628)",Residential,233178,24602,ConEd
"11427
(40.72931057432362, -73.75067602128132)",Residential,77967,8226,ConEd
"11428
(40.721396964798146, -73.74193729726841)",Residential,6282,663,ConEd
"11432
(40.71311535449007, -73.79282099978928)",Residential,77137,8138,ConEd
