Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100,Report Version
Brooklyn South,BKS13,11,2010,May,12.494749058274216,44.37807294371361,38.853636257665094,41.96542003938732,Preliminary
Brooklyn South,BKS14,11,2010,May,13.286349256674827,37.27957745666489,45.134475783548375,39.97247295841195,Preliminary
Brooklyn South,BKS15,11,2010,May,17.79185858117534,55.319132864398746,52.51456794861542,54.25386539603139,Preliminary
Brooklyn South,BKS18,11,2010,May,14.443406036847497,43.78507824885981,59.34628033032124,49.31810462506259,Preliminary
Queens West,QW01,11,2010,May,18.31269267879514,54.79961348889329,57.544145633201495,55.842078504684665,Preliminary
Queens West,QW02,11,2010,May,18.61480469790731,54.976129938734296,59.681346020409066,56.76332822936365,Preliminary
Queens West,QW03,11,2010,May,13.210223325960586,33.533666946403415,51.30230288807635,40.2827886085206,Preliminary
Queens West,QW04,11,2010,May,12.247413380581515,34.86907822272402,41.39233719979363,37.346829954160285,Preliminary
Queens West,QW05,11,2010,May,19.336375872867155,55.63134245770429,64.40445011177978,58.96366189441127,Preliminary
Queens West,QW06,11,2010,May,19.086820379681665,31.02685429040165,59.67812144280414,37.92732327765892,Preliminary
Queens West,QW09,11,2010,May,15.632987112791568,42.33504394277595,56.38234682385516,47.67067896170619,Preliminary
Queens East,QE07,11,2010,May,17.14339406262667,53.01469503215925,51.07112078120035,52.27646058793184,Preliminary
Queens East,QE08,11,2010,May,15.357681608211635,32.43299688688826,43.76543343435467,35.782049152168725,Preliminary
Queens East,QE10,11,2010,May,15.992564710225812,45.794356095774155,70.58154323757502,54.60782433103648,Preliminary
Queens East,QE11,11,2010,May,19.370087766147947,65.5725934172423,67.17015956027149,66.14063279882964,Preliminary
Queens East,QE12,11,2010,May,11.95382734141861,39.083195590399214,48.6911499925129,43.49410874617291,Preliminary
Queens East,QE13,11,2010,May,14.8797002697641,41.85702828843178,67.03055165613388,50.80786435150099,Preliminary
Queens East,QE14,11,2010,May,10.856873749664736,32.0048158006721,34.90543395388806,33.10656749819475,Preliminary
Staten Island,SI01,11,2010,May,15.191572223385233,46.9541455717905,60.78740386292506,51.87277477491984,Preliminary
Staten Island,SI02,11,2010,May,17.04848673291907,54.17105632593259,65.53969008221074,58.21335010925248,Preliminary
Staten Island,SI03,11,2010,May,17.96681413287608,57.73705128736698,67.89551007280613,61.34904861939605,Preliminary
