Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
Staten Island,501,5862727,51          ,BROAD STREET                    ,5100305,2012-10-10 00:00:00,2013-02-27 00:00:00
Staten Island,503,5073198,3873        ,RICHMOND AVENUE                 ,5084390,2010-04-09 00:00:00,2013-02-27 00:00:00
Staten Island,502,5104257,2120        ,HYLAN BOULEVARD                 ,5083336,2010-02-15 00:00:00,2013-02-27 00:00:00
Staten Island,501,5827894,43          ,BROAD STREET                    ,5100301,2012-10-10 00:00:00,2013-02-27 00:00:00
Staten Island,501,5013771,49          ,BROAD STREET                    ,5100304,2012-10-10 00:00:00,2013-02-27 00:00:00
Staten Island,503,5837691,351         ,VETERANS ROAD WEST              ,5082991,2010-01-21 00:00:00,2013-02-27 00:00:00
Staten Island,502,5861727,253         ,BUEL AVENUE                     ,5084600,2010-04-20 00:00:00,2013-02-27 00:00:00
Staten Island,502,5038994,1434        ,FOREST HILL ROAD                ,5085330,2010-05-24 00:00:00,2013-02-27 00:00:00
Staten Island,501,5000219,59          ,VICTORY BOULEVARD               ,5082834,2010-01-12 00:00:00,2013-02-27 00:00:00
Staten Island,501,5849763,184         ,HEBERTON AVENUE                 ,5078768,2009-05-29 00:00:00,2013-02-27 00:00:00
Staten Island,501,5014447,174         ,TARGEE STREET                   ,5088068,2010-10-23 00:00:00,2013-02-27 00:00:00
Staten Island,503,5105218,1150        ,ARDEN AVENUE                    ,5084172,2010-04-01 00:00:00,2013-02-27 00:00:00
Staten Island,502,5854818,6           ,GOLLER PLACE                    ,5079133,2009-06-16 00:00:00,2013-02-27 00:00:00
Staten Island,502,5852466,64          ,ANNFIELD COURT                  ,5094084,2011-10-05 00:00:00,2013-02-27 00:00:00
Queens,412,4451824,9504        ,ALLENDALE STREET                ,4402424,2009-06-02 00:00:00,2013-02-27 00:00:00
Queens,414,4864767,24-27       ,BEACH CHANNEL DRIVE             ,4401940,2009-05-29 00:00:00,2013-02-27 00:00:00
Queens,413,4243638,115-38      ,231 STREET                      ,4525053,2012-08-20 00:00:00,2013-02-27 00:00:00
Queens,404,4846826,79-01       ,  57 AVENUE                     ,4402711,2009-06-03 00:00:00,2013-02-27 00:00:00
Queens,407,4100682,28-24       , 119 STREET                     ,4415513,2009-09-16 00:00:00,2013-02-27 00:00:00
Queens,4  ,4859759,4-20        ,  44 AVENUE                     ,4402436,2009-06-02 00:00:00,2013-02-27 00:00:00
Queens,412,4539003,107-31      ,155 STREET                      ,4521332,2012-07-13 00:00:00,2013-02-27 00:00:00
Queens,408,4206585,81-05       , 135 STREET                     ,4402713,2009-06-03 00:00:00,2013-02-27 00:00:00
Queens,414,4864428,24-51       ,BEACH CHANNEL DRIVE             ,4395295,2009-04-02 00:00:00,2013-02-27 00:00:00
Queens,414,4860592,813         ,SEAGIRT BOULEVARD               ,4507273,2012-02-14 00:00:00,2013-02-27 00:00:00
Queens,412,4262425,130-33      , 145 STREET                     ,4402544,2009-06-03 00:00:00,2013-02-27 00:00:00
Queens,413,4815582,147-36      ,224 STREET                      ,4512837,2012-04-16 00:00:00,2013-02-27 00:00:00
Queens,407,4098725,141-11      ,  15 AVENUE                     ,4397820,2009-04-23 00:00:00,2013-02-27 00:00:00
Queens,401,4863329,29-07       ,QUEENS PLAZA NORTH              ,4428701,2009-12-16 00:00:00,2013-02-27 00:00:00
Queens,414,4860626,714         ,SEAGIRT AVENUE                  ,4506895,2012-02-09 00:00:00,2013-02-27 00:00:00
Queens,412,4539005,107-29      ,155 STREET                      ,4521333,2012-07-13 00:00:00,2013-02-27 00:00:00
Queens,412,4864230,108-06      ,FERN PLACE                      ,4402446,2009-06-02 00:00:00,2013-02-27 00:00:00
Queens,407,4117178,140-17      ,CHERRY AVENUE                   ,4508320,2012-02-27 00:00:00,2013-02-27 00:00:00
Queens,411,4169867,38-02       ,LITTLE NECK PARKWAY             ,4473043,2011-02-25 00:00:00,2013-02-27 00:00:00
Queens,413,4863308,94-31       , 222 STREET                     ,4402750,2009-06-03 00:00:00,2013-02-27 00:00:00
Queens,408,4223878,87-01       ,CLOVER PLACE                    ,4407777,2009-07-14 00:00:00,2013-02-27 00:00:00
Queens,405,4082963,1864        ,PALMETTO STREET                 ,4415511,2009-09-16 00:00:00,2013-02-27 00:00:00
Queens,405,4854577,70-25       ,QUEENS MIDTOWN EXPRESSWAY       ,4499750,2011-11-15 00:00:00,2013-02-27 00:00:00
Queens,405,4089636,69-09       ,MYRTLE AVENUE                   ,4482559,2011-05-31 00:00:00,2013-02-27 00:00:00
