YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
201004,Medical Emergencies,Staten Island,917,4:30
201004,Medical Emergencies,Brooklyn,4966,3:52
201004,Medical Emergencies,Queens,3699,4:27
201004,Non Medical Emergencies,Citywide,15101,4:48
201004,Non Medical Emergencies,Manhattan,4188,4:55
201004,Non Medical Emergencies,Bronx,3112,4:59
201004,Non Medical Emergencies,Staten Island,995,5:00
201004,Non Medical Emergencies,Brooklyn,4131,4:19
201004,Non Medical Emergencies,Queens,2675,5:03
201004,False Alarm,Citywide,2089,4:15
201004,False Alarm,Manhattan,370,4:26
201004,False Alarm,Bronx,644,4:26
201004,False Alarm,Staten Island,178,4:15
201004,False Alarm,Brooklyn,402,3:43
201004,False Alarm,Queens,495,4:17
201004,Medical False Alarm,Citywide,383,4:11
201004,Medical False Alarm,Manhattan,91,4:17
201004,Medical False Alarm,Bronx,75,4:12
201004,Medical False Alarm,Staten Island,14,4:33
201004,Medical False Alarm,Brooklyn,122,3:53
201004,Medical False Alarm,Queens,81,4:25
201004,All Fire/Emergency Incidents,Citywide,38465,4:28
201004,All Fire/Emergency Incidents,Manhattan,10083,4:37
201004,All Fire/Emergency Incidents,Bronx,7711,4:37
201004,All Fire/Emergency Incidents,Staten Island,2325,4:45
201004,All Fire/Emergency Incidents,Brooklyn,10702,4:01
201004,All Fire/Emergency Incidents,Queens,7644,4:40
201005,All Fire/Emergency Incidents,Queens,9272,4:48
201005,Structural Fires,Citywide,2121,3:59
201005,Structural Fires,Manhattan,529,4:07
201005,Structural Fires,Bronx,437,4:07
201005,Structural Fires,Staten Island,101,4:34
201005,Structural Fires,Brooklyn,703,3:33
201005,Structural Fires,Queens,351,4:21
201005,Non Structural Fires,Citywide,1538,4:18
201005,Non Structural Fires,Manhattan,373,4:12
201005,Non Structural Fires,Bronx,267,4:40
201005,Non Structural Fires,Staten Island,80,4:33
201005,Non Structural Fires,Brooklyn,489,3:49
201005,Non Structural Fires,Queens,329,4:46
201005,Medical Emergencies,Citywide,19278,4:15
201005,Medical Emergencies,Manhattan,5086,4:19
201005,Medical Emergencies,Bronx,3617,4:24
201005,Medical Emergencies,Staten Island,916,4:42
201005,Medical Emergencies,Brooklyn,5549,3:54
201005,Medical Emergencies,Queens,4110,4:28
201005,Non Medical Emergencies,Citywide,17866,4:53
201005,Non Medical Emergencies,Manhattan,4847,4:52
201005,Non Medical Emergencies,Bronx,3580,5:07
201005,Non Medical Emergencies,Staten Island,1074,5:04
201005,Non Medical Emergencies,Brooklyn,4711,4:22
201005,Non Medical Emergencies,Queens,3654,5:16
201005,False Alarm,Citywide,2614,4:19
201005,False Alarm,Manhattan,424,4:20
201005,False Alarm,Bronx,740,4:32
201005,False Alarm,Staten Island,223,4:19
201005,False Alarm,Brooklyn,475,3:53
201005,False Alarm,Queens,752,4:23
201005,Medical False Alarm,Citywide,431,4:07
201005,Medical False Alarm,Manhattan,104,4:03
201005,Medical False Alarm,Bronx,107,4:09
201005,Medical False Alarm,Staten Island,16,4:08
201005,Medical False Alarm,Brooklyn,128,3:57
201005,Medical False Alarm,Queens,76,4:23
201005,All Fire/Emergency Incidents,Citywide,43848,4:31
201005,All Fire/Emergency Incidents,Manhattan,11363,4:34
201005,All Fire/Emergency Incidents,Bronx,8748,4:43
201005,All Fire/Emergency Incidents,Staten Island,2410,4:49
201005,All Fire/Emergency Incidents,Brooklyn,12055,4:04
201006,Medical False Alarm,Queens,107,4:32
201006,Structural Fires,Citywide,1937,3:58
201006,Structural Fires,Manhattan,422,4:01
201006,Structural Fires,Bronx,402,4:06
201006,Structural Fires,Staten Island,93,4:50
201006,Structural Fires,Brooklyn,663,3:32
201006,Structural Fires,Queens,357,4:23
201006,Non Structural Fires,Citywide,1741,4:19
201006,Non Structural Fires,Manhattan,426,4:18
201006,Non Structural Fires,Bronx,312,4:30
201006,Non Structural Fires,Staten Island,106,4:51
201006,Non Structural Fires,Brooklyn,496,3:56
201006,Non Structural Fires,Queens,401,4:30
201006,Medical Emergencies,Citywide,19256,4:16
201006,Medical Emergencies,Manhattan,5342,4:19
201006,Medical Emergencies,Bronx,3519,4:24
201006,Medical Emergencies,Staten Island,943,4:30
201006,Medical Emergencies,Brooklyn,5472,3:54
201006,Medical Emergencies,Queens,3980,4:33
201006,Non Medical Emergencies,Citywide,17689,4:59
201006,Non Medical Emergencies,Manhattan,4820,5:01
201006,Non Medical Emergencies,Bronx,3853,5:15
201006,Non Medical Emergencies,Staten Island,967,5:02
201006,Non Medical Emergencies,Brooklyn,4650,4:28
201006,Non Medical Emergencies,Queens,3399,5:19
201006,False Alarm,Citywide,2695,4:21
201006,False Alarm,Manhattan,497,4:25
201006,False Alarm,Bronx,780,4:38
201006,False Alarm,Staten Island,202,4:09
201006,False Alarm,Brooklyn,434,3:52
201006,False Alarm,Queens,782,4:21
201006,Medical False Alarm,Citywide,460,4:14
201006,Medical False Alarm,Manhattan,127,4:11
201006,Medical False Alarm,Bronx,83,4:25
201006,Medical False Alarm,Staten Island,19,4:22
201006,Medical False Alarm,Brooklyn,124,3:55
201006,All Fire/Emergency Incidents,Citywide,43778,4:34
201006,All Fire/Emergency Incidents,Manhattan,11634,4:39
201006,All Fire/Emergency Incidents,Bronx,8949,4:49
201006,All Fire/Emergency Incidents,Staten Island,2330,4:44
201006,All Fire/Emergency Incidents,Brooklyn,11839,4:07
201006,All Fire/Emergency Incidents,Queens,9026,4:49
FyTotal,All Fire/Emergency Incidents,Staten Island,27893,4:54
FyTotal,Structural Fires,Citywide,26595,3:59
FyTotal,Structural Fires,Manhattan,6204,4:08
FyTotal,Structural Fires,Bronx,5909,4:05
FyTotal,Structural Fires,Staten Island,1186,4:30
FyTotal,Structural Fires,Brooklyn,8566,3:32
FyTotal,Structural Fires,Queens,4730,4:20
FyTotal,Non Structural Fires,Citywide,17189,4:18
FyTotal,Non Structural Fires,Manhattan,4293,4:17
FyTotal,Non Structural Fires,Bronx,2843,4:34
FyTotal,Non Structural Fires,Staten Island,961,4:39
FyTotal,Non Structural Fires,Brooklyn,5166,3:52
FyTotal,All Fire/Emergency Incidents,Queens,99797,4:49
FyTotal,Non Structural Fires,Queens,3926,4:37
FyTotal,Medical Emergencies,Citywide,208735,4:17
FyTotal,Medical Emergencies,Manhattan,54468,4:21
FyTotal,Medical Emergencies,Bronx,39254,4:24
FyTotal,Medical Emergencies,Staten Island,10522,4:31
FyTotal,Medical Emergencies,Brooklyn,60190,3:55
FyTotal,Medical Emergencies,Queens,44301,4:34
FyTotal,Non Medical Emergencies,Citywide,205735,4:53
FyTotal,Non Medical Emergencies,Manhattan,54840,4:56
FyTotal,Non Medical Emergencies,Bronx,42373,5:07
YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
FyTotal,Non Medical Emergencies,Staten Island,12838,5:21
FyTotal,Non Medical Emergencies,Brooklyn,57032,4:21
FyTotal,Non Medical Emergencies,Queens,38652,5:15
FyTotal,False Alarm,Citywide,26543,4:16
FyTotal,False Alarm,Manhattan,4717,4:23
FyTotal,False Alarm,Bronx,7033,4:30
FyTotal,False Alarm,Staten Island,2229,4:16
FyTotal,False Alarm,Brooklyn,5470,3:46
FyTotal,False Alarm,Queens,7094,4:21
FyTotal,Medical False Alarm,Citywide,4557,4:17
FyTotal,Medical False Alarm,Manhattan,1163,4:17
FyTotal,Medical False Alarm,Bronx,910,4:22
FyTotal,Medical False Alarm,Staten Island,157,4:29
FyTotal,All Fire/Emergency Incidents,Brooklyn,137657,4:04
FyTotal,Medical False Alarm,Brooklyn,1233,3:52
FyTotal,Medical False Alarm,Queens,1094,4:40
FyTotal,All Fire/Emergency Incidents,Citywide,489354,4:33
FyTotal,All Fire/Emergency Incidents,Manhattan,125685,4:38
FyTotal,All Fire/Emergency Incidents,Bronx,98322,4:44
