Neighborhood,Total Sq Ft,Address 1,Address 2,Zip,Location
West side,2314,424 West 47th,,10036,"424 West 47th
NY 10036
(40.76187493954394, -73.99108910721719)"
Harlem,14136,2080 Lexington Ave,,10035,"2080 Lexington Ave
NY 10035
(40.80474226452544, -73.93723272371706)"
East New York,4100,544 Hemlock,,11208,"544 Hemlock
NY 11208
(40.67574958092258, -73.86920974320446)"
Prospect Heights,7800,934 Carroll Street,,11225,"934 Carroll Street
NY 11225
(40.668279990895826, -73.96031310435495)"
Crown Heights/Bedsty,10344,561 Grand Ave,ACORN Community High School,11238,"561 Grand Ave
NY 11238
(40.678505282368974, -73.96206678231209)"
Crown Heights,7400,1544 Park Place,,11213,"1544 Park Place
NY 11213
(40.67209311630006, -73.92612987402129)"
Bay Ridge,8700,8224 Bay Parkway,,11214,"8224 Bay Parkway
NY 11214
(40.60383457427622, -73.99190628724426)"
Greenpoint,22482,1205 Manhattan Ave,,11222,"1205 Manhattan Ave
NY 11222
(40.738323246084356, -73.95549859849825)"
Greenwich Village,2164,46 Barrow Street,,10014,"46 Barrow Street
NY 10014
(40.732068902434094, -74.00446981599356)"
Greenwich Village,2744,16 Jones Street,,10014,"16 Jones Street
NY 10014
(40.73202393633261, -74.00241036854646)"
East Tremont,25095,785 Crotona Park North,,10460,"785 Crotona Park North
NY 10460
(40.84071880681541, -73.89149252136858)"
East New York,16100,330 Hinsdale Street,Genesis,11207,"330 Hinsdale Street
NY 11207
(40.66699107606569, -73.89951544807649)"
Bronx,27785,285 East 171st Street,Morris Avenue,10457,"285 East 171st Street
NY 10457
(40.83884564709217, -73.91011029213364)"
Lower East Side,5362,301 Henry St,,10002,"301 Henry St
NY 10002
(40.71409101382021, -73.98288330000933)"
Lower East Side,10222,466 Grand St,,10002,"466 Grand St
NY 10002
(40.71519665282712, -73.98403688955878)"
East New York,6356,2640 Pitkin Ave,,11208,"2640 Pitkin Ave
NY 11208
(40.674947870603305, -73.87466318005116)"
East Village,1830,743 East 9th Street and Avenue D,The Cylar House Health Center,10009,"743 East 9th Street and Avenue D
NY 10009
(40.72638999989874, -73.9809699996656)"
Manhattan,2990,310 E 3rd St,,10009,"310 E 3rd St
NY 10009
(40.72099824825341, -73.97906396866586)"
Far Rockaway,8735,1915 seagirt,,11691,"1915 seagirt
NY 11691
(40.59499485846713, -73.75331674796747)"
Far Rockaway,8099,155 beach 19th st,,11691,"155 beach 19th st
NY 11691
(40.59333049297396, -73.75322622066807)"
Far Rockaway,8294,1925 seagirt,,11691,"1925 seagirt
NY 11691
(40.59499572108213, -73.75339524593242)"
Brighton Beach,20000,161 Corbin Place,,11235,"161 Corbin Place
NY 11235
(40.57876489795757, -73.95417398727048)"
Brighton Beach,11041,3161 Brighton 6th St,,11235,"3161 Brighton 6th St
NY 11235
(40.575577876115574, -73.96106853485958)"
Coney Island,10041,3601 Surf Avenue,,11224,"3601 Surf Avenue
NY 11224
(40.57318567951768, -74.00166393126216)"
Morning Side Heights,2747,16 Arden St,,10040,"16 Arden St
NY 10040
(40.86153530177211, -73.92692127740702)"
Morning Side Heights,2747,12 Arden St,,10040,"12 Arden St
NY 10040
(40.86143637634888, -73.92684933164469)"
Morning Site Heights,5328,75 Wadsworth Terrace,,10040,"75 Wadsworth Terrace
NY 10040
(40.85685882721975, -73.93078836213306)"
Morning Side Heights,5552,510 West 188th Street,,10040,"510 West 188th Street
NY 10040
(40.852766911986464, -73.92843213841627)"
Morrisania,4045,1061 Intervale  Ave,,10459,"1061 Intervale Ave
NY 10459
(40.825013834162235, -73.89687492840812)"
Long Island City,24777,46-02 21st St,,11101,"46-02 21st St
NY 11101
(40.74561269219532, -73.94823520950143)"
South Williamsburg,9261,106 Gerry Street,,11206,"106 Gerry Street
NY 11206
(40.70248120767013, -73.94577106714115)"
South Williamsburg,9800,41 Whipple Street,,11206,"41 Whipple Street
NY 11206
(40.701143046266615, -73.94501816267156)"
Carol Gardens,15246,155 3rd Street,,11231,"155 3rd Street
NY 11231
(40.67641885526098, -73.99073716860619)"
