QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
4-04588-0023,"162 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,581489,14.29,241710,5.94,339779,1540000,37.85,4-04986-0018,"147 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,54,1959,49000,686259,14.01,313078,6.39,373181,2455000,50.1,2.08,4-05122-0022,"134 MAPLE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,64,1963,51450,749547,14.57,286083,5.56,463464,3202000,62.24,3.13,, , , , , , , , , , , , , , 
4-04588-0024,"162 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.39,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.25,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.53
4-04588-0036,"7 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.39,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.25,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.53
4-04588-0038,"7 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.39,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.25,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.53
4-04588-0051,"162 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1540000,37.85,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.39,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.25,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.53
4-04588-0052,"162 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1540000,37.85,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.39,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.25,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.53
4-04591-0066,"11 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1540000,37.85,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0075,"10 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0082,"10 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0083,"9 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0096,"10 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0103,"162 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0109,"162 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0118,"9 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0129,"10 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0135,"10 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04591-0145,"10 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.33,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.21,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.48
4-04602-0030,"9 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0034,"9 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0110,"168 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,50462,836155,16.57,354243,7.02,481912,1859000,36.84,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0119,"168 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0120,"167 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0125,"167 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1529000,37.57,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04602-0131,"166 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1496000,36.76,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.1,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.45,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.38
4-04603-0002,"7 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04603-0018,"166 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04603-0019,"166 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04603-0032,"166 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04603-0034,"166 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04603-0048,"166 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,674266,16.57,285658,7.02,388608,1518000,37.3,4-05865-0112,"16 BELL BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",BAYSIDE,D3-ELEVATOR,152,1973,147700,2655707,17.98,938256,6.35,1717451,11550000,78.2,1.16,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,1.48,4-05958-0030,23 WATERS EDGE DRIVE,BAYSIDE,D1-ELEVATOR,121,1969,"146,525","2,427,510",16.57,"1,028,325",7.02,"1,399,185","8,800,000",60.06,1.44
4-04717-0001,"151 CROSS ISLE PARKWAY
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D4-ELEVATOR,66,1965,73690,1173145,15.92,562992,7.64,610153,3322000,45.08,4-04157-0002,"19 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D3-ELEVATOR,60,1971,58380,929352,15.92,317783,5.44,611569,3289000,56.34,0.72,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
