Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
4/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/3/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/31/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/30/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/29/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/27/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/24/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/23/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/22/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/21/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/20/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/19/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/18/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/17/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/16/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/15/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/14/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/13/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/10/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/9/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
3/8/02,14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
