BN,SCHOOL NAME,PROGRESS REPORT TYPE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
M435,Manhattan Center for Science and Mathematics,HS,A,B,B,B,A
M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,HS,None,None,None,None,None
M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,HS,None,None,None,None,None
M439,Manhattan Village Academy,HS,A,A,A,A,A
M440,Bayard Rustin Educational Complex,HS,None,None,None,F,None
M448,University Neighborhood High School,HS,C,C,D,B,B
M449,Vanguard High School,HS,B,C,A,A,B
M450,East Side Community School,HS,A,A,A,A,A
M459,Manhattan International High School,HS,B,A,A,B,B
M460,Washington Irving High School,HS,F,C,C,F,F
M462,High School for International Business and Finance,HS,C,A,A,A,A
M463,High School for Media and Communications,HS,C,B,B,A,A
M467,High School for Law and Public Service,HS,A,A,A,A,A
M468,High School for Health Careers and Sciences,HS,D,B,A,A,A
M469,Choir Academy of Harlem,HS,C,B,D,C,D
M470,Louis D. Brandeis High School,HS,None,None,None,D,C
M475,Stuyvesant High School,HS,A,A,A,A,A
M479,Beacon High School,HS,A,A,A,A,B
M485,Fiorello H. LaGuardia High School of Music & Art a,HS,A,A,A,A,A
M489,High School of Economics and Finance,HS,B,C,B,B,B
M492,"High School for Law, Advocacy and Community Justic",HS,A,A,A,B,C
M494,High School of Arts and Technology,HS,C,B,A,A,B
M495,Park East High School,HS,A,A,A,A,B
M499,Frederick Douglass Academy,HS,C,D,C,B,B
M500,Unity Center for Urban Technologies,HS,A,A,A,B,C
M505,Edward A. Reynolds West Side High School,HS,None,None,None,None,B
M509,Marta Valle High School,HS,C,B,B,B,C
M515,Lower East Side Preparatory High School,HS,None,None,None,None,A
M519,Talent Unlimited High School,HS,B,A,A,A,B
M520,Murry Bergtraum High School for Business Careers,HS,D,D,D,C,C
M529,Jacqueline Kennedy Onassis High School,HS,C,B,C,B,C
M531,Repertory Company High School for Theatre Arts,HS,B,A,A,A,B
M539,"New Explorations into Science, Technology and Math",HS,A,B,A,A,A
M540,A. Philip Randolph Campus High School,HS,C,C,B,B,B
M541,Manhattan / Hunter Science High School,HS,B,B,A,A,A
M542,Manhattan Bridges High School,HS,A,A,A,A,A
M543,New Design High School,HS,A,A,A,A,B
M544,Independence High School,HS,None,None,None,None,C
M545,High School for Dual Language and Asian Studies,HS,A,A,A,A,A
M550,Liberty High School Academy for Newcomers,HS,None,None,None,None,B
M551,New York Harbor School,HS,A,A,A,B,B
M552,Gregorio Luperon High School for Science and Mathe,HS,A,A,A,A,A
M555,Central Park East High School,HS,A,A,A,A,B
M560,High School M560 - City As School,HS,None,None,None,None,A
M565,Urban Academy Laboratory High School,HS,None,None,None,None,A
M570,Satellite Academy High School,HS,None,None,None,None,B
M575,Manhattan Comprehensive Night and Day High School,HS,None,None,None,None,B
M580,Richard R. Green High School of Teaching,HS,C,C,B,B,B
M586,Harvey Milk High School,HS,None,None,None,None,B
M600,The High School of Fashion Industries,HS,A,A,A,A,A
M605,Humanities Preparatory Academy,HS,None,None,None,None,A
M610,Young Women's Leadership School,HS,A,A,A,A,A
M615,Chelsea Career and Technical Education High School,HS,B,C,C,F,F
M620,Norman Thomas High School,HS,None,F,D,D,D
M625,High School of Graphic Communication Arts,HS,F,D,C,C,C
M630,Art and Design High School,HS,B,B,B,B,B
M635,Academy of Environmental Science Secondary High Sc,HS,None,F,D,C,C
M650,Cascades High School,HS,None,None,None,None,B
M655,Life Sciences Secondary School,HS,B,A,B,B,B
M670,Thurgood Marshall Academy for Learning and Social ,HS,A,B,B,B,B
M680,"Heritage School, The",HS,B,C,A,A,A
M685,Bread & Roses Integrated Arts High School,HS,D,D,C,B,B
M690,School for the Physical City High School,HS,None,None,None,None,None
M692,"High School for Mathematics, Science and Engineeri",HS,A,A,A,A,A
M695,Urban Peace Academy,HS,None,None,None,None,None
M696,Bard High School Early College,HS,B,B,B,B,B
M709,Harlem Village Academy Charter School,HS,B,None,None,None,None
M726,KIPP S.T.A.R. College Preparatory,HS,None,None,None,None,None
M860,Frederick Douglass Academy II Secondary School,HS,C,C,C,B,B
Q157,J.H.S. 157 Stephen A. Halsey,HS,None,None,None,None,None
Q190,J.H.S. 190 Russell Sage,HS,None,None,None,None,None
Q248,Queens Preparatory Academy,HS,A,A,A,None,None
Q252,"Queens School of Inquiry, The",HS,None,None,None,None,None
Q259,Pathways College Preparatory School: A College Boa,HS,B,A,A,None,None
Q260,Frederick Douglass Academy VI High School,HS,C,C,B,B,None
Q262,Channel View School for Research,HS,A,A,A,A,None
Q263,Flushing International High School,HS,B,B,A,A,None
Q264,Academy of Finance and Enterprise,HS,A,A,A,None,None
Q265,Excelsior Preparatory High School,HS,B,A,A,A,None
Q267,High School of Applied Communication,HS,A,A,A,None,None
Q272,George Washington Carver High School for the Scien,HS,B,A,A,A,B
Q281,East-West School of International Studies,HS,B,A,None,None,None
Q283,Preparatory Academy for Writers: A College Board S,HS,C,B,None,None,None
Q284,York Early College Academy,HS,None,None,None,None,None
Q285,World Journalism Preparatory: A College Board Scho,HS,A,A,None,None,None
Q286,"Young Women's Leadership School, Astoria",HS,None,None,None,None,None
Q293,Civic Leadership Academy,HS,None,None,None,None,None
Q296,Pan American International High School,HS,D,None,None,None,None
Q299,Bard High School Early College II,HS,A,A,None,None,None
Q301,Academy for Careers in Television and Film,HS,None,None,None,None,None
Q302,"Queens High School for Information, Research, and ",HS,None,None,None,None,None
Q308,Robert H. Goddard High School of Communication Art,HS,None,None,None,None,None
Q309,Academy of Medical Technology: A College Board Sch,HS,None,None,None,None,None
Q310,Queens Collegiate: A College Board School,HS,None,None,None,None,None
Q323,Scholars' Academy,HS,A,None,None,None,None
Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,HS,None,None,None,None,None
Q325,HILLSIDE ARTS & LETTERS ACADEMY,HS,None,None,None,None,None
Q326,CAMBRIA HEIGHTS ACADEMY,HS,None,None,None,None,None
Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,HS,None,None,None,None,None
Q400,August Martin High School,HS,D,C,C,B,D
Q410,Beach Channel High School,HS,None,F,D,C,C
Q415,Benjamin N. Cardozo High School,HS,B,B,B,B,B
Q425,John Bowne High School,HS,B,B,C,B,C
Q430,Francis Lewis High School,HS,A,B,A,A,B
Q435,Martin Van Buren High School,HS,D,C,C,B,B
Q440,Forest Hills High School,HS,A,A,A,B,B
Q445,William Cullen Bryant High School,HS,C,C,B,B,B
Q450,Long Island City High School,HS,C,C,B,B,B
Q455,Newtown High School,HS,C,C,C,B,C
Q460,Flushing High School,HS,D,C,B,B,C
Q465,Far Rockaway High School,HS,None,None,None,None,D
Q470,Jamaica High School,HS,None,D,D,C,C
Q475,Richmond Hill High School,HS,D,C,C,F,C
Q480,John Adams High School,HS,C,B,C,D,C
Q485,Grover Cleveland High School,HS,C,B,C,C,C
Q492,"Mathematics, Science Research and Technology Magne",HS,C,C,C,B,C
Q494,"Law, Government and Community Service High School",HS,D,D,B,C,C
Q495,Bayside High School,HS,A,B,B,B,B
Q496,"Business, Computer Applications & Entrepreneurship",HS,C,D,D,C,B
Q498,Humanities & Arts Magnet High School,HS,B,C,B,B,B
Q501,Frank Sinatra School of the Arts High School,HS,B,A,A,A,B
Q502,Information Technology High School,HS,B,A,B,B,B
Q505,Hillcrest High School,HS,A,C,B,B,C
Q520,Middle College High School at LaGuardia Community ,HS,C,B,B,B,C
Q525,Townsend Harris High School,HS,A,A,A,A,A
Q530,International High School at LaGuardia Community C,HS,A,A,A,A,B
Q540,Queens Academy High School,HS,None,None,None,None,C
Q550,High School for Arts and Business,HS,A,A,A,B,A
Q555,Newcomers High School,HS,A,A,A,A,A
Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",HS,C,C,B,B,B
Q566,"Queens High School of Teaching, Liberal Arts and t",HS,B,B,B,A,B
Q575,Academy of American Studies,HS,B,A,B,B,B
Q580,Baccalaureate School for Global Education,HS,B,A,A,A,A
Q600,Queens Vocational and Technical High School,HS,B,A,B,B,C
Q610,Aviation Career & Technical Education High School,HS,A,A,A,A,A
Q620,Thomas A. Edison Career and Technical Education Hi,HS,A,A,B,B,B
Q650,"High School for Construction Trades, Engineering a",HS,A,A,None,None,None
Q670,Robert F. Kennedy Community High School,HS,C,D,B,B,B
Q680,Queens Gateway to Health Sciences Secondary School,HS,B,B,A,A,B
Q686,QUEENS METROPOLITAN HIGH SCHOOL,HS,None,None,None,None,None
Q687,Queens High School for the Sciences at York Colleg,HS,A,A,A,A,A
Q690,High School for Law Enforcement and Public Safety,HS,B,B,C,C,C
Q705,"Renaissance Charter School, The",HS,B,B,A,A,None
Q896,"Young Women's Leadership School, Queens",HS,C,None,None,None,None
R047,CSI High School for International Studies,HS,A,A,A,None,None
R064,Gaynor McCown Expeditionary Learning School,HS,None,None,None,None,None
R080,The Michael J. Petrides School,HS,A,A,A,A,A
R440,New Dorp High School,HS,A,A,A,B,B
R445,Port Richmond High School,HS,C,B,B,B,B
R450,Curtis High School,HS,B,B,B,B,B
R455,Tottenville High School,HS,B,B,A,A,B
R460,Susan E. Wagner High School,HS,A,A,B,A,B
R470,Concord High School,HS,None,None,None,None,B
R600,Ralph R. McKee Career and Technical Education High,HS,B,A,A,A,B
R605,Staten Island Technical High School,HS,A,A,A,A,A
X141,Riverdale / Kingsbridge Academy (Middle School / H,HS,A,A,A,A,A
X213,Bronx Engineering and Technology Academy,HS,C,A,B,A,None
X221,South Bronx Preparatory: A College Board School,HS,A,A,A,A,None
X225,Theatre Arts Production Company School,HS,Pending,A,A,None,None
X227,Bronx Expeditionary Learning High School,HS,B,C,C,B,None
X231,Eagle Academy for Young Men,HS,B,B,A,B,None
X237,"The Marie Curie School for Medicine, Nursing, and ",HS,B,A,A,A,None
X239,Urban Assembly Academy for History and Citizenship,HS,None,F,C,B,None
X241,Urban Assembly School for Applied Math and Science,HS,A,None,None,None,None
X242,Mott Hall V,HS,None,None,None,None,None
X243,West Bronx Academy for the Future,HS,C,C,B,C,None
X245,New Day Academy,HS,None,F,D,None,None
X248,"Metropolitan High School, The",HS,A,A,A,None,None
X249,Bronx Health Sciences High School,HS,A,A,A,A,None
X250,Eximius College Preparatory Academy: A College Boa,HS,B,B,A,None,None
X251,Explorations Academy,HS,B,A,A,None,None
X252,Mott Hall Bronx High School,HS,B,A,A,None,None
X253,Bronx High School for Writing and Communication Ar,HS,C,C,B,B,None
X260,Bronx Center for Science and Mathematics,HS,A,B,B,None,None
X262,Performance Conservatory High School,HS,None,F,C,C,None
X263,Validus Preparatory Academy: An Expeditionary Lear,HS,C,A,B,None,None
X265,Bronx Lab School,HS,C,B,A,A,None
X267,Bronx Latin,HS,A,None,None,None,None
X268,Kingsbridge International High School,HS,B,B,A,None,None
X269,Bronx Studio School for Writers and Artists,HS,None,None,None,None,None
X270,Academy for Scholarship and Entrepreneurship: A Co,HS,D,C,B,None,None
X271,East Bronx Academy for the Future,HS,B,B,A,B,None
X275,High School of Computers and Technology,HS,A,A,A,A,None
X276,Leadership Institute,HS,C,D,B,None,None
X278,Peace and Diversity Academy,HS,C,C,F,B,None
X282,Women's Academy of Excellence,HS,B,C,None,None,None
X284,Bronx School of Law and Finance,HS,B,B,B,A,A
X288,Collegiate Institute for Math and Science,HS,A,A,A,B,A
X290,Bronx Academy of Health Careers,HS,A,A,A,A,A
X293,Renaissance High School for Musical Theater & Tech,HS,B,A,A,A,B
X295,Gateway School for Environmental Research and Tech,HS,D,B,C,B,C
X297,Morris Academy for Collaborative Studies,HS,B,A,A,B,B
X299,Astor Collegiate Academy,HS,C,B,A,B,A
X305,Pablo Neruda Academy for Architecture and World St,HS,B,B,C,B,D
X312,Millennium Art Academy,HS,A,A,A,A,A
X324,Bronx Early College Academy for Teaching & Learnin,HS,None,None,None,None,None
X329,DreamYard Preparatory School,HS,D,D,None,None,None
X332,Holcombe L. Rucker School of Community Research,HS,D,C,None,None,None
X334,International Community High School,HS,A,B,None,None,None
X342,International School for Liberal Arts,HS,C,B,A,None,None
X345,Hyde Leadership Charter School,HS,None,None,None,None,None
X347,International Leadership Charter School,HS,A,C,None,None,None
X365,Academy for Language and Technology,HS,A,None,None,None,None
X368,In-Tech Academy (M.S. / High School 368),HS,C,B,C,B,C
X372,Urban Assembly School for Wildlife Conservation,HS,None,None,None,None,None
X374,Knowledge and Power Preparatory Academy Internatio,HS,A,None,None,None,None
X388,Pan American International High School at Monroe,HS,None,None,None,None,None
X393,Green Dot NY Charter School,HS,None,None,None,None,None
X395,"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEER",HS,None,None,None,None,None
X397,English Language Learners and International Suppor,HS,None,None,None,None,None
X403,Bronx International High School,HS,A,A,A,A,A
X404,School for Excellence,HS,B,B,A,B,A
X405,Herbert H. Lehman High School,HS,F,F,None,B,B
X412,Bronx High School of Business,HS,C,C,B,B,C
X413,Bronx High School for Medical Science,HS,C,B,A,A,B
X414,Jonathan Levin High School for Media and Communica,HS,C,C,B,A,C
X415,Christopher Columbus High School,HS,None,D,D,C,C
X418,Bronx High School for the Visual Arts,HS,C,B,B,B,B
X425,Evander Childs High School,HS,None,None,None,None,None
X427,Community School for Social Justice,HS,C,A,B,C,C
X430,Walton High School,HS,None,None,None,None,None
X432,BRONX BRIDGES HIGH SCHOOL,HS,None,None,None,None,None
X433,High School for Teaching and the Professions,HS,B,A,C,B,B
X434,Belmont Preparatory High School,HS,A,A,A,A,C
X437,Fordham High School for the Arts,HS,A,A,A,B,C
X438,Fordham Leadership Academy for Business and Techno,HS,D,C,B,C,C
X439,Bronx High School for Law and Community Service,HS,B,D,C,B,D
X440,DeWitt Clinton High School,HS,F,C,C,C,C
X442,"Celia Cruz Bronx High School of Music, The",HS,C,B,B,B,B
X445,Bronx High School of Science,HS,A,A,A,A,A
X450,Adlai E. Stevenson High School,HS,None,None,None,None,None
X452,Bronx Guild,HS,B,C,C,B,C
X455,Harry S Truman High School,HS,B,B,B,B,B
X473,Mott Haven Village Preparatory High School,HS,B,B,A,A,A
X475,John F. Kennedy High School,HS,None,D,C,C,D
X477,Marble Hill High School for International Studies,HS,A,A,A,A,A
X478,THE CINEMA SCHOOL,HS,None,None,None,None,None
X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HS,None,None,None,None,None
X480,Bronx Regional High School,HS,None,None,None,None,C
X495,University Heights Secondary School at Bronx Commu,HS,A,A,A,A,A
X500,Hostos-Lincoln Academy of Science,HS,B,B,B,B,B
X505,"Bronx School for Law, Government and Justice",HS,C,B,B,B,C
X513,New World High School,HS,B,A,A,A,None
X514,The Bronxwood Preparatory Academy,HS,C,B,B,B,None
X517,Frederick Douglass Academy III Secondary School,HS,B,B,B,A,None
X519,Felisa Rincon de Gautier Institute for Law and Pub,HS,B,C,B,C,None
X520,Foreign Language Academy of Global Studies,HS,C,C,B,B,B
X525,Bronx Leadership Academy High School,HS,B,B,C,B,B
X527,Bronx Leadership Academy II High School,HS,B,B,B,A,B
X530,Banana Kelly High School,HS,C,D,C,B,B
X540,School for Community Research and Learning,HS,None,D,C,B,C
X541,Global Enterprise High School,HS,None,C,C,C,B
X542,Pelham Preparatory Academy,HS,B,A,A,B,B
X543,High School for Violin and Dance,HS,A,A,A,A,A
X544,High School for Contemporary Arts,HS,A,A,A,A,A
X545,Bronx Aerospace High School,HS,Pending,A,A,A,A
X546,Bronx Theatre High School,HS,C,C,B,B,B
X547,New Explorers High School,HS,B,D,C,B,C
X548,Urban Assembly School for Careers in Sports,HS,A,A,A,A,A
X549,Discovery High School,HS,A,A,A,A,B
X550,High School of World Cultures,HS,B,A,A,B,B
X551,Bronx Academy of Letters,HS,A,A,A,A,A
X560,High School X560 - Bronx Academy High School,HS,None,None,None,None,D
X600,Alfred E. Smith Career and Technical Education Hig,HS,C,C,C,C,C
X650,Jane Addams High School for Academic Careers,HS,F,C,C,D,C
X655,Samuel Gompers Career and Technical Education High,HS,F,C,D,B,B
X660,Grace Dodge Career and Technical Education High Sc,HS,F,D,D,C,C
X670,Health Opportunities High School,HS,B,B,C,B,C
X680,Bronx Coalition Community High School,HS,None,None,None,None,D
X682,Fannie Lou Hamer Freedom High School,HS,A,A,A,A,B
X684,Wings Academy,HS,C,B,B,A,B
X686,New School For Arts And Science,HS,None,None,None,None,None
X690,Monroe Academy for Business/Law,HS,None,C,D,C,C
X692,Monroe Academy for Visual Arts & Design,HS,B,A,B,C,C
X696,High School of American Studies at Lehman College,HS,A,A,A,A,A
X703,Bronx Prep Charter School,HS,C,C,B,B,None
X704,Kipp Academy Charter School,HS,None,None,None,None,None
K489,W.E.B. Dubois Academic High School,HST,D,C,B,B,None
K520,Pacific High School,HST,None,C,F,C,None
K529,West Brooklyn Community High School,HST,A,A,A,A,None
K553,Brooklyn Academy High School,HST,A,A,A,A,None
K564,Bushwick Community High School,HST,C,B,B,B,None
K568,Brownsville Academy High School,HST,A,B,A,B,None
K575,Bedford Stuyvesant Preparatory High School,HST,C,B,A,B,None
K578,Brooklyn Bridge Academy,HST,C,C,C,None,None
K585,Brooklyn Comprehensive Night High School,HST,None,None,None,None,None
K616,Brooklyn High School for Leadership and Community ,HST,B,C,None,None,None
K635,Olympus Academy,HST,C,None,None,None,None
K643,Brooklyn Democracy Academy,HST,A,A,None,None,None
K646,Aspirations Diploma Plus High School,HST,D,F,None,None,None
K647,Metropolitan Diploma Plus High School,HST,A,C,None,None,None
K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,HST,B,None,None,None,None
K698,South Brooklyn Community High School,HST,B,C,C,B,None
K728,Liberation Diploma Plus,HST,A,A,A,None,None
M285,Harlem Renaissance High School,HST,B,C,D,C,None
M313,"James Baldwin School, The: A School for Expedition",HST,C,D,B,None,None
M394,EMMA LAZARUS HIGH SCHOOL,HST,None,None,None,None,None
M404,INNOVATION DIPLOMA PLUS,HST,None,None,None,None,None
M423,High School for Excellence and Innovation,HST,None,None,None,None,None
M432,MURRAY HILL ACADEMY,HST,None,None,None,None,None
M458,Forsyth Satellite Academy,HST,None,None,None,None,None
M505,Edward A. Reynolds West Side High School,HST,C,B,B,B,None
M515,Lower East Side Preparatory High School,HST,A,A,A,A,None
M544,Independence High School,HST,C,C,C,A,None
M550,Liberty High School Academy for Newcomers,HST,A,A,A,A,None
M560,High School M560 - City As School,HST,C,B,B,B,None
M565,Urban Academy Laboratory High School,HST,B,A,A,A,None
M570,Satellite Academy High School,HST,A,F,C,B,None
M575,Manhattan Comprehensive Night and Day High School,HST,B,A,A,A,None
M586,Harvey Milk High School,HST,C,A,B,B,None
M605,Humanities Preparatory Academy,HST,B,B,B,A,None
M650,Cascades High School,HST,A,A,A,A,None
M707,John V. Lindsay Wildcat Academy Charter School,HST,B,A,B,B,None
Q338,Queens Satellite High School for Opportunity,HST,None,None,None,None,None
Q540,Queens Academy High School,HST,C,C,B,B,None
Q744,VOYAGES Preparatory,HST,B,B,None,None,None
Q792,North Queens Community High School,HST,B,B,B,None,None
R470,Concord High School,HST,A,A,A,A,None
X319,Providing Urban Learners Success In Education High,HST,Pending,B,A,A,None
X321,Crotona Academy High School,HST,C,D,B,B,None
X377,Bronx Community High School,HST,B,C,B,None,None
X379,Jill Chaifetz Transfer High School,HST,C,B,None,None,None
X381,Bronx Haven High School,HST,C,B,None,None,None
X446,Arturo A. Schomburg Satellite Academy Bronx,HST,None,None,None,None,None
X480,Bronx Regional High School,HST,C,B,A,C,None
X560,High School X560 - Bronx Academy High School,HST,None,F,F,C,None
K411,Abraham Lincoln YABC,YABC,B,B,None,None,None
K431,Thomas Jefferson YABC,YABC,A,B,None,None,None
K467,Erasmus YABC,YABC,C,B,None,None,None
K501,Learning To Work YABC At Canarsie High School,YABC,A,C,None,None,None
K657,Region 8 YABC,YABC,D,C,None,None,None
K658,Franklin Delano Roosevelt YABC,YABC,B,A,None,None,None
K922,South Shore Educational Complex YABC,YABC,C,C,None,None,None
K923,Automotive High School YABC,YABC,B,B,None,None,None
M457,George Washington YABC,YABC,A,A,None,None,None
M473,Washington Irving YABC,YABC,B,B,None,None,None
M577,Brandeis YABC,YABC,None,C,None,None,None
Q457,HS Arts & Business YABC,YABC,B,D,None,None,None
Q467,Flushing YABC,YABC,A,A,None,None,None
Q487,John Adams YABC,YABC,A,A,None,None,None
R607,Staten Island YABC,YABC,B,C,None,None,None
X408,Herbert H. Lehman YABC,YABC,A,A,None,None,None
X417,C Columbus Hs YABC,YABC,B,B,None,None,None
X428,Learning To Work YABC At Monroe Academy,YABC,B,C,None,None,None
X456,Learning To Work YABC At Truman High School,YABC,A,A,None,None,None
X503,Walton YABC,YABC,C,B,None,None,None
X504,Kennedy YABC,YABC,D,B,None,None,None
X507,Stevenson YABC,YABC,D,F,None,None,None
X667,Grace Dodge YABC,YABC,D,D,None,None,None
