District,Material,Primary Disposal Facility,Location,X Coordinate,Y Coordinate
SI03,Refuse,SITS,"600 West Service Rd Staten Island, NY",930584.1,150593.9
MN01,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN02,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN03,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN04,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN05,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN06,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN07,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN08,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN09,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN10,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN11,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
MN12,Paper,Visy 59th St,"59th St Pier NY, NY",986144.5,220690.8
BX01,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX02,Paper,Paper Fibers,"960 Bronx River Ave Bronx, NY",1017135.7,239685.1
BX03,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX04,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX05,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX06,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX07,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX08,Paper,Triboro Fibers,"891-899 East 135th St Bronx, NY",1009948,232357.1
BX09,Paper,Paper Fibers,"960 Bronx River Ave Bronx, NY",1017135.7,239685.1
BX10,Paper,Paper Fibers,"960 Bronx River Ave Bronx, NY",1017135.7,239685.1
BX11,Paper,Paper Fibers,"960 Bronx River Ave Bronx, NY",1017135.7,239685.1
BX12,Paper,Paper Fibers,"960 Bronx River Ave Bronx, NY",1017135.7,239685.1
BK01,Paper,Rapid Recy,"860 Humboldt St Brooklyn, NY",997954.3,205219.8
BK02,Paper,Visy,"4435 Victory Blvd SI, NY",928194.1,153188.9
BK03,Paper,Rapid Recy,"860 Humboldt St Brooklyn, NY",997954.3,205219.8
BK04,Paper,Metropolitan,"847 Shepherd Ave Brooklyn, NY",1018846.6,180925.3
