BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,CORE SUBJECT(9-12 ONLY),CORE COURSE(9-12 ONLY),SERVICE CATEGORY(K-9 ONLY),NUMBER OF CLASSES,TOTAL REGISTER(as of 1-23-08),AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS(as of 1-23-08),SIZE OF LARGEST CLASS(as of 1-23-08)
K,13,K305,P.S. 305 DR. PETER RAY,0K,GEN ED,-,-,-,3,63,21,21,21
K,13,K305,P.S. 305 DR. PETER RAY,01,GEN ED,-,-,-,3,49,16.3,16,17
K,13,K305,P.S. 305 DR. PETER RAY,01,CTT,-,-,-,1,15,15,15,15
K,13,K305,P.S. 305 DR. PETER RAY,02,GEN ED,-,-,-,4,68,17,15,19
K,13,K305,P.S. 305 DR. PETER RAY,03,GEN ED,-,-,-,3,58,19.3,19,20
K,13,K305,P.S. 305 DR. PETER RAY,04,GEN ED,-,-,-,2,49,24.5,24,25
K,13,K305,P.S. 305 DR. PETER RAY,04,CTT,-,-,-,1,25,25,25,25
K,13,K305,P.S. 305 DR. PETER RAY,05,GEN ED,-,-,-,3,57,19,18,20
K,13,K305,P.S. 305 DR. PETER RAY,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,0K,GEN ED,-,-,-,1,15,15,15,15
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,0K,CTT,-,-,-,1,14,14,14,14
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,01,GEN ED,-,-,-,1,22,22,22,22
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,01,CTT,-,-,-,1,19,19,19,19
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,02,GEN ED,-,-,-,1,20,20,20,20
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,02,CTT,-,-,-,1,20,20,20,20
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,03,GEN ED,-,-,-,2,33,16.5,16,17
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,03,CTT,-,-,-,1,16,16,16,16
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,04,GEN ED,-,-,-,2,39,19.5,19,20
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,05,GEN ED,-,-,-,2,33,16.5,16,17
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,05,CTT,-,-,-,1,14,14,14,14
K,13,K307,P.S. 307 DANIEL HALE WILLIAMS,0K-09,SPEC ED,-,-,12:1:1,2,15,7.5,4,11
K,13,K313,SATELLITE WEST MIDDLE SCHOOL,06,GEN ED,-,-,-,4,80,20,19,21
K,13,K313,SATELLITE WEST MIDDLE SCHOOL,07,GEN ED,-,-,-,4,88,22,18,24
K,13,K313,SATELLITE WEST MIDDLE SCHOOL,08,GEN ED,-,-,-,3,78,26,24,28
K,13,K313,SATELLITE WEST MIDDLE SCHOOL,0K-09,SPEC ED,-,-,12:1,2,21,10.5,9,12
K,13,K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELO,06,GEN ED,-,-,-,3,45,15,12,20
K,13,K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELO,07,GEN ED,-,-,-,3,65,21.7,17,24
K,13,K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELO,08,GEN ED,-,-,-,2,41,20.5,19,22
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,ENGLISH,ENGLISH 9,,10,218,21.8,19,24
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,ENGLISH,ENGLISH 10,,5,106,21.2,20,23
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,ENGLISH,ENGLISH 11,,5,95,19,17,22
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,ENGLISH,OTHER,,23,509,22.1,19,28
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,6,130,21.7,19,24
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,11,234,21.3,20,24
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,6,124,20.7,17,29
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,16,337,21.1,17,28
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SCIENCE,EARTH SCIENCE,,10,220,22,19,24
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SCIENCE,PHYSICS,,1,20,20,20,20
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,SCIENCE,OTHER,,8,182,22.8,20,28
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,MATH,MATH A,,1,19,19,19,19
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,MATH,ALGEBRA,,5,109,21.8,19,25
K,13,K350,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",09-12,GEN ED,MATH,OTHER,,22,467,21.2,17,28
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,ENGLISH,ENGLISH 9,,4,118,29.5,29,30
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,ENGLISH,ENGLISH 10,,4,99,24.8,24,26
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,ENGLISH,OTHER,,4,99,24.8,24,26
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,4,118,29.5,29,30
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,4,99,24.8,24,26
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,4,99,24.8,24,26
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,SCIENCE,EARTH SCIENCE,,4,118,29.5,29,30
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,MATH,ALGEBRA,,2,60,30,30,30
K,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",09-12,GEN ED,MATH,GEOMETRY,,2,50,25,24,26
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,ENGLISH,ENGLISH 9,,7,207,29.6,20,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,ENGLISH,ENGLISH 10,,6,159,26.5,21,32
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,ENGLISH,ENGLISH 11,,7,176,25.1,13,32
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,ENGLISH,ENGLISH 12,,4,95,23.8,14,28
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,ENGLISH,OTHER,,2,37,18.5,17,20
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,ENGLISH,ENGLISH 9,,1,31,31,31,31
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,ENGLISH,ENGLISH 10,,2,50,25,24,26
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,ENGLISH,ENGLISH 11,,1,14,14,14,14
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,SPEC ED,ENGLISH,ENGLISH 9,,1,12,12,12,12
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,5,164,32.8,26,37
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,7,213,30.4,21,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,10,291,29.1,20,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,6,143,23.8,16,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,SOCIAL STUDIES,GLOBAL HISTORY 10,,2,59,29.5,29,30
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,SOCIAL STUDIES,US HISTORY,,1,34,34,34,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,SPEC ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,1,12,12,12,12
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SCIENCE,EARTH SCIENCE,,13,367,28.2,22,33
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SCIENCE,CHEMISTRY,,14,389,27.8,13,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SCIENCE,PHYSICS,,4,132,33,33,33
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,SCIENCE,OTHER,,17,452,26.6,16,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,SCIENCE,EARTH SCIENCE,,1,22,22,22,22
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,SCIENCE,CHEMISTRY,,2,56,28,26,30
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,CTT,SCIENCE,OTHER,,1,34,34,34,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,MATH,ALGEBRA,,8,243,30.4,25,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,GEN ED,MATH,OTHER,,20,555,27.8,15,34
K,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",09-12,SPEC ED,MATH,ALGEBRA,,1,12,12,12,12
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,38,1163,30.6,22,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,36,1158,32.2,29,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,35,1052,30.1,19,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,7,178,25.4,24,28
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,OTHER,,27,831,30.8,25,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,38,1135,29.9,18,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,38,1185,31.2,26,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,34,1041,30.6,23,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,35,1147,32.8,30,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,ECONOMICS,,2,67,33.5,33,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,OTHER,,1,30,30,30,30
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,90,2644,29.4,22,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,PHYSICS,,71,2203,31,23,35
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,OTHER,,72,2236,31.1,25,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,MATH,ALGEBRA,,21,661,31.5,24,34
K,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,09-12,GEN ED,MATH,OTHER,,93,2850,30.6,22,37
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,ENGLISH,OTHER,,41,781,19,12,28
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,4,41,10.3,10,11
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,5,55,11,10,13
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,4,94,23.5,21,25
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,4,79,19.8,17,22
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,4,79,19.8,17,22
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,PHYSICS,,12,220,18.3,17,21
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,SCIENCE,OTHER,,4,94,23.5,21,25
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,MATH,MATH A,,9,96,10.7,10,13
K,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,09-12,GEN ED,MATH,GEOMETRY,,4,94,23.5,22,25
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,ENGLISH,ENGLISH 9,,5,108,21.6,12,28
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,ENGLISH,ENGLISH 10,,5,114,22.8,10,29
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,ENGLISH,ENGLISH 11,,4,99,24.8,22,27
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,ENGLISH,ENGLISH 12,,5,82,16.4,12,21
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,ENGLISH,OTHER,,10,221,22.1,11,28
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,8,182,22.8,17,30
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,5,123,24.6,11,33
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,4,110,27.5,27,29
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,4,114,28.5,28,29
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SCIENCE,CHEMISTRY,,4,102,25.5,23,28
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SCIENCE,PHYSICS,,4,81,20.3,19,22
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,SCIENCE,OTHER,,4,95,23.8,17,28
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,MATH,MATH A,,5,102,20.4,13,26
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,MATH,MATH B,,5,118,23.6,21,26
K,13,K483,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",09-12,GEN ED,MATH,ALGEBRA,,5,100,20,13,26
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,3,83,27.7,26,29
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,3,77,25.7,23,30
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,4,52,13,10,18
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,4,49,12.3,10,15
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,ENGLISH,ENGLISH 9,,1,28,28,28,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,ENGLISH,ENGLISH 10,,1,22,22,22,22
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,3,83,27.7,26,29
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,3,77,25.7,23,30
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,4,79,19.8,11,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,3,60,20,13,29
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,SOCIAL STUDIES,GLOBAL HISTORY 9,,1,28,28,28,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,SOCIAL STUDIES,GLOBAL HISTORY 10,,1,22,22,22,22
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,2,46,23,22,24
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,1,17,17,17,17
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SCIENCE,PHYSICS,,3,73,24.3,21,27
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,SCIENCE,OTHER,,6,160,26.7,23,30
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,SCIENCE,LIVING ENVIRONMENT,,1,11,11,11,11
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,SCIENCE,OTHER,,2,50,25,22,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,MATH,MATH A,,3,74,24.7,23,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,MATH,MATH B,,4,75,18.8,16,23
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,MATH,ALGEBRA,,3,83,27.7,26,29
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,GEN ED,MATH,OTHER,,4,98,24.5,23,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,MATH,MATH A,,1,22,22,22,22
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,MATH,MATH B,,1,22,22,22,22
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,MATH,ALGEBRA,,1,28,28,28,28
K,13,K488,BROOKLYN PREPARATORY HIGH SCHOOL,09-12,CTT,MATH,OTHER,,2,37,18.5,15,22
K,13,K492,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTE,06,GEN ED,-,-,-,3,63,21,20,22
K,13,K492,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTE,06,CTT,-,-,-,1,21,21,21,21
K,13,K492,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTE,07,GEN ED,-,-,-,4,85,21.3,20,23
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,6,167,27.8,25,35
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,4,119,29.8,23,35
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,5,137,27.4,21,32
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,6,116,19.3,14,24
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,OTHER,,3,34,11.3,11,12
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,ENGLISH,ENGLISH 9,,2,52,26,24,28
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,ENGLISH,ENGLISH 10,,2,63,31.5,30,33
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,ENGLISH,ENGLISH 11,,1,31,31,31,31
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,ENGLISH,ENGLISH 9,,2,20,10,10,10
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,ENGLISH,ENGLISH 10,,1,13,13,13,13
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,ENGLISH,ENGLISH 11,,1,13,13,13,13
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,11,308,28,25,33
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,7,192,27.4,14,34
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,5,116,23.2,20,28
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT & ECONOMICS,,8,224,28,25,31
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,SOCIAL STUDIES,GLOBAL HISTORY 9,,1,26,26,26,26
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,2,22,11,11,11
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,SOCIAL STUDIES,US GOVERNMENT,,1,10,10,10,10
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,6,192,32,31,34
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,EARTH SCIENCE,,5,165,33,31,34
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,2,66,33,33,33
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,OTHER,,1,21,21,21,21
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,SCIENCE,EARTH SCIENCE,,1,31,31,31,31
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,SCIENCE,LIVING ENVIRONMENT,,2,24,12,11,13
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,MATH A,,10,250,25,13,34
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,MATH B,,5,136,27.2,20,33
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,ALGEBRA,,10,267,26.7,25,28
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,OTHER,,3,68,22.7,15,28
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,MATH,MATH A,,2,66,33,32,34
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,MATH,ALGEBRA,,4,104,26,23,29
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,CTT,MATH,OTHER,,1,15,15,15,15
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,MATH,ALGEBRA,,2,20,10,10,10
K,13,K499,ACORN COMMUNITY HIGH SCHOOL,09-12,SPEC ED,MATH,OTHER,,1,15,15,15,15
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,0K-09,SPEC ED,-,-,12:1:1,1,3,3,3,3
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,5,108,21.6,17,26
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,4,79,19.8,14,23
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,3,82,27.3,22,30
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,2,37,18.5,12,25
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,ENGLISH,OTHER,,3,46,15.3,12,18
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,5,132,26.4,19,33
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,5,91,18.2,11,23
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,2,38,19,19,19
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,OTHER,,1,15,15,15,15
K,13,K509,FREEDOM ACADEMY HIGH SCHOOL,09-12,GEN ED,SCIENCE,EARTH SCIENCE,,6,169,28.2,20,33
