BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02129-7507,1850-R1,26 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,30,2006,33036,691773,20.94,3000001,91,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.1,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.55
3-02129-7508,1439-R1,20 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,1920,23760,470400,19.8,2039999,86,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.1,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.55
3-02130-7501,1248-R1,60 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,130,0,147926,2869764,19.4,12499995,85,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,0.8,3-02075-0012,167 CLERMONT AVENUE,FORT GREENE,D5-ELEVATOR,112,1900,149000,2887543,19.38,10800000,72,1.25
3-02131-7502,908-R1,416 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,11,2001,11178,198633,17.77,786001,70,3-02409-0011,264 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,304835,19.25,646000,40.8,0.45,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,348814,17.96,1300000,67,0.3
3-02132-7501,798-R1,401 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,27,1999,36290,704962,19.43,3060000,84,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.15,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.35
3-02132-7502,933-R1,138 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,40,0,73295,1200000,16.37,5210001,71,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,866384,18.05,3240000,68,1.05,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.4
3-02132-7503,1207-R1,170 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,12,2003,11981,244052,20.37,1060000,88,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.35,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.5
3-02133-7501,964-R1,159 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,12,2004,23520,465300,19.78,2019996,86,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.25,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.25
3-02133-7502,2085-R1,190 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,16,2007,20661,432641,20.94,1880000,91,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.25,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.25
3-02134-7501,1396-R1,446 KENT AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,75,2003,83525,2247657,26.9,10800001,129,3-02764-0008,692 METROPOLITAN AVENUE,WILLIAMSBURG-EAST,D5-ELEVATOR,35,1930,37500,1074387,28.7,4450000,119,1.35,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.75
