JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
Brooklyn Neighborhood Development Area 004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Neighborhood Development Area 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Neighborhood Development Area 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Neighborhood Development Area 007,7,0,0,7,1,0,0,7,100,0,0,0,0,0,0,0,0,6,0.86,0,0,1,0.14,0,0,7,100,0,0,7,1,0,0,0,0,7,100,5,0.71,2,0.29,0,0,7,100
Brooklyn Neighborhood Development Area 008,10,6,0.6,4,0.4,0,0,10,100,0,0,0,0,0,0,0,0,0,0,9,0.9,1,0.1,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
Brooklyn Neighborhood Development Area 009,103,80,0.78,23,0.22,0,0,103,100,0,0,2,0.02,0,0,1,0.01,86,0.83,6,0.06,8,0.08,0,0,103,100,2,0.02,101,0.98,0,0,0,0,103,100,33,0.32,70,0.68,0,0,103,100
Brooklyn Neighborhood Development Area 011,10,7,0.7,3,0.3,0,0,10,100,0,0,0,0,0,0,5,0.5,4,0.4,1,0.1,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,2,0.2,8,0.8,0,0,10,100
Brooklyn Neighborhood Development Area 012,382,290,0.76,92,0.24,0,0,382,100,0,0,1,0,0,0,3,0.01,360,0.94,0,0,17,0.04,1,0,382,99,10,0.03,371,0.97,1,0,0,0,382,100,189,0.49,193,0.51,0,0,382,100
Brooklyn Neighborhood Development Area 013,143,70,0.49,73,0.51,0,0,143,100,0,0,21,0.15,0,0,11,0.08,40,0.28,62,0.43,9,0.06,0,0,143,100,7,0.05,134,0.94,2,0.01,0,0,143,100,32,0.22,111,0.78,0,0,143,100
Brooklyn Neighborhood Development Area 014,231,176,0.76,55,0.24,0,0,231,100,0,0,8,0.03,0,0,8,0.03,186,0.81,12,0.05,12,0.05,5,0.02,231,99,4,0.02,227,0.98,0,0,0,0,231,100,40,0.17,191,0.83,0,0,231,100
