Grade,Family Guide Name,Link,Language
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8CC1BCBA-B2CB-424A-9681-B1BE1D6B49B7/0/NYCGuidetoPublicSchools_912_Spanish.pdf,Spanish
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/6CE58FA2-2759-4B0B-8978-A54C9F2C8955/0/GradePreKUrdu.pdf,Urdu
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/119600C6-0D12-4E6A-BC7D-2E65BA6CC893/0/GradeKUrdu.pdf,Urdu
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/A54AFB04-3EEC-4DEA-93A6-843A0A7268FC/0/Grade1Urdu.pdf,Urdu
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/1B48DED9-6434-45FC-97DF-9FA02DDABFB3/0/Grade2Urdu.pdf,Urdu
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/B1F381E7-62C8-442F-A690-06013D5A4950/0/Grade3Urdu.pdf,Urdu
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/52119AC9-2A38-4EFE-B297-A9DE8D2420F3/0/Grade4Urdu.pdf,Urdu
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/5AE03B42-6CE5-4C3E-AA64-08C5F14A5047/0/Grade5Urdu.pdf,Urdu
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/13D60A5C-2FA8-45C1-BEEE-8C56F7230757/0/Grade6Urdu.pdf,Urdu
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/BEDE632D-52C7-4181-BF84-3FF87639D6A0/0/Grade7Urdu.pdf,Urdu
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/1359A108-60F3-4660-BC69-A28D420FEF73/0/Grade8Urdu.pdf,Urdu
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/D4C9E3A2-1483-4601-8277-C965CB4BFEC6/0/Grade912Urdu.pdf,Urdu
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/D4C9E3A2-1483-4601-8277-C965CB4BFEC6/0/Grade912Urdu.pdf,Urdu
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/D4C9E3A2-1483-4601-8277-C965CB4BFEC6/0/Grade912Urdu.pdf,Urdu
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/D4C9E3A2-1483-4601-8277-C965CB4BFEC6/0/Grade912Urdu.pdf,Urdu
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/3F3C6CA1-A474-43A6-B7F2-EE52D00B1EE2/0/NYC_preKAug16.pdf,English
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/E59DB3E1-C8FE-4720-9A16-0A7FD4F24CE8/0/NYC_KAug22.pdf,English
