Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
STATEN ISLAND,1,12-05113,6,132,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,12-05113,6,135,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,12-05113,6,136,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,12-05113,6,138,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,11-11745,35,110,Private,01/27/2012,BETWEEN 115 & 109 BROOK STREET
STATEN ISLAND,1,11-11713,36,3,Private,01/05/2012,NEAR 445 JERSEY STREET betw CORSON AVENUE & BEND
STATEN ISLAND,1,11-11657,106,57,Private,01/10/2012,ADJ. 38 PINE STREET betw CORSON AVENUE & BRIGHTON AVENUE
STATEN ISLAND,1,11-11736,527,49,Private,01/30/2012,OPPOSITE OF 166 CANAL STREET betw TOMPKINS AVENUE & BEND
STATEN ISLAND,1,11-11816,527,52,Private,01/30/2012,ADJ. 205 CANAL STREET betw BROAD STREET & BEND
STATEN ISLAND,1,11-11817,556,100,City,01/13/2012,ADJ. 40 HILL STREET betw CHERYL WHITE PLACE & TOMPKINS AVENUE
STATEN ISLAND,1,11-11715,650,26,Private,01/12/2012,ADJ. 527 VANDERBILT AVENUE betw ELLINGTON STREET & CLIFFSIDE AVENUE
STATEN ISLAND,1,11-11609,1074,13,City,01/13/2012,ADJ. 52 MAPLE AVENUE betw NYCTA SUBWAY & RICHMOND TERRACE
STATEN ISLAND,1,11-11610,1184,160,Private,01/09/2012,ADJ. 355 SIMONSON AVENUE betw CLEMENT A FUMANDO WAY & NETHERLAND AVENUE
STATEN ISLAND,1,11-11611,1227,32,Private,01/11/2012,ADJ. 45 HARBOR ROAD betw NYCTA SUBWAY & RICHMOND TERRACE
STATEN ISLAND,1,11-11660,2822,20,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,21,Private,01/05/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,22,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,23,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,24,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,26,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11660,2822,30,Private,01/06/2012,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
STATEN ISLAND,1,11-11870,2922,121,City,01/26/2012,NEAR 200 OSGOOD AVENUE betw IMPERIAL COURT & FAIRWAY AVENUE
STATEN ISLAND,2,11-11819,2218,35,City,01/25/2012,OPPOSITE OF 200 GRAHAM AVENUE betw PAULDING AVENUE & MERRILL AVENUE
STATEN ISLAND,2,11-11717,2359,1,City,01/04/2012,OPPOSITE OF 1670 FOREST HILL ROAD betw PIERPONT PLACE & RICHMOND HILL ROAD
