Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
BROOKLYN,16,12-05205,3677,1,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,2,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,3,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,4,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,5,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,6,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,7,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,9,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05205,3677,10,City,01/25/2012,OPPOSITE OF 194 SACKMAN STREET betw LIBERTY AVENUE & EAST NEW YORK AVENUE
BROOKLYN,16,12-05187,3693,22,City,01/24/2012,ADJ. 116 LIBERTY AVENUE betw SACKMAN STREET & CHRISTOPHER AVENUE
BROOKLYN,16,12-05187,3693,23,City,01/24/2012,ADJ. 116 LIBERTY AVENUE betw SACKMAN STREET & CHRISTOPHER AVENUE
BROOKLYN,16,12-05188,3709,16,City,01/24/2012,ADJ. 160 GLENMORE AVENUE
BROOKLYN,16,12-05188,3709,17,City,01/24/2012,ADJ. 160 GLENMORE AVENUE
BROOKLYN,16,12-05182,3813,115,City,01/24/2012,ADJ. 470 POWELL STREET betw RIVERDALE AVENUE & NYCTA SUBWAY
BROOKLYN,16,12-05185,3855,40,City,01/25/2012,ADJ. 41 NEW LOTS AVENUE betw CHRISTOPHER AVENUE & MOTHER GASTON BOULEVARD
BROOKLYN,17,11-11663,5084,49,Private,01/06/2012,ADJ. 194 LENOX ROAD betw ROGERS AVENUE & BEDFORD AVENUE
BROOKLYN,17,11-11663,5084,51,Private,01/06/2012,ADJ. 194 LENOX ROAD betw ROGERS AVENUE & BEDFORD AVENUE
BROOKLYN,18,11-11676,7824,9,Private,01/05/2012,ADJ. 4407 AVENUE L betw FLATLANDS AVENUE & TROY AVENUE
MANHATTAN,10,11-11702,1599,69,City,01/09/2012,ADJ. 66 WEST 116 STREET betw LENOX AVENUE & EAST 116 STREET
MANHATTAN,10,11-11886,1831,47,City,01/13/2012,ADJ. 230 WEST 116 STREET betw 8 AVENUE & DR REV WYATT TEE WALKER SQUARE
MANHATTAN,10,11-11757,1911,61,City,01/04/2012,ADJ. 2133 7 AVENUE betw WEST 127 STREET & WEST 126 STREET
MANHATTAN,10,11-11757,1911,62,City,01/04/2012,ADJ. 2133 7 AVENUE betw WEST 127 STREET & WEST 126 STREET
MANHATTAN,10,11-11935,1915,36,City,01/25/2012,ADJ. 413 LENOX AVENUE betw WEST 131 STREET & WEST 130 STREET
MANHATTAN,10,11-11323,2007,16,Private,01/10/2012,BETWEEN 125 & 117 WEST 138 STREET
MANHATTAN,10,11-11323,2007,17,Private,01/10/2012,BETWEEN 125 & 117 WEST 138 STREET
MANHATTAN,10,11-11323,2007,18,Private,01/10/2012,BETWEEN 125 & 117 WEST 138 STREET
MANHATTAN,10,11-11690,2007,27,Private,01/09/2012,BETWEEN 105 & 101 WEST 138 STREET
MANHATTAN,11,11-11801,1616,31,Private,01/05/2012,ADJ. 81 EAST 110 STREET betw PARK AVENUE & MADISON AVENUE
MANHATTAN,11,11-11912,1654,42,City,01/05/2012,ADJ. 212 EAST 105 STREET betw 2 AVENUE & 3 AVENUE
MANHATTAN,11,11-11911,1655,31,Private,01/30/2012,ADJ. 242 EAST 106 STREET betw 2 AVENUE & OSVALDO VEGA PLAZA
MANHATTAN,11,11-11185,1784,9,Private,01/04/2012,OPPOSITE OF 212 EAST 119 STREET betw 2 AVENUE & 3 AVENUE
MANHATTAN,12,11-10640,2121,1,Private,01/12/2012,OPPOSITE OF 1045 ST NICHOLAS AVENUE betw WEST 163 STREET & WEST 162 STREET
MANHATTAN,12,11-11891,2123,36,Private,01/12/2012,ADJ. 508 WEST 166 STREET betw AUDUBON AVENUE & AMSTERDAM AVENUE
MANHATTAN,12,11-11892,2126,53,Private,01/12/2012,ADJ. 517 WEST 169 STREET betw AUDUBON AVENUE & AMSTERDAM AVENUE
MANHATTAN,12,12-05089,2129,50,City,01/25/2012,ADJ. 2264 AMSTERDAM AVENUE betw WEST 173 STREET & WEST 172 STREET
MANHATTAN,12,12-05089,2129,52,City,01/25/2012,ADJ. 2264 AMSTERDAM AVENUE betw WEST 173 STREET & WEST 172 STREET
QUEENS,3,11-11673,1725,1,City,01/09/2012,ADJ. 33-12 111 STREET betw 34 AVENUE & NORTHERN BOULEVARD
QUEENS,3,11-11071,1778,16,Private,01/06/2012,BETWEEN 108-52 & 108-42 37 DRIVE
QUEENS,3,11-11071,1778,17,Private,01/06/2012,BETWEEN 108-52 & 108-42 37 DRIVE
QUEENS,3,11-11071,1778,18,Private,01/06/2012,BETWEEN 108-52 & 108-42 37 DRIVE
QUEENS,4,11-11674,1941,50,Private,01/25/2012,ADJ. 102-14 LEWIS AVENUE betw 103 STREET & 102 STREET
QUEENS,4,11-11671,1980,1,Private,01/24/2012,ADJ. 102-18 45 AVENUE betw 104 STREET & 102 STREET
QUEENS,4,11-11671,1980,3,Private,01/24/2012,ADJ. 102-18 45 AVENUE betw 104 STREET & 102 STREET
QUEENS,4,11-11837,2018,500,City,01/13/2012,OPPOSITE OF 42-06 114 STREET betw 43 AVENUE & 42 AVENUE
QUEENS,7,11-10318,4667,37,Private,01/11/2012,ADJ. 17-34 150 STREET betw 18 AVENUE & 17 ROAD
QUEENS,7,11-11714,4950,103,City,01/13/2012,ADJ. 135-01 35 AVENUE betw LINDEN PLACE & FARRINGTON STREET
QUEENS,10,11-11756,11356,12,Private,01/10/2012,ADJ. 133-18 77 STREET betw 135 AVENUE & 133 AVENUE
QUEENS,10,11-11563,14240,1330,Private,01/11/2012,ADJ. 162-28 104 STREET betw RAU COURT & DUNTON COURT
QUEENS,10,11-11563,14240,1331,Private,01/11/2012,ADJ. 162-28 104 STREET betw RAU COURT & DUNTON COURT
QUEENS,12,12-05242,9618,16,City,01/27/2012,ADJ. 88-32 138 STREET betw JAMAICA AVENUE & VAN WYCK EXPRESSWAY
