DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2007,English Language Learner,81,14,s,s,s
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,English Language Proficient,259,111,15,5.80%,13.50%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2007,English Language Proficient,211,70,13,6.20%,18.60%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,English Language Learner,104,39,0,0.00%,0.00%
02M460,WASHINGTON IRVING HIGH SCHOOL,2007,English Language Learner,88,22,0,0.00%,0.00%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,English Language Proficient,339,191,24,7.10%,12.60%
02M460,WASHINGTON IRVING HIGH SCHOOL,2007,English Language Proficient,319,166,18,5.60%,10.80%
02M475,STUYVESANT HIGH SCHOOL,2006,English Language Proficient,787,774,773,98.20%,99.90%
02M475,STUYVESANT HIGH SCHOOL,2007,English Language Proficient,784,761,754,96.20%,99.10%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2006,English Language Learner,6,1,s,s,s
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2007,English Language Learner,3,1,s,s,s
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2006,English Language Proficient,171,135,53,31.00%,39.30%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2007,English Language Proficient,189,153,59,31.20%,38.60%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,English Language Learner,1,1,s,s,s
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2007,English Language Learner,10,7,s,s,s
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,English Language Proficient,52,38,1,1.90%,2.60%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2007,English Language Proficient,49,27,0,0.00%,0.00%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,English Language Learner,1,1,s,s,s
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,English Language Proficient,135,125,45,33.30%,36.00%
02M519,TALENT UNLIMITED HIGH SCHOOL,2007,English Language Proficient,85,79,34,40.00%,43.00%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2006,English Language Learner,79,33,8,10.10%,24.20%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2007,English Language Learner,96,35,18,18.80%,51.40%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2006,English Language Proficient,558,326,104,18.60%,31.90%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2007,English Language Proficient,466,293,74,15.90%,25.30%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2006,English Language Learner,5,1,s,s,s
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2007,English Language Learner,6,2,s,s,s
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2006,English Language Proficient,143,95,29,20.30%,30.50%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2007,English Language Proficient,180,98,24,13.30%,24.50%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2006,English Language Learner,1,1,s,s,s
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2007,English Language Learner,1,0,s,s,s
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2006,English Language Proficient,48,41,2,4.20%,4.90%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2007,English Language Proficient,38,32,0,0.00%,0.00%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,English Language Learner,87,55,7,8.00%,12.70%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2007,English Language Learner,97,61,4,4.10%,6.60%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,English Language Proficient,24,22,6,25.00%,27.30%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2007,English Language Proficient,19,19,s,s,s
02M543,NEW DESIGN HIGH SCHOOL,2006,English Language Learner,8,3,s,s,s
02M543,NEW DESIGN HIGH SCHOOL,2007,English Language Learner,9,1,s,s,s
02M543,NEW DESIGN HIGH SCHOOL,2006,English Language Proficient,93,65,8,8.60%,12.30%
02M543,NEW DESIGN HIGH SCHOOL,2007,English Language Proficient,80,62,7,8.80%,11.30%
02M544,INDEPENDENCE HIGH SCHOOL,2006,English Language Learner,12,0,s,s,s
02M544,INDEPENDENCE HIGH SCHOOL,2007,English Language Learner,14,1,s,s,s
02M544,INDEPENDENCE HIGH SCHOOL,2006,English Language Proficient,133,25,3,2.30%,12.00%
02M544,INDEPENDENCE HIGH SCHOOL,2007,English Language Proficient,211,41,2,0.90%,4.90%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2006,English Language Learner,25,24,18,72.00%,75.00%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2007,English Language Learner,45,40,26,57.80%,65.00%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2006,English Language Proficient,29,26,22,75.90%,84.60%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2007,English Language Proficient,32,31,20,62.50%,64.50%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2006,English Language Learner,77,30,4,5.20%,13.30%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2007,English Language Learner,65,22,3,4.60%,13.60%
