BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02627-0005,"902 EAGLE AVENUE
Bronx, NY
(40.822373041470385, -73.90830957384752)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1914,21295,234245,11,548000,25.7,2-02620-0001,"575 161 STREET
Bronx, NY
(40.82230134705778, -73.9087972516016)",MORRISANIA/LONGWOOD,C7-WALK-UP,14,1914,10829,91956,8.49,237000,21.89,0.05,2-02680-0077,"1095 PROSPECT AVENUE
Bronx, NY
(40.825981017383654, -73.89903574179004)",MORRISANIA/LONGWOOD,C7-WALK-UP,24,1914,15020,222769,14.83,813000,54,0.5
2-02627-0007,"906 EAGLE AVENUE
Bronx, NY
(40.82245109533786, -73.90827704806941)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1914,21295,234245,11,548000,25.7,2-02427-0001,"391 168 STREET
Bronx, NY
(40.83246316219535, -73.91007687887051)",MELROSE/CONCOURSE,C7-WALK-UP,16,1923,11055,131325,11.88,453000,41,0.7,,,,,,,,,,,,
2-02638-0001,"872 TRINITY AVENUE
Bronx, NY
(40.82175554801533, -73.9064010294727)",MORRISANIA/LONGWOOD,D4-ELEVATOR,320,1960,292000,3331720,11.41,7800000,26.7,2-02723-0012,"923 SIMPSON STREET
Bronx, NY
(40.82049747089047, -73.89325288602092)",MORRISANIA/LONGWOOD,D7-ELEVATOR,44,1909,48000,536292,11.17,1260000,26.3,0.6,2-02723-0040,"1018 163 STREET
Bronx, NY
(40.82095477633552, -73.89248289943718)",MORRISANIA/LONGWOOD,D7-ELEVATOR,112,1909,156980,1790959,11.41,4190000,26.7,0.65
2-02663-0004,"1218 BOSTON ROAD
Bronx, NY
(40.829839156022466, -73.90191380884619)",MORRISANIA/LONGWOOD,C6-WALK-UP,13,1905,14516,138192,9.52,324000,22.32,2-02615-0029,"622 169 STREET
Bronx, NY
(40.831443554942354, -73.90125916044589)",MORRISANIA/LONGWOOD,C7-WALK-UP,24,1905,25790,237845,9.22,678000,26.3,0.05,2-02615-0053,"1227 BOSTON ROAD
Bronx, NY
(40.829949587070004, -73.90187915678132)",MORRISANIA/LONGWOOD,C1-WALK-UP,26,1905,24930,237255,9.52,677000,27.2,0.05
2-02663-0011,"1230 BOSTON ROAD
Bronx, NY
(40.8300927648154, -73.90160947829469)",MORRISANIA/LONGWOOD,C6-WALK-UP,20,1909,21500,249400,11.6,584000,27.2,2-02749-0010,"1018 HOE AVENUE
Bronx, NY
(40.82369201009576, -73.89042028459218)",MORRISANIA/LONGWOOD,C1-WALK-UP,20,1909,14450,150784,10.43,469000,32.5,0.7,2-02749-0020,"1046 HOE AVENUE
Bronx, NY
(40.8244505549147, -73.89049297499187)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1909,14450,167832,11.61,522000,36.1,0.7
2-02669-0050,"975 UNION AVENUE
Bronx, NY
(40.82340142841953, -73.90161621010908)",MORRISANIA/LONGWOOD,C6-WALK-UP,35,1912,33790,398722,11.8,933000,27.6,2-02615-0048,"1245 BOSTON ROAD
Bronx, NY
(40.83014683838349, -73.90164245520513)",MORRISANIA/LONGWOOD,C1-WALK-UP,14,1912,11725,112715,9.61,322000,27.5,0.45,2-02676-0038,"778 UNION AVENUE
Bronx, NY
(40.81835978099676, -73.90348600517268)",MORRISANIA/LONGWOOD,C4-WALK-UP,28,1912,18080,212874,11.77,734000,40.6,0.35
2-02683-0041,"571 SOUTHERN BOULEVARD
Bronx, NY
(40.812451395449806, -73.90313388148654)",MORRISANIA/LONGWOOD,C6-WALK-UP,42,1907,25926,311112,12,728000,28.1,2-02677-0014,"824 161 STREET
Bronx, NY
(40.82065701246506, -73.90216296896425)",MORRISANIA/LONGWOOD,C1-WALK-UP,22,1907,19500,191041,9.8,545000,27.9,0.5,2-02620-0022,"3246 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C7-WALK-UP,25,1907,22672,327870,14.46,1200000,53,0.75
2-02683-0052,"547 SOUTHERN BOULEVARD
Bronx, NY
(40.81225559124173, -73.90380614260093)",MORRISANIA/LONGWOOD,C6-WALK-UP,19,1906,16875,197437,11.7,462000,27.4,2-02653-0067,"786 152 STREET
Bronx, NY
(40.81558592474938, -73.90596211475062)",MORRISANIA/LONGWOOD,C7-WALK-UP,31,1906,19422,236183,12.16,815000,42,0.2,2-02653-0065,"644 WALES AVENUE
Bronx, NY
(40.8150382235727, -73.90643268539284)",MORRISANIA/LONGWOOD,C7-WALK-UP,25,1906,20700,215705,10.42,670000,32.4,0.2
2-02683-0100,"1021 AVENUE ST
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,79,1925,61878,504924,8.16,1180000,19.07,2-02742-0043,"952 ALDUS STREET
Bronx, NY
(40.82310105849876, -73.89069196935375)",MORRISANIA/LONGWOOD,C1-WALK-UP,19,1925,15780,128700,8.16,332000,21.04,0.75,2-02757-0014,"1244 WESTCHESTER AVENUE
Bronx, NY
(40.82665396334035, -73.88801948924471)",MORRISANIA/LONGWOOD,C1-WALK-UP,58,1925,43565,388600,8.92,910000,20.89,1.05
2-02684-0074,"986 LEGGETT AVENUE
Bronx, NY
(40.814631976912494, -73.89993608514311)",MORRISANIA/LONGWOOD,C6-WALK-UP,21,1916,16950,165432,9.76,387000,22.83,2-02612-0053,"1253 FRANKLIN AVENUE
Bronx, NY
(40.83092102246496, -73.90287046166648)",MORRISANIA/LONGWOOD,C1-WALK-UP,37,1916,33055,317335,9.6,819000,24.78,1.15,2-02684-0072,"982 LEGGETT AVENUE
Bronx, NY
(40.81473704341242, -73.89998801456261)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1916,16950,165353,9.76,472000,27.8,0
