DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2010-2011 OVERALL GRADE,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PERFORMANCE GRADE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 PROGRESS GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
01M332,1,University Neighborhood Middle School,Laura Peynado,EMS,Middle,1.78,C,39.3,10.6,A,5.3,D,22.4,C,1.0,B
01M345,1,"Collaborative Academy of Science, Technology, & La",Judith De Los Santos,EMS,Middle,2.29,B,41.7,6.8,B,10.4,B,23.5,C,1.0,B
01M361,1,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,32.99,B,42.0,7.7,B,4.4,D,27.9,B,2.0,C
01M363,1,Neighborhood School,Milo Novelo,EMS,Elementary,31.12,C,27.0,5.1,C,6.2,C,13.2,D,2.5,C
01M364,1,Earth School,Alison Gail Hazut,EMS,Elementary,31.60,C,31.4,11.1,A,3.8,D,13.5,D,3.0,D
01M378,1,School for Global Leaders,Carry Chan,EMS,Middle,2.23,B,53.8,8.6,B,12.9,B,27.3,B,5.0,B
01M448,1,University Neighborhood High School,Elizabeth Collins,HS,High School,2.03,C,57.6,6.9,D,13.9,C,35.8,B,1.0,C
01M450,1,East Side Community School,Mark Federman,EMS,Middle,1.99,A,63.5,12.5,A,14.6,A,27.9,B,8.5,A
01M450,1,East Side Community School,Mark Federman,HS,High School,2.26,A,77.0,12.9,A,18.4,A,38.7,B,7.0,A
01M458,1,Forsyth Satellite Academy,Ingrid Roberts Haynes,HST,Transfer High School,2.19,,,,,,,,,,
01M509,1,Marta Valle High School,Mimi Fortunato,HS,High School,1.78,C,54.0,6.7,D,15.7,B,30.6,C,1.0,B
01M515,1,Lower East Side Preparatory High School,Martha Polin,HST,Transfer High School,2.50,A,75.6,9.4,B,18.4,A,39.8,B,8.0,A
01M539,1,"New Explorations into Science, Technology and Math",Dr. Olga Livanis,EMS,K-8,13.51,A,73.5,6.8,B,22.4,A,44.3,A,0.0,A
01M539,1,"New Explorations into Science, Technology and Math High School",Dr. Olga Livanis,HS,High School,3.48,A,71.9,7.7,C,21.8,A,42.4,A,,B
01M650,1,Cascades High School,Paul Rotondo,HST,Transfer High School,2.34,A,70.4,11.8,A,16.6,B,36.0,B,6.0,A
01M696,1,Bard High School Early College,Michael Lerner,HS,High School,3.82,B,59.4,11.7,A,16.9,B,30.8,C,,B
01M839,1,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle,2.54,B,52.6,12.9,A,14.0,B,22.7,C,3.0,A
02M001,2,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary,40.95,B,42.9,4.6,C,8.8,C,26.5,B,3.0,B
02M002,2,P.S. 002 Meyer London,Brett Gustafson,EMS,Elementary,41.72,A,83.8,8.9,A,13.3,B,54.6,A,7.0,A
02M003,2,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,18.30,C,30.0,8.9,A,10.4,B,5.7,F,5.0,B
02M006,2,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary,11.23,A,61.6,5.8,C,13.9,B,38.4,A,3.5,B
02M011,2,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary,31.97,A,57.1,11.3,A,12.6,B,28.2,B,5.0,A
02M033,2,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary,46.31,B,54.8,13.3,A,11.0,B,29.5,B,1.0,A
02M040,2,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary,15.61,A,59.7,9.6,A,12.1,B,34.5,A,3.5,A
02M041,2,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary,12.16,A,58.6,11.9,A,12.6,B,28.6,B,5.5,B
02M042,2,P.S. 042 Benjamin Altman,Rosa Casiello O'Day,EMS,Elementary,35.81,A,79.2,10.1,A,14.9,A,49.6,A,4.5,A
02M047,3,47 The American Sign Language and English Secondary School,Watfa A. Shama,HS,High School,1.48,C,53.6,11.5,A,17.5,A,24.6,D,,A
02M051,2,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary,48.03,B,53.3,11.0,A,10.9,B,28.9,B,2.5,B
02M059,2,P.S. 059 Beekman Hill International,Adele Schroeter,EMS,Elementary,17.76,A,66.5,9.6,A,12.9,B,40.0,A,4.0,B
02M077,2,P.S. 77 Lower Lab School,Mara Ratesic Koetke,EMS,Elementary,9.89,A,79.2,9.2,A,18.8,A,50.2,A,1.0,A
02M089,2,P.S. 89,Veronica Najjar,EMS,Elementary,12.56,B,42.6,8.8,A,12.9,B,18.9,C,2.0,B
02M104,2,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,EMS,Middle,3.02,B,50.2,6.9,B,11.2,B,26.1,B,6.0,B
02M111,2,P.S. 111 Adolph S. Ochs,Irma Medina,EMS,K-8,53.29,C,27.5,5.0,C,4.4,D,17.1,C,1.0,B
02M114,2,East Side Middle School,David Getz,EMS,Middle,3.54,A,80.3,13.1,A,20.6,A,42.6,A,4.0,A
02M116,2,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary,20.92,C,40.3,8.8,A,13.7,B,15.3,D,2.5,B
02M124,2,P.S. 124 Yung Wing,Alice Hom,EMS,Elementary,25.77,A,59.9,7.4,B,14.4,A,33.1,B,5.0,A
02M126,2,P.S. 126 Jacob August Riis,Jacqueline Getz,EMS,K-8,38.71,A,67.8,6.0,C,13.7,B,41.1,A,7.0,A
02M130,2,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary,27.53,A,69.8,12.0,A,14.1,A,37.7,A,6.0,A
02M131,2,M.S. 131,Phyllis Tam,EMS,Middle,2.59,A,68.3,8.7,A,8.0,C,44.6,A,7.0,B
02M150,2,P.S. 150,Maggie Siena,EMS,Elementary,15.04,C,32.4,10.4,A,11.6,B,10.4,F,0.0,B
02M158,2,P.S. 158 Bayard Taylor,Darryl Alhadeff,EMS,Elementary,16.48,B,50.9,3.9,C,16.0,A,28.9,B,2.0,A
02M167,2,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,EMS,Middle,2.96,A,62.2,7.0,B,12.9,B,33.8,B,8.5,B
02M183,2,P.S. 183 Robert L. Stevenson,Tara Napoleoni,EMS,Elementary,14.98,B,43.5,6.0,B,9.6,C,22.9,C,5.0,B
02M198,2,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,EMS,Elementary,46.21,C,26.7,1.9,F,7.4,C,15.4,C,2.0,B
02M212,2,P.S. 212 Midtown West,Dean Ketchum,EMS,Elementary,21.28,B,53.6,10.6,A,14.1,A,22.9,C,6.0,A
02M217,2,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,EMS,K-8,32.42,D,23.8,4.8,C,6.1,C,10.4,D,2.5,B
02M225,2,Ella Baker School,Laura Garcia,EMS,K-8,41.46,C,39.2,7.7,B,7.1,C,23.4,C,1.0,B
02M234,2,P.S. 234 Independence School,Lisa Ripperger,EMS,Elementary,9.76,A,59.4,9.2,A,12.9,B,33.3,B,4.0,B
02M255,2,M.S. 255 Salk School of Science,Rhonda Perry,EMS,Middle,3.60,A,80.1,11.4,A,18.6,A,46.6,A,3.5,B
02M260,2,M.S. 260 Clinton School Writers & Artists,Joseph Anderson,EMS,Middle,2.92,B,55.0,6.7,B,16.2,A,26.6,B,5.5,A
02M276,2,BATTERY PARK CITY SCHOOL,Theresa Ruyter,EMS,Middle,3.01,A,78.3,10.0,A,19.2,A,49.1,A,0.0,
02M288,2,Food and Finance High School,Roger Turgeon,HS,High School,2.15,A,79.4,8.5,C,23.1,A,41.8,B,6.0,A
02M289,2,I.S. 289,Ellen Foote,EMS,Middle,3.26,B,57.0,9.1,A,14.8,A,29.0,B,4.0,B
02M290,2,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary,12.01,A,73.6,11.5,A,14.9,A,42.1,A,5.0,A
02M294,2,Essex Street Academy,Erin Carstensen,HS,High School,2.13,B,66.0,10.8,A,18.2,A,37.0,B,,A
02M296,2,High School of Hospitality Management,Matthew Corallo,HS,High School,1.92,A,83.7,10.7,A,22.6,A,43.4,A,7.0,A
02M298,2,Pace High School,Yvette Sy,HS,High School,2.67,A,73.7,9.1,B,20.6,A,42.0,A,2.0,A
02M300,2,"Urban Assembly School of Design and Construction, The",Matthew Willoughby,HS,High School,2.20,B,60.1,8.9,B,17.2,B,31.0,C,3.0,B
02M303,2,"Facing History School, The","Smith, Gillian",HS,High School,1.87,B,65.4,10.8,A,14.1,C,34.4,C,6.0,B
02M305,2,"Urban Assembly Academy of Government and Law, The",David Glasner,HS,High School,2.23,C,49.0,5.0,F,16.1,B,25.9,D,2.0,B
02M308,2,Lower Manhattan Arts Academy,John Wenk,HS,High School,1.89,A,79.3,9.7,B,20.0,A,42.6,A,7.0,A
02M312,2,New York City Lab Middle School for Collaborative,Megan Adams,EMS,Middle,3.60,A,84.6,10.7,A,20.0,A,47.4,A,6.5,A
02M313,2,"James Baldwin School, The: A School for Expeditionary Learning",Elijah Hawkes,HST,Transfer High School,2.22,C,52.6,9.7,B,16.2,B,26.6,D,,D
02M316,2,"Urban Assembly School of Business for Young Women, the",Patricia Minaya,HS,High School,2.13,B,60.2,9.1,B,17.6,A,31.5,C,2.0,B
02M347,2,The 47 American Sign Language & English Lower Scho,David Bowell,EMS,K-8,63.45,A,75.0,10.0,A,7.7,C,50.3,A,7.0,B
02M374,2,Gramercy Arts High School,Denise Dicarlo,HS,High School,2.44,C,56.2,4.7,F,16.7,B,33.8,C,1.0,B
02M376,2,NYC iSchool,Alisa Berger,HS,High School,3.06,,,,,,,,,,
02M392,2,MANHATTAN BUSINESS ACADEMY,Karen Polsonetti,HS,High School,2.41,,,,,,,,,,
02M393,2,BUSINESS OF SPORTS SCHOOL,Joshua Solomon,HS,High School,2.06,,,,,,,,,,
02M394,2,EMMA LAZARUS HIGH SCHOOL,Melody Kellogg,HST,Transfer High School,2.40,,,,,,,,,,
02M399,2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Santiago Mayol,HS,High School,2.42,,,,,,,,,,
02M400,2,High School for Environmental Studies,Shirley H. Matthews,HS,High School,2.62,B,63.1,8.9,B,16.7,B,29.4,C,8.0,B
02M407,2,Institute for Collaborative Education,John Pettinato,EMS,Middle,3.44,B,44.1,10.9,A,9.8,C,21.9,C,1.5,C
02M407,2,Institute for Collaborative Education,John Pettinato,HS,High School,2.58,A,74.2,13.4,A,13.1,C,47.7,A,,B
02M408,2,Professional Performing Arts High School,Keith Ryan,EMS,Middle,3.63,B,50.5,5.1,C,16.1,A,29.3,B,0.0,A
02M408,2,Professional Performing Arts High School,Keith Ryan,HS,High School,3.18,B,62.6,8.0,C,16.8,B,37.8,B,,A
02M411,2,Baruch College Campus High School,Alicia Perez-Katz,HS,High School,3.37,A,75.6,9.1,B,21.3,A,45.2,A,,A
02M412,2,N.Y.C. Lab School for Collaborative Studies,Brooke Jackson,HS,High School,3.14,A,75.7,10.3,B,23.6,A,38.8,B,3.0,A
02M413,2,School of the Future High School,Stacy Paige Goldstein,EMS,Middle,3.09,A,63.2,8.8,A,16.0,A,33.9,B,4.5,B
02M413,2,School of the Future High School,Stacy Paige Goldstein,HS,High School,2.72,B,69.5,10.3,B,20.3,A,36.9,B,2.0,A
02M414,2,N.Y.C. Museum School,Darlene Miller,HS,High School,2.97,A,78.3,6.2,D,22.0,A,48.1,A,2.0,A
02M416,2,Eleanor Roosevelt High School,Dimitri Saliani,HS,High School,3.59,A,79.3,12.0,A,21.5,A,44.8,A,1.0,A
02M418,2,Millennium High School,Robert Rhodes,HS,High School,3.26,A,77.4,10.4,B,20.6,A,44.4,A,2.0,A
02M419,2,Landmark High School,Trevor Naidoo,HS,High School,2.05,D,41.3,5.3,F,10.0,D,26.0,D,,C
02M420,2,High School for Health Professions and Human Services,Robert Gentile,HS,High School,2.74,B,59.8,7.8,C,15.3,B,34.7,C,2.0,C
02M422,2,Quest to Learn,Elisa Aragon,EMS,Middle,2.74,B,42.8,8.3,B,12.0,B,19.0,C,3.5,
02M425,2,Leadership and Public Service High School,Lawrence Pendergast,HS,High School,2.11,C,51.1,7.9,C,13.8,C,27.4,D,2.0,B
02M427,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Siv Boletsis,HS,High School,1.75,,,,,,,,,,
02M429,2,Legacy School for Integrated Studies,Joan Mosely,HS,High School,1.56,F,38.5,6.0,D,10.1,D,19.3,F,3.0,C
02M432,2,MURRAY HILL ACADEMY,Anita Manninen Felix,HST,Transfer High School,2.16,,,,,,,,,,
02M437,2,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,Nancy Amling,HS,High School,2.44,,,,,,,,,,
02M438,2,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,Gaylea Prichard-Silvers,HS,High School,2.30,,,,,,,,,,
02M439,2,Manhattan Village Academy,Hector Geager,HS,High School,2.85,A,99.0,13.3,A,23.3,A,58.3,A,4.0,A
02M440,2,Bayard Rustin Educational Complex,Lisa Ostrom,HS,High School,1.87,,,,,,,,,,
02M442,2,"Ballet Tech, NYC Public School for Dance",Roy Oneill,EMS,K-8,34.06,B,56.2,10.8,A,14.3,A,28.6,B,2.5,C
02M449,2,Vanguard High School,Louis Delgado,HS,High School,2.18,B,62.5,10.5,A,16.9,B,29.1,C,6.0,C
02M459,2,Manhattan International High School,Alan Krull,HS,High School,2.39,B,64.8,11.2,A,11.9,C,39.7,B,2.0,A
02M460,2,Washington Irving High School,Bernardo Ascona,HS,High School,1.91,F,38.9,6.0,D,4.8,F,28.0,D,,C
02M560,2,High School M560 - City As School,Alan Cheng,HST,Transfer High School,2.37,C,51.3,11.6,A,16.6,B,15.0,F,8.0,B
02M475,2,Stuyvesant High School,Stanley Teitel,HS,High School,4.07,A,71.4,8.4,C,22.5,A,40.5,B,,A
02M489,2,High School of Economics and Finance,Michael Stanzione,HS,High School,2.65,B,68.1,9.2,B,15.6,B,33.3,C,10.0,C
02M500,2,Unity Center for Urban Technologies,Fausto De La Rosa,HS,High School,1.68,A,74.2,10.1,B,16.2,B,40.9,B,7.0,A
02M519,2,Talent Unlimited High School,Linda Hamil,HS,High School,3.10,B,68.6,6.4,D,19.9,A,42.2,A,,A
02M520,2,Murry Bergtraum High School for Business Careers,Andrea Lewis,HS,High School,2.26,D,44.4,3.3,F,11.9,C,26.2,D,3.0,D
02M529,2,Jacqueline Kennedy Onassis High School,Edward Demeo,HS,High School,2.20,C,52.1,7.3,C,12.2,C,31.6,C,1.0,B
02M531,2,Repertory Company High School for Theatre Arts,Michael Mehmet Jr.,HS,High School,2.74,B,69.8,6.7,D,15.2,B,44.9,A,3.0,A
02M542,2,Manhattan Bridges High School,Mirza Sanchez Medina,HS,High School,2.17,A,90.4,11.9,A,15.7,B,55.7,A,7.0,A
02M543,2,New Design High School,Scott Conti,HS,High School,2.14,A,76.6,9.5,B,16.2,B,44.9,A,6.0,A
02M544,2,Independence High School,Ron Smolkin,HST,Transfer High School,2.03,C,46.3,11.3,A,10.4,D,24.6,D,,C
02M545,2,High School for Dual Language and Asian Studies,Li Yan,HS,High School,3.06,A,82.3,8.7,B,23.4,A,48.2,A,2.0,A
02M550,2,Liberty High School Academy for Newcomers,Melodee Khristan,HST,Transfer High School,2.03,A,79.4,4.0,F,24.6,A,44.8,A,6.0,A
02M551,2,The Urban Assembly New York Harbor School,Nathan Dudley,HS,High School,2.21,A,75.7,8.5,C,14.2,C,41.0,B,12.0,A
02M565,2,Urban Academy Laboratory High School,Herb Mack,HST,Transfer High School,2.80,B,64.8,14.8,A,18.7,A,31.3,C,,A
02M473,2,Washington Irving Yabc,Roger Bradley,YABC,YABC,,B,60,10.5,B,16,B,32.5,B,1.0,B
02M570,2,Satellite Academy High School,Steven Zbaida,HST,Transfer High School,2.08,A,70.9,13.3,A,19.3,A,32.3,C,6.0,F
02M575,2,Manhattan Comprehensive Night and Day High School,Michael Toise,HST,Transfer High School,2.39,B,67.4,11.9,A,15.1,B,32.4,C,8.0,A
02M580,2,Richard R. Green High School of Teaching,David Raubvogel,HS,High School,2.18,C,47.8,10.7,A,8.7,F,26.4,D,2.0,C
02M586,2,Harvey Milk High School,Alan Nolan,HST,Transfer High School,1.92,C,53.4,4.3,F,15.8,B,31.3,C,2.0,A
02M600,2,The High School of Fashion Industries,Daryl Blank,HS,High School,2.57,A,85.2,8.0,C,21.7,A,43.5,A,12.0,A
02M605,2,Humanities Preparatory Academy,Julie Conason,HST,Transfer High School,2.62,B,59.8,3.6,F,21.6,A,34.6,B,,B
02M615,2,Chelsea Career and Technical Education High School,Brian Rosenbloom,HS,High School,2.24,B,58.8,6.8,D,6.5,F,41.5,B,4.0,C
02M620,2,Norman Thomas High School,Philip Martin Jr,HS,High School,1.85,,,,,,,,,,F
02M625,2,High School of Graphic Communication Arts,Jerod Resnick,HS,High School,2.01,F,36.3,3.9,F,6.9,F,25.5,D,,D
02M630,2,Art and Design High School,Eric Strauss,HS,High School,2.68,B,66.6,8.2,C,14.7,B,34.7,C,9.0,B
02M655,2,Life Sciences Secondary School,Genevieve Stanislaus,EMS,Middle,2.19,C,35.5,6.0,C,5.8,D,22.2,C,1.5,C
02M655,2,Life Sciences Secondary School,Genevieve Stanislaus,HS,High School,2.10,B,61.9,8.2,C,18.8,A,31.8,C,3.0,A
02M896,2,Lower Manhattan Community Middle School,Kelly Mcguire,EMS,Middle,2.30,B,50.4,9.9,A,12.8,B,24.2,C,3.5,C
03M009,3,P.S. 009 Sarah Anderson,Diane Brady,EMS,Elementary,19.13,A,59.4,10.2,A,16.9,A,30.8,B,1.5,B
03M044,3,J.H.S. M044 William J. O'Shea,Liza Ortiz,EMS,Middle,1.89,,,,,,,,,,
03M054,3,J.H.S. 054 Booker T. Washington,Elana Elster,EMS,Middle,3.42,B,55.9,8.2,B,13.1,B,31.1,B,3.5,B
03M075,3,P.S. 075 Emily Dickinson,Robert O'Brien,EMS,Elementary,48.36,C,34.7,6.7,B,7.1,C,20.9,C,0.0,C
03M076,3,P.S. 076 A. Philip Randolph,Charles Deberry,EMS,K-8,60.79,B,48.8,11.1,A,6.6,C,26.6,B,4.5,C
03M084,3,P.S. 084 Lillian Weber,Robin Sundick,EMS,Elementary,43.74,F,14.3,3.5,D,2.6,D,8.2,F,0.0,C
03M087,3,P.S. 087 William Sherman,Monica Berry,EMS,Elementary,16.84,B,45.0,3.5,D,12.1,B,23.9,C,5.5,B
03M145,3,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez,EMS,Elementary,60.76,C,36.3,5.2,C,5.5,D,24.6,B,1.0,B
03M149,3,P.S. 149 Sojourner Truth,Kayrol Burgess Harper,EMS,K-8,60.24,C,29.7,4.4,C,3.4,D,21.4,C,0.5,B
03M163,3,P.S. 163 Alfred E. Smith,Virginia Pepe,EMS,Elementary,40.54,C,27.1,7.1,B,10.2,B,9.8,F,0.0,C
03M165,3,P.S. 165 Robert E. Simon,Brett Gallini,EMS,K-8,57.58,A,71.6,10.2,A,8.4,C,46.0,A,7.0,B
03M166,3,P.S. 166 The Richard Rodgers School of The Arts an,Debbie J. Hand,EMS,Elementary,25.62,B,41.0,6.7,B,6.8,C,24.0,C,3.5,D
03M180,3,P.S. 180 Hugo Newman,Peter Mcfarlane,EMS,K-8,53.15,B,47.3,9.7,A,9.4,C,26.1,B,2.0,C
03M185,3,P.S. 185 John M. Langston,Jane Murphy,EC,K-2,59.28,C,20.2,8.8,B,4.5,C,6.9,C,0.0,C
03M191,3,P.S. 191 Amsterdam,Maria Verdesoto,EMS,K-8,53.37,C,31.7,3.6,D,5.8,D,18.8,C,3.5,C
03M199,3,P.S. 199 Jessie Isador Straus,Katy Rosen,EMS,Elementary,12.93,A,62.6,8.2,B,14.4,A,36.5,A,3.5,A
03M208,3,P.S. 208 Alain L. Locke,Susan M. Green,EMS,Elementary,63.75,D,19.2,7.8,B,3.6,D,7.8,F,0.0,C
03M241,3,P.S. 241 Family Academy,Diana Diaz,EMS,K-8,65.26,B,50.2,9.8,A,5.2,D,31.2,B,4.0,C
03M242,3,PS M242-Gwendolyn Powell Brown Computer School,Denise Gomez,EMS,Elementary,60.06,B,56.3,5.9,C,6.0,C,40.9,A,3.5,C
03M243,3,M.S. 243 Center School,Elaine Schwartz,EMS,Middle,3.59,B,42.4,13.3,A,15.5,A,13.6,D,0.0,B
03M245,3,M.S. M245 The Computer School,Henry Zymeck,EMS,Middle,3.15,B,48.6,12.6,A,12.2,B,20.3,C,3.5,B
03M247,3,M.S. M247 Dual Language Middle School,Claudia Aguirre,EMS,Middle,2.19,A,79.2,14.3,A,13.7,B,42.7,A,8.5,A
03M250,3,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda,EMS,Middle,2.09,B,45.6,13.5,A,11.5,B,19.1,C,1.5,A
03M256,3,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl,EMS,Middle,1.90,B,50.8,8.0,B,6.4,D,33.4,B,3.0,C
03M258,3,Community Action School - MS 258,John Curry,EMS,Middle,2.05,A,66.9,11.9,A,14.2,B,34.7,B,6.0,A
03M283,3,Manhattan Theatre Lab High School,Evelyn Collins,HS,High School,1.91,F,36.4,4.3,F,8.6,F,22.5,F,1.0,C
03M299,3,"High School for Arts, Imagination and Inquiry",Stephen Noonan,HS,High School,1.96,C,47.3,5.6,F,11.6,D,29.1,C,1.0,B
03M307,3,"Urban Assembly School for Media Studies, The",Cordelia Veve,HS,High School,1.94,A,89.0,10.5,A,18.6,A,49.9,A,10.0,A
03M333,3,P.S. 333 Manhattan School for Children,Susan Rappaport,EMS,K-8,24.17,B,41.6,6.9,B,8.2,C,22.0,C,4.5,C
03M334,3,The Anderson School,Jodi Hyde,EMS,K-8,6.65,A,85.1,11.5,A,23.8,A,49.8,A,0.0,A
03M402,3,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,Alexandra Rathmann-Noonan,HS,High School,1.81,,,,,,,,,,
03M403,3,THE GLOBAL LEARNING COLLABORATIVE,Jennifer Zinn,HS,High School,1.99,,,,,,,,,,
03M404,3,INNOVATION DIPLOMA PLUS,Casey Jones,HST,Transfer High School,2.17,,,,,,,,,,
03M415,3,Wadleigh Secondary School for the Performing & Vis,Herma Hall,EMS,Middle,2.03,D,16.3,1.3,F,6.0,D,8.0,F,1.0,C
03M415,3,Wadleigh Secondary School for the Performing & Visual Arts,Herma Hall,HS,High School,1.83,D,44.6,4.2,F,16.2,B,21.2,F,3.0,B
03M417,3,FRANK McCOURT HIGH SCHOOL,Danielle Salzberg,HS,High School,2.69,,,,,,,,,,
03M421,3,WEST PREP ACADEMY,Roberto Padilla,EMS,Middle,1.96,C,36.7,2.8,D,6.3,D,24.1,C,3.5,
03M470,3,Louis D. Brandeis High School,Arleen Liquori,HS,High School,1.80,,,,,,,,,,
03M479,3,Beacon High School,Ruth Lacey,HS,High School,3.47,A,77.3,10.1,B,15.6,B,49.6,A,2.0,A
03M485,3,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Kim Bruno,HS,High School,3.63,A,72.0,7.7,C,22.4,A,41.9,B,,A
03M492,3,"High School for Law, Advocacy and Community Justice",Miriam Nightengale,HS,High School,2.12,A,79.2,9.0,B,19.0,A,42.1,A,9.0,A
03M494,3,High School of Arts and Technology,Anne Geiger,HS,High School,2.17,C,50.5,4.8,F,16.7,B,27.0,D,2.0,B
03M505,3,Edward A. Reynolds West Side High School,Jean Mctavish,HST,Transfer High School,1.74,C,52.6,5.5,F,12.4,C,31.7,C,3.0,B
03M541,3,Manhattan / Hunter Science High School,Susan Kreisman,HS,High School,3.19,B,63.7,10.0,B,14.4,C,39.3,B,,B
03M577,3,Brandeis Yabc,0,YABC,YABC,,,,,,,,,,,C
03M859,3,Special Music School,Katherine Banucci-Smith,EMS,K-8,6.78,A,82.0,8.0,B,23.0,A,51.0,A,0.0,A
03M860,3,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,EMS,Middle,2.01,F,13.9,2.0,F,3.1,F,8.3,F,0.5,C
03M860,3,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,HS,High School,1.81,C,56.6,7.0,C,14.2,C,33.4,C,2.0,C
03M862,3,Mott Hall II,Ana De Los Santos,EMS,Middle,2.88,A,78.7,10.1,A,16.0,A,42.6,A,10.0,A
04M007,4,P.S. 007 Samuel Stern,Racquel Jones,EMS,K-8,58.36,C,34.4,5.1,C,7.0,C,20.8,C,1.5,A
04M012,4,Tag Young Scholars,Janette Cesar,EMS,K-8,38.81,B,56.4,10.6,A,20.5,A,25.3,B,0.0,A
