ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1096,Q105,27Q105,P.S. 105 The Bay School,Q105,420 BEACH  51 STREET,OUEENS,27,944,,1,P.S. 105 The Bay School,2,1,4,0,2,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1097,Q106,27Q106,P.S. 106,Q106,180 BEACH  35 STREET,OUEENS,27,350,,1,P.S. 106,1,0,0,0,1,3C,251-500,0.37,1.2,1.51,0.22,0.15
1098,Q107,25Q107,P.S. 107 Thomas A Dooley,Q107,167-02 45 AVENUE,OUEENS,25,919,,1,P.S. 107 Thomas A Dooley,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1099,Q108,27Q108,P.S. 108 Captain Vincent G. Fowler,Q108,108-10 109 AVENUE,OUEENS,27,1369,,1,P.S. 108 Captain Vincent G. Fowler,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1100,Q109,29Q109,Jean Nuzzi Intermediate School,Q109,213-10 92 AVENUE,OUEENS,29,1110,,1,Jean Nuzzi Intermediate School,1,4,7,0,1,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1101,Q111,30Q111,P.S. 111 Jacob Blackwell,Q111,37-15 13 STREET,OUEENS,30,460,,1,P.S. 111 Jacob Blackwell,0,3,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
1102,Q112,30Q112,P.S. 112 Dutch Kills,Q112,25-05 37 AVENUE,OUEENS,30,502,,1,P.S. 112 Dutch Kills,0,1,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1103,Q113,24Q113,P.S. 113 Isaac Chauncey,Q113,78-23 87TH STREET,OUEENS,24,836,,1,P.S. 113 Isaac Chauncey,0,0,1,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1104,Q114,27Q114,P.S. / M.S. 114 Belle Harbor,Q114,134-01 CRONSTON AVENUE,OUEENS,27,810,,1,P.S. / M.S. 114 Belle Harbor,0,0,2,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1105,Q115,26Q115,P.S. 115 Glen Oaks,Q115,80-51 261 STREET,OUEENS,26,587,,1,P.S. 115 Glen Oaks,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1106,Q116,29Q116,PS/IS 116 William C. Hughley,Q116,107-25 WREN PLACE,OUEENS,29,841,,1,PS/IS 116 William C. Hughley,0,3,1,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1107,Q117,28Q117,P.S. 117 J. Keld / Briarwood School,Q117,85-15 143 STREET,OUEENS,28,1259,,1,P.S. 117 J. Keld / Briarwood School,0,2,0,0,0,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1108,Q118,29Q118,P.S. 118 Lorraine Hansberry,Q118,190-20 109 ROAD,OUEENS,29,689,,1,P.S. 118 Lorraine Hansberry,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1109,Q119,24Q119,I.S. 119 The Glendale,Q119,74-01 78 AVENUE,OUEENS,24,981,,1,I.S. 119 The Glendale,1,6,4,1,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1110,Q120,25Q120,P.S. 120 Queens,Q120,58-01 136 STREET,OUEENS,25,885,,1,P.S. 120 Queens,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1111,Q121,28Q121,P.S. 121 Queens,Q121,126-10 109 AVENUE,OUEENS,28,1008,,1,P.S. 121 Queens,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1112,Q122,30Q122,P.S. 122 Mamie Fay,Q122,21-21 DITMARS BOULEVARD,OUEENS,30,1398,,1,P.S. 122 Mamie Fay,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1113,Q123,27Q123,P.S. 123,Q123,145-01 119 AVENUE,OUEENS,27,703,,1,P.S. 123,2,0,2,2,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1114,Q124,27Q124,P.S. 124 Osmond A Church,Q124,129-15 150 AVENUE,OUEENS,27,1216,,1,P.S. 124 Osmond A Church,0,1,1,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1115,Q125,24Q125,I.S. 125 Thom J. McCann Woodside,Q125,46-02 47 AVENUE,OUEENS,24,1657,,1,I.S. 125 Thom J. McCann Woodside,1,3,0,1,0,8C,1501-1750,1.11,6.11,10.78,0.5,0.61
1116,Q126,30Q126,Albert Shanker School for Visual and Performing Ar,Q126,31-51 21 STREET,OUEENS,30,615,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar | ALC - IS 126 | 31-51 21 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
1117,Q126,,31-51 21 STREET CONSOLIDATED LOCATION,,31-51 21 STREET,OUEENS,30,615,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar | ALC - IS 126 | 31-51 21 STREET CONSOLIDATED LOCATION,1,4,3,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1118,Q126,88Q997,ALC - IS 126,Q997,31-51 21 STREET,OUEENS,30,#N/A,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar | ALC - IS 126 | 31-51 21 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A
1119,Q127,30Q127,P.S. 127 Aerospace Science Magne,Q127,98-01 25 AVENUE,OUEENS,30,1309,,1,P.S. 127 Aerospace Science Magne,0,1,0,0,0,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1120,Q129,25Q129,P.S. 129 Patricia Larkin,Q129,128-02 7 AVENUE,OUEENS,25,992,,1,P.S. 129 Patricia Larkin,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1121,Q130,25Q130,P.S. 130,Q130,200-01 42 AVENUE,OUEENS,26,317,,1,P.S. 130,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
1122,Q131,29Q131,P.S. 131 Abigail Adams,Q131,170-45 84 AVENUE,OUEENS,29,807,,1,P.S. 131 Abigail Adams,0,0,2,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1123,Q132,29Q132,P.S. 132 Ralph Bunche,Q132,132-15 218 STREET,OUEENS,29,423,,1,P.S. 132 Ralph Bunche,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
1124,Q133,26Q133,P.S. 133 Queens,Q133,248-05 86 AVENUE,OUEENS,26,472,,1,P.S. 133 Queens,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
1125,Q134,29Q134,P.S. 134 Hollis,Q134,203-02 109 AVENUE,OUEENS,29,495,,1,P.S. 134 Hollis,0,2,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
1126,Q135,29Q135,The Bellaire School,Q135,207-11 89 AVENUE,OUEENS,29,1116,,1,The Bellaire School,2,0,1,2,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1127,Q136,29Q136,P.S. 136 Roy Wilkins,Q136,201-15 115 AVENUE,OUEENS,29,694,,1,P.S. 136 Roy Wilkins,0,0,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1128,Q137,27Q137,M.S. 137 America's School of Heroes,Q137,109-15 98 STREET,OUEENS,27,1977,,1,M.S. 137 America's School of Heroes,1,1,2,0,1,9C,1751-2000,1.31,7.85,20.31,0.54,0.77
1129,Q138,29Q138,P.S. 138 Sunrise,Q138,251-11 WELLER AVENUE,OUEENS,29,923,,1,P.S. 138 Sunrise,0,1,3,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1130,Q139,28Q139,P.S. 139 Rego Park,Q139,93-06 63 DRIVE,OUEENS,28,939,,1,P.S. 139 Rego Park,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1131,Q140,28Q140,P.S. 140 Edward K Ellington,Q140,166-01 116 AVENUE,OUEENS,28,760,,1,P.S. 140 Edward K Ellington,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1132,Q141,30Q141,I.S. 141 The Steinway,Q141,37-11 21 AVENUE,OUEENS,30,1024,,1,I.S. 141 The Steinway,2,0,1,1,1,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1133,Q142,75Q504,Home Instruction - Queen,Q999,142-10 LINDEN BOULEVARD,OUEENS,28,300,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Home Instruction - Queen | Queens Transition Center | 142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1134,Q142,75Q752,Queens Transition Center,Q752,142-10 LINDEN BOULEVARD,OUEENS,28,453,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Home Instruction - Queen | Queens Transition Center | 142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1135,Q142,,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,,142-10 LINDEN BOULEVARD,OUEENS,28,753,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Home Instruction - Queen | Queens Transition Center | 142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,5,3,2,1,4,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1136,Q143,24Q143,P.S. 143 Louis Armstrong,Q143,34-74 113 STREET,OUEENS,24,1511,,1,P.S. 143 Louis Armstrong,N/A,N/A,N/A,N/A,N/A,8C,1501-1750,1.11,6.11,10.78,0.5,0.61
1137,Q144,28Q144,P.S. 144 Col Jeromus Remsen,Q144,93-02 69 AVENUE,OUEENS,28,695,,1,P.S. 144 Col Jeromus Remsen,0,1,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1138,Q145,30Q145,I.S. 145 Joseph Pulitzer,Q145,33-34 80 STREET,OUEENS,30,2039,,1,I.S. 145 Joseph Pulitzer,2,2,5,1,1,10C,2001-2500,3.39,10.94,22.5,1.28,2.11
1139,Q146,27Q146,P.S. 146 Howard Beach,Q146,98-01 159 AVENUE,OUEENS,27,723,,1,P.S. 146 Howard Beach,0,1,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1140,Q147,29Q147,PS/MS 147 Ronald McNair,Q147,218-01 116 AVENUE,OUEENS,29,787,,1,PS/MS 147 Ronald McNair,0,2,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1141,Q148,30Q148,P.S. 148 Queens,Q148,89-02 32 AVENUE,OUEENS,30,1153,,1,P.S. 148 Queens,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1142,Q149,30Q149,P.S. 149 Christa Mcauliffe,Q149,93-11 34 AVENUE,OUEENS,30,1161,,1,P.S. 149 Christa Mcauliffe,0,0,1,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1143,Q150,30Q150,P.S. 150 Queens,Q150,40-01 43 AVENUE,OUEENS,30,1266,,1,P.S. 150 Queens,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1144,Q151,30Q151,P.S. 151 Mary D. Carter,Q151,50-05 31 AVENUE,OUEENS,30,586,,1,P.S. 151 Mary D. Carter,1,1,2,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1145,Q152,30Q152,Q152 - P.S. 152 Gwendoline N. Alleyne School,Q152,33-52 62 STREET,OUEENS,30,1322,,1,Q152 - P.S. 152 Gwendoline N. Alleyne School,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1146,Q153,24Q153,P.S. 153 Maspeth Elem,Q153,60-02 60 LANE,OUEENS,24,1412,,1,P.S. 153 Maspeth Elem,0,1,0,0,0,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1147,Q154,25Q154,P.S. 154 Queens,Q154,75-02 162 STREET,OUEENS,25,670,,1,P.S. 154 Queens,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1148,Q155,27Q155,P.S. 155,Q155,130-02 115 AVENUE,OUEENS,27,618,,1,P.S. 155,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1149,Q156,29Q156,P.S. 156 Laurelton,Q156,229-02 137 AVENUE,OUEENS,29,713,,1,P.S. 156 Laurelton,1,0,3,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1150,Q157,28Q157,J.H.S. 157 Stephen A. Halsey,Q157,63-55 102ND STREET,OUEENS,28,1079,,1,J.H.S. 157 Stephen A. Halsey,0,1,0,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1151,Q158,26Q158,M.S. 158 Marie Curie,Q158,46-35 OCEANIA STREET,OUEENS,26,1087,,1,M.S. 158 Marie Curie,0,2,0,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1152,Q159,26Q159,P.S. 159,Q159,205-01 33 AVENUE,OUEENS,26,546,,1,P.S. 159,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1153,Q160,28Q160,P.S. 160 Walter Francis Bishop,Q160,109-59 INWOOD STREET,OUEENS,28,801,,1,P.S. 160 Walter Francis Bishop,1,2,2,0,1,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1154,Q161,28Q161,P.S. 161 Arthur Ashe School,Q161,101-33 124 STREET,OUEENS,28,797,,1,P.S. 161 Arthur Ashe School,0,2,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1155,Q162,26Q162,P.S. 162 John Golden,Q162,201-02 53 AVENUE,OUEENS,26,687,,1,P.S. 162 John Golden,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1156,Q163,25Q163,P.S. 163 Flushing Heights,Q163,159-01 59 AVENUE,OUEENS,25,569,,1,P.S. 163 Flushing Heights,0,1,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1157,Q164,25Q164,P.S. 164 Queens Valley,Q164,138-01 77 AVENUE,OUEENS,25,627,,1,P.S. 164 Queens Valley,0,0,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1158,Q165,25Q165,P.S. 165 Edith K. Bergtraum,Q165,70-35 150 STREET,OUEENS,25,644,,1,P.S. 165 Edith K. Bergtraum,0,1,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1159,Q166,30Q166,P.S. 166 Henry Gradstein,Q166,33-09 35 AVENUE,OUEENS,30,1098,,1,P.S. 166 Henry Gradstein,0,1,1,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1160,Q168,25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Q250,158-40 76 ROAD,OUEENS,25,383,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc | Queens School of Inquiry, The | P.S. Q255 | 158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1161,Q168,75Q255,P.S. Q255,Q255,158-40 76 ROAD,OUEENS,25,402,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc | Queens School of Inquiry, The | P.S. Q255 | 158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1162,Q168,25Q252,"Queens School of Inquiry, The",Q252,158-40 76 ROAD,OUEENS,25,493,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc | Queens School of Inquiry, The | P.S. Q255 | 158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1163,Q168,,158-40 76 ROAD CONSOLIDATED LOCATION,,158-40 76 ROAD,OUEENS,25,1278,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc | Queens School of Inquiry, The | P.S. Q255 | 158-40 76 ROAD CONSOLIDATED LOCATION",0,2,1,0,0,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
1164,Q169,25Q294,BELL Academy,Q294,18-25 212 STREET,OUEENS,25,305,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace | BELL Academy | 18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1165,Q169,25Q169,P.S. 169 Bay Terrace,Q169,18-25 212 STREET,OUEENS,25,370,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace | BELL Academy | 18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1166,Q169,,18-25 212 STREET CONSOLIDATED LOCATION,,18-25 212 STREET,OUEENS,25,675,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace | BELL Academy | 18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1167,Q171,30Q171,P.S. 171 Peter G. Van Alst,Q171,14-14 29 AVENUE,OUEENS,30,621,,1,P.S. 171 Peter G. Van Alst,1,0,0,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1168,Q172,26Q172,Irwin Altman Middle School 172,Q172,81-14 257 STREET,OUEENS,26,1002,,1,Irwin Altman Middle School 172,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1169,Q173,26Q173,P.S. 173 Fresh Meadows,Q173,174-10 67 AVENUE,OUEENS,26,853,,1,P.S. 173 Fresh Meadows,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1170,Q174,28Q174,P.S. 174 William Sidney Mount,Q174,65-10 DIETERLE CRESCENT,OUEENS,28,636,,1,P.S. 174 William Sidney Mount,1,0,0,0,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
1171,Q175,28Q175,P.S. 175 The Lynn Gross Discovery School,Q175,64-35 102 STREET,OUEENS,28,713,,1,P.S. 175 The Lynn Gross Discovery School,0,0,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1172,Q176,29Q176,P.S. 176 Cambria Heights,Q176,120-45 235 STREET,OUEENS,29,780,,1,P.S. 176 Cambria Heights,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1173,Q177,75Q177,P.S. Q177,Q177,56-37 188 STREET,OUEENS,26,498,,1,P.S. Q177,1,0,0,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
1174,Q178,26Q178,P.S./ IS 178 Holliswood,Q178,189-10 RADNOR ROAD,OUEENS,26,505,,1,P.S./ IS 178 Holliswood,0,0,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1175,Q179,75Q004,P.S. Q004,Q004,196-25 PECK AVENUE,OUEENS,26,383,,1,P.S. Q004,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
1176,Q180,27Q323,Scholars' Academy,Q323,320 BEACH 104TH STREET,OUEENS,27,970,,1,Scholars' Academy,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1177,Q181,29Q181,P.S. 181 Brookfield,Q181,148-15 230 STREET,OUEENS,29,442,,1,P.S. 181 Brookfield,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
1178,Q183,27Q183,P.S. 183 Dr. Richard R. Green,Q183,2-45 BEACH  79 STREET,OUEENS,27,637,,1,P.S. 183 Dr. Richard R. Green,1,3,0,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1179,Q184,25Q184,P.S. 184 Flushing Manor,Q184,163-15 21 ROAD,OUEENS,25,501,,1,P.S. 184 Flushing Manor,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1180,Q185,25Q185,J.H.S. 185 Edward Bleeker,Q185,147-26 25 DRIVE,OUEENS,25,1137,,1,J.H.S. 185 Edward Bleeker,0,1,2,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1181,Q186,26Q186,P.S. 186 Castlewood,Q186,252-12 72 AVENUE,OUEENS,26,367,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood | P.S. Q224 | 252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1182,Q186,75Q224,P.S. Q224,Q224,252-12 72 AVENUE,OUEENS,26,448,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood | P.S. Q224 | 252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1183,Q186,,252-12 72 AVENUE CONSOLIDATED LOCATION,,252-12 72 AVENUE,OUEENS,26,815,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood | P.S. Q224 | 252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1184,Q188,26Q188,P.S. 188 Kingsbury,Q188,218-12 HARTLAND AVENUE,OUEENS,26,551,,1,P.S. 188 Kingsbury,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1185,Q189,25Q263,Flushing International High School,Q263,144-80 BARCLAY AVENUE,OUEENS,25,400,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard | Flushing International High School | 144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1186,Q189,25Q189,J.H.S. 189 Daniel Carter Beard,Q189,144-80 BARCLAY AVENUE,OUEENS,25,794,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard | Flushing International High School | 144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
1187,Q189,,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,,144-80 BARCLAY AVENUE,OUEENS,25,1194,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard | Flushing International High School | 144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,0,3,1,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1188,Q190,28Q190,J.H.S. 190 Russell Sage,Q190,68-17 AUSTIN STREET,OUEENS,28,824,,1,J.H.S. 190 Russell Sage,0,2,5,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1189,Q191,26Q191,P.S. 191 Mayflower,Q191,85-15 258 STREET,OUEENS,26,372,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower | P.S. Q993 | 85-15 258 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1190,Q191,75Q993,P.S. Q993,Q993,85-15 258 STREET,OUEENS,26,400,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower | P.S. Q993 | 85-15 258 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1191,Q191,,85-15 258 STREET CONSOLIDATED LOCATION,,85-15 258 STREET,OUEENS,26,772,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower | P.S. Q993 | 85-15 258 STREET CONSOLIDATED LOCATION,0,1,0,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
1192,Q192,29Q259,Pathways College Preparatory School: A College Boa,Q259,109-89 204 STREET,OUEENS,29,540,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden | Pathways College Preparatory School: A College Boa | 109-89 204 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
1193,Q192,29Q192,I.S. 192 The Linden,Q192,109-89 204 STREET,OUEENS,29,705,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden | Pathways College Preparatory School: A College Boa | 109-89 204 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
1194,Q192,,109-89 204 STREET CONSOLIDATED LOCATION,,109-89 204 STREET,OUEENS,29,1245,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden | Pathways College Preparatory School: A College Boa | 109-89 204 STREET CONSOLIDATED LOCATION,2,9,9,1,1,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1195,Q193,25Q193,P.S. 193 Alfred J. Kennedy,Q193,152-20 11 AVENUE,OUEENS,25,478,,1,P.S. 193 Alfred J. Kennedy,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
1196,Q194,25Q194,J.H.S. 194 William Carr,Q194,154-60 17 AVENUE,OUEENS,25,1132,,1,J.H.S. 194 William Carr,0,2,1,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1197,Q195,29Q195,P.S. 195 William Haberle,Q195,253-50 149 AVENUE,OUEENS,29,696,,1,P.S. 195 William Haberle,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1198,Q196,28Q196,P.S. 196 Grand Central Parkway,Q196,71-25 113 STREET,OUEENS,28,642,,1,P.S. 196 Grand Central Parkway,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
1199,Q197,27Q197,P.S. 197 The Ocean School,Q197,825 HICKSVILLE ROAD,OUEENS,27,540,,1,P.S. 197 The Ocean School,0,2,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1200,Q198,27Q333,Goldie Maple Academy,Q333,3-65 BEACH 56 STREET,OUEENS,27,542,,1,Goldie Maple Academy,1,1,0,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
1201,Q199,24Q199,P.S. 199 Maurice A. Fitzgerald,Q199,39-20 48 AVENUE,OUEENS,24,1040,,1,P.S. 199 Maurice A. Fitzgerald,0,1,0,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
1202,Q200,25Q200,PS/MS 200 - The Pomonok School & STAR Academy,Q200,70-10 164 STREET,OUEENS,25,516,,1,PS/MS 200 - The Pomonok School & STAR Academy,0,0,9,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
