ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
567,K824,88K981,ALC- W.E.B Debois,K981,402 EASTERN PARKWAY,BROOKLYN,17,#N/A,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School | ALC- W.E.B Debois | 402 EASTERN PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A
568,K825,15K698,South Brooklyn Community High School,K698,173 CONOVER STREET,BROOKLYN,15,161,,1,South Brooklyn Community High School,0,0,1,0,0,2C,1-250,0.29,0.94,1.17,0.17,0.12
569,K834,75K372,P.S. 372 -The Children's School,K372,512 CARROLL STREET,BROOKLYN,15,167,512 CARROLL STREET CONSOLIDATED LOCATION,2,The Children's School | P.S. 372 -The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
570,K834,15K418,The Children's School,K418,512 CARROLL STREET,BROOKLYN,15,332,512 CARROLL STREET CONSOLIDATED LOCATION,2,The Children's School | P.S. 372 -The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
571,K834,,512 CARROLL STREET CONSOLIDATED LOCATION,,512 CARROLL STREET,BROOKLYN,15,499,512 CARROLL STREET CONSOLIDATED LOCATION,2,The Children's School | P.S. 372 -The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,0,2,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
572,K838,75K053,P.S. K053,K053,720 LIVONIA AVENUE,BROOKLYN,19,372,,1,P.S. K053,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
573,K843,75K004,P.S. K004,K004,530 STANLEY AVENUE,BROOKLYN,19,344,,1,P.S. K004,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
574,K845,15K295,P.S. 295,K295,330 18 STREET,BROOKLYN,15,390,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 | New Voices School of Academic & Creative Arts | 330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
575,K845,15K443,New Voices School of Academic & Creative Arts,K443,330 18 STREET,BROOKLYN,15,486,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 | New Voices School of Academic & Creative Arts | 330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
576,K845,,330 18 STREET CONSOLIDATED LOCATION,,330 18 STREET,BROOKLYN,15,876,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 | New Voices School of Academic & Creative Arts | 330 18 STREET CONSOLIDATED LOCATION,0,1,1,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
577,K849,22K134,P.S. K134,K134,4001 18 AVENUE,BROOKLYN,22,497,,1,P.S. K134,0,1,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
578,K852,22K326,P.S. 326,K326,1800 UTICA AVENUE,BROOKLYN,22,204,,1,P.S. 326,N/A,N/A,N/A,N/A,N/A,2C,1-250,0.29,0.94,1.17,0.17,0.12
579,K857,75K036,P.S. 36,K036,2045 LINDEN BOULEVARD,BROOKLYN,19,277,,1,P.S. 36,2,0,1,1,1,3C,251-500,0.37,1.2,1.51,0.22,0.15
580,K864,22K361,P.S. 361 East Flatbush Early Childhood School,K361,3109 NEWKIRK AVENUE,BROOKLYN,22,617,,1,P.S. 361 East Flatbush Early Childhood School,0,1,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
581,K865,32K556,Bushwick Leaders High School for Academic Excellen,K556,797 BUSHWICK AVENUE,BROOKLYN,32,500,,1,Bushwick Leaders High School for Academic Excellen,0,4,6,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
582,K871,79K926,Access GED - Downtown Brooklyn,K926,67-69 SCHERMERHORN STREET,BROOKLYN,15,123,,1,Access GED - Downtown Brooklyn,1,1,0,1,0,2C,1-250,0.29,0.94,1.17,0.17,0.12
583,K874,17K340,I.S. 340,K340,227 STERLING PLACE,BROOKLYN,13,275,,1,I.S. 340,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
584,K894,23K645,EBC/ENY High School for Public Safety & Law,K645,1495 HERKIMER STREET,BROOKLYN,23,90,1495 HERKIMER STREET CONSOLIDATED LOCATION,2,EBC/ENY High School for Public Safety & Law | Aspirations Diploma Plus High School | 1495 HERKIMER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
585,K894,23K646,Aspirations Diploma Plus High School,K646,1495 HERKIMER STREET,BROOKLYN,23,270,1495 HERKIMER STREET CONSOLIDATED LOCATION,2,EBC/ENY High School for Public Safety & Law | Aspirations Diploma Plus High School | 1495 HERKIMER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
