BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K171,I.S. 171 Abraham Lincoln,EMS,C,B,C,B
K172,P.S. 172 Beacon School of Excellence,EMS,A,A,A,A
K174,P.S. 174 Dumont,EMS,C,B,B,C
K176,P.S. 176 Ovington,EMS,A,A,A,B
K177,P.S. 177 The Marlboro,EMS,A,A,B,C
K178,P.S. 178 Saint Clair Mckelway,EMS,B,A,D,D
K179,P.S. 179 Kensington,EMS,C,A,C,C
K180,The SEEALL Academy,EMS,B,A,A,C
K181,P.S. 181 Brooklyn,EMS,C,A,B,B
K183,Ps 183 Daniel Chappie James,EMS,None,None,None,F
K184,P.S. 184 Newport,EMS,C,B,B,B
K185,P.S. 185 Walter Kassenbrock,EMS,C,A,B,C
K186,P.S. 186 Dr. Irving A Gladstone,EMS,B,A,A,B
K187,I.S. 187,EMS,A,A,A,A
K188,P.S. 188 Michael E. Berdy,EMS,C,A,A,C
K189,P.S. 189 Lincoln Terrace,EMS,B,A,A,A
K190,P.S. 190 Sheffield,EMS,A,A,D,D
K191,P.S. 191 Paul Robeson,EMS,C,B,B,C
K192,P.S. 192 - The Magnet School for Math and Science ,EMS,A,A,A,B
K193,P.S. 193 Gil Hodges,EMS,B,A,A,A
K194,P.S. 194 Raoul Wallenberg,EMS,C,A,A,C
K195,P.S. 195 Manhattan Beach,EMS,A,A,A,B
K196,P.S. 196 Ten Eyck,EMS,A,A,A,C
K197,P.S. 197 Brooklyn,EMS,A,A,A,C
K198,P.S. 198 Brooklyn,EMS,C,A,B,B
K199,P.S. 199 Frederick Wachtel,EMS,B,B,A,C
K200,P.S. 200 Benson School,EMS,B,A,B,B
K201,J.H.S. 201 The Dyker Heights,EMS,A,A,A,B
K202,P.S. 202 Ernest S. Jenkyns,EMS,C,A,C,A
K203,P.S. 203 Floyd Bennett,EMS,C,A,A,A
K204,P.S. 204 Vince Lombardi,EMS,A,A,B,B
K205,P.S. 205 Clarion,EMS,B,A,A,C
K206,P.S. 206 Joseph F Lamb,EMS,A,A,A,B
K207,P.S. 207 Elizabeth G. Leary,EMS,C,A,B,B
K208,P.S. 208 Elsa Ebeling,EMS,B,A,A,A
K209,P.S. 209 Margaret Mead,EMS,C,A,B,C
K211,I.S. 211 John Wilson,EMS,B,A,A,A
K212,P.S. 212 Lady Deborah Moody,EMS,B,A,B,B
K213,P.S. 213 New Lots,EMS,C,A,B,B
K214,P.S. 214 Michael Friedsam,EMS,B,A,C,C
K215,P.S. 215 Morris H. Weiss,EMS,C,A,A,C
K216,P.S. 216 Arturo Toscanini,EMS,B,A,B,C
K217,P.S. 217 Colonel David Marcus School,EMS,B,A,A,B
K218,J.H.S. 218 James P. Sinnott,EMS,B,A,B,A
K219,P.S. 219 Kennedy-King,EMS,C,A,B,A
K220,J.H.S. 220 John J. Pershing,EMS,B,B,B,C
K221,P.S. 221 Toussaint L'Ouverture,EMS,C,A,C,B
K222,P.S. 222 Katherine R. Snyder,EMS,A,A,A,B
K223,J.H.S. 223 The Montauk,EMS,B,A,A,A
K224,P.S. 224 Hale A. Woodruff,EMS,B,A,D,C
K225,P.S. K225 - The Eileen E. Zaglin,EMS,A,A,C,D
K226,P.S. 226 Alfred De B.Mason,EMS,A,A,A,B
K227,J.H.S. 227 Edward B. Shallow,EMS,B,A,B,C
K228,I.S. 228 David A. Boody,EMS,C,A,B,D
K229,P.S. 229 Dyker,EMS,B,A,A,B
K230,P.S. 230 Doris L. Cohen,EMS,C,A,B,B
K231,P.S. K231,D75,C,None,None,None
K232,I.S. 232 The Winthrop,EMS,None,None,None,None
K233,P.S. 233 Langston Hughes,EMS,C,A,C,B
K234,J.H.S. 234 Arthur W. Cunningham,EMS,B,A,A,B
K235,P.S. 235 Lenox School,EMS,B,A,B,C
K236,P.S. 236 Mill Basin,EMS,B,B,A,A
K238,P.S. 238 Anne Sullivan,EMS,B,A,B,F
K239,Mark Twain I.S. 239 for the Gifted & Talented,EMS,A,A,A,B
K240,Andries Hudde,EMS,B,A,B,B
K241,P.S. 241 Emma L. Johnston,EMS,C,A,A,B
K243,P.S. 243K- The Weeksville School,EMS,C,A,A,B
K244,P.S. 244 Richard R. Green,EMS,B,A,A,B
K245,P.S. 245,EMS,A,A,B,D
K246,M.S. 246 Walt Whitman,EMS,B,A,B,C
K247,P.S. 247 Brooklyn,EMS,A,A,A,B
K249,P.S. 249 The Caton,EC,A,None,None,None
