QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-01580-0041,"86 15 DONGAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,32,1950,24990,362355,14.5,1440000,58,4-01516-0049,"42 29 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,41,1941,32070,408055,12.72,1530000,47.7,0.25,4-01518-0044,"42 54 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,41,1939,32550,497060,15.27,2020000,62,0.15
4-01679-0001,"108 05 ASTORIA BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",EAST ELMHURST,D4-ELEVATOR,40,1965,39267,471204,12,1660000,42.3,4-01492-0032,"81 31 BAXTER AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,53,1963,33600,406614,12.1,1430000,42.6,1.6,4-01459-0040,"35 65 85 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D7-ELEVATOR,66,1957,48300,643345,13.32,2420000,50,1.3
4-01727-0008,"112 24 NORTHERN BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,301,1953,290000,3857000,13.3,14500000,50,4-05137-0102,"43 70 KISSENA BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,325,1965,317277,4840000,15.25,19700000,62,1.7,4-05137-0005,"43 23 COLDEN STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,322,1965,317305,4950000,15.6,20100000,63,1.7
4-01837-0012,"87 10 51 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,152,1962,141954,1561494,11,5500000,38.7,4-01581-0001,"83 45
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,194,1956,172494,2240993,12.99,8420000,48.8,0.2,4-01511-0001,"40 45 ELBERTSON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D3-ELEVATOR,235,1950,203000,2202854,10.85,7770000,38.3,0.65
4-01837-0104,"86 15
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,155,1964,192640,2167200,11.25,7640000,39.7,4-01581-0001,"83 45
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,194,1956,172494,2240993,12.99,8420000,48.8,0.2,4-01511-0001,"40 45 ELBERTSON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D3-ELEVATOR,235,1950,203000,2202854,10.85,7770000,38.3,0.65
4-01841-0001,"89 20 55 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,120,1957,109796,1174817,10.7,3970000,36.2,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1101205,11.01,3720000,37.2,0.95,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,76512,820961,10.73,2770000,36.2,1.2
4-01857-0038,"90 59 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,109,1962,114642,1261062,11,4450000,38.8,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1101205,11.01,3720000,37.2,0.95,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,76512,820961,10.73,2770000,36.2,1.2
4-01872-0011,"92 30 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,82,1962,95796,1025017,10.7,3460000,36.1,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1101205,11.01,3720000,37.2,1.05,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,76512,820961,10.73,2770000,36.2,1.3
4-01872-0045,"92 31 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,78,1965,100308,1073295,10.7,3630000,36.2,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1101205,11.01,3720000,37.2,1.05,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,76512,820961,10.73,2770000,36.2,1.3
4-01907-0001,"55 30 98 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,138,1964,149548,1600163,10.7,5410000,36.2,4-01475-0001,"87 10 37 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,88,1954,100000,1101205,11.01,3720000,37.2,1.15,4-01448-0032,"87 07 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1951,76512,820961,10.73,2770000,36.2,1.35
