QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-04410-0056,"31 30 138 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D4-ELEVATOR,144,1959,187936,2208248,11.75,7780000,41.4,4-05046-0020,"41 10 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,157,1961,161508,2277003,14.1,9030000,56,0.75,4-05146-0036,"37 60 45 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,256,1955,261919,2691386,10.28,9090000,34.7,1.35
4-04411-0001,"31 65 138 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D4-ELEVATOR,136,1960,176086,1980967,11.25,6980000,39.6,4-05046-0020,"41 10 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,157,1961,161508,2277003,14.1,9030000,56,0.7,4-05040-0019,"132 35 SANFORD AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,204,1958,180882,2227799,12.32,8370000,46.3,0.95
4-04459-0062,"107 27 11 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,C6-WALK-UP,16,1959,13237,158844,12,560000,42.3,4-05430-0048,"45 35 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,20,1927,15600,172373,11.05,608000,39,2.45,4-05005-0042,"35 14 149 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,14,1996,10500,150583,14.34,597000,57,1.7
4-04573-0001,"160 15 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,C6-WALK-UP,92,1928,77832,778320,10,2630000,33.8,4-05420-0065,"43 76 163 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,27,1926,20740,165625,7.99,509000,24.54,2.6,4-05181-0048,"142 41 FRANKLIN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C7-WALK-UP,45,1948,34695,375000,10.81,1320000,38,2.85
4-04574-0041,"162 01 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,108,1956,150000,1912500,12.75,7190000,47.9,4-05046-0020,"41 10 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,157,1961,161508,2277003,14.1,9030000,56,2.9,4-05021-0008,"142 10 ROOSEVELT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D3-ELEVATOR,150,1963,156545,1876814,11.99,6620000,42.3,2.85
4-04574-0061,"162 21 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,108,1956,150000,1912500,12.75,7190000,47.9,4-05046-0020,"41 10 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,157,1961,161508,2277003,14.1,9030000,56,2.9,4-05021-0008,"142 10 ROOSEVELT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D3-ELEVATOR,150,1963,156545,1876814,11.99,6620000,42.3,2.85
4-04574-0071,"162 41 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,108,1956,150000,1912500,12.75,7190000,47.9,4-05046-0020,"41 10 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,157,1961,161508,2277003,14.1,9030000,56,2.9,4-05021-0008,"142 10 ROOSEVELT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D3-ELEVATOR,150,1963,156545,1876814,11.99,6620000,42.3,2.85
4-04574-0080,"166 25 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,237,1956,428000,5649600,13.2,21200000,49.5,4-02086-0040,"62 60 99 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,419,1960,470000,5208126,11.08,18400000,39.1,5.5,4-05137-0102,"43 70 KISSENA BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D7-ELEVATOR,325,1965,317277,4840000,15.25,19700000,62,3.25
4-04574-0104,"166 41 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.65,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.7
4-04588-0001,"7 15 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0023,"162 10 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0024,"162 30 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0036,"7 04 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0038,"7 24 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0051,"162 31 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04588-0052,"162 11 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.55
4-04591-0066,"11 01 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0075,"10 21 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0082,"10 11 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0083,"9 05 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0096,"10 01 162 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0103,"162 20 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0109,"162 40 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0118,"9 20 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0129,"10 10 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0135,"10 24 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04591-0145,"10 34 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.4,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.45
4-04602-0030,"9 05 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0034,"9 15 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0110,"168 11 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,50462,580313,11.5,2050000,40.6,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0119,"168 01 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0120,"167 15 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0125,"167 05 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04602-0131,"166 25 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.5,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.5
4-04603-0002,"7 25 166 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04603-0018,"166 10 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04603-0019,"166 26 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04603-0032,"166 40 POWELLS COVE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04603-0034,"166 35 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04603-0048,"166 31 9 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",BEECHHURST,D4-ELEVATOR,32,1958,40692,467958,11.5,1650000,40.5,4-05013-0031,"37 04 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,42,1957,43000,453667,10.55,1530000,35.6,2.55,4-05022-0008,"38 15 BOWNE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,62,1962,48786,607904,12.46,2290000,46.9,2.6
4-04717-0001,"151 05 CROSS ISLE PARKWAY
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,D4-ELEVATOR,66,1965,73690,921125,12.5,3460000,47,4-05042-0066,"133 21 SANFORD AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,88,1963,68257,886397,12.99,3330000,48.8,2.45,4-05053-0011,"147 25 SANFORD AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,90,1963,73649,735017,9.98,2480000,33.7,1.95
4-04742-0022,"158 06 CROSS ISLAND PKWY
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,C6-WALK-UP,12,1951,10700,149800,14,594000,56,4-05964-0001,"28 16
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,24,1950,14379,235796,16.4,959000,67,1.15,4-05423-0030,"43 19 165 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1927,13281,173742,13.08,653000,49.2,1.95
4-04743-0001,"159 03 16 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,C6-WALK-UP,48,1951,42382,508584,12,1790000,42.2,4-05005-0042,"35 14 149 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,14,1996,10500,150583,14.34,597000,57,1.55,4-05430-0048,"45 35 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,20,1927,15600,172373,11.05,608000,39,2.15
4-04744-0028,"16 02 160 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,C6-WALK-UP,80,1951,67636,811632,12,2860000,42.3,4-05005-0042,"35 14 149 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,14,1996,10500,150583,14.34,597000,57,1.45,4-05430-0048,"45 35 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,20,1927,15600,172373,11.05,608000,39,2.05
4-04746-0035,"157 50 17 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WHITESTONE,C6-WALK-UP,36,1951,32216,386592,12,1360000,42.2,4-05005-0042,"35 14 149 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,14,1996,10500,150583,14.34,597000,57,1.4,4-05430-0048,"45 35 PARSONS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,20,1927,15600,172373,11.05,608000,39,1.95
