BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-03238-7501,1486-R1,101 WYCKOFF AVENUE,WYCKOFF HEIGHTS,R4-ELEVATOR,29,0,34292,622056,18.14,2460005,72,3-03328-0045,351 LINDEN STREET,WYCKOFF HEIGHTS,C1-WALK-UP,16,1931,7000,127008,18.14,503000,72,0.45,,,,,,,,,,,,
3-03755-7501,464-R1,384 NEW JERSEY AVENUE,EAST NEW YORK,R2-WALK-UP,12,1991,15000,180000,12,621000,41.4,3-03826-0050,610 BRADFORD STREET,EAST NEW YORK,C1-WALK-UP,20,1930,18000,201141,11.17,625000,34.7,0.45,3-03771-0033,350 PENNSYLVANIA AVENUE,EAST NEW YORK,C1-WALK-UP,16,1930,17600,221156,12.57,763000,43.4,0.1
3-03755-7501,464-R2,384 NEW JERSEY AVENUE,EAST NEW YORK,R2-WALK-UP,15,1991,3750,45000,12,150000,40,3-03826-0050,610 BRADFORD STREET,EAST NEW YORK,C1-WALK-UP,20,1930,18000,201141,11.17,625000,34.7,0.35,3-03771-0033,350 PENNSYLVANIA AVENUE,EAST NEW YORK,C1-WALK-UP,16,1930,17600,221156,12.57,763000,43.4,0.1
3-04414-7501,468-R1,148 COZINE AVENUE,EAST NEW YORK,R2-WALK-UP,56,1990,52920,537667,10.16,1210016,22.87,3-03782-0130,360 SNEDIKER AVENUE,EAST NEW YORK,D6-ELEVATOR,53,2000,62896,1680000,26.7,7290000,116,1.15,,,,,,,,,,,,
3-04414-7501,468-R2,1065 VERMONT STREET,EAST NEW YORK,R4-ELEVATOR,552,1990,445921,4530557,10.16,12000127,26.9,3-03782-0130,360 SNEDIKER AVENUE,EAST NEW YORK,D6-ELEVATOR,53,2000,62896,1680000,26.7,7290000,116,1.15,,,,,,,,,,,,
3-04414-7501,468-R3,971 JEROME STREET,EAST NEW YORK,R4-ELEVATOR,542,1990,425720,0,0,9879985,23.21,3-02145-0018,440 BERRY STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,66,1995,58430,1890914,32.4,9060000,155,5.9,,,,,,,,,,,,
3-04793-7502,1437-R1,523 BROOKLYN AVENUE,FLATBUSH-NORTH,R2-WALK-UP,16,2004,24834,257776,10.38,743008,29.9,3-00539-0014,64 WEST 9 STREET,RED HOOK,C7-WALK-UP,24,2001,35410,367553,10.38,1140000,32.2,3.3,,,,,,,,,,,,
3-04868-7501,338-R1,260 LINDEN BOULEVARD,FLATBUSH-EAST,R2-WALK-UP,58,0,68514,831759,12.14,2869988,41.9,3-07052-0014,2914 WEST 28 STREET,CONEY ISLAND,D1-ELEVATOR,178,1975,149954,1820181,12.14,4260000,28.4,5.9,,,,,,,,,,,,
3-05054-7501,289-R1,353 OCEAN AVENUE,FLATBUSH-CENTRAL,R4-ELEVATOR,55,1930,55638,584199,10.5,1820004,32.7,3-05121-0012,200 EAST 18 STREET,FLATBUSH-CENTRAL,D1-ELEVATOR,59,1937,65192,566709,8.69,1460000,22.4,0.65,3-05112-0029,39 TURNER PLACE,FLATBUSH-CENTRAL,D7-ELEVATOR,61,1928,51000,606036,11.88,2090000,41,0.8
3-05054-7502,670-R1,161 WOODRUFF AVENUE,FLATBUSH-CENTRAL,R9-CONDOPS,31,1929,32396,370286,11.43,1230000,38,3-05136-0059,175 LOTT STREET,FLATBUSH-CENTRAL,C1-WALK-UP,24,1925,18250,228613,12.53,535000,29.3,0.75,,,,,,,,,,,,
3-05083-7501,1933-R1,2233 CATON AVENUE,FLATBUSH-CENTRAL,R4-ELEVATOR,15,0,14055,393540,28,1890000,134,3-06683-0052,1965 EAST 7 STREET,OCEAN PARKWAY-SOUTH,D1-ELEVATOR,35,1931,25075,330990,13.2,775000,30.9,3.4,3-08470-1018,5905 STRICKLAND AVENUE,MILL BASIN,D9-ELEVATOR,98,2000,107569,4738227,44,23800000,221,3.6
3-05130-7501,1924-R1,77 EAST 28 STREET,FLATBUSH-CENTRAL,R2-WALK-UP,20,0,29125,641041,22.01,2780003,95,3-05052-0011,121 PARKSIDE AVENUE,FLATBUSH-CENTRAL,C1-WALK-UP,23,1921,26400,266517,10.1,760000,28.8,0.85,3-05052-0007,115 PARKSIDE AVENUE,FLATBUSH-CENTRAL,C1-WALK-UP,23,1921,26400,227033,8.6,586000,22.2,0.85
3-05185-7501,70-R1,2108 DORCHESTER ROAD,FLATBUSH-CENTRAL,R4-ELEVATOR,48,1912,63000,0,0,3699997,59,3-05053-0038,354 OCEAN AVENUE,FLATBUSH-CENTRAL,D1-ELEVATOR,62,1915,55200,541765,9.81,1550000,28.1,0.95,3-05053-0028,170 PARKSIDE AVENUE,FLATBUSH-CENTRAL,C1-WALK-UP,30,1916,43000,434448,10.1,1240000,28.8,0.95
3-05287-7501,377-R1,207 PROSPECT PARK SOUTHWE,WINDSOR TERRACE,R4-ELEVATOR,35,1990,29983,447346,14.92,1630003,54,3-00829-0020,238 55 STREET,BUSH TERMINAL,D1-ELEVATOR,32,1998,45000,671196,14.92,2450000,54,2.45,,,,,,,,,,,,
3-05322-7501,1726-R1,346 CONEY ISLAND AVENUE,KENSINGTON,R4-ELEVATOR,59,2006,75797,2724144,35.9,13699998,181,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,3.75,,,,,,,,,,,,
3-05364-7501,4-R1,4007 15 AVENUE,BOROUGH PARK,R2-WALK-UP,12,1982,18993,284895,15,1040001,55,3-00925-0021,838 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,1.05,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,1.05
3-05374-7501,683-R1,400 OCEAN PARKWAY,OCEAN PARKWAY-NORTH,R4-ELEVATOR,22,1989,19110,401501,21.01,1739999,91,3-05279-0043,829 GREENWOOD AVENUE,WINDSOR TERRACE,D1-ELEVATOR,135,1982,104640,2198318,21.01,9550000,91,0.95,,,,,,,,,,,,
3-05381-7501,169-R1,542 DAHILL ROAD,BOROUGH PARK,R2-WALK-UP,22,0,17751,255614,14.4,933001,53,3-05595-0014,922 42 STREET,BOROUGH PARK,C1-WALK-UP,27,1924,32000,460868,14.4,1080000,33.8,1.05,,,,,,,,,,,,
3-05424-7501,1675-R1,215 PARKVILLE AVENUE,OCEAN PARKWAY-NORTH,R4-ELEVATOR,12,2006,9010,165600,18.38,1270001,141,3-06107-0033,378 93 STREET,BAY RIDGE,D1-ELEVATOR,12,2003,10555,213949,20.27,929000,88,3.4,,,,,,,,,,,,
3-05462-7501,182-R1,1901 51 STREET,BOROUGH PARK,R2-WALK-UP,26,1927,28960,454672,15.7,1800003,62,3-05608-0051,1005 45 STREET,BOROUGH PARK,C1-WALK-UP,23,1924,15000,235447,15.7,932000,62,1.4,,,,,,,,,,,,
3-05462-7501,182-R2,1900 51 STREET,BOROUGH PARK,R2-WALK-UP,26,1923,25229,396095,15.7,1570000,62,3-05608-0051,1005 45 STREET,BOROUGH PARK,C1-WALK-UP,23,1924,15000,235447,15.7,932000,62,1.4,,,,,,,,,,,,
3-05468-7501,22-R1,1845 52 STREET,BOROUGH PARK,R4-ELEVATOR,32,1926,70664,847968,12,2929999,41.5,3-05628-0001,4711 12 AVENUE,BOROUGH PARK,D1-ELEVATOR,64,1930,72000,674196,9.36,1740000,24.17,0.9,3-05595-0034,970 42 STREET,BOROUGH PARK,C1-WALK-UP,40,1923,44800,682766,15.24,1600000,35.7,1.4
3-05468-7501,22-R2,1840 52 STREET,BOROUGH PARK,R4-ELEVATOR,28,1927,49800,597600,12,2060001,41.4,3-05628-0001,4711 12 AVENUE,BOROUGH PARK,D1-ELEVATOR,64,1930,72000,674196,9.36,1740000,24.17,0.95,3-05595-0034,970 42 STREET,BOROUGH PARK,C1-WALK-UP,40,1923,44800,682766,15.24,1600000,35.7,1.45
3-05468-7502,129-R1,1850 52 STREET,BOROUGH PARK,R2-WALK-UP,48,1927,105996,1367348,12.9,4989999,47.1,3-05707-0059,843 60 STREET,BOROUGH PARK,C1-WALK-UP,27,1927,20160,260000,12.9,949000,47.1,1.55,,,,,,,,,,,,
3-05468-7502,129-R2,1865 52 STREET,BOROUGH PARK,R2-WALK-UP,24,1926,52998,683674,12.9,2500000,47.2,3-05707-0059,843 60 STREET,BOROUGH PARK,C1-WALK-UP,27,1927,20160,260000,12.9,949000,47.1,1.55,,,,,,,,,,,,
3-05468-7503,629-R1,5120 19 AVENUE,BOROUGH PARK,R4-ELEVATOR,28,0,60000,914400,15.24,3620003,60,3-05595-0014,922 42 STREET,BOROUGH PARK,C1-WALK-UP,27,1924,32000,460868,14.4,1080000,33.8,1.4,3-05595-0034,970 42 STREET,BOROUGH PARK,C1-WALK-UP,40,1923,44800,682766,15.24,1600000,35.7,1.4
3-05550-7501,2075-R1,6410 BAY PARKWAY,BOROUGH PARK,R4-ELEVATOR,14,2006,15300,502911,32.9,2410008,158,3-05545-0047,1691 65 STREET,BOROUGH PARK,C7-WALK-UP,48,1931,43200,590414,13.67,2160000,50,0.75,,,,,,,,,,,,
3-05583-7501,1745-R1,929 40 STREET,BOROUGH PARK,R2-WALK-UP,20,2006,28060,799990,28.5,3830003,136,3-01149-0006,677 CLASSON AVENUE,CROWN HEIGHTS,C1-WALK-UP,16,1990,6100,173936,28.5,833000,137,2.95,,,,,,,,,,,,
3-05584-7501,276-R1,1012 39 STREET,BOROUGH PARK,R2-WALK-UP,16,1989,10556,159712,15.13,632000,60,3-00925-0021,838 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.35,3-00925-0027,850 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,123872,8.78,320000,22.67,0.35
3-05590-7502,1663-R1,970 41 STREET,BOROUGH PARK,R4-ELEVATOR,50,2005,52818,936000,17.72,329996,6.25,3-05437-0050,4624 17 AVENUE,BOROUGH PARK,D3-ELEVATOR,51,1992,41131,453305,11.02,1060000,25.8,1.1,,,,,,,,,,,,
3-05619-7501,114-R1,4608 10 AVENUE,BOROUGH PARK,R2-WALK-UP,16,1922,35200,563552,16.01,2230000,63,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,0.8,,,,,,,,,,,,
3-05634-7501,12-R1,1225 49 STREET,BOROUGH PARK,R4-ELEVATOR,16,1929,20044,300660,15,1100005,55,3-00925-0021,838 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.65,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.65
3-05637-7501,1309-R1,863 50 STREET,BOROUGH PARK,R4-ELEVATOR,14,2004,11478,319891,27.9,1530000,133,3-01637-0001,854 GATES AVENUE,BEDFORD STUYVESANT,D1-ELEVATOR,86,1995,24528,683689,27.9,1600000,65,5.1,,,,,,,,,,,,
3-05667-7501,432-R1,1077 54 STREET,BOROUGH PARK,R4-ELEVATOR,14,1983,17040,257815,15.13,1020002,60,3-00925-0021,838 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.65,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.65
3-05703-7502,687-R1,5823 11 AVENUE,BOROUGH PARK,R2-WALK-UP,12,0,29346,444004,15.13,1760000,60,3-00925-0021,838 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.9,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.9
3-05710-7502,443-R1,1178 59 STREET,BOROUGH PARK,R4-ELEVATOR,31,1985,5484,153552,28,846000,154,3-00879-0001,655 5 AVENUE,SUNSET PARK,C7-WALK-UP,11,1931,11144,220055,19.75,956000,86,2.2,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.95
3-05714-7501,830-R1,880 60 STREET,BOROUGH PARK,R4-ELEVATOR,12,2000,9999,239976,24,1040000,104,3-05545-0047,1691 65 STREET,BOROUGH PARK,C7-WALK-UP,48,1931,43200,590414,13.67,2160000,50,1.2,3-00925-0024,844 42 STREET,BOROUGH PARK,C1-WALK-UP,20,1916,14116,213593,15.13,845000,60,0.9
3-05750-7501,1323-R1,6511 FT HAMILTON PARKWAY,DYKER HEIGHTS,R4-ELEVATOR,17,2004,20727,331839,16.01,1309990,63,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,1.45,,,,,,,,,,,,
3-05818-7501,324-R1,420 64 STREET,SUNSET PARK,R4-ELEVATOR,76,1990,64313,1736451,27,8320006,129,3-00808-0007,5205 5 AVENUE,SUNSET PARK,C7-WALK-UP,13,1905,14800,186279,12.59,643000,43.4,0.6,3-00879-0001,655 5 AVENUE,SUNSET PARK,C7-WALK-UP,11,1931,11144,220055,19.75,956000,86,2.25
3-05891-7502,265-R1,7123 3 AVENUE,BAY RIDGE,R9-CONDOPS,18,0,16737,150800,9.01,470000,28.1,3-05861-0053,6820 RIDGE BOULEVARD,BAY RIDGE,C1-WALK-UP,24,1916,26700,240567,9.01,621000,23.26,0.35,,,,,,,,,,,,
3-06092-7501,231-R1,106 BATTERY AVENUE,BAY RIDGE,R2-WALK-UP,11,1988,8088,176642,21.84,767001,95,3-06085-0047,9124 3 AVENUE,BAY RIDGE,C7-WALK-UP,11,1925,7200,141128,19.6,613000,85,0.55,3-06102-0047,9224 3 AVENUE,BAY RIDGE,C7-WALK-UP,17,1927,8100,185420,22.89,805000,99,0.55
3-06092-7503,1331-R1,118 BATTERY AVENUE,BAY RIDGE,R2-WALK-UP,12,2004,22160,306029,13.81,1120000,51,3-06115-0151,125 95 STREET,BAY RIDGE,C1-WALK-UP,14,2002,16500,227898,13.81,832000,50,0.65,,,,,,,,,,,,
3-06120-7501,800-R1,115 96 STREET,BAY RIDGE,R4-ELEVATOR,14,1988,18432,315924,17.14,1250000,68,3-06107-0033,378 93 STREET,BAY RIDGE,D1-ELEVATOR,12,2003,10555,213949,20.27,929000,88,0.3,,,,,,,,,,,,
3-06133-7501,1125-R1,9935 SHORE ROAD,BAY RIDGE,R4-ELEVATOR,24,2004,30793,524404,17.03,2079998,68,3-05942-0007,7501 5 AVENUE,BAY RIDGE,C7-WALK-UP,17,1930,20630,675868,32.8,3240000,157,1.25,,,,,,,,,,,,
3-06134-7501,273-R1,336 99 STREET,BAY RIDGE,R2-WALK-UP,15,1983,10971,140319,12.79,484003,44.1,3-06093-0029,92 PARROTT PLACE,BAY RIDGE,C1-WALK-UP,12,1978,9369,119831,12.79,413000,44.1,0.6,,,,,,,,,,,,
3-06135-7501,118-R1,9921 4 AVENUE,BAY RIDGE,R4-ELEVATOR,52,1987,47420,0,0,2629984,55,3-08688-0079,3094 BRIGHTON 5 STREET,BRIGHTON BEACH,D1-ELEVATOR,43,1929,52200,600300,11.5,2070000,39.7,4.45,,,,,,,,,,,,
3-06251-7501,293-R1,2080 77 STREET,BENSONHURST,R2-WALK-UP,28,1920,28800,316800,11,984000,34.2,3-05573-0001,1501 BAY RIDGE AVENUE,BENSONHURST,C1-WALK-UP,25,1927,21240,245957,11.58,849000,40,0.9,,,,,,,,,,,,
3-06253-7501,36-R1,10 AVENUE P,BENSONHURST,R4-ELEVATOR,65,1939,64800,697896,10.77,2170004,33.5,3-05578-0001,6801 19 AVENUE,BENSONHURST,D1-ELEVATOR,95,1931,89772,1020021,11.36,3170000,35.3,0.6,,,,,,,,,,,,
3-06269-7501,948-R1,7902 15 AVENUE,BENSONHURST,R2-WALK-UP,23,2002,12559,358057,28.5,1720003,137,3-01149-0006,677 CLASSON AVENUE,CROWN HEIGHTS,C1-WALK-UP,16,1990,6100,173936,28.5,833000,137,4.95,,,,,,,,,,,,
3-06322-7501,174-R1,8405 13 AVENUE,DYKER HEIGHTS,R2-WALK-UP,12,1987,9626,207632,21.57,901998,94,3-01892-0061,98 GRAND AVENUE,CLINTON HILL,C1-WALK-UP,26,1946,25000,539169,21.57,2340000,94,6.1,,,,,,,,,,,,
3-06383-7502,1362-R1,8666 23 AVENUE,GRAVESEND,R2-WALK-UP,20,1989,20200,433088,21.44,1880003,93,3-03113-0022,31 GRAHAM AVENUE,WILLIAMSBURG-EAST,C7-WALK-UP,40,1973,27480,589166,21.44,2560000,93,7.5,,,,,,,,,,,,
3-06405-7501,18-R1,147 BAY 20 STREET,BATH BEACH,R4-ELEVATOR,16,1985,14462,236453,16.35,936000,65,3-07058-0013,2920 WEST 21 STREET,CONEY ISLAND,D1-ELEVATOR,224,1975,230836,3775262,16.35,8840000,38.3,2.1,,,,,,,,,,,,
3-06411-7501,7-R1,153/-59 BAY 26 STREET,BATH BEACH,R9-CONDOPS,28,1922,18964,166314,8.77,518000,27.3,3-06446-0001,2137 CROPSEY AVENUE,BATH BEACH,C1-WALK-UP,41,1921,43600,398006,9.13,1140000,26.1,0.15,3-06463-0012,225 BAY 17 STREET,BATH BEACH,C9-WALK-UP,84,1951,78063,655809,8.4,1690000,21.65,0.5
3-06425-7501,1374-R1,1428 BATH AVENUE,BATH BEACH,R2-WALK-UP,12,2001,15224,243736,16.01,965000,63,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,3,,,,,,,,,,,,
3-06439-7501,311-R1,182 BAY 22 STREET,BATH BEACH,R2-WALK-UP,16,1933,14115,144000,10.2,433995,30.7,3-06447-0018,195 BAY 29 STREET,BATH BEACH,C1-WALK-UP,14,1931,13230,151023,11.42,390000,29.5,0.4,3-06410-0027,107 BAY 25 STREET,BATH BEACH,C1-WALK-UP,12,1929,12600,123313,9.79,352000,27.9,0.25
3-06552-7501,1654-R1,2231 64 STREET,BOROUGH PARK,R2-WALK-UP,12,2006,11427,228540,20,992000,87,3-05545-0047,1691 65 STREET,BOROUGH PARK,C7-WALK-UP,48,1931,43200,590414,13.67,2160000,50,0.9,,,,,,,,,,,,
3-06579-7501,1070-R1,1460 WEST 5 STREET,GRAVESEND,R4-ELEVATOR,23,2003,13257,126206,9.52,973999,73,3-06602-0045,267 AVENUE P,GRAVESEND,D1-ELEVATOR,12,2006,19300,360000,18.65,1420000,74,0.2,,,,,,,,,,,,
3-06579-7502,1916-R1,143 AVENUE O,GRAVESEND,R4-ELEVATOR,11,2005,25487,456472,17.91,1750001,69,3-01148-0020,802 BERGEN STREET,CROWN HEIGHTS,D1-ELEVATOR,32,2001,28912,388764,13.45,1420000,49.1,4.65,3-01380-0074,1515 ST JOHN'S PLACE,CROWN HEIGHTS,D1-ELEVATOR,20,1914,14400,257923,17.91,1020000,71,4.95
3-06590-7501,219-R1,1489 EAST 8 STREET,OCEAN PARKWAY-NORTH,R2-WALK-UP,16,1926,11800,141600,12,489000,41.4,3-05355-0012,392 EAST 4 STREET,OCEAN PARKWAY-NORTH,C1-WALK-UP,28,1928,22176,338694,15.27,1340000,60,2.05,,,,,,,,,,,,
3-06600-7501,1463-R1,1569 WEST 7 STREET,GRAVESEND,R4-ELEVATOR,19,2005,23777,0,0,1521005,64,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,3.2,,,,,,,,,,,,
3-06608-7501,19-R1,1620 EAST 2 STREET,OCEAN PARKWAY-NORTH,R4-ELEVATOR,64,1941,60600,0,0,2039993,33.7,3-01422-0001,675 EMPIRE BOULEVARD,CROWN HEIGHTS,D7-ELEVATOR,77,1928,77847,916861,11.78,3160000,40.6,4.15,,,,,,,,,,,,
3-06622-7501,1303-R1,1642 WEST 9 STREET,GRAVESEND,R4-ELEVATOR,21,2004,18571,414504,22.32,1799998,97,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,6.6,3-00376-0023,104 LUQUER STREET,CARROLL GARDENS,D1-ELEVATOR,22,2003,24150,559314,23.16,2490000,103,5
3-06651-7501,1149-R1,202 QUENTIN ROAD,GRAVESEND,R4-ELEVATOR,14,2002,11525,229578,19.92,996999,87,3-01043-0001,549 6 AVENUE,PARK SLOPE SOUTH,C1-WALK-UP,16,1931,10508,209336,19.92,909000,87,4.05,,,,,,,,,,,,
3-06699-7501,454-R1,860 EAST 16 STREET,MIDWOOD,R2-WALK-UP,18,0,33133,414162,12.5,1430005,43.2,3-06767-0080,2011 OCEAN AVENUE,MIDWOOD,D7-ELEVATOR,76,1948,61000,861820,14.13,3150000,52,1.2,3-01464-0043,1631 EASTERN PARKWAY EXT,OCEAN HILL,C7-WALK-UP,13,1910,12000,138479,11.54,478000,39.8,3.85
3-06721-7501,2011-R1,1494 OCEAN AVENUE,MIDWOOD,R2-WALK-UP,44,1922,44400,950400,21.41,4129989,93,3-06721-0070,1554 OCEAN AVENUE,MIDWOOD,C1-WALK-UP,73,1926,65980,669533,10.15,1910000,28.9,0,,,,,,,,,,,,
3-06766-7501,1232-R1,2072 OCEAN AVENUE,MIDWOOD,R4-ELEVATOR,13,2003,20340,566875,27.9,2719997,134,3-01637-0001,854 GATES AVENUE,BEDFORD STUYVESANT,D1-ELEVATOR,86,1995,24528,683689,27.9,1600000,65,5.4,,,,,,,,,,,,
3-06801-7503,1717-R1,1764 EAST 19 STREET,MADISON,R4-ELEVATOR,16,2007,24696,395382,16.01,1560002,63,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,4.05,,,,,,,,,,,,
3-06802-7501,2073-R1,1765 EAST 19 STREET,MADISON,R4-ELEVATOR,11,2006,17080,264740,15.5,1026001,60,3-06115-0151,125 95 STREET,BAY RIDGE,C1-WALK-UP,14,2002,16500,227898,13.81,832000,50,4.45,3-01116-0063,577 PROSPECT AVENUE,WINDSOR TERRACE,C7-WALK-UP,13,2001,18105,365502,20.19,1330000,73,3.65
3-06819-7501,1359-R1,1833 EAST 13 STREET,MADISON,R2-WALK-UP,12,2004,19600,217952,11.12,676998,34.5,3-01909-0011,139 EMERSON PLACE,CLINTON HILL,C1-WALK-UP,50,1946,45670,508038,11.12,1580000,34.6,6.1,,,,,,,,,,,,
3-06940-7501,13-R1,2121 SHORE PARKWAY SR NOR,GRAVESEND,R4-ELEVATOR,110,1965,109200,1201200,11,3730026,34.2,3-06604-0001,2402 65 STREET,GRAVESEND,D7-ELEVATOR,95,1931,81120,895148,11.03,2780000,34.3,1.8,3-06621-0042,1684 WEST 10 STREET,GRAVESEND,D7-ELEVATOR,91,1928,75000,903881,12.05,3120000,41.6,1.45
3-07260-7501,1267-R1,2827 OCEAN PARKWAY,BRIGHTON BEACH,R4-ELEVATOR,12,2001,18063,289188,16.01,1140002,63,3-00714-0044,4018 5 AVENUE,SUNSET PARK,C7-WALK-UP,32,1906,25600,409940,16.01,1620000,63,5.2,,,,,,,,,,,,
3-07353-7501,1846-R1,2569 OCEAN AVENUE,SHEEPSHEAD BAY,R4-ELEVATOR,27,2007,65764,1133113,17.23,4480001,68,3-07372-0037,2276 HOMECREST AVENUE,SHEEPSHEAD BAY,C1-WALK-UP,16,1947,11800,160905,13.64,587000,49.7,0.5,3-07465-0009,2024 JEROME AVENUE,SHEEPSHEAD BAY,C7-WALK-UP,16,1979,16280,259020,15.91,1030000,63,0.75
3-07404-7502,1749-R1,2736 OCEAN AVENUE,SHEEPSHEAD BAY,R4-ELEVATOR,14,2005,21306,383508,18,1520001,71,3-07722-0029,885 EAST 38 STREET,FLATBUSH-EAST,D1-ELEVATOR,30,1929,25200,270313,10.73,840000,33.3,2.8,,,,,,,,,,,,
3-07412-7501,284-R1,2475 EAST 11 STREET,SHEEPSHEAD BAY,R9-CONDOPS,62,1961,60072,701040,11.67,2340000,39,3-07458-0062,2625 EAST 13 STREET,SHEEPSHEAD BAY,D1-ELEVATOR,77,1957,72840,887799,12.19,3060000,42,0.35,,,,,,,,,,,,
3-07414-7501,532-R1,1208 SHEEPSHEAD BAY ROAD,SHEEPSHEAD BAY,R2-WALK-UP,12,1988,14100,192324,13.64,701998,49.8,3-07372-0037,2276 HOMECREST AVENUE,SHEEPSHEAD BAY,C1-WALK-UP,16,1947,11800,160905,13.64,587000,49.7,0.35,,,,,,,,,,,,
3-07437-7503,1862-R1,2570 EAST 17 STREET,SHEEPSHEAD BAY,R4-ELEVATOR,16,2005,38257,783120,20.47,3399999,89,3-07465-0009,2024 JEROME AVENUE,SHEEPSHEAD BAY,C7-WALK-UP,16,1979,16280,259020,15.91,1030000,63,0.3,,,,,,,,,,,,
3-07440-7501,14-R2,2900 OCEAN AVENUE,SHEEPSHEAD BAY,R4-ELEVATOR,88,1957,75324,1230794,16.34,4870018,65,3-07415-0001,2403 EAST 13 STREET,SHEEPSHEAD BAY,C1-WALK-UP,12,1975,9000,152924,16.99,605000,67,0.35,,,,,,,,,,,,
3-07462-7501,1743-R1,2615 EAST 17 STREET,SHEEPSHEAD BAY,R4-ELEVATOR,29,2006,32236,609000,18.89,2410002,75,3-08792-0063,2801 EMMONS AVENUE,SHEEPSHEAD BAY,D6-ELEVATOR,55,2004,45054,1146758,25.5,4980000,111,0.65,3-07722-0029,885 EAST 38 STREET,FLATBUSH-EAST,D1-ELEVATOR,30,1929,25200,270313,10.73,840000,33.3,3.2
3-07465-7501,1442-R1,2012 JEROME AVENUE,SHEEPSHEAD BAY,R4-ELEVATOR,12,0,25861,529374,20.47,2299996,89,3-07465-0009,2024 JEROME AVENUE,SHEEPSHEAD BAY,C7-WALK-UP,16,1979,16280,259020,15.91,1030000,63,0,,,,,,,,,,,,
