BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02224-7505,882-R1,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,2000,53792,814948,15.15,3229999,60,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.45,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.7
3-02230-7504,1113-R1,15 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2003,16569,347949,21,1509999,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.85,3-02412-0033,355 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1919,19104,371901,19.47,871000,45.6,0.75
3-02230-7505,1196-R1,5 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,11,2004,32400,523908,16.17,2070000,64,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.45,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.7
3-02234-7501,378-R2,210 LYNCH STREET,WILLIAMSBURG-CENTRAL,R2-WALK-UP,21,1990,38358,652086,17,2580001,67,3-02114-0023,686 FULTON STREET,FORT GREENE,C7-WALK-UP,47,1907,36047,931055,25.8,4040000,112,1.8,3-02044-0064,100 ADELPHI STREET,FORT GREENE,C1-WALK-UP,48,1900,37580,570541,15.18,2260000,60,1.35
3-02234-7502,885-R1,262 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,1999,25904,357475,13.8,1300008,50,3-02157-0037,77 DIVISION AVENUE,WILLIAMSBURG-SOUTH,C1-WALK-UP,35,1915,25500,360061,14.12,1310000,51,0.75,3-02450-0029,373 SOUTH 5 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,30,1912,24543,330692,13.47,1210000,49.3,0.3
3-02237-7511,893-R1,118 HARRISON AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2001,26819,375466,14,1370000,51,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.75,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.5
3-02238-7504,1376-R1,532 BROADWAY,WILLIAMSBURG-EAST,R4-ELEVATOR,35,0,61764,1482336,24,6440010,104,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.65,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.95
3-02240-7507,1019-R1,51 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,21020,415145,19.75,1799999,86,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.95,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.6
3-02240-7509,1018-R1,57 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,0,24787,439969,17.75,1739996,70,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.95,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.6
3-02240-7511,1182-R1,40 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2002,27648,387072,14,1410001,51,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.5,,,,,,,,,,,,
