NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
EAST NEW YORK            ,01 ONE FAMILY HOMES                        ,67,$159900.00,$365572.00,$365225.00,$670000.00
EAST NEW YORK            ,02 TWO FAMILY HOMES                        ,249,$154000.00,$451652.00,$475000.00,$740000.00
EAST NEW YORK            ,03 THREE FAMILY HOMES                      ,75,$190000.00,$533621.00,$573400.00,$780000.00
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        ,50,$225000.00,$793418.00,$840000.00,$1850000.00
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        ,44,$185000.00,$592142.00,$561657.00,$1454000.00
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      ,21,$340779.00,$645078.00,$665000.00,$769797.00
FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        ,117,$168750.00,$412683.00,$410000.00,$735500.00
FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        ,108,$190000.00,$507805.00,$508500.00,$800000.00
FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      ,23,$225000.00,$570781.00,$605000.00,$810000.00
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        ,17,$521250.00,$841603.00,$877000.00,$1425000.00
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        ,14,$500000.00,$676621.00,$639096.00,$1021500.00
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      ,8,$477000.00,$668563.00,$733000.00,$799000.00
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES                        ,15,$265000.00,$416296.00,$407000.00,$550000.00
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES                        ,42,$150000.00,$457558.00,$466750.00,$753697.00
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES                      ,21,$350000.00,$587598.00,$583000.00,$805000.00
FLATLANDS                ,01 ONE FAMILY HOMES                        ,41,$175000.00,$399126.00,$414000.00,$625000.00
FLATLANDS                ,02 TWO FAMILY HOMES                        ,29,$220000.00,$478028.00,$470000.00,$680000.00
FLATLANDS                ,03 THREE FAMILY HOMES                      ,5,$493459.00,$660492.00,$670000.00,$799000.00
FORT GREENE              ,01 ONE FAMILY HOMES                        ,3,$999990.00,$1843497.00,$1475000.00,$3055500.00
FORT GREENE              ,02 TWO FAMILY HOMES                        ,7,$520000.00,$1197177.00,$1150000.00,$1930000.00
FORT GREENE              ,03 THREE FAMILY HOMES                      ,10,$400000.00,$1485625.00,$1590625.00,$2375000.00
GERRITSEN BEACH          ,01 ONE FAMILY HOMES                        ,37,$175000.00,$394667.00,$355000.00,$850000.00
GERRITSEN BEACH          ,02 TWO FAMILY HOMES                        ,5,$235000.00,$468000.00,$450000.00,$640000.00
GOWANUS                  ,01 ONE FAMILY HOMES                        ,4,$450000.00,$792500.00,$710000.00,$1300000.00
GOWANUS                  ,02 TWO FAMILY HOMES                        ,16,$355000.00,$835538.00,$889010.00,$1200000.00
GOWANUS                  ,03 THREE FAMILY HOMES                      ,5,$260000.00,$785800.00,$860000.00,$999000.00
GRAVESEND                ,01 ONE FAMILY HOMES                        ,55,$185000.00,$524103.00,$534500.00,$935000.00
