NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,189,$150000.00,$518755.00,$515000.00,$1900000.00
RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,26,$305000.00,$584751.00,$592000.00,$765758.00
RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,9,$310000.00,$404290.00,$410000.00,$465000.00
RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,103,$185000.00,$547721.00,$550000.00,$999500.00
RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,21,$258570.00,$575541.00,$560000.00,$935000.00
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,4,$160000.00,$366250.00,$332500.00,$640000.00
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,11,$235000.00,$523028.00,$499999.00,$725000.00
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,1,$558000.00,$558000.00,$558000.00,$558000.00
ROSEDALE                 ,01 ONE FAMILY HOMES                        ,126,$150000.00,$406895.00,$390000.00,$700000.00
ROSEDALE                 ,02 TWO FAMILY HOMES                        ,141,$150305.00,$521849.00,$560000.00,$858689.00
ROSEDALE                 ,03 THREE FAMILY HOMES                      ,7,$150000.00,$484299.00,$530000.00,$605000.00
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,278,$150000.00,$343656.00,$350000.00,$735000.00
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,132,$180000.00,$471544.00,$474400.00,$700000.00
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,3,$240000.00,$484628.00,$588883.00,$625000.00
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,185,$160000.00,$360744.00,$365000.00,$670000.00
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,183,$180000.00,$468510.00,$494268.00,$1245970.00
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,27,$250000.00,$509965.00,$550000.00,$717000.00
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,180,$189000.00,$403346.00,$385000.00,$880000.00
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,136,$150000.00,$509203.00,$532469.00,$810000.00
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,4,$400000.00,$540000.00,$555000.00,$650000.00
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,211,$159250.00,$367621.00,$367500.00,$700000.00
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,177,$155000.00,$497670.00,$535000.00,$850000.00
ST. ALBANS               ,01 ONE FAMILY HOMES                        ,275,$150000.00,$361105.00,$365000.00,$832000.00
ST. ALBANS               ,02 TWO FAMILY HOMES                        ,112,$200000.00,$468047.00,$463500.00,$690000.00
ST. ALBANS               ,03 THREE FAMILY HOMES                      ,5,$360000.00,$510400.00,$559000.00,$600000.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,16,$300000.00,$526720.00,$537500.00,$730000.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,23,$179600.00,$597330.00,$680000.00,$925000.00
SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,6,$325000.00,$628750.00,$652500.00,$950000.00
WHITESTONE               ,01 ONE FAMILY HOMES                        ,117,$170000.00,$665541.00,$620000.00,$3200000.00
WHITESTONE               ,02 TWO FAMILY HOMES                        ,49,$250000.00,$745353.00,$780000.00,$1288086.00
WHITESTONE               ,03 THREE FAMILY HOMES                      ,3,$300000.00,$660000.00,$770000.00,$910000.00
WOODHAVEN                ,01 ONE FAMILY HOMES                        ,82,$220500.00,$405206.00,$385625.00,$1250000.00
WOODHAVEN                ,02 TWO FAMILY HOMES                        ,101,$200000.00,$500715.00,$508247.00,$723500.00
WOODHAVEN                ,03 THREE FAMILY HOMES                      ,21,$217500.00,$483278.00,$500000.00,$750000.00
WOODSIDE                 ,01 ONE FAMILY HOMES                        ,27,$200664.00,$512454.00,$515000.00,$900000.00
WOODSIDE                 ,02 TWO FAMILY HOMES                        ,33,$200000.00,$651098.00,$633356.00,$1350000.00
WOODSIDE                 ,03 THREE FAMILY HOMES                      ,23,$330000.00,$770708.00,$780000.00,$1250000.00
