DBN,DISTRICT,SCHOOL,PRINCIPAL,2007-08 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2006-07 PROGRESS REPORT GRADE,2007-08 QUALITY REVIEW SCORE,2006-07 FEDERAL ACCOUNTABILITY STATUS
30Q078,30,P.S. 078,Louis Pavone,ICI,ESMS,Elementary School,40.15,B,58.3,9.7,A,16.7,A,31.9,B,0,A,Well Developed,In Good Standing
30Q084,30,P.S. 084 STEINWAY,John Buffa,ICI,ESMS,Elementary School,41.53,B,47.2,7.1,B,14.1,B,26,B,0,C,Proficient,In Good Standing
30Q085,30,P.S. 085 JUDGE CHARLES VALLONE,Ann Gordon-Chang,ICI,ESMS,Elementary School,41.11,A,71.4,10.1,A,17,A,37.5,A,6.75,C,Well Developed,In Good Standing
30Q092,30,P.S. 092 HARRY T. STEWART SR.,Pasquale Baratta,ICI,ESMS,Elementary School,66.67,A,73.2,14.5,A,16,A,39.7,A,3,C,Well Developed,In Need of Improvement - Year 1
30Q111,30,P.S. 111 JACOB BLACKWELL,Randy Seabrook,ESO,ESMS,K-8,62.92,A,67.2,8.6,B,14.7,B,38.6,A,5.25,B,Proficient,Planning for Restructuring
30Q112,30,P.S. 112 DUTCH KILLS,Rafeal Campos,CLSO,ESMS,Elementary School,53.61,A,62.3,5.9,C,15.5,B,35.6,A,5.25,D,Well Developed,In Need of Improvement - Year 1
30Q122,30,P.S. 122 MAMIE FAY,Mary Kojes,ESO,ESMS,K-8,29.23,B,54.6,9.6,B,23.3,A,20.9,C,0.75,B,Well Developed,In Good Standing
30Q126,30,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,Candice Scott,ICI,ESMS,Middle School,2.95,B,57.8,5.4,C,16.8,B,33.3,B,2.25,C,Proficient,Restructuring - Year 4
30Q127,30,P.S. 127 AEROSPACE SCIENCE MAGNE,Chayvonne Harper,ICI,ESMS,K-8,51.82,C,40.6,8.8,B,12.5,C,15.5,D,3.75,B,Well Developed,In Need of Improvement - Year 1
30Q141,30,I.S. 141 THE STEINWAY,Miranda Pavlou,ICI,ESMS,Middle School,3.37,A,81.3,9.6,B,19.5,A,41.7,A,10.5,A,Well Developed,Restructuring - Year 4
30Q145,30,I.S. 145 JOSEPH PULITZER,Dolores Beckham,ICI,ESMS,Middle School,3.15,C,49.2,7.8,B,13.7,C,26.9,B,0.75,B,Well Developed,Restructuring - Year 4
30Q148,30,P.S. 148 QUEENS,Andrew Paccione,ICI,ESMS,Elementary School,53.15,B,51.9,10.1,A,17.3,A,24.5,B,0,B,Well Developed,In Good Standing
30Q149,30,P.S. 149 CHRISTA MCAULIFFE,Marlene Gonzalez,ICI,ESMS,Elementary School,58.34,A,62.2,11.5,A,19.4,A,31.3,B,0,B,Well Developed,In Good Standing
30Q150,30,P.S. 150 QUEENS,Carmen Parache,ICI,ESMS,Elementary School,41.11,A,76,6.5,B,19.3,A,42.7,A,7.5,A,Well Developed,In Good Standing
30Q151,30,P.S. 151 MARY D. CARTER,John Bono,ESO,ESMS,Elementary School,50.77,A,66.5,5.9,C,9.9,C,41.7,A,9,F,Proficient,In Need of Improvement - Year 2
30Q152,30,P.S. 152 GWENDOLYN ALLEYNE,Vincent Vitolo,ICI,ESMS,Elementary School,42.61,A,74.9,8,B,15.9,A,43.5,A,7.5,B,Well Developed,In Good Standing
30Q166,30,P.S. 166 HENRY GRADSTEIN,Janet Farrell,ICI,ESMS,Elementary School,47.13,A,72.4,12.2,A,17,A,39.4,A,3.75,D,Well Developed,In Good Standing
30Q171,30,P.S. 171 PETER G. VAN ALST,Anne Bussel,ICI,ESMS,Elementary School,54.51,B,49.1,7.9,B,13.7,B,26.7,B,0.75,C,Proficient,In Good Standing
30Q204,30,I.S. 204 OLIVER W. HOLMES,Yvonne Leimsider,ESO,ESMS,Middle School,3.12,B,52.1,6.3,C,14,B,30.3,B,1.5,B,Proficient,Restructuring - Year 4
30Q212,30,P.S. 212,Carin Ilene Ellis,ICI,ESMS,Elementary School,51.34,B,56.3,10.4,A,19.1,A,25.3,B,1.5,A,Well Developed,In Good Standing
30Q227,30,I.S. 227 LOUIS ARMSTRONG,Renee David,ICI,ESMS,Middle School,3.55,A,73.6,9,B,18.7,A,36.1,A,9.75,A,Well Developed,In Good Standing
30Q230,30,I.S. 230,Sharon Terry,ICI,ESMS,Middle School,3.33,B,58.3,7.7,B,17.2,B,31.1,B,2.25,B,Well Developed,Planning for Restructuring
30Q234,30,P.S. 234,Thea Pallos,ICI,ESMS,Elementary School,45.03,B,52.2,11.2,A,16.1,A,22.6,C,2.25,B,Well Developed,In Good Standing
30Q235,30,ACADEMY FOR NEW AMERICANS,Carmen Rivera,ICI,ESMS,Middle School,2.95,A,89.9,15,A,14.9,B,60,A,0,,Well Developed,Planning for Restructuring
30Q286,30,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,Laura A Mitchell,New Visions,ESMS,Middle School,3.61,A,79.4,15,A,18.9,A,44,A,1.5,,Proficient,In Good Standing
30Q445,30,WILLIAM CULLEN BRYANT HIGH SCHOOL,Chris Pelletieri,ICI,HS,High School,2.33,B,50.7,8.5,B,9,C,29.2,B,4,B,Proficient,Requiring Academic Progress - Year 6
30Q450,30,LONG ISLAND CITY HIGH SCHOOL,William Bassell,ICI,HS,High School,2.33,B,62.4,6.3,B,10.7,B,37.4,A,8,B,Well Developed,Restructuring - Year 1
30Q501,30,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Donna Finn,ESO,HS,High School,3.27,A,74.6,8,B,22.4,A,44.2,A,0,B,Well Developed,In Good Standing
30Q502,30,INFORMATION TECHNOLOGY HIGH SCHOOL,Nancy Casella,ESO,HS,High School,2.43,B,59.4,7,B,13.9,B,32.5,B,6,B,Underdeveloped with Proficient Features,In Good Standing
30Q555,30,NEWCOMERS HIGH SCHOOL,Mary Burke,ICI,HS,High School,1.97,A,75.6,12.8,A,22.5,A,40.3,A,0,A,Outstanding,In Need of Improvement - Year 2
30Q575,30,ACADEMY OF AMERICAN STUDIES,Ellen Sherman,ICI,HS,High School,2.98,B,62.8,9.4,A,19.4,A,31,B,3,B,Well Developed,In Good Standing
30Q580,30,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,Kelly Joan Johnson,ESO,ESMS,Middle School,3.85,B,58.1,10.2,A,17.7,A,30.2,B,0,C,Proficient,In Good Standing
30Q580,30,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,Kelly Joan Johnson,ESO,HS,High School,3.48,A,79,10.6,A,18,A,50.4,A,0,A,Proficient,In Good Standing
31R001,31,P.S. 001 TOTTENVILLE,Diane Gordin,CEI-PEA,ESMS,Elementary School,14.42,A,86.9,8.2,B,17.3,A,58.4,A,3,C,Well Developed,In Good Standing
31R002,31,I.S. R002 GEORGE L. EGBERT,Adrienne Stallone,KLSO,ESMS,Middle School,3.25,D,29.4,5.4,C,13.7,C,8.8,F,1.5,C,Well Developed,In Corrective Action
31R003,31,P.S. 003 THE MARGARET GIOIOSA SCHOOL,Donna Gioello,ICI,ESMS,Elementary School,11.06,B,49.2,7.5,B,13.7,B,26.5,B,1.5,B,Well Developed,In Good Standing
31R004,31,P.S. 004 MAURICE WOLLIN,Mr. Marc A. Harris,CEI-PEA,ESMS,Elementary School,20.21,C,44.8,8.6,B,10.1,C,24.6,B,1.5,C,Well Developed,In Good Standing
31R005,31,P.S. 005 HUGUENOT,Katherine Corso,CEI-PEA,ESMS,Elementary School,7.68,C,43.3,7.7,B,14.7,B,20.9,C,0,C,Well Developed,In Good Standing
31R006,31,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,Erminia Claudio,ICI,ESMS,Elementary School,15.09,A,72.2,10.6,A,10.5,C,46.6,A,4.5,B,Well Developed,In Good Standing
31R007,31,I.S. 007 ELIAS BERNSTEIN,Dr. Nora De Rosa-Karby,ICI,ESMS,Middle School,3.52,A,68.9,8.1,B,19.5,A,37.5,A,3.75,B,Well Developed,Requiring Academic Progress - Year 2
31R008,31,P.S. 8 SHIRLEE SOLOMON,Lisa Esposito,ICI,ESMS,Elementary School,19.24,A,70.7,8.6,B,14.8,B,41.3,A,6,D,Well Developed,In Good Standing
31R011,31,P.S. 11 THOMAS DONGAN SCHOOL,Erica Mattera,ICI,ESMS,Elementary School,42.35,B,59,7.9,B,7.5,D,39.1,A,4.5,F,Well Developed,In Good Standing
31R013,31,P.S. 013 M. L. LINDENMEYER,Constance Montijo,ICI,ESMS,Elementary School,42.52,B,56.7,6.8,B,16.5,A,30.4,B,3,B,Well Developed,In Good Standing
31R014,31,P.S. 014 CORNELIUS VANDERBILT,Nancy Hargett,ICI,ESMS,Elementary School,61.73,C,42.3,4.2,D,11.9,B,26.2,B,0,D,Underdeveloped with Proficient Features,In Good Standing
31R016,31,P.S. 016 JOHN J. DRISCOLL,Vincenza Gallassio,ICI,ESMS,Elementary School,55.04,C,35.6,5.3,C,5.1,F,24.4,B,0.75,C,Proficient,Restructuring - Year 3
31R018,31,P.S. 018 JOHN G. WHITTIER,Ms. Donna Luisi,KLSO,ESMS,Elementary School,67.83,A,60.9,6.7,B,14.8,B,36.4,A,3,B,Well Developed,In Need of Improvement - Year 1
31R019,31,P.S. 019 THE CURTIS SCHOOL,Mary Petrone,ICI,ESMS,Elementary School,52.31,A,67.5,9.5,A,17.4,A,35.3,A,5.25,B,Well Developed,In Good Standing
31R020,31,P.S. 020 PORT RICHMOND,Marie Munoz,ICI,ESMS,Elementary School,63.86,A,74,12,A,16.7,A,41.5,A,3.75,B,Proficient,Restructuring - Year 1
31R021,31,P.S. 21 MARGARET EMERY-ELM PARK,Gina Moreno,CEI-PEA,ESMS,Elementary School,56.68,B,46.1,10.7,A,13.3,B,22.1,C,0,B,Well Developed,In Good Standing
31R022,31,P.S. 022 GRANITEVILLE,Melissa Lamb Donath,CEI-PEA,ESMS,Elementary School,45.90,B,52.7,8.4,B,14.1,B,27.2,B,3,B,Well Developed,In Good Standing
31R023,31,P.S. 023 RICHMONDTOWN,Mark Bronstein,CEI-PEA,ESMS,Elementary School,17.99,A,64.7,9.2,A,14.6,B,36.4,A,4.5,C,Well Developed,In Good Standing
31R024,31,I.S. 024 MYRA S. BARNES,Rosemarie O'Neill,CEI-PEA,ESMS,Middle School,3.55,B,59.8,7.1,B,15.3,B,35.1,B,2.25,C,Well Developed,In Good Standing
31R026,31,P.S. 026 THE CARTERET SCHOOL,Ms. Joanne Mecane,CEI-PEA,ESMS,Elementary School,34.06,B,48.5,6.8,B,7.5,D,31.9,B,2.25,C,Proficient,In Good Standing
