BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-00236-0018,"187 HICKS STREET
Brooklyn, NY
(40.695970750245976, -73.99547245933154)",BROOKLYN HEIGHTS,D4-ELEVATOR,29,1936,48387,878834,18.16,3290000,68,3-01177-0007,"781 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,D5-ELEVATOR,63,1920,47925,963988,20.11,2040000,42.6,2.35,3-06114-0006,"310 94 STREET
Brooklyn, NY
(40.61767230391655, -74.03284255812264)",BAY RIDGE,D7-ELEVATOR,74,1928,48000,930354,19.38,3480000,73,5.8
3-00236-0078,"175 HICKS STREET
Brooklyn, NY
(40.696410828601124, -73.9952681208108)",BROOKLYN HEIGHTS,D4-ELEVATOR,24,1900,18300,443233,24.22,1840000,101,3-00265-0050,"56 COURT STREET
Brooklyn, NY
(40.692196389982534, -73.99119596833461)",BROOKLYN HEIGHTS,D7-ELEVATOR,48,1927,19622,447667,22.81,1850000,94,0.35,3-01932-0022,"309 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D2-ELEVATOR,35,1905,19291,474554,24.6,1970000,102,1.6
3-00236-0088,"145 HICKS STREET
Brooklyn, NY
(40.69723018013175, -73.99487795341527)",BROOKLYN HEIGHTS,D4-ELEVATOR,107,1935,113604,2506400,22.06,10400000,92,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1959512,17.2,7330000,64,1.7,3-08723-0410,"1511 CORBIN PLACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BRIGHTON BEACH,D1-ELEVATOR,132,1951,109832,2734487,24.9,11300000,103,8.6
3-00236-0112,"70 CLARK STREET
Brooklyn, NY
(40.6975315237587, -73.99344249363024)",BROOKLYN HEIGHTS,D4-ELEVATOR,48,1960,30610,541993,17.71,2030000,66,3-00297-0019,"182 AMITY STREET
Brooklyn, NY
(40.68876793976408, -73.99458746144349)",COBBLE HILL,C1-WALK-UP,48,1900,35950,675288,18.78,2520000,70,0.6,3-01178-0087,"487 LINCOLN PLACE
Brooklyn, NY
(40.672080286310006, -73.96013186708203)",CROWN HEIGHTS,C1-WALK-UP,31,1920,26952,505707,18.76,1890000,70,2.5
3-00236-0133,"148 HENRY STREET
Brooklyn, NY
(40.69617444175369, -73.9936591186448)",BROOKLYN HEIGHTS,C6-WALK-UP,12,1840,4050,89800,22.17,372000,92,3-00970-0009,"283 5 AVENUE
Brooklyn, NY
(40.67384806116828, -73.98236420354428)",PARK SLOPE,C1-WALK-UP,16,1920,7652,274679,35.9,1280000,167,1.8,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,157643,17.41,589000,65,0.7
3-00237-0008,"161 HENRY STREET
Brooklyn, NY
(40.69578275505145, -73.99377259859254)",BROOKLYN HEIGHTS,D4-ELEVATOR,31,1906,51110,1088789,21.3,4510000,88,3-00036-0016,"16 WATER STREET
Brooklyn, NY
(40.70330026503396, -73.99351931918883)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1269701,24.93,5260000,103,0.45,3-06264-0029,"2160 78 STREET
Brooklyn, NY
(40.60697514631586, -73.99005245849692)",BENSONHURST,D9-ELEVATOR,52,1991,51419,1027188,19.98,2180000,42.4,6.2
3-00237-0017,"153 HENRY STREET
Brooklyn, NY
(40.69603757485943, -73.9936485405661)",BROOKLYN HEIGHTS,D4-ELEVATOR,74,1928,49013,1068557,21.8,4430000,90,3-01251-0001,"243 KINGSTON AVENUE
Brooklyn, NY
(40.67157643115329, -73.94194458715805)",CROWN HEIGHTS,D9-ELEVATOR,80,1910,54516,1258513,23.09,2670000,49,3.2,3-01177-0007,"781 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,D5-ELEVATOR,63,1920,47925,963988,20.11,2040000,42.6,2.3
3-00238-0006,"123 PIERREPONT STREET
Brooklyn, NY
(40.695105553607, -73.99257293895238)",BROOKLYN HEIGHTS,C6-WALK-UP,14,1849,14905,534311,35.8,2490000,167,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,157643,17.41,589000,65,0.55,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,290159,19.09,1080000,71,0.75
3-00238-0024,"28 MONROE PLACE
Brooklyn, NY
(40.69664662228256, -73.99235938216377)",BROOKLYN HEIGHTS,D4-ELEVATOR,35,1955,27294,674708,24.72,2790000,102,3-00178-0016,"404 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D1-ELEVATOR,60,1928,29214,877362,30,4090000,140,0.8,3-00193-0050,"129 BOERUM PLACE
Brooklyn, NY
(40.68785047746899, -73.99153634261823)",BOERUM HILL,D9-ELEVATOR,46,1999,42000,1268438,30.2,5910000,141,0.6
3-00238-0026,"22 MONROE PLACE
Brooklyn, NY
(40.69676497306161, -73.99230337688441)",BROOKLYN HEIGHTS,D4-ELEVATOR,53,1928,70645,2473261,35,11500000,163,3-01874-0001,"39 WAVERLY AVENUE
Brooklyn, NY
(40.696638202920575, -73.96848651587052)",NAVY YARD,D6-ELEVATOR,76,1920,70000,4152257,59,20400000,291,1.25,3-00275-0001,"200 CLINTON STREET
Brooklyn, NY
(40.69034763482251, -73.99434898464544)",BROOKLYN HEIGHTS,D7-ELEVATOR,94,1926,73032,1781214,24.39,7380000,101,0.4
