DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,53,39,1,1.90%,2.60%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2007,59,34,0,0.00%,0.00%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,136,126,45,33.10%,35.70%
02M519,TALENT UNLIMITED HIGH SCHOOL,2007,85,79,34,40.00%,43.00%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2006,637,359,112,17.60%,31.20%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2007,562,328,92,16.40%,28.00%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2006,148,96,29,19.60%,30.20%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2007,186,100,25,13.40%,25.00%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2006,49,42,2,4.10%,4.80%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2007,39,32,0,0.00%,0.00%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,111,77,13,11.70%,16.90%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2007,116,80,11,9.50%,13.80%
02M543,NEW DESIGN HIGH SCHOOL,2006,101,68,8,7.90%,11.80%
02M543,NEW DESIGN HIGH SCHOOL,2007,89,63,7,7.90%,11.10%
02M544,INDEPENDENCE HIGH SCHOOL,2006,145,25,3,2.10%,12.00%
02M544,INDEPENDENCE HIGH SCHOOL,2007,225,42,2,0.90%,4.80%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2006,54,50,40,74.10%,80.00%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2007,77,71,46,59.70%,64.80%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2006,97,48,14,14.40%,29.20%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2007,83,37,12,14.50%,32.40%
02M551,NEW YORK HARBOR SCHOOL,2006,77,62,7,9.10%,11.30%
02M551,NEW YORK HARBOR SCHOOL,2007,90,61,5,5.60%,8.20%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2006,260,118,48,18.50%,40.70%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2007,355,141,73,20.60%,51.80%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2006,134,87,27,20.10%,31.00%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2007,126,67,13,10.30%,19.40%
02M586,HARVEY MILK HIGH SCHOOL,2006,30,12,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2007,31,10,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,416,365,145,34.90%,39.70%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,384,324,166,43.20%,51.20%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,173,83,8,4.60%,9.60%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,153,70,9,5.90%,12.90%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,464,222,16,3.40%,7.20%
02M620,NORMAN THOMAS HIGH SCHOOL,2007,552,272,21,3.80%,7.70%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2006,407,202,20,4.90%,9.90%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2007,401,213,18,4.50%,8.50%
02M630,ART AND DESIGN HIGH SCHOOL,2006,320,216,44,13.80%,20.40%
02M630,ART AND DESIGN HIGH SCHOOL,2007,274,201,52,19.00%,25.90%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,118,94,11,9.30%,11.70%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2007,113,82,16,14.20%,19.50%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,74,41,4,5.40%,9.80%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2007,91,25,1,1.10%,4.00%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2006,89,55,4,4.50%,7.30%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2007,87,42,3,3.40%,7.10%
