DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
11,GENERAL EDUCATION ,6,,27.4
11,GENERAL EDUCATION ,7,,28.2
11,GENERAL EDUCATION ,8,,27.8
11,GENERAL EDUCATION,9,ENGLISH,27
11,GENERAL EDUCATION,9,MATH   ,27.3
11,GENERAL EDUCATION,9,SOCIAL STUDIES,28.1
11,GENERAL EDUCATION,9,SCIENCE,27.9
11,GENERAL EDUCATION,10,ENGLISH,27.9
11,GENERAL EDUCATION,10,MATH   ,27
11,GENERAL EDUCATION,10,SOCIAL STUDIES,27.6
11,GENERAL EDUCATION,10,SCIENCE,28
11,GENERAL EDUCATION,11,ENGLISH,25.7
11,GENERAL EDUCATION,11,MATH   ,26.4
11,GENERAL EDUCATION,11,SOCIAL STUDIES,26.7
11,GENERAL EDUCATION,11,SCIENCE,26.5
11,GENERAL EDUCATION,12,ENGLISH,26.1
11,GENERAL EDUCATION,12,MATH   ,24.8
11,GENERAL EDUCATION,12,SOCIAL STUDIES,27.5
11,GENERAL EDUCATION,12,SCIENCE,25
11,SPECIAL CLASS - Grades K-9#,12:1           ,,11
11,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.9
11,SPECIAL CLASS - High School,Mainstream,ENGLISH,23.8
11,SPECIAL CLASS - High School,Mainstream,MATH   ,28.4
11,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,28.7
11,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.4
11,SPECIAL CLASS - High School,Self-Contained,ENGLISH,14
11,SPECIAL CLASS - High School,Self-Contained,MATH   ,15.1
11,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,14.7
11,SPECIAL CLASS - High School,Self-Contained,SCIENCE,15
11,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20
11,COLLABORATIVE TEAM TEACHING    ,1,,20.8
11,COLLABORATIVE TEAM TEACHING    ,2,,22.5
11,COLLABORATIVE TEAM TEACHING    ,3,,23.1
11,COLLABORATIVE TEAM TEACHING    ,4,,22.1
11,COLLABORATIVE TEAM TEACHING    ,5,,26.4
11,COLLABORATIVE TEAM TEACHING    ,6,,18.3
11,COLLABORATIVE TEAM TEACHING    ,7,,26.4
11,COLLABORATIVE TEAM TEACHING    ,8,,23.8
12,GENERAL EDUCATION ,Kindergarten             ,,19.3
12,GENERAL EDUCATION ,1,,20.6
12,GENERAL EDUCATION ,2,,19.3
12,GENERAL EDUCATION ,3,,19.1
12,GENERAL EDUCATION ,4,,20.5
12,GENERAL EDUCATION ,5,,22.2
12,GENERAL EDUCATION ,6,,22.6
12,GENERAL EDUCATION ,7,,23.1
12,GENERAL EDUCATION ,8,,22.5
12,GENERAL EDUCATION,9,ENGLISH,24.8
12,GENERAL EDUCATION,9,MATH   ,25.6
12,GENERAL EDUCATION,9,SOCIAL STUDIES,26.5
12,GENERAL EDUCATION,9,SCIENCE,26.4
12,GENERAL EDUCATION,10,ENGLISH,25
12,GENERAL EDUCATION,10,MATH   ,24.8
12,GENERAL EDUCATION,10,SOCIAL STUDIES,25.8
12,GENERAL EDUCATION,10,SCIENCE,25.5
12,GENERAL EDUCATION,11,ENGLISH,24.5
12,GENERAL EDUCATION,11,MATH   ,24.2
12,GENERAL EDUCATION,11,SOCIAL STUDIES,24.5
12,GENERAL EDUCATION,11,SCIENCE,24.8
12,GENERAL EDUCATION,12,ENGLISH,24.5
12,GENERAL EDUCATION,12,MATH   ,22.9
12,GENERAL EDUCATION,12,SOCIAL STUDIES,24.1
12,GENERAL EDUCATION,12,SCIENCE,25
12,SPECIAL CLASS - Grades K-9#,12:1           ,,11.2
12,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.6
12,SPECIAL CLASS - High School,Mainstream,ENGLISH,24.2
12,SPECIAL CLASS - High School,Mainstream,MATH   ,23.7
12,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.7
12,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.5
12,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.1
12,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.3
12,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.8
12,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.4
12,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,17.6
12,COLLABORATIVE TEAM TEACHING    ,1,,19.4
12,COLLABORATIVE TEAM TEACHING    ,2,,17.1
12,COLLABORATIVE TEAM TEACHING    ,3,,19.4
12,COLLABORATIVE TEAM TEACHING    ,4,,20.1
12,COLLABORATIVE TEAM TEACHING    ,5,,23.1
12,COLLABORATIVE TEAM TEACHING    ,6,,20.3
12,COLLABORATIVE TEAM TEACHING    ,7,,23.4
12,COLLABORATIVE TEAM TEACHING    ,8,,21.8
13,GENERAL EDUCATION ,Kindergarten             ,,17.2
13,GENERAL EDUCATION ,1,,19.7
13,GENERAL EDUCATION ,2,,19.8
13,GENERAL EDUCATION ,3,,18.9
13,GENERAL EDUCATION ,4,,20.6
13,GENERAL EDUCATION ,5,,22.4
13,GENERAL EDUCATION ,6,,21.2
13,GENERAL EDUCATION ,7,,25.2
13,GENERAL EDUCATION ,8,,26.2
13,GENERAL EDUCATION,9,ENGLISH,26.9
13,GENERAL EDUCATION,9,MATH   ,27.6
13,GENERAL EDUCATION,9,SOCIAL STUDIES,28.8
13,GENERAL EDUCATION,9,SCIENCE,28.2
13,GENERAL EDUCATION,10,ENGLISH,28.1
13,GENERAL EDUCATION,10,MATH   ,28.3
13,GENERAL EDUCATION,10,SOCIAL STUDIES,29
13,GENERAL EDUCATION,10,SCIENCE,27.7
13,GENERAL EDUCATION,11,ENGLISH,28.2
13,GENERAL EDUCATION,11,MATH   ,29.1
13,GENERAL EDUCATION,11,SOCIAL STUDIES,28.8
13,GENERAL EDUCATION,11,SCIENCE,30.1
13,GENERAL EDUCATION,12,ENGLISH,28.7
13,GENERAL EDUCATION,12,MATH   ,27.7
13,GENERAL EDUCATION,12,SOCIAL STUDIES,28.9
13,GENERAL EDUCATION,12,SCIENCE,28.2
13,SPECIAL CLASS - Grades K-9#,12:1           ,,7.7
13,SPECIAL CLASS - Grades K-9#,12:1:1         ,,8.6
13,SPECIAL CLASS - High School,Mainstream,ENGLISH,22.4
13,SPECIAL CLASS - High School,Mainstream,MATH   ,25
13,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,21
13,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.2
13,SPECIAL CLASS - High School,Self-Contained,ENGLISH,11.7
13,SPECIAL CLASS - High School,Self-Contained,MATH   ,11.5
13,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,12.4
13,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11
13,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.4
13,COLLABORATIVE TEAM TEACHING    ,1,,19.2
13,COLLABORATIVE TEAM TEACHING    ,2,,18.6
13,COLLABORATIVE TEAM TEACHING    ,3,,19.8
13,COLLABORATIVE TEAM TEACHING    ,4,,19.3
13,COLLABORATIVE TEAM TEACHING    ,5,,23.3
13,COLLABORATIVE TEAM TEACHING    ,6,,18.5
13,COLLABORATIVE TEAM TEACHING    ,7,,24
13,COLLABORATIVE TEAM TEACHING    ,8,,27.8
13,GIFTED & TALENTED    ,Kindergarten             ,,18
13,GIFTED & TALENTED    ,1,,21.5
13,GIFTED & TALENTED    ,2,,22
13,GIFTED & TALENTED    ,3,,22.8
13,GIFTED & TALENTED    ,4,,24.2
13,GIFTED & TALENTED    ,5,,24.2
14,GENERAL EDUCATION ,Kindergarten             ,,18.8
14,GENERAL EDUCATION ,1,,18.8
14,GENERAL EDUCATION ,2,,19.2
14,GENERAL EDUCATION ,3,,19.7
14,GENERAL EDUCATION ,4,,23.4
14,GENERAL EDUCATION ,5,,23.9
14,GENERAL EDUCATION ,6,,24.5
14,GENERAL EDUCATION ,7,,26.4
14,GENERAL EDUCATION ,8,,24.9
14,GENERAL EDUCATION,9,ENGLISH,25.5
14,GENERAL EDUCATION,9,MATH   ,24.9
14,GENERAL EDUCATION,9,SOCIAL STUDIES,25.5
14,GENERAL EDUCATION,9,SCIENCE,26.3
14,GENERAL EDUCATION,10,ENGLISH,34.2
14,GENERAL EDUCATION,10,MATH   ,25.9
14,GENERAL EDUCATION,10,SOCIAL STUDIES,27
14,GENERAL EDUCATION,10,SCIENCE,26.4
14,GENERAL EDUCATION,11,ENGLISH,31
14,GENERAL EDUCATION,11,MATH   ,25
14,GENERAL EDUCATION,11,SOCIAL STUDIES,26.8
14,GENERAL EDUCATION,11,SCIENCE,26.4
14,GENERAL EDUCATION,12,ENGLISH,24.8
14,GENERAL EDUCATION,12,MATH   ,22.9
14,GENERAL EDUCATION,12,SOCIAL STUDIES,25.5
14,GENERAL EDUCATION,12,SCIENCE,23
14,SPECIAL CLASS - Grades K-9#,12:1           ,,9.8
14,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.9
14,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.1
14,SPECIAL CLASS - High School,Mainstream,MATH   ,21.9
14,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.7
14,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.5
14,SPECIAL CLASS - High School,Self-Contained,ENGLISH,14.2
14,SPECIAL CLASS - High School,Self-Contained,MATH   ,14.9
14,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.6
14,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.8
14,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,15.4
14,COLLABORATIVE TEAM TEACHING    ,1,,20.7
14,COLLABORATIVE TEAM TEACHING    ,2,,18
14,COLLABORATIVE TEAM TEACHING    ,3,,19.5
14,COLLABORATIVE TEAM TEACHING    ,6,,22
15,GENERAL EDUCATION ,Kindergarten             ,,20.6
15,GENERAL EDUCATION ,1,,20.6
15,GENERAL EDUCATION ,2,,19.9
15,GENERAL EDUCATION ,3,,19.4
15,GENERAL EDUCATION ,4,,22.8
15,GENERAL EDUCATION ,5,,22.8
15,GENERAL EDUCATION ,6,,22.7
15,GENERAL EDUCATION ,7,,25.6
15,GENERAL EDUCATION ,8,,24.2
15,GENERAL EDUCATION,9,ENGLISH,27
15,GENERAL EDUCATION,9,MATH   ,26.8
15,GENERAL EDUCATION,9,SOCIAL STUDIES,29.7
15,GENERAL EDUCATION,9,SCIENCE,28
15,GENERAL EDUCATION,10,ENGLISH,28.3
15,GENERAL EDUCATION,10,MATH   ,26.1
15,GENERAL EDUCATION,10,SOCIAL STUDIES,30.4
15,GENERAL EDUCATION,10,SCIENCE,27.9
15,GENERAL EDUCATION,11,ENGLISH,28.1
15,GENERAL EDUCATION,11,MATH   ,26.4
15,GENERAL EDUCATION,11,SOCIAL STUDIES,28.5
15,GENERAL EDUCATION,11,SCIENCE,28.2
15,GENERAL EDUCATION,12,ENGLISH,25.8
15,GENERAL EDUCATION,12,MATH   ,26.4
15,GENERAL EDUCATION,12,SOCIAL STUDIES,27.6
15,GENERAL EDUCATION,12,SCIENCE,27.5
15,SPECIAL CLASS - Grades K-9#,12:1           ,,10
15,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.3
15,SPECIAL CLASS - High School,Mainstream,ENGLISH,24.9
15,SPECIAL CLASS - High School,Mainstream,MATH   ,28.1
15,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,29.5
15,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.3
15,SPECIAL CLASS - High School,Self-Contained,ENGLISH,10.6
15,SPECIAL CLASS - High School,Self-Contained,MATH   ,10.3
15,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.4
15,SPECIAL CLASS - High School,Self-Contained,SCIENCE,10.8
15,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.3
15,COLLABORATIVE TEAM TEACHING    ,1,,19.7
15,COLLABORATIVE TEAM TEACHING    ,2,,19.7
15,COLLABORATIVE TEAM TEACHING    ,3,,20.5
15,COLLABORATIVE TEAM TEACHING    ,4,,23.4
15,COLLABORATIVE TEAM TEACHING    ,5,,23.4
15,COLLABORATIVE TEAM TEACHING    ,6,,25.2
15,COLLABORATIVE TEAM TEACHING    ,7,,26.5
15,COLLABORATIVE TEAM TEACHING    ,8,,24
15,GIFTED & TALENTED    ,Kindergarten             ,,21.3
15,GIFTED & TALENTED    ,1,,21.3
15,GIFTED & TALENTED    ,2,,20.5
15,GIFTED & TALENTED    ,3,,22.5
15,GIFTED & TALENTED    ,4,,20.3
15,GIFTED & TALENTED    ,5,,21.7
15,GIFTED & TALENTED    ,6,,29.5
15,GIFTED & TALENTED    ,7,,27.6
15,GIFTED & TALENTED    ,8,,28.6
16,GENERAL EDUCATION ,Kindergarten             ,,18.6
16,GENERAL EDUCATION ,1,,19.5
16,GENERAL EDUCATION ,2,,18
16,GENERAL EDUCATION ,3,,18.6
16,GENERAL EDUCATION ,4,,19.3
16,GENERAL EDUCATION ,5,,20.3
16,GENERAL EDUCATION ,6,,24.6
16,GENERAL EDUCATION ,7,,25.1
16,GENERAL EDUCATION ,8,,24.8
16,GENERAL EDUCATION,9,ENGLISH,26.4
16,GENERAL EDUCATION,9,MATH   ,27.7
16,GENERAL EDUCATION,9,SOCIAL STUDIES,29.2
16,GENERAL EDUCATION,9,SCIENCE,29.4
16,GENERAL EDUCATION,10,ENGLISH,30.6
16,GENERAL EDUCATION,10,MATH   ,29.7
16,GENERAL EDUCATION,10,SOCIAL STUDIES,32.2
16,GENERAL EDUCATION,10,SCIENCE,32.5
16,GENERAL EDUCATION,11,ENGLISH,29.8
16,GENERAL EDUCATION,11,MATH   ,30.7
16,GENERAL EDUCATION,11,SOCIAL STUDIES,30.5
16,GENERAL EDUCATION,11,SCIENCE,32.1
16,GENERAL EDUCATION,12,ENGLISH,29.4
16,GENERAL EDUCATION,12,MATH   ,29.5
16,GENERAL EDUCATION,12,SOCIAL STUDIES,30.5
16,GENERAL EDUCATION,12,SCIENCE,30.3
16,SPECIAL CLASS - Grades K-9#,12:1           ,,10.3
16,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.7
16,SPECIAL CLASS - High School,Mainstream,ENGLISH,31.2
16,SPECIAL CLASS - High School,Mainstream,MATH   ,31.4
16,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,31
16,SPECIAL CLASS - High School,Mainstream,SCIENCE,33.3
16,SPECIAL CLASS - High School,Self-Contained,ENGLISH,14.4
16,SPECIAL CLASS - High School,Self-Contained,MATH   ,14.7
16,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.7
16,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.1
16,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.3
16,COLLABORATIVE TEAM TEACHING    ,1,,18.3
16,COLLABORATIVE TEAM TEACHING    ,2,,17.3
16,COLLABORATIVE TEAM TEACHING    ,3,,19.5
16,COLLABORATIVE TEAM TEACHING    ,5,,19
16,COLLABORATIVE TEAM TEACHING    ,7,,13
16,COLLABORATIVE TEAM TEACHING    ,8,,24.5
16,GIFTED & TALENTED    ,Kindergarten             ,,14.5
17,GENERAL EDUCATION ,Kindergarten             ,,20.8
17,GENERAL EDUCATION ,1,,21.1
17,GENERAL EDUCATION ,2,,20.8
17,GENERAL EDUCATION ,3,,21.4
17,GENERAL EDUCATION ,4,,24.3
17,GENERAL EDUCATION ,5,,24.7
17,GENERAL EDUCATION ,6,,23.5
17,GENERAL EDUCATION ,7,,26.3
17,GENERAL EDUCATION ,8,,26.5
17,GENERAL EDUCATION ,09#           ,,25.3
17,GENERAL EDUCATION,9,ENGLISH,26.8
17,GENERAL EDUCATION,9,MATH   ,27.2
17,GENERAL EDUCATION,9,SOCIAL STUDIES,27.2
17,GENERAL EDUCATION,9,SCIENCE,27.3
17,GENERAL EDUCATION,10,ENGLISH,27.1
17,GENERAL EDUCATION,10,MATH   ,26.8
17,GENERAL EDUCATION,10,SOCIAL STUDIES,27.1
17,GENERAL EDUCATION,10,SCIENCE,27.1
17,GENERAL EDUCATION,11,ENGLISH,26.8
17,GENERAL EDUCATION,11,MATH   ,26.3
17,GENERAL EDUCATION,11,SOCIAL STUDIES,27.3
17,GENERAL EDUCATION,11,SCIENCE,26
17,GENERAL EDUCATION,12,ENGLISH,27.1
17,GENERAL EDUCATION,12,MATH   ,26
17,GENERAL EDUCATION,12,SOCIAL STUDIES,27.4
17,GENERAL EDUCATION,12,SCIENCE,25.4
17,SPECIAL CLASS - Grades K-9#,12:1           ,,10.6
17,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.4
17,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.3
17,SPECIAL CLASS - High School,Mainstream,MATH   ,24.1
17,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.8
17,SPECIAL CLASS - High School,Mainstream,SCIENCE,21
17,SPECIAL CLASS - High School,Self-Contained,ENGLISH,10.6
17,SPECIAL CLASS - High School,Self-Contained,MATH   ,10.7
17,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.2
17,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11.4
17,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,21.7
17,COLLABORATIVE TEAM TEACHING    ,1,,22.9
17,COLLABORATIVE TEAM TEACHING    ,2,,20.4
17,COLLABORATIVE TEAM TEACHING    ,3,,22
17,COLLABORATIVE TEAM TEACHING    ,4,,23.3
17,COLLABORATIVE TEAM TEACHING    ,5,,23
17,COLLABORATIVE TEAM TEACHING    ,6,,22.2
17,COLLABORATIVE TEAM TEACHING    ,7,,24.6
17,COLLABORATIVE TEAM TEACHING    ,8,,21.7
17,GIFTED & TALENTED    ,2,,21
17,GIFTED & TALENTED    ,6,,28.8
17,GIFTED & TALENTED    ,7,,29
17,GIFTED & TALENTED    ,8,,27.5
18,GENERAL EDUCATION ,Kindergarten             ,,20.3
18,GENERAL EDUCATION ,1,,22
18,GENERAL EDUCATION ,2,,22
18,GENERAL EDUCATION ,3,,20.9
18,GENERAL EDUCATION ,4,,23.3
18,GENERAL EDUCATION ,5,,26.1
18,GENERAL EDUCATION ,6,,24.9
18,GENERAL EDUCATION ,7,,27.7
18,GENERAL EDUCATION ,8,,28.1
18,GENERAL EDUCATION,9,ENGLISH,27.6
18,GENERAL EDUCATION,9,MATH   ,28
18,GENERAL EDUCATION,9,SOCIAL STUDIES,27.9
18,GENERAL EDUCATION,9,SCIENCE,27.7
18,GENERAL EDUCATION,10,ENGLISH,28.8
18,GENERAL EDUCATION,10,MATH   ,28.2
18,GENERAL EDUCATION,10,SOCIAL STUDIES,29.2
18,GENERAL EDUCATION,10,SCIENCE,28.8
18,GENERAL EDUCATION,11,ENGLISH,27.6
18,GENERAL EDUCATION,11,MATH   ,27.2
18,GENERAL EDUCATION,11,SOCIAL STUDIES,28.5
18,GENERAL EDUCATION,11,SCIENCE,28.7
18,GENERAL EDUCATION,12,ENGLISH,28.6
18,GENERAL EDUCATION,12,MATH   ,25.6
18,GENERAL EDUCATION,12,SOCIAL STUDIES,28.3
18,GENERAL EDUCATION,12,SCIENCE,29.5
18,SPECIAL CLASS - Grades K-9#,12:1           ,,9.7
18,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.6
18,SPECIAL CLASS - High School,Mainstream,ENGLISH,26.6
18,SPECIAL CLASS - High School,Mainstream,MATH   ,28.3
18,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,28
18,SPECIAL CLASS - High School,Mainstream,SCIENCE,28.9
18,SPECIAL CLASS - High School,Self-Contained,ENGLISH,9.6
18,SPECIAL CLASS - High School,Self-Contained,MATH   ,9.8
18,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,10.1
18,SPECIAL CLASS - High School,Self-Contained,SCIENCE,9.9
18,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,17.3
18,COLLABORATIVE TEAM TEACHING    ,1,,21.3
18,COLLABORATIVE TEAM TEACHING    ,2,,13
18,COLLABORATIVE TEAM TEACHING    ,3,,17.1
18,COLLABORATIVE TEAM TEACHING    ,4,,22.5
18,COLLABORATIVE TEAM TEACHING    ,5,,23
18,COLLABORATIVE TEAM TEACHING    ,6,,21
18,COLLABORATIVE TEAM TEACHING    ,7,,23.8
18,COLLABORATIVE TEAM TEACHING    ,8,,25.8
18,GIFTED & TALENTED    ,Kindergarten             ,,20.5
18,GIFTED & TALENTED    ,1,,20.3
18,GIFTED & TALENTED    ,2,,24.2
18,GIFTED & TALENTED    ,3,,22.3
18,GIFTED & TALENTED    ,4,,26.6
18,GIFTED & TALENTED    ,5,,27.2
18,GIFTED & TALENTED    ,6,,27.4
18,GIFTED & TALENTED    ,7,,29.1
18,GIFTED & TALENTED    ,8,,28.6
19,GENERAL EDUCATION ,Kindergarten             ,,20.1
19,GENERAL EDUCATION ,1,,19.9
19,GENERAL EDUCATION ,2,,19.2
19,GENERAL EDUCATION ,3,,20.1
19,GENERAL EDUCATION ,4,,20.5
19,GENERAL EDUCATION ,5,,22.7
19,GENERAL EDUCATION ,6,,21.3
19,GENERAL EDUCATION ,7,,25.1
19,GENERAL EDUCATION ,8,,25.3
19,GENERAL EDUCATION,9,ENGLISH,25.9
19,GENERAL EDUCATION,9,MATH   ,26.2
19,GENERAL EDUCATION,9,SOCIAL STUDIES,25.9
19,GENERAL EDUCATION,9,SCIENCE,25.3
19,GENERAL EDUCATION,10,ENGLISH,27.4
19,GENERAL EDUCATION,10,MATH   ,27.3
19,GENERAL EDUCATION,10,SOCIAL STUDIES,26.8
19,GENERAL EDUCATION,10,SCIENCE,27.3
19,GENERAL EDUCATION,11,ENGLISH,25.7
19,GENERAL EDUCATION,11,MATH   ,26.1
19,GENERAL EDUCATION,11,SOCIAL STUDIES,25.6
19,GENERAL EDUCATION,11,SCIENCE,25.3
19,GENERAL EDUCATION,12,ENGLISH,26.5
19,GENERAL EDUCATION,12,MATH   ,25
19,GENERAL EDUCATION,12,SOCIAL STUDIES,27
19,GENERAL EDUCATION,12,SCIENCE,25.7
19,SPECIAL CLASS - Grades K-9#,12:1           ,,10.8
19,SPECIAL CLASS - Grades K-9#,12:1:1         ,,11.3
19,SPECIAL CLASS - High School,Mainstream,ENGLISH,23.5
19,SPECIAL CLASS - High School,Mainstream,MATH   ,20.8
19,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,27.8
19,SPECIAL CLASS - High School,Mainstream,SCIENCE,22
19,SPECIAL CLASS - High School,Self-Contained,ENGLISH,11.6
19,SPECIAL CLASS - High School,Self-Contained,MATH   ,12
19,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,12.6
19,SPECIAL CLASS - High School,Self-Contained,SCIENCE,10.5
19,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,17.7
19,COLLABORATIVE TEAM TEACHING    ,1,,21
19,COLLABORATIVE TEAM TEACHING    ,2,,19.7
19,COLLABORATIVE TEAM TEACHING    ,3,,22.5
19,COLLABORATIVE TEAM TEACHING    ,4,,22
19,COLLABORATIVE TEAM TEACHING    ,5,,23
19,COLLABORATIVE TEAM TEACHING    ,6,,17.7
19,COLLABORATIVE TEAM TEACHING    ,7,,23
19,COLLABORATIVE TEAM TEACHING    ,8,,23
19,GIFTED & TALENTED    ,Kindergarten             ,,17.7
19,GIFTED & TALENTED    ,1,,21
19,GIFTED & TALENTED    ,2,,25
19,GIFTED & TALENTED    ,3,,24.3
19,GIFTED & TALENTED    ,4,,23
19,GIFTED & TALENTED    ,5,,20.5
19,GIFTED & TALENTED    ,6,,25.8
19,GIFTED & TALENTED    ,7,,27
20,GENERAL EDUCATION ,Kindergarten             ,,20.4
20,GENERAL EDUCATION ,1,,20.8
20,GENERAL EDUCATION ,2,,21.2
20,GENERAL EDUCATION ,3,,22
20,GENERAL EDUCATION ,4,,25.6
20,GENERAL EDUCATION ,5,,27
20,GENERAL EDUCATION ,6,,27.4
20,GENERAL EDUCATION ,7,,26.5
20,GENERAL EDUCATION ,8,,27.2
20,GENERAL EDUCATION,9,ENGLISH,29
20,GENERAL EDUCATION,9,MATH   ,28.5
20,GENERAL EDUCATION,9,SOCIAL STUDIES,30
20,GENERAL EDUCATION,9,SCIENCE,30.6
20,GENERAL EDUCATION,10,ENGLISH,30.2
20,GENERAL EDUCATION,10,MATH   ,29.1
20,GENERAL EDUCATION,10,SOCIAL STUDIES,29.9
20,GENERAL EDUCATION,10,SCIENCE,30.1
20,GENERAL EDUCATION,11,ENGLISH,29.7
20,GENERAL EDUCATION,11,MATH   ,28.5
20,GENERAL EDUCATION,11,SOCIAL STUDIES,29.9
20,GENERAL EDUCATION,11,SCIENCE,30
20,GENERAL EDUCATION,12,ENGLISH,30.2
20,GENERAL EDUCATION,12,MATH   ,29
20,GENERAL EDUCATION,12,SOCIAL STUDIES,30.2
20,GENERAL EDUCATION,12,SCIENCE,29.6
20,SPECIAL CLASS - Grades K-9#,12:1           ,,10.8
20,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.8
20,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.1
20,SPECIAL CLASS - High School,Mainstream,MATH   ,21.2
20,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.4
20,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.4
20,SPECIAL CLASS - High School,Self-Contained,ENGLISH,14.2
20,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.1
20,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.9
20,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.6
20,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,18.4
20,COLLABORATIVE TEAM TEACHING    ,1,,20.6
20,COLLABORATIVE TEAM TEACHING    ,2,,21.8
20,COLLABORATIVE TEAM TEACHING    ,3,,21.8
20,COLLABORATIVE TEAM TEACHING    ,4,,23.4
20,COLLABORATIVE TEAM TEACHING    ,5,,24.3
20,COLLABORATIVE TEAM TEACHING    ,6,,27.2
20,COLLABORATIVE TEAM TEACHING    ,7,,25.4
20,COLLABORATIVE TEAM TEACHING    ,8,,26
20,GIFTED & TALENTED    ,Kindergarten             ,,18.7
20,GIFTED & TALENTED    ,1,,22.5
20,GIFTED & TALENTED    ,2,,20.9
20,GIFTED & TALENTED    ,3,,24.9
20,GIFTED & TALENTED    ,4,,28
20,GIFTED & TALENTED    ,5,,28.4
20,GIFTED & TALENTED    ,6,,30.8
20,GIFTED & TALENTED    ,7,,29.5
20,GIFTED & TALENTED    ,8,,29
21,GENERAL EDUCATION ,Kindergarten             ,,21
21,GENERAL EDUCATION ,1,,22.1
21,GENERAL EDUCATION ,2,,21.5
21,GENERAL EDUCATION ,3,,21.7
21,GENERAL EDUCATION ,4,,24.9
21,GENERAL EDUCATION ,5,,25.2
21,GENERAL EDUCATION ,6,,27.2
21,GENERAL EDUCATION ,7,,26.1
21,GENERAL EDUCATION ,8,,27.8
21,GENERAL EDUCATION,9,ENGLISH,28
21,GENERAL EDUCATION,9,MATH   ,27.6
21,GENERAL EDUCATION,9,SOCIAL STUDIES,28.6
21,GENERAL EDUCATION,9,SCIENCE,28.8
21,GENERAL EDUCATION,10,ENGLISH,29.8
21,GENERAL EDUCATION,10,MATH   ,29.2
21,GENERAL EDUCATION,10,SOCIAL STUDIES,29.7
21,GENERAL EDUCATION,10,SCIENCE,28.9
21,GENERAL EDUCATION,11,ENGLISH,30.1
21,GENERAL EDUCATION,11,MATH   ,29.1
21,GENERAL EDUCATION,11,SOCIAL STUDIES,30.3
21,GENERAL EDUCATION,11,SCIENCE,28.9
