DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
2,COLLABORATIVE TEAM TEACHING    ,8,,23.9
2,GIFTED & TALENTED    ,Kindergarten             ,,22.5
2,GIFTED & TALENTED    ,1,,23.9
2,GIFTED & TALENTED    ,2,,24.9
2,GIFTED & TALENTED    ,3,,25.7
2,GIFTED & TALENTED    ,4,,28.7
2,GIFTED & TALENTED    ,5,,27.6
2,GIFTED & TALENTED    ,6,,32.4
2,GIFTED & TALENTED    ,7,,32.6
2,GIFTED & TALENTED    ,8,,32.4
3,GENERAL EDUCATION ,Kindergarten             ,,20.5
3,GENERAL EDUCATION ,1,,22.7
3,GENERAL EDUCATION ,2,,21.3
3,GENERAL EDUCATION ,3,,21.6
3,GENERAL EDUCATION ,4,,22.5
3,GENERAL EDUCATION ,5,,24.8
3,GENERAL EDUCATION ,6,,27.1
3,GENERAL EDUCATION ,7,,28.1
3,GENERAL EDUCATION ,8,,29.3
3,GENERAL EDUCATION,9,ENGLISH,25.8
3,GENERAL EDUCATION,9,MATH   ,25.3
3,GENERAL EDUCATION,9,SOCIAL STUDIES,28.4
3,GENERAL EDUCATION,9,SCIENCE,28.3
3,GENERAL EDUCATION,10,ENGLISH,26.9
3,GENERAL EDUCATION,10,MATH   ,27.3
3,GENERAL EDUCATION,10,SOCIAL STUDIES,29.3
3,GENERAL EDUCATION,10,SCIENCE,29.3
3,GENERAL EDUCATION,11,ENGLISH,25.8
3,GENERAL EDUCATION,11,MATH   ,27.8
3,GENERAL EDUCATION,11,SOCIAL STUDIES,27.8
3,GENERAL EDUCATION,11,SCIENCE,29.1
3,GENERAL EDUCATION,12,ENGLISH,27.1
3,GENERAL EDUCATION,12,MATH   ,27.6
3,GENERAL EDUCATION,12,SOCIAL STUDIES,28.8
3,GENERAL EDUCATION,12,SCIENCE,28.2
3,SPECIAL CLASS - Grades K-9#,12:1           ,,9.6
3,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.8
3,SPECIAL CLASS - High School,Mainstream,ENGLISH,24.9
3,SPECIAL CLASS - High School,Mainstream,MATH   ,23.8
3,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,27.1
3,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.6
3,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.6
3,SPECIAL CLASS - High School,Self-Contained,MATH   ,13
3,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.4
3,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.2
3,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,16
3,COLLABORATIVE TEAM TEACHING    ,1,,21.7
3,COLLABORATIVE TEAM TEACHING    ,2,,19.5
3,COLLABORATIVE TEAM TEACHING    ,3,,23.3
3,COLLABORATIVE TEAM TEACHING    ,4,,20
3,COLLABORATIVE TEAM TEACHING    ,5,,24.6
3,COLLABORATIVE TEAM TEACHING    ,6,,21
3,COLLABORATIVE TEAM TEACHING    ,7,,27.3
3,COLLABORATIVE TEAM TEACHING    ,8,,28.2
3,GIFTED & TALENTED    ,Kindergarten             ,,21.9
3,GIFTED & TALENTED    ,1,,23.7
3,GIFTED & TALENTED    ,2,,21.9
3,GIFTED & TALENTED    ,3,,22.4
3,GIFTED & TALENTED    ,4,,23.8
3,GIFTED & TALENTED    ,5,,24
3,GIFTED & TALENTED    ,6,,30.1
3,GIFTED & TALENTED    ,7,,28.7
3,GIFTED & TALENTED    ,8,,26.7
4,GENERAL EDUCATION ,Kindergarten             ,,18
4,GENERAL EDUCATION ,1,,19.3
4,GENERAL EDUCATION ,2,,19.8
4,GENERAL EDUCATION ,3,,20.6
4,GENERAL EDUCATION ,4,,22.6
4,GENERAL EDUCATION ,5,,22.3
4,GENERAL EDUCATION ,6,,23.6
4,GENERAL EDUCATION ,7,,25.4
4,GENERAL EDUCATION ,8,,25.3
4,GENERAL EDUCATION,9,ENGLISH,24.7
4,GENERAL EDUCATION,9,MATH   ,26.2
4,GENERAL EDUCATION,9,SOCIAL STUDIES,27.1
4,GENERAL EDUCATION,9,SCIENCE,27.2
4,GENERAL EDUCATION,10,ENGLISH,27.4
4,GENERAL EDUCATION,10,MATH   ,27.7
4,GENERAL EDUCATION,10,SOCIAL STUDIES,28.8
4,GENERAL EDUCATION,10,SCIENCE,28.2
4,GENERAL EDUCATION,11,ENGLISH,25.6
4,GENERAL EDUCATION,11,MATH   ,27.8
4,GENERAL EDUCATION,11,SOCIAL STUDIES,25.9
4,GENERAL EDUCATION,11,SCIENCE,26.8
4,GENERAL EDUCATION,12,ENGLISH,26.7
4,GENERAL EDUCATION,12,MATH   ,28.6
4,GENERAL EDUCATION,12,SOCIAL STUDIES,26.6
4,GENERAL EDUCATION,12,SCIENCE,27.6
4,SPECIAL CLASS - Grades K-9#,12:1           ,,11.4
